Year,Quarter,1. Revenue,1.1. Income from financial assets regconized through profit/loss (FVTPL),1.1.1. Income from selling financial assets FVTPL,1.1.2. FVTPL revaluation gain,"1.1.3. Dividend, interest from FVTPL financial assets",1.2. Income from held to maturity investment (HTM),1.3. Income from loans and receivables,1.4. Income from available for sales assets (AFS),1.5. Income from derivatives,1.6. Revenue in Brokerage services,1.7. Revenue in Underwriting services,1.8. Revenue in Issuance agency services,1.9. Revenue in Advisory services,1.10.Revenue in Auction trust services,1.11. Revenue in Securities custody services,1.12. Revenue in Securities investment and other investment activities,1.13. Rental income from investment property,1.14. Revenue from advisory services,1.15. Others revenue,2. Deductions,3. Net sales and services,4. Cost of goods sold,4.1. Loss from financial assets recognized through profit/loss (FVTPL),4.1.1 Loss from selling financial assets FVTPL,4.1.2 FVTPL financial assets revaluation loss,4.1.3 FVTPL financial assets purchase transaction costs,4.2 Loss form held to maturity investment (HTM),"4.3 Interest cost, loss from loans and receivables",4.4 Loss from available for sales assets (AFS),"4.5 Provision for losses from mortgage assets, uncollectible receivables, and borrowing expenses",4.6 Loss from derivatives,4.7 Proprietary trading services expenses,4.8 Brokerage expenses,"4.9 Underwriting, securities issuance expenses",4.10 Expenses for securities advisory,4.11 Bidding agent service expenses,4.12 Investor' securities depository expenses,4.13 Expenses for financial advisory activities,4.14 Other expenses,4.14.1 Expenses arise from securities transaction errors and other errors,5. Gross profit/(loss) from operating activities,6. Revenue from financial activities,6.1. Realized and unrealized foreign exchange gain,6.2. Income from non fixed accrued dividend and interest,"6.3. Gain from disposals or sales of investments in subsidiaries, associates and joint ventures",6.4. Other revenue from investments,7. Financial expenses,7.1. Realized and unrealized foreign exchange loss,7.2. Interests expenses,"7.3. Loss from disposals or sales of investments in subsidiaries, associates and joint ventures",7.4. Provision for losses on long term financial investment,7.5. Other investment expenses,8. Gain/(loss) from joint ventures,9. Selling costs,10. General and administrative expenses,11. Net profit/(loss) from operating activities,12. Other incomes/(loss),13. Other profit,14. Others revenue,"15. Shares of profit/(loss) in associates, joint-ventures",16. Profit/(loss) before tax,16.1.  Realized gain,16.2.  Unrealized gain,17. Business income tax expenses,17.1.  Current Enterprise Income Tax Expense,17.2.  DeferredIncomeTaxIncome/(expense),18.  Net profit/(loss)after tax,19. Equity holders of the parent,20. Profit after tax deducted of Funds,21. Minority Interests,22. Gain (loss) from revaluation of held to maturity investments,23. Gain (loss) from revaluation of available for sales financial assets,"24. Gain (loss) distributed from investments in subsidiaries, associates and joint ventures",25. Gain (loss) from revaluation of derivatives,26. Gain (loss) from foreign exchange difference of overseas operations,"27. Pre-distributed gain (loss) from investments in subsidiaries, associates and joint ventures",28. Gain (loss) from revaluation of derivatives,29. Gain (loss) from revaluation of fixed assets using fair value model,30. Total comprehensive income,31. Comprehensive income distributed to shareholders,32. Comprehensive income distributed to uncontrolled shareholders,33. Net income to common share,34. Basic earnings/(loss) per share,35. EPS_diluted
2014,4,35513712097,0,0,0,0,0,0,0,0,7710725325,0,0,40945454,0,646698430,19637044804,0,0,7478298084,0,35513712097,-15172383590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20341328507,0,0,0,0,0,0,0,0,0,0,0,0,0,-19531707260,809621247,1588895039,-1228583642,360311397,0,1169932644,0,0,0,0,0,1169932644,1169932644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,16288682487,0,0,0,0,0,0,0,0,5380906192,0,0,0,0,562430382,313685420,0,0,10031660493,0,16288682487,-6611214878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9677467609,0,0,0,0,0,0,0,0,0,0,0,0,0,-9069579058,607888551,14077621,0,14077621,0,621966172,0,0,0,0,0,621966172,621966172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,15828466015,0,0,0,0,0,0,0,0,5265820522,0,0,329000000,0,614434257,2297695571,0,0,7321515665,0,15828466015,-17554082325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1725616310,0,0,0,0,0,0,0,0,0,0,0,0,0,-15291164544,-17016780854,26139975796,0,26139975796,0,9123194942,0,0,0,0,0,9123194942,9123194942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,16164393340,0,0,0,0,0,0,0,0,5826790614,0,0,0,0,594041772,2801575586,0,0,6941985368,0,16164393340,-8886785624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7277607716,0,0,0,0,0,0,0,0,0,0,0,0,0,-11011801037,-3734193321,39844880,-2100000,37744880,0,-3696448441,0,0,0,0,0,-3696448441,-3696448441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,4,17252669092,0,0,0,0,0,0,0,0,5856761437,0,0,264000000,0,674575648,1319986574,0,0,9137345433,0,17252669092,-11486372055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5766297037,0,0,0,0,0,0,0,0,0,0,0,0,0,-14565622550,-8799325513,8175616264,-36570500,8139045764,0,-660279749,0,0,0,0,0,-660279749,-660279749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,12417017252,687728042,687609342,0,118700,0,697449666,0,0,4891562088,0,0,0,0,395637996,0,0,127454545,5617184915,0,12417017252,-2279040701,161632444,-817008420,978640864,0,0,924745991,0,0,0,0,-2693059788,0,0,0,-672359348,0,0,0,10137976551,986504561,0,986504561,0,0,-208149072,0,-208149072,0,0,0,0,0,-11755173611,-838841571,981426740,0,981426740,0,142585169,142585169,0,0,0,0,142585169,142585169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2,17277948917,1464920392,676925621,751698371,36296400,0,12889669514,0,0,7440481194,0,0,52000000,0,669502425,0,0,0,-5238624608,0,17277948917,-9088680196,-1756944603,-730377485,-1000258935,-26308183,0,-2,0,0,0,-237307752,-6001141878,0,-110881818,0,-947642556,0,-34761587,0,8189268721,138884330,0,138884330,0,0,-1508229663,0,-1508229663,0,0,0,0,0,-7378090153,-558166765,1000030414,0,1000030414,0,441863649,-1212962640,1654826289,0,0,0,441863649,441863649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,17988004739,1949928017,1809500017,0,140428000,0,987846293,0,0,7211214473,0,0,200000000,0,632265173,0,0,0,7006750783,0,17988004739,-7264250062,-1255761849,-1509879866,254118017,0,0,0,0,0,0,0,-1758131530,0,0,0,-787182961,0,-3463173722,0,10723754677,460984838,0,460984838,0,0,-805623197,0,-805623197,0,0,0,0,0,-10043196964,335919354,34008937,0,34008937,0,369928291,369928291,0,0,0,0,369928291,369928291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,15233999972,449411462,449285332,0,126130,0,0,0,0,6394369006,0,0,55000000,0,660020437,0,0,0,7675199067,0,15233999972,-8110615297,-2689117839,-188970171,-2500147668,0,0,0,0,0,0,0,-1381250988,0,0,0,-735347484,0,-3304898986,0,7123384675,90645711,0,90645711,0,0,-1234397436,0,-1234397436,0,0,0,0,0,-9868746433,-3889113483,3891374167,-308185663,3583188504,0,-305924979,-305924979,0,0,0,0,-305924979,-305924979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,20403724651,1267129614,365861447,0,901268167,0,0,0,0,10425644032,0,0,0,0,694741077,0,0,0,8016209928,0,20403724651,-6581183573,493794202,-1091639628,1585433830,0,0,0,0,0,0,0,-1526791249,0,0,0,-841656982,0,-4706529544,0,13822541078,519923904,0,519923904,0,0,-790129244,0,-790129244,0,0,0,0,0,-14346432936,-794097198,329848,0,329848,0,-793767350,-793767350,0,0,0,0,-793767350,-793767350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
