date,open,high,low,close,volume,unadjusted,putthrough
2008-02-25,7.2700,7.5100,7.2700,7.2700,392000,24.0000,0
2008-02-26,6.9100,6.9100,6.9100,6.9000,245000,22.8000,0
2008-02-27,6.5700,6.5700,6.5700,6.5700,104350,21.7000,0
2008-02-28,6.2700,6.6600,6.2700,6.3600,325810,21.0000,0
2008-02-29,6.5100,6.5100,6.2100,6.2700,101860,20.7000,0
2008-03-03,5.9700,6.0600,5.9700,5.9700,85780,19.7000,0
2008-03-04,5.7000,5.7000,5.7000,5.6900,13390,18.8000,0
2008-03-05,5.4200,5.4200,5.4200,5.4200,27480,17.9000,50000
2008-03-06,5.6600,5.6600,5.6600,5.6600,62160,18.7000,0
2008-03-07,5.9300,5.9300,5.9000,5.9400,206280,19.6000,40000
2008-03-10,6.2100,6.2100,5.7600,5.7500,395780,19.0000,0
2008-03-11,5.4800,5.6000,5.4800,5.4800,170610,18.1000,0
2008-03-12,5.2700,5.6000,5.2700,5.5100,91200,18.2000,0
2008-03-13,5.6000,5.6000,5.3300,5.4500,98900,18.0000,0
2008-03-14,5.3000,5.3900,5.3000,5.3300,47520,17.6000,0
2008-03-17,5.1500,5.1500,5.0900,5.0900,124610,16.8000,0
2008-03-18,4.8500,4.8500,4.8500,4.8500,24280,16.0000,0
2008-03-19,4.7000,5.0600,4.6100,4.6000,191760,15.2000,0
2008-03-20,4.4800,4.5700,4.3900,4.3900,181630,14.5000,0
2008-03-21,4.1800,4.2100,4.1800,4.1800,147620,13.8000,0
2008-03-24,4.0000,4.0000,4.0000,4.0000,26050,13.2000,0
2008-03-25,3.8200,3.8200,3.8200,3.8200,33900,12.6000,0
2008-03-26,3.6700,3.9100,3.6700,3.6900,327290,12.2000,0
2008-03-27,3.7200,3.7200,3.7200,3.7200,11600,12.3000,0
2008-03-28,3.7500,3.7500,3.7500,3.7600,38060,12.4000,0
2008-03-31,3.7900,3.7900,3.7900,3.7900,3200,12.5000,21000
2008-04-01,3.8200,3.8200,3.8200,3.8200,1920,12.6000,0
2008-04-02,3.8500,3.8500,3.8500,3.8500,600,12.7000,0
2008-04-03,3.8800,3.8800,3.8800,3.8800,200,12.8000,0
