date,open,high,low,close,volume,unadjusted,putthrough
2017-05-16,28.7400,28.7400,28.7400,28.7400,421800,48.0000,0
2017-05-17,30.7200,30.7200,28.7400,30.5400,45330,51.0000,1207801
2017-05-18,30.5400,30.5400,28.7400,30.2400,9120,50.5000,0
2017-05-19,28.1400,28.4400,28.1400,28.1500,129870,47.0000,0
2017-05-22,26.3500,26.9500,26.2000,26.2000,99560,43.7500,50000
2017-05-23,24.6100,24.6100,24.3700,24.3700,230970,40.7000,0
2017-05-24,23.6500,26.0500,23.6500,26.0500,23270,43.5000,0
2017-05-25,27.7900,27.7900,26.1700,26.1700,28490,43.7000,0
2017-05-26,25.7500,26.1700,24.8500,24.9100,47220,41.6000,0
2017-05-29,24.9100,25.1500,23.9500,24.9100,50040,41.6000,0
2017-05-30,24.0700,24.9100,24.0100,24.7900,15360,41.4000,0
2017-05-31,24.8500,25.0900,24.8500,25.0300,17350,41.8000,0
2017-06-01,24.8500,24.9700,24.6100,24.6700,16340,41.2000,0
2017-06-02,25.6900,25.6900,24.6100,24.6700,13830,41.2000,0
2017-06-05,24.6100,24.7300,23.9500,24.5500,7770,41.0000,0
2017-06-06,24.0700,24.3700,23.9500,24.3700,35700,40.7000,0
2017-06-07,24.4300,24.4300,24.0100,24.4300,24920,40.8000,0
2017-06-08,24.0100,24.2500,24.0100,24.0100,7550,40.1000,0
2017-06-09,24.5500,24.5500,23.9500,24.1900,6330,40.4000,0
2017-06-12,24.1900,24.1900,23.9500,23.9500,14610,40.0000,57800
2017-06-13,24.4900,24.4900,23.9500,24.2500,27010,40.5000,0
2017-06-14,23.9500,25.7500,23.9500,25.2100,33130,42.1000,0
2017-06-15,25.6900,25.6900,25.0300,25.5700,30530,42.7000,0
2017-06-16,25.4500,26.3500,25.3300,25.9300,31930,43.3000,0
2017-06-19,25.9300,26.6500,25.9300,26.6500,49890,44.5000,71524
2017-06-20,26.9500,27.8500,26.9500,27.4900,15370,45.9000,0
2017-06-21,27.5500,27.5500,26.8300,26.8300,14860,44.8000,0
2017-06-22,27.2500,27.2500,26.8300,26.9500,34930,45.0000,0
2017-06-23,26.9500,27.5500,26.5000,26.5900,36590,44.4000,0
2017-06-26,26.5300,27.1300,26.5300,26.9500,33950,45.0000,0
2017-06-27,26.7100,27.1300,26.6500,26.8900,30210,44.9000,0
2017-06-28,26.5900,26.9500,26.3500,26.8900,43400,44.9000,0
2017-06-29,25.8100,27.0100,25.8100,26.2900,23440,43.9000,0
2017-06-30,26.4100,26.4100,26.1100,26.3500,30990,44.0000,0
2017-07-03,27.4300,27.4300,26.4700,26.9500,54760,45.0000,100000
2017-07-04,27.8900,28.1400,27.2600,27.8900,30310,44.5000,0
2017-07-05,28.2000,28.2000,27.0100,27.5100,30120,43.9000,0
2017-07-06,27.5100,27.8900,27.5100,27.8900,31140,44.5000,0
2017-07-07,27.5800,27.9500,27.5800,27.9500,1110,44.6000,0
2017-07-10,27.8200,27.8900,27.2600,27.3200,28590,43.6000,0
2017-07-11,27.4500,27.4500,27.0100,27.2000,20470,43.4000,0
2017-07-12,27.2000,27.3300,26.9500,27.0700,26490,43.2000,0
2017-07-13,27.0700,27.1300,26.0000,26.9200,20620,42.9500,0
2017-07-14,27.2600,27.2600,26.2000,26.9200,19180,42.9500,0
2017-07-17,26.8900,26.9200,26.6400,26.9200,24010,42.9500,250000
2017-07-18,26.9200,26.9200,26.2600,26.7600,22010,42.7000,0
2017-07-19,26.7600,26.9500,25.0700,26.6000,20050,42.4500,0
2017-07-20,26.6000,26.6000,24.9400,26.0100,21140,41.5000,0
