date,open,high,low,close,volume,unadjusted,putthrough
2006-12-27,2.0403,2.5164,2.0403,2.5164,4000,37.0000,0
2007-01-03,2.2444,2.2444,2.2444,2.2444,100,33.0000,0
2007-01-05,2.4688,2.4688,2.4688,2.4688,1000,36.3000,0
2007-01-12,2.4824,2.4824,2.4824,2.4824,700,36.5000,0
2007-01-24,2.6184,2.6184,2.6184,2.6184,1000,38.5000,0
2007-02-02,2.8768,2.8768,2.8768,2.8769,1000,42.3000,0
2007-02-05,3.1625,3.1625,3.1625,3.1625,5000,46.5000,0
2007-02-06,3.4753,3.4753,3.4753,3.4754,2000,51.1000,0
2007-02-07,3.8223,3.8223,3.8223,3.8223,100,56.2000,0
2007-02-08,4.2032,4.2032,4.2032,4.2031,4000,61.8000,0
2007-02-09,4.6180,4.6180,4.5568,4.5568,1100,67.0000,0
2007-02-12,4.9649,5.0465,4.8969,4.8968,2500,72.0000,0
2007-02-15,4.5908,4.5908,4.5908,4.5908,300,67.5000,0
2007-02-26,5.0465,5.0465,5.0465,5.0465,2500,74.2000,0
2007-02-27,5.5498,5.5498,5.5498,5.5498,7300,81.6000,0
2007-02-28,6.1007,6.1007,5.9171,5.9170,3200,87.0000,0
2007-03-01,6.6855,6.6855,6.6855,6.6855,1600,98.3000,0
2007-03-02,7.3520,7.3520,6.6651,7.1412,3800,105.0000,0
2007-03-05,7.8689,7.8689,7.8689,7.8689,2100,115.7000,0
2007-03-06,8.6510,8.6510,8.2974,8.6511,3800,127.2000,0
2007-03-07,9.4740,9.4740,9.3856,9.4740,5600,139.3000,0
2007-03-08,9.8617,9.8617,9.8617,9.8617,100,145.0000,0
2007-03-09,8.8755,9.3856,8.8755,9.3856,1500,138.0000,0
2007-03-12,9.5216,9.5216,9.5216,9.5216,100,140.0000,0
2007-03-13,9.3516,9.5216,9.3516,9.5216,2200,140.0000,0
2007-03-14,8.5354,9.2155,8.5354,9.2156,4300,135.5000,0
2007-03-16,8.1070,8.8075,8.1070,8.8075,6900,129.5000,0
2007-03-19,8.6011,8.6011,8.6011,8.6009,3600,125.0000,0
2007-03-21,7.9128,7.9128,7.9128,7.9129,5100,115.0000,0
2007-03-22,7.2248,7.2248,7.1560,7.1560,2800,104.0000,0
2007-03-23,7.3968,7.3968,6.5367,6.5367,6300,95.0000,0
2007-03-26,6.5367,6.5367,6.1032,6.5367,1000,95.0000,0
2007-03-28,6.3303,6.4954,5.8486,5.8486,1200,85.0000,0
2007-03-29,6.5367,6.8807,6.5367,6.8807,3300,100.0000,0
2007-03-30,7.4312,7.4312,6.8807,6.8807,3300,100.0000,0
2007-04-02,7.5688,7.9128,7.3004,7.3005,5000,106.1000,0
2007-04-03,6.8808,6.8808,6.8808,6.8807,300,100.0000,0
2007-04-04,6.8807,6.8807,6.8807,6.8807,500,100.0000,0
2007-04-06,6.8807,6.8807,6.8807,6.8807,100,100.0000,0
2007-04-10,6.8807,6.8807,6.2614,6.2615,2100,91.0000,0
2007-04-11,5.7798,5.9175,5.7110,5.9174,1900,86.0000,0
2007-04-12,5.7798,6.1926,5.6422,6.1927,4800,90.0000,0
2007-04-13,6.4679,6.4679,6.4679,6.4679,500,94.0000,0
2007-04-16,7.1147,7.1147,7.0528,7.1147,7000,103.4000,0
2007-04-17,7.8234,7.8234,7.8234,7.8234,500,113.7000,0
2007-04-18,7.0459,7.0459,7.0459,7.0459,800,102.4000,0
2007-04-19,6.3441,6.3441,6.3441,6.3440,2100,92.2000,0
2007-04-20,5.7110,6.1238,5.7110,5.7110,4900,83.0000,0
2007-04-23,5.2982,5.2982,5.1537,5.1606,4300,75.0000,0
2007-04-24,4.8234,4.8234,4.7133,4.7133,3200,68.5000,0
2007-04-25,4.8303,4.9541,4.8303,4.9541,1600,72.0000,0
2007-05-02,4.9541,5.1605,4.8922,4.8922,1000,71.1000,0
2007-05-03,5.0917,5.1537,5.0917,5.1537,1000,74.9000,0
2007-05-04,4.9542,5.0230,4.9542,5.0161,2000,72.9000,0
2007-05-07,5.0230,5.0230,4.9198,4.9197,800,71.5000,0
2007-05-08,4.9816,5.1605,4.9816,5.1606,5800,75.0000,0
2007-05-09,5.2363,5.2363,5.1606,5.1606,1100,75.0000,0
2007-05-10,4.9542,4.9542,4.8166,4.8234,1400,70.1000,0
2007-05-11,4.8853,5.0229,4.8853,5.0229,3600,73.0000,0
2007-05-15,5.1606,5.1606,5.0230,5.0229,2200,73.0000,0
2007-05-17,4.9541,4.9541,4.9541,4.9541,100,72.0000,0
2007-05-18,4.9885,5.0573,4.9885,5.0573,1400,73.5000,0
2007-05-21,5.1605,5.5321,5.1605,5.5321,5600,80.4000,0
2007-05-22,5.8761,5.8761,5.8761,5.8762,1200,85.4000,0
2007-05-23,6.4611,6.4611,6.3303,6.3303,23800,92.0000,0
2007-05-24,5.9175,5.9519,5.8486,5.9106,3700,85.9000,0
2007-05-25,5.9175,6.1927,5.9175,6.1927,2800,90.0000,0
2007-05-28,6.3303,6.3716,6.2684,6.3509,7500,92.3000,0
2007-05-29,6.5367,6.6261,6.3991,6.5367,13700,95.0000,0
2007-05-30,6.4404,6.4404,6.1927,6.1927,6600,90.0000,0
2007-05-31,6.3991,6.3991,6.2959,6.3303,6100,92.0000,0
2007-06-01,6.3991,6.3991,6.1927,6.3991,3300,93.0000,0
2007-06-04,6.3991,6.3991,6.3991,6.3991,200,93.0000,0
2007-06-06,6.1927,6.3991,6.1927,6.3991,1100,93.0000,0
2007-06-07,6.3303,6.3991,6.2821,6.3991,5900,93.0000,0
2007-06-08,6.5023,6.9633,6.5023,6.9633,39700,101.2000,0
2007-06-11,7.6101,7.6101,7.6101,7.6101,21600,110.6000,0
2007-06-12,8.3670,8.3670,7.3624,7.9129,19400,115.0000,0
2007-06-13,8.2569,8.2569,7.3143,7.3142,11500,106.3000,0
2007-06-14,7.1559,7.1559,6.8532,6.9495,9000,101.0000,0
2007-06-15,6.9426,6.9495,6.8876,6.8876,2600,100.1000,0
2007-06-18,7.0871,7.0871,6.8807,6.8807,1100,100.0000,0
