Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,112450146908,-48117887093,-27311199882,-7308782671,-837513953,11177833596,-30530592620,0,9522004285,-15430356428,461092200,0,0,0,480000000,161065739,-14328198489,0,0,60469895682,-58237457592,-407737014,0,0,1824701076,-2981493128,36009538977,0,33028045849
2010,2,194704225313,-127184219466,-54641037681,-11294772355,-2940890642,66121125047,-64481030401,17193085590,283399815,-36178767146,1035382700,0,0,-300000000,480000000,2856559737,-32106824709,0,0,246225957821,-228266406517,-951737014,-2500000000,0,14507814290,-17315610604,36009538977,0,18693928373
2010,3,434312002691,-230324384349,-90787452604,-24060285324,-6299414578,48165881746,-139737112474,0,-8730764892,-39098165608,1092710329,0,0,-300000000,480000000,5222960999,-32602494280,43569540000,0,280730544004,-249776178525,-1488607660,-13300000000,0,59735297819,18402038647,36009538977,0,54411577624
2011,1,207214971299,-113864947477,-35885182828,-8748745934,-2278073571,28525295807,-57656284620,7823233022,17307032676,-25263755023,1810068182,0,0,-972376550,0,3209863090,-21216200301,0,0,63199638002,-88179246650,-372000000,0,0,-25351608648,-29260776273,61038433920,0,31777657647
2011,3,136890795468,-69354159849,-33374963088,-14852183109,-1386181613,75520241446,-124908520089,0,-31464970834,-11826618182,4997140910,0,0,-4446112000,0,1849868007,-9425721265,0,0,139067250826,-81332882994,-200000000,0,0,57534367832,16643675733,48002626453,0,64646302186
2011,4,222030059661,-164056193130,-54866439080,-18978364544,-696812815,10500000680,15086770598,0,9019021370,-7363909106,7288411299,0,0,-40188000,0,869464921,753779114,0,0,136954415855,-99719727788,-200090000,-3000000000,0,34034598067,43807398551,64646302186,0,108453700737
2012,1,114690142026,-129053154211,-55610063727,-16005291697,-315825874,17495989845,-70738919843,8807009158,-139537123481,-253653064,2574720400,0,0,-10000000000,30000000000,499083062,22820150398,0,0,137657276005,-103680195745,-200000000,0,0,33777080260,-82939892823,108453700737,0,25513807914
2012,2,237303988734,-127404868526,-21905787438,-16317023101,-1968516585,82118963575,2064818112,0,153891574771,-396826908,3733101349,0,0,-56558906380,0,816541444,-52406090495,0,0,81938403975,-193522192010,0,0,0,-111583788035,-10098303759,25513807914,0,15415504155
2012,4,178798713491,-120957739608,-57806502671,-5272792205,0,82775500170,-175278257158,0,-97741077981,-2859090909,173636362,0,0,-27272727,0,373651856,-2339075418,0,0,191646148886,-84096541411,-621291695,0,0,106928315780,6848162381,26960434010,0,33808596391
2013,1,220100949130,-106493909552,-50910419454,-15445218111,-2734383210,11876478715,-64358365986,8261848341,-7964868468,-43636364,113636364,0,0,0,0,176916734,246916734,0,0,184571151363,-184697194104,-200000000,0,0,-326042741,-8043994475,33808596391,0,25764601916
2013,2,199378731160,-134753599327,-28461731475,-15932915293,-111193756,49654252814,-97146864714,0,-27373320591,-2278785750,259727271,0,0,0,0,101986519,-1917071960,0,0,199596097647,-181673773040,-200000000,0,0,17722324607,-11568067944,25764601916,0,14196533972
