date,open,high,low,close,volume,unadjusted,putthrough
2008-01-23,34.0700,34.0700,19.4700,24.2900,316400,49.9000,0
2008-01-24,24.4400,25.9900,23.9500,25.0700,286900,51.5000,0
2008-01-25,25.0200,25.5100,24.3400,24.3400,119100,50.0000,0
2008-01-28,24.3400,24.8300,23.2200,23.2200,29600,47.7000,0
2008-01-29,22.8800,24.4400,21.9100,23.3600,113800,48.0000,0
2008-01-30,24.2800,25.7000,24.2800,25.5500,214500,52.5000,0
2008-01-31,27.0100,27.0100,23.3600,24.3400,71300,50.0000,0
2008-02-01,25.3100,25.3100,24.5300,25.0700,99900,51.5000,0
2008-02-12,25.8000,25.8000,23.3700,23.8500,13500,49.0000,0
2008-02-13,23.3600,23.8500,22.8300,22.8300,40600,46.9000,0
2008-02-14,23.3700,24.2900,23.1200,23.3600,32700,48.0000,18000
2008-02-15,23.7000,23.9000,22.4800,23.1200,28000,47.5000,0
2008-02-18,23.1200,23.1200,21.1200,21.5100,98900,44.2000,0
2008-02-19,21.6600,22.5800,20.4900,20.9300,76000,43.0000,0
2008-02-20,23.4600,23.4600,19.4700,19.8100,69700,40.7000,0
2008-02-21,18.5400,18.5400,18.2500,18.2500,34100,37.5000,8600
2008-02-22,18.0100,18.4900,16.5000,17.5700,115600,36.1000,0
2008-02-25,17.0300,18.5400,17.0300,18.5400,66400,38.1000,0
2008-02-26,20.2900,20.2900,16.6900,16.6900,55600,34.3000,0
2008-02-27,16.1100,18.4900,16.1100,16.9900,43900,34.9000,0
2008-02-28,18.6500,18.6500,16.4500,16.7400,41000,34.4000,0
2008-02-29,17.0300,17.0300,15.3800,15.7200,55700,32.3000,0
2008-03-03,15.8200,16.3000,14.3100,14.3100,72600,29.4000,0
2008-03-04,13.6300,13.6300,13.5300,13.5300,17300,27.8000,0
2008-03-05,12.2200,12.7000,12.2200,12.2200,78200,25.1000,0
2008-03-06,13.4900,13.4900,13.4900,13.4800,9900,27.7000,0
2008-03-07,14.7900,14.7900,14.7900,14.8000,6000,30.4000,0
2008-03-10,16.2600,16.2600,13.8800,14.9400,138300,30.7000,0
2008-03-11,14.2100,14.6000,14.0600,14.0700,79300,28.9000,0
2008-03-12,14.0700,15.3800,13.6300,14.6000,59500,30.0000,0
2008-03-13,15.4800,15.5700,13.9200,14.7000,31200,30.2000,0
2008-03-14,14.1200,14.5500,13.9700,14.1100,42200,29.0000,0
2008-03-17,13.6200,13.9600,12.8000,12.9000,82800,26.5000,0
2008-03-18,11.6800,11.6800,11.6300,11.6300,65300,23.9000,0
2008-03-19,11.8700,12.6500,10.7100,11.4400,41300,23.5000,0
2008-03-20,11.9300,12.0700,11.0500,11.2400,42100,23.1000,0
2008-03-21,10.7500,10.9500,10.3600,10.4200,66100,21.4000,10000
2008-03-24,9.7400,9.7400,9.4900,9.4900,25400,19.5000,0
2008-03-25,9.0000,9.0000,8.5700,8.5700,19500,17.6000,0
2008-03-26,8.5700,9.2500,7.8400,8.7600,116700,18.0000,0
2008-03-27,8.8100,8.8100,8.8100,8.8100,7200,18.1000,0
2008-03-28,8.9600,8.9600,8.9600,8.9600,9000,18.4000,0
2008-03-31,9.1100,9.1100,9.1100,9.1000,1000,18.7000,0
2008-04-01,9.2500,9.2500,9.2500,9.2500,3700,19.0000,0
2008-04-02,9.4000,9.4000,9.4000,9.3900,100,19.3000,0
2008-04-03,9.5400,9.5400,9.5400,9.5400,400,19.6000,0
2008-04-04,9.6900,9.6900,9.6900,9.6900,2900,19.9000,0
2008-04-07,9.9300,9.9300,9.9300,9.9300,1100,20.4000,0
2008-04-08,10.2200,10.2200,9.6400,10.1200,123000,20.8000,0
2008-04-09,10.1200,10.1700,9.5800,9.5900,16800,19.7000,0
2008-04-10,9.4400,9.4400,9.4400,9.4400,3000,19.4000,0
2008-04-11,9.2000,9.2000,9.2000,9.2000,800,18.9000,0
2008-04-16,8.9600,8.9600,8.9600,8.9600,4400,18.4000,0
2008-04-17,8.7200,9.2000,8.7200,9.0000,93500,18.5000,0
2008-04-18,8.9000,9.1500,8.6600,8.7100,25200,17.9000,0
2008-04-21,8.6100,8.6100,8.5200,8.5200,5700,17.5000,0
