disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2006-09-05,stockAlert,listedHose,Ngày giao dịch đầu tiên trên HOSE,2006-09-05,,,,,,,
2007-01-29,investorRight,DIVIDEND,Cổ tức bằng tiền,2007-02-13,2007-03-09,2007-03-09,Cổ tức quý 3+4 năm 2006 (1.200 đ/cp),1200,12,,2006
2007-01-29,investorRight,MEETING,Họp cổ đông,2007-02-13,2007-03-25,2007-03-25,họp đại hội cổ đông thường niên năm 2006,,,,
2007-03-08,investorRight,MEETING,Họp cổ đông,2007-03-16,2007-04-21,2007-04-21,ĐHCĐ thường niên năm 2007,,,,
2007-07-05,investorRight,DIVIDEND,Cổ tức bằng tiền,2007-07-18,2007-08-10,2007-08-10,Cổ tức đợt 1/2007 (1.200 đ/cp),1200,12,1,2007
2007-11-01,investorRight,POLL,Lấy ý kiến cổ đông,2007-11-13,2007-11-22,2007-11-22,"Xin ý kiến cổ đông về việc thay đổi kế hoạch đầu tư, phát hành cổ phiếu trả cổ tức đợt 2/2007 và niêm yết cổ phiếu phát hành thêm.",,,,
2008-05-13,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2008-05-26,2008-05-28,,"Trả cổ tức đợt 1/2007, Tỷ lệ 100:14",,14,1,2007
2008-08-05,investorRight,POLL,Lấy ý kiến cổ đông,2008-08-12,2008-08-25,2008-08-25,Lấy ý kiến cổ đông bằng văn bản về việc thành lập Công ty TNHH Một thành viên (công ty con),,,,
2008-08-05,investorRight,DIVIDEND,Cổ tức bằng tiền,2008-08-12,2008-08-29,2008-08-29,Cổ tức đợt 1/2008 (1.000 đ/cp),1000,10,1,2008
2008-09-12,investorRight,KINDDIV,Cổ phiếu thưởng,2008-09-22,2008-09-24,,Tỷ lệ 100:25,,25,,
2008-11-21,investorRight,DIVIDEND,Cổ tức bằng tiền,2008-12-04,2008-12-23,2008-12-23,Cổ tức đợt 2/2008 (800 đ/cp),800,8,2,2008
2009-03-04,investorRight,MEETING,Họp cổ đông,2009-04-13,2009-05-10,2009-05-10,ĐHCĐ thường niên 2009,,,,
2009-04-03,investorRight,DIVIDEND,Cổ tức bằng tiền,2009-04-13,2009-05-06,2009-05-06,Cổ tức đợt 3/2008 (200 đ/cp),200,2,3,2008
2009-06-12,stockAlert,delistedHose,Hủy niêm yết trên HOSE,2009-06-12,,,Hủy niêm yết trên HOSE,,,,
2009-06-18,stockAlert,listedHnx,Ngày giao dịch đầu tiên trên HNX,2009-06-18,,,Ngày giao dịch đầu tiên trên HNX,,,,
2009-09-22,investorRight,DIVIDEND,Cổ tức bằng tiền,2009-10-07,2009-10-30,2009-10-30,Cổ tức đợt 1/2009 (1.000 đ/cp),1000,10,1,2009
2010-03-24,investorRight,MEETING,Họp cổ đông,2010-03-29,2010-04-24,2010-04-24,ĐHCĐ thường niên 2010,,,,
2010-04-12,investorRight,DIVIDEND,Cổ tức bằng tiền,2010-04-20,2010-05-14,2010-05-14,Trả cổ tức đợt 2/2009 (1000 đ/cp),1000,10,2,2009
2010-12-08,investorRight,POLL,Lấy ý kiến cổ đông,2010-12-16,,,Lấy ý kiến cổ đông bằng văn bản,,,,
2011-03-16,investorRight,MEETING,Họp cổ đông,2011-03-23,2011-04-15,2011-04-15,ĐHCĐ thường niên 2011,,,,
2011-05-12,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2011-05-20,2011-05-24,,"Trả cổ tức năm 2010, Tỷ lệ 100:20",,20,,2010
2011-07-07,investorRight,POLL,Lấy ý kiến cổ đông,2011-07-14,,,Bằng văn bản v/v thay đổi đăng ký NY cp trả cổ tức 2010 với tỷ lệ 20% là 1.191.178 cp,,,,
2011-08-23,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2011-08-30,,,Số lượng 1.191.178 cp,,,,
2011-08-26,investorRight,DIVIDEND,Cổ tức bằng tiền,2011-09-01,2011-09-20,2011-09-20,Cổ tức đợt 1.2011  (1.000 đ/cp),1000,10,1,2011
2012-03-19,investorRight,MEETING,Họp cổ đông,2012-03-23,2012-04-28,2012-04-28,ĐHĐCĐ thường niên năm 2012,,,,
2012-03-19,investorRight,DIVIDEND,Cổ tức bằng tiền,2012-03-23,2012-04-17,2012-04-17,Trả cổ tức đợt 2/2011 (1.000 đ/cp),1000,10,2,2011
2012-05-10,investorRight,DIVIDEND,Cổ tức bằng tiền,2012-05-16,2012-05-31,2012-05-31,Trả cổ tức đợt 3/2011 (1.000 đ/cp),1000,10,3,2011
2012-11-20,investorRight,DIVIDEND,Cổ tức bằng tiền,2012-11-28,2012-12-20,2012-12-20,Trả cổ tức đợt 1/2012 (1.000 đ/cp),1000,10,1,2012
2013-03-25,investorRight,MEETING,Họp cổ đông,2013-03-28,2013-04-26,2013-04-26,Đại hội đồng cổ đông thường niên năm 2013,,,,
2013-03-25,investorRight,DIVIDEND,Cổ tức bằng tiền,2013-03-28,2013-05-15,2013-05-15,Trả cổ tức đợt 2/2012 (1.200 đ/cp),1200,12,2,2012
2013-05-13,investorRight,DIVIDEND,Cổ tức bằng tiền,2013-05-17,2013-05-31,2013-05-31,Trả cổ tức đợt 3/2012 (300 đ/cp),300,3,3,2012
2013-11-22,investorRight,DIVIDEND,Cổ tức bằng tiền,2013-12-02,2013-12-27,2013-12-27,Tạm ứng cổ tức bằng tiền đợt 1/2013 (1000đ/cp),1000,10,1,2013
2013-12-20,investorRight,ADPAYDATE,Thay đổi thời gian trả cổ tức,2013-12-02,2014-01-03,2014-01-03,Tạm ứng cổ tức bằng tiền đợt 1/2013 (1000đ/cp),1000,,,
2014-03-03,investorRight,MEETING,Họp cổ đông,2014-03-11,2014-04-10,2014-04-10,Đại hội đồng cổ đông thường niên năm 2014,,,,
2014-03-03,investorRight,DIVIDEND,Cổ tức bằng tiền,2014-03-11,2014-05-15,2014-05-15,Trả cổ tức đợt 2/2013 (1500đ/cp),1500,15,2,2013
2014-05-08,investorRight,DIVIDEND,Cổ tức bằng tiền,2014-05-15,2014-06-25,2014-06-25,Trả cổ tức đợt 3/2013 (1400 đ/cp),1400,14,3,2013
2014-11-24,investorRight,DIVIDEND,Cổ tức bằng tiền,2014-12-03,2015-01-05,2015-01-05,Trả cổ tức đợt 1/2014 (1.000đ/cp),1000,10,1,2014
2014-12-09,investorRight,ADPAYDATE,Thay đổi thời gian trả cổ tức,2014-12-03,2014-12-25,2014-12-25,Thay đổi thời gian thanh toán cổ tức đợt 1/2014 từ ngày 05/01/2015 đến 25/12/2014,1000,,,
2015-03-16,investorRight,MEETING,Họp cổ đông,2015-03-23,2015-04-21,2015-04-21,ĐHĐCĐ thường niên năm 2015,,,,
2015-03-16,investorRight,DIVIDEND,Cổ tức bằng tiền,2015-03-23,2015-05-15,2015-05-15,Trả cổ tức đợt 2/2014 (1.500đ/cp),490,4.9,2,2014
2015-12-09,investorRight,DIVIDEND,Cổ tức bằng tiền,2015-12-31,2016-01-20,2016-01-20,Trả cổ tức đợt 1/2015 (1500 đ/cp),1500,15,1,2015
2016-03-25,investorRight,MEETING,Họp cổ đông,2016-04-04,2016-04-26,2016-04-26,ĐHCĐ thường niên năm 2016,,,,
2016-04-26,schedEvent,schedDiv,Dự kiến cổ tức,,,,"Dự kiến trả cổ tức bằng cổ phiếu năm 2016, tỷ lệ 100:25",,25,,2016
2016-04-28,schedEvent,schedDiv,Dự kiến cổ tức,,,,Cổ tức đợt 2/2015 (1300đ/cp),1300,13,2,2015
2016-05-04,investorRight,DIVIDEND,Cổ tức bằng tiền,2016-05-17,2016-05-26,2016-05-26,Trả cổ tức đợt 2/2015 (1300 đ/cp),1300,13,2,2015
2016-11-11,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-01-04,2017-01-24,2017-01-24,Trả cổ tức đợt 1/2016 (2000 đ/cp),2000,20,1,2016
2016-12-15,investorRight,POLL,Lấy ý kiến cổ đông,2017-01-04,,,V/v không hạn chế tỷ lệ sở hữu cổ phần của nhà đầu tư nước ngoài tại CTCP Xuất nhập khẩu Sa Giang; điều chỉnh ngành nghề kinh doanh; sửa đổi điều lệ công ty,,,,
2017-03-20,investorRight,MEETING,Họp cổ đông,2017-03-30,2017-04-25,2017-04-25,ĐHĐCĐ thường niên năm 2017,,,,
2017-04-28,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-05-11,2017-05-23,2017-05-23,Trả cổ tức đợt 2 năm 2016 (1200đ/cp),1200,12,2,2016
2017-12-19,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-12-28,2018-01-19,2018-01-19,Trả cổ tức đợt 1/2017 (2000đ/cp),2000,20,1,2017
2018-03-08,investorRight,MEETING,Họp cổ đông,2018-03-29,2018-04-27,2018-04-27,ĐHĐCĐ thường niên năm 2018,,,,
2018-03-08,investorRight,MEETING,Họp cổ đông,2018-03-29,2018-04-27,2018-04-27,Họp ĐHĐCĐ thường niên năm 2018,,,,
2018-05-03,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-05-17,2018-05-31,2018-05-31,Trả cổ tức đợt 2/2017 (1500 đ/cp),1500,15,2,2017
2018-10-04,investorRight,POLL,Lấy ý kiến cổ đông,2018-10-24,,,V/v sửa đổi Điều lệ và quy chế quản trị công ty,,,,
2018-11-09,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-11-19,2018-12-25,2018-12-25,Trả cổ tức đợt 1/2018 (1500 đ/cp),1500,15,1,2018
2019-02-13,investorRight,MEETING,Họp cổ đông,2019-03-05,2019-03-26,2019-03-26,ĐHĐCĐ thường niên năm 2019,,,,
2019-03-28,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-04-12,2019-04-26,2019-04-26,Trả cổ tức đợt 2/2018 (1500đ/cp),1500,15,2,2018
2019-07-25,investorRight,MEETING,Họp cổ đông,2019-08-12,2019-11-08,2019-11-08,ĐHĐCĐ bất thường năm 2019,,,,
2019-11-28,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-12-31,2020-01-16,2020-01-16,Trả cổ tức đợt 1/2019 (1000 đ/cp),1000,10,1,2019
2020-05-15,investorRight,MEETING,Họp cổ đông,2020-05-29,2020-06-24,2020-06-24,ĐHĐCĐ thường niên năm 2020,,,,
2020-05-15,investorRight,DIVIDEND,Cổ tức bằng tiền,2020-05-29,2020-06-17,2020-06-17,Trả cổ tức đợt 2/2019 (1200 đ/cp),1200,12,2,2019
2020-07-24,schedEvent,schedDiv,Dự kiến cổ tức,,,,"Dự kiến trả cổ tức bằng cổ phiếu đợt 3/2019, tỷ lệ 100:12.67",,12.67,3,2019
2020-07-24,schedEvent,schedIssue,Dự kiến phát hành,,,,"Dự kiến phát hành 1,596,256cp cho CĐHH",,22.33,,
2020-08-25,schedEvent,schedIssue,Dự kiến phát hành,,,,"Dự kiến phát hành 1,596,054cp cho CĐHH",,22.33,,
