Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2005,0,124217877315,11893934647,11893934647,0,0,0,0,82516233165,9649352233,4984070653,47979220394,0,19903589885,0,28153869328,28153869328,0,1653840175,1532132048,104483801,17224326,0,16885818059,0,0,0,0,0,11885818059,3965881931,5957007953,-1991126022,7651640254,9752753140,-2101112886,0,0,0,268295874,0,0,0,5000000000,0,0,5000000000,0,0,0,0,0,0,141103695374,117569035796,83422495524,17072048325,2066340184,31665917,373079487,0,1581396727,47979220394,0,14318744490,0,34146540272,0,0,1299478000,32847062272,0,0,0,23534659578,24027447377,23000000000,0,0,0,0,0,0,0,0,1027447377,-492787799,-492787799,0,0,141103695374
2006,0,194090060178,1753415399,1753415399,0,0,0,0,154739398397,11918959154,19086040262,64603566285,0,59130832696,0,37383846181,37383846181,0,213400201,89157521,107018354,17224326,0,33909469251,0,0,0,0,0,27693453156,4442060867,7213132194,-2771071327,7039509034,9752753140,-2713244106,0,0,0,16211883255,0,0,0,5900000000,0,0,5900000000,0,316016095,127727651,0,188288444,0,227999529429,158968585410,124687314975,23607941190,1413104155,2447054514,2066161105,0,28603949745,64603566286,0,1945537980,0,34281270435,0,0,1305919000,32975351435,0,0,0,69030944019,69495472091,50000000000,0,0,0,0,0,0,0,0,19495472091,-464528072,-464528072,0,0,227999529429
2007,0,526477636629,10853224389,10853224389,0,0,0,0,311135611190,7647637156,66143569459,172979266655,0,64365137920,0,185146938616,185146938616,0,19341862434,103786305,19238076129,0,0,857720409507,0,0,0,0,0,150598172150,49564669558,57693037586,-8128368028,0,0,0,0,0,0,101033502592,0,0,0,706322737000,0,244077712000,462245025000,0,799500357,519735749,0,279764608,0,1384198046136,782619909565,692975530282,148537000000,1809508632,15346032659,44080490093,462832930,126590466156,172979266655,0,183169933157,0,89644379283,0,0,1716930586,87927448697,0,0,0,601578136571,601491419632,450000000000,0,0,0,0,0,0,0,0,151491419632,86716939,86716939,0,0,1384198046136
2008,0,216606801616,14177156116,14177156116,0,40000000000,40000000000,0,121198882365,43678713552,3192686968,0,0,74327481845,0,20898934585,20898934585,0,20331828550,188295202,11647201185,0,8496332163,1002210040756,0,0,0,0,0,235385512379,47994345921,56459152376,-8464806455,0,0,0,1500062213,1557922812,-57860599,185891104245,0,0,0,742290737000,135690000000,52805212000,553795525000,0,24533791377,23752330450,0,781460927,0,1218816842372,541909562373,410989954451,40693090909,18322264237,47068857761,2244794025,1673343617,141510747456,0,0,159476856446,0,130919607922,0,0,1449698831,129469909091,0,0,0,673604212507,672914053234,585000000000,0,0,-50000,0,0,0,0,0,87914103234,690159273,690159273,0,3303067492,1218816842372
2009,0,992650671707,449394384803,428234384803,21160000000,0,0,0,252945146134,18675116660,50268504183,0,0,184001525291,0,253245952781,253245952781,0,37065187989,529427063,30339133762,0,6196627164,1025392383391,0,0,0,0,0,321695790753,45195661722,57517333598,-12321671876,0,0,0,1270461437,1557922812,-287461375,275229667594,0,0,0,662700525000,162360000000,0,500340525000,0,40996067638,40287137084,0,708930554,0,2018043055098,1258086304941,623429678632,41969000000,348497604344,4974410929,12341673680,528802091,214614910942,0,0,249364130,0,634656626309,0,0,157160300823,476767543545,0,0,0,744951927176,744951927176,672749980000,0,0,-3100000,0,0,0,0,0,72205047176,0,0,0,15004822981,2018043055098
2010,0,750394666351,6436158974,6436158974,0,39592291667,39592291667,0,510250978944,25133304873,84926420094,0,0,400191253977,0,20229663996,20229663996,0,173885572770,5758049859,11196673545,5832237569,151098611797,1585475171080,0,0,0,0,0,717996584459,40797023733,55811425041,-15014401308,0,0,0,2440611,17572610,-15131999,677197120115,13141843980,13343642087,-201798107,787862025000,5000000000,0,782862025000,0,12993926989,12944728739,0,49198250,53480790652,2335869837431,1487430511890,629616307226,299184817715,26184161256,20419506660,4379171357,269484622,243230285772,0,0,36143115157,0,857814204664,0,0,157027092698,700179875674,0,0,0,775530189324,775530189324,740019140000,0,0,-3100000,0,0,0,0,0,35514149324,0,0,0,72909136217,2335869837431
2011,0,467424867719,54437201674,54437201674,0,8918291667,8918291667,0,385037006432,16439350545,52379068223,0,0,318612127706,-2393540042,1976750161,1976750161,0,17055617785,261595716,8471126521,5832122510,2490773038,1995606696113,0,0,0,0,0,388489901831,40027005836,58750656754,-18723650918,0,0,0,77657456,97907910,-20250454,348385238539,11931055340,13343642087,-1412586747,1575357895684,0,765309120684,810048775000,0,19827843258,19379225008,0,448618250,0,2463031563832,1812109675648,1084993218631,498895175178,2619615966,42558637687,2704573118,0,282733818076,0,0,255641235559,0,727116457017,0,0,157027092698,569056000000,0,0,0,659737869986,659737869986,740019140000,0,0,-3100000,0,0,0,0,0,-80278170014,0,0,0,-8815981802,2463031563832
2012,0,485326333034,12574434556,7874434556,4700000000,0,0,0,451661376020,109428397462,29702161601,0,0,314924356999,-2393540042,696828767,696828767,0,20393693691,334189605,7091178007,9158354720,3809971359,1546493613958,0,0,0,0,0,376928079994,48039723988,74021910206,-25982186218,0,0,0,61016576,97907910,-36891334,328827339430,11179935314,13316855251,-2136919937,1148622774395,0,587112001927,583559501331,-22048728863,9762824255,9193020005,0,569804250,0,2031819946992,1625339564285,987236078490,216290111056,80128195177,53599885240,8415925938,256230544,347113690543,0,0,282666961616,0,638103485795,0,0,62518638680,555532000000,19416893803,0,0,404379307145,404379307145,740019140000,0,0,-3100000,0,0,0,0,0,-335636732855,0,0,0,2101075562,2031819946992
2013,0,526874971301,13611580078,13611580078,0,0,0,0,492000757817,118199056721,30268114348,0,0,346418544102,-2884957354,8274877465,8274877465,0,12987755941,51826073,2249614759,3103505533,7582809576,1312775957011,0,0,0,0,0,341197873413,39328350972,71019412213,-31691061241,0,0,0,44375696,97907910,-53532214,301825146745,10193664574,13316855251,-3123190677,953424309672,0,19373434490,957765405776,-23714530594,7960109352,7140167102,0,819942250,0,1839650928312,1429339140990,802627831771,206478490441,37746535147,15847884487,5806784498,141798783,425276658489,0,0,113202968096,0,626711309219,0,0,62097938600,538285402545,25658158312,0,0,409120838124,409120838124,740019140000,0,0,-3100000,0,0,0,0,0,-330895201876,0,0,0,1190949198,1839650928312
2014,0,1006436175961,39088863399,30288863399,8800000000,0,0,0,886263785703,350375362709,32412969717,0,0,528879035323,-25403582046,77457654293,77457654293,0,3625872566,1939326483,336418016,1350128067,0,826481688827,429294250,0,0,429294250,0,31751067854,31751067854,48447144777,-16696076923,0,0,0,0,0,0,0,22523857016,27571397190,-5047540174,708384809816,0,0,726929895776,-18545085960,13325420272,13325420272,0,0,0,1832917864788,1395756164753,351386003485,71073410576,45599520372,45116701170,2563339184,23565109,147368989279,0,0,40775010905,0,1044370161268,0,0,183296110778,665689222469,27337259004,0,0,437161700035,437161700035,740019140000,0,0,-3100000,0,0,0,0,0,-302854339965,0,0,0,0,1832917864788
