date,open,high,low,close,volume,unadjusted,putthrough
2009-12-16,7.65,8.75,5.47,5.65,209800,15.50,57500
2009-12-17,5.83,6.01,5.65,5.65,118300,15.50,0
2009-12-18,5.61,5.76,5.47,5.47,138900,15.00,0
2009-12-21,5.83,6.02,5.69,6.01,78700,16.50,0
2009-12-22,6.01,6.05,5.43,5.43,30600,14.90,0
2009-12-23,5.72,5.72,5.25,5.25,52100,14.40,0
2009-12-24,5.32,5.69,5.21,5.61,121600,15.40,0
2009-12-25,5.83,5.87,5.79,5.87,67300,16.10,0
2009-12-28,6.20,6.20,5.72,6.01,94200,16.50,0
2009-12-29,5.94,5.94,5.61,5.61,74000,15.40,20000
2009-12-30,5.90,6.16,5.68,6.16,160300,16.90,17100
2009-12-31,6.45,6.45,6.45,6.45,5000,17.70,0
2010-01-04,6.89,6.89,6.89,6.89,24000,18.90,13000
2010-01-05,7.36,7.36,7.36,7.36,58300,20.20,0
2010-01-06,7.87,7.87,7.87,7.87,29500,21.60,0
2010-01-07,8.42,8.42,8.02,8.42,1217700,23.10,5500
2010-01-08,9.00,9.00,8.57,9.00,910900,24.70,0
2010-01-11,9.29,9.29,8.34,8.35,272100,22.90,0
2010-01-12,8.50,8.50,7.91,7.91,239300,21.70,50000
2010-01-13,7.40,8.38,7.40,7.84,557700,21.50,0
2010-01-14,7.91,8.06,7.66,8.06,247400,22.10,0
2010-01-15,8.50,8.50,7.84,7.91,128400,21.70,0
2010-01-18,7.95,7.95,7.51,7.51,141900,20.60,0
2010-01-19,7.47,7.73,7.22,7.36,208400,20.20,0
2010-01-20,7.83,7.83,7.00,7.11,128400,19.50,0
2010-01-21,7.73,7.73,6.82,6.89,186300,18.90,0
2010-01-22,6.63,6.96,6.56,6.56,130500,18.00,0
2010-01-25,7.07,7.11,6.56,7.11,156900,19.50,0
2010-01-26,7.44,7.47,7.44,7.47,73300,20.50,22000
2010-01-27,7.98,7.98,6.96,7.47,116200,20.50,0
2010-01-28,7.65,7.73,6.85,6.89,124300,18.90,0
2010-01-29,7.00,7.07,6.82,6.85,34400,18.80,0
2010-02-01,7.11,7.29,6.78,6.96,87500,19.10,0
2010-02-02,7.03,7.22,6.63,6.78,54700,18.60,0
2010-02-03,6.82,6.89,6.56,6.78,22600,18.60,0
2010-02-04,6.74,7.00,6.74,6.93,57900,19.00,0
2010-02-05,6.57,6.82,6.53,6.60,65800,18.10,0
2010-02-08,6.56,7.04,6.53,7.04,163000,19.30,0
2010-02-09,6.75,7.11,6.64,6.85,56000,18.80,0
2010-02-10,6.92,6.96,6.85,6.85,38400,18.80,0
2010-02-11,6.85,6.89,6.63,6.67,59800,18.30,5000
2010-02-12,7.03,7.03,6.74,6.85,51700,18.80,0
2010-02-22,6.85,6.85,6.81,6.85,25400,18.80,0
2010-02-23,6.89,6.89,6.56,6.67,83100,18.30,5000
2010-02-24,6.71,6.89,6.56,6.74,65300,18.50,0
2010-02-25,6.56,7.10,6.56,7.11,240500,19.50,19000
2010-02-26,7.51,7.51,7.04,7.22,209100,19.80,0
2010-03-01,7.29,7.66,7.15,7.55,333300,20.70,0
2010-03-02,7.51,7.84,7.29,7.73,262600,21.20,0
2010-03-03,7.91,8.09,7.55,8.09,241300,22.20,0
2010-03-04,8.02,8.31,8.02,8.27,680700,22.70,210000
2010-03-05,8.01,8.71,8.01,8.68,280000,23.80,0
2010-03-08,8.86,9.19,8.79,9.19,530100,25.20,0
2010-03-09,8.61,9.77,8.61,9.77,1131700,26.80,5000
2010-03-10,10.32,10.32,9.30,10.32,661300,28.30,0
2010-03-11,10.98,10.98,10.76,10.97,333700,30.10,5000
2010-03-12,11.74,11.74,11.74,11.74,430000,32.20,0
2010-03-15,12.54,12.54,12.07,12.54,851100,34.40,0
2010-03-16,13.12,13.38,11.85,12.76,1293200,35.00,20000
2010-03-17,12.76,13.09,12.18,12.18,711200,33.40,0
2010-03-18,12.36,12.40,11.56,11.67,806800,32.00,0
2010-03-19,10.94,12.55,10.94,12.54,842200,34.40,0
2010-03-22,12.94,13.41,12.94,13.41,777100,36.80,0
2010-03-23,14.18,14.28,12.83,14.03,587900,38.50,13000
2010-03-24,14.61,14.61,13.67,13.74,790000,37.70,0
2010-03-25,13.48,13.67,13.34,13.34,859900,36.60,0
2010-03-26,13.49,14.21,12.57,13.12,635500,36.00,0
2010-03-29,13.67,14.03,13.12,14.03,837800,38.50,5000
2010-03-30,14.47,14.65,13.67,13.85,402100,38.00,0
2010-03-31,13.92,13.96,13.12,13.12,640400,36.00,45000
2010-04-01,12.86,13.78,12.76,13.38,437000,36.70,0
2010-04-02,13.82,14.25,13.31,14.25,1188500,39.10,50000
2010-04-05,14.69,14.91,14.58,14.91,389900,40.90,0
2010-04-06,15.93,15.93,14.95,15.31,1000800,42.00,10000
2010-04-07,15.31,16.40,15.31,16.04,705100,44.00,5000
2010-04-08,16.11,16.77,15.71,16.19,608300,44.40,0
2010-04-09,16.77,16.77,15.50,15.67,577300,43.00,0
2010-04-12,15.96,16.76,15.85,16.40,642800,45.00,5000
2010-04-13,16.58,17.31,16.58,17.32,871000,47.50,0
2010-04-14,17.06,18.23,17.06,18.23,670300,50.00,7500
2010-04-15,19.21,19.25,18.92,19.25,436700,52.80,0
2010-04-16,20.53,20.56,20.42,20.56,290500,56.40,0
2010-04-19,21.98,21.98,21.43,21.98,413600,60.30,0
2010-04-20,23.51,23.51,23.33,23.51,174200,64.50,10000
2010-04-21,25.15,25.15,23.51,25.15,1154400,69.00,0
2010-04-22,25.59,25.88,23.25,23.26,998100,63.80,7000
2010-04-26,23.26,23.33,22.02,22.02,543100,60.40,0
2010-04-27,20.96,23.51,20.78,22.78,639300,62.50,0
2010-04-28,23.33,24.27,22.71,24.28,824100,66.60,0
2010-04-29,25.08,25.56,24.79,25.55,1134100,70.10,30000
2010-05-04,26.97,26.97,24.71,24.97,556500,68.50,0
2010-05-05,24.79,24.79,23.48,24.42,857900,67.00,0
