Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,50067235.716,50067235.716,10000,0,10000,-1999.26209453205,0,0,0,0,0,10.9214081897981,13.7310732366024,13.9764403250953,0.0960942979614609,0.082802234788495,0.0960942979614609,0.082802234788495,0.0644335332851033,0.055520885885083,0.160527831246564,0.138323120673578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,2.45,-12.2545213391516,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,57940965.716,57940965.716,10671.624965016,0,10671.624965016,-1992.58207961002,671.62496501597,671.62496501597,672.393720739137,0,0,3.5350460396293,6.02903674644115,6.16178240707695,0.207047169765187,0.156738175094972,0.207047169765187,0.156738175094972,0.113927568135979,0.0862450771140359,0.320974737901167,0.242983252209007,0.0695526663910781,0.0600937037390069,0.0556783899394861,0,0,0,0,0,0,0,327013437.579832,0,0,0,0,0,0,0,0,0,0,0,0,6.65035424584747,68.3255984511994,36.4786916451467,36.4786916451467,36.4369851239361,2.29580781561539,0,2.29580781561539,-12.2956039054587,0,39.2297875978426,39.7091114149202,0,0,0,0,0,0,0,0.405729057339159,0.234987806675338,0.15726312602243
2009,0,68700000,68700000,10316.4465675983,0,10336.006983246,770.520771906841,158.340379082969,158.340379082969,158.340379082969,0,0,2.84539588800154,3.95062012314166,4.15832409254515,0.50950473911453,0.306205542044902,0.547152414680669,0.328831292147824,0.15442575578101,0.0928078163449397,0.66393049489554,0.399013358389841,0.016377475244405,0.0147543755508082,0.0108871259028721,0,0,0,0,0,0,0,91411630.6134454,0,0,0,0,0,0,0,0,0,0,0,0,-47.758185098159,8.20249772928778,154.729956703982,154.729956703982,154.729956703982,2.37484872717213,0,2.3703544356842,31.7966768622847,0,130.503000677634,136.744752732052,0,0,-0.643186760105292,-0.655312923661823,-0.655312923661823,-0.720465216078071,-0.764242862712519,0.446551554007224,0.148400168022151,0.185689592001898
2010,0,77011344,77011344,10317.0847101565,856.162112870021,10281.7670089487,-330.688091549214,316.52784110611,316.52784110611,320.488446361227,0,0,0.834730362986229,1.46416865661944,1.58449890660152,0.590567295546057,0.326817119920094,0.666028016782349,0.368576722538682,0.21645950797773,0.119787657579635,0.807026803523787,0.446604777499729,0.03240192923356,0.0400394812877705,0.0186272110233662,1.07688476848477,338.940628265707,162.546645077449,2.24550928028128,1.07951531048462,338.114704307568,554068865.495798,204842306.361345,0.0122448979591837,1.05509280368703,0.947783926215294,0.50644533832617,1.12013922397507,0.709172995533729,0.442719747388382,0.369705498932962,0.0349453923620417,0.0503839165961223,0.0876425406900299,-0.0730142484554196,-3.75481852286568,29.6707821172919,77.402353974249,77.402353974249,76.4458135017626,2.37470183567277,28.6160758946355,2.38285889756853,-74.0879415561109,34.9017663018015,31.1584181276544,49.2147424134984,0,0,4.25478534449695,2.48598358128193,1.17621621272208,1.24087793847116,0.999034251018507,0.215154728975902,0.118928067705838,0.120980262008734
2011,0,85311344,85311344,10740.679811257,1822.05721713867,10708.5429675683,1770.09769690183,739.543915800928,739.543915800928,739.418004776129,740,0,0.533920248702866,1.03188123340875,1.17066017062797,0.819793900504374,0.386012979014163,0.897193069276837,0.422457606978212,0.303953084889856,0.143121137772178,1.12374698539423,0.529134116786341,0.0737552223380923,0.0595769968377346,0.0373130878799794,3.50857498269712,104.030839243862,181.649787393127,2.0093610085547,0.984908842545836,370.592672370096,1306236554.94958,530180549.613445,0.0196850393700787,1.47908783160186,0.676092371686269,0.579567207339817,0.876779159982062,0.561734240661831,0.41892591686143,0.405884024302099,0.0717345361078218,0.0919304176707565,0.181715016906397,-0.0130418925593307,-15.9626733167249,28.5440289711478,34.3454924816625,34.3454924816625,34.351340968077,2.36484100134695,13.9402867050947,2.37193800098912,14.349490451548,18.297003397273,20.8684287131635,32.5723484039634,1.35753466093194,1.69792152527064,0.845339592970548,0.867397589774076,1.23082971832539,1.58823755224763,1.33642612042145,0.355392367723076,0.153259006186426,0.10777632967943
2012,0,93710200,93710200,11160.3019082555,1890.51118412937,11131.0986782229,1587.39928905285,974.405304065086,974.405304065086,958.631604779949,1033,0,0.470244843082006,0.968291333890926,1.09021760874214,1.04187716989707,0.430254622748634,1.13401797674148,0.468305181138846,0.379659089820844,0.156784391849276,1.42153625971791,0.58703901459791,0.0930737910757844,0.0593752954001729,0.0407776437144183,5.44198786449021,67.0710793718744,122.558372773945,2.9781727003934,0.72679259766866,502.206545816254,1488741018.21008,767325343.907563,0.0275590551181102,1.39200757723584,0.718386894118593,0.625477006706972,0.914258810416991,0.637279210391947,0.537657837644742,0.515418957711073,0.0744295741783216,0.0791155294238845,0.180578905147603,-0.0222388799336692,-13.6562731957626,24.4584966883375,26.0671815865889,26.0671815865889,26.4961011856379,2.27592409316555,13.4355195638249,2.28189514209349,16.0010151038655,19.0976296097355,20.8886470571994,29.9674448786582,0.139717773606136,0.229999303787258,0.188437252465679,0.292993003199598,0.46273641476578,0.447290634232093,0.317575986018088,0.301404952577789,0.141364220222812,0.0984494629459829
2013,0,93710200,93710200,11533.4566220646,2071.22672045306,11504.4324215294,2101.90933547255,1112.13092597177,1112.13092597177,1103.54916856169,1112,0,0.0461323950708102,0.413837710445444,0.427637824964607,1.16047730414209,0.428574545155405,1.39576080293798,0.515466824839897,0.547283381274475,0.202116599233466,1.70776068541657,0.630691144388871,0.0980120524756537,0.051636986490252,0.0381815304012542,5.36334384964849,68.0545589155023,81.2158593951754,4.4941961178297,0.725121181859797,503.364139858451,1631051010.2437,875781609.235294,0.031496062992126,1.39016365746472,0.719339765955133,0.630170946819992,0.845422762292996,0.594667032309311,0.537757799192071,0.536943114430518,0.081544359072955,0.0711090791093382,0.182537125147056,-0.000814684761553109,0.147881280526586,10.2763176819412,22.8390375690755,22.8390375690755,23.0166454958278,2.20228859676008,12.263263962935,2.20784468710221,12.0842510051888,19.9145433651288,23.5557217682614,33.4885613009239,0.0955908316442526,0.103812776970727,0.0131019976817184,0.0223332847755651,0.0957945243036038,0.141343259660138,0.141343259660138,0.155587525761624,0.0334358977809679,0
2014,0,93710200,93710200,13037.8364239965,6364.76894240968,13008.4920875529,4478.98962667885,2348.86503897121,2348.86503897121,2348.68339375276,2349,0,0.173773225955607,0.636745699532412,0.658442114988632,1.09975319257745,0.419151603171466,1.22962291226623,0.468649164604687,0.524006765051923,0.199715970025465,1.62375995762937,0.618867573196931,0.19118774372745,0.144140313140296,0.071789029934712,11.4437399030487,31.89516740963,155.954378569114,2.34042803638401,2.43985477368625,149.599067918514,5012132525.60504,1849685819.95798,0.0590551181102362,1.56591002598081,0.63860629500322,0.629235584022964,0.84816021688525,0.592140503000139,0.379652466384769,0.369041682459244,0.250581454425578,0.194528242599371,0.518065445760493,-0.0106107839255256,6.42861777704453,8.93876901296702,10.8137332620545,10.8137332620545,10.8145695871828,1.94817599899095,3.99071831669409,1.95257066146074,5.67092181877501,6.32940448789802,7.46251045721276,10.6890247429951,2.07294651983703,2.06838534502182,2.08289663229871,2.05989065995905,1.16947430065617,1.11204003424218,1.11204003424218,0.0953675297821688,0.130436160747671,0
2015,0,93710200,93710200,13199.9456367076,6346.00585580865,13170.7080121908,1626.31201252372,1756.06381426995,1756.06381426995,1790.91708434888,1686,0,0.499207710717741,0.875563387963821,0.961336331921714,1.09932132511388,0.466816118345304,1.24819807365899,0.530035182944548,0.255613052496255,0.108543598890284,1.35493437761013,0.575359717235589,0.133857641641134,0.116737834815961,0.0537901318820106,6.85223969304635,53.2672551385501,103.335536758328,3.53218274613148,4.76002643057639,76.6802464909428,4997356957.55462,1382866313.0084,0.062992125984252,1.09753988391872,0.911128620155053,0.566974647388171,0.806590912307659,0.506677478209482,0.284998333314833,0.276719538899036,0.249842750228687,0.194385015586617,0.483730358086398,-0.00827879441579742,6.3518910814937,5.98584603493102,14.4641668449615,14.4641668449615,14.1826778146095,1.92425034913518,4.00251757989646,1.92852198807307,15.6181592489034,6.33339799505749,7.85205721812265,12.4998608926505,-0.00294796036915179,-0.101603210385625,-0.0518146238721053,-0.146851447377413,-0.251530821783313,-0.252377729186562,-0.252377729186562,-0.0912983336996765,0.0124337510794916,0
2016,0,93710200,93710200,12562.9677182206,5473.96851258454,12530.8039061169,2577.14118085331,1046.37953513065,1046.37953513065,1042.0562443576,1005,0,0.179473264819246,0.653151465314534,0.739095042305047,1.01902080765595,0.453442008294915,1.15506001879879,0.513976486731486,0.228280476774646,0.101579827482938,1.2473012844306,0.555021835777853,0.0812314601780456,0.0875516286672751,0.0352804689699301,4.51365990892879,80.8656406030874,32.2767165516792,11.3084612995126,10.5608877232747,34.5614885380887,4310644404.26891,824003659.773109,0.0590551181102362,0.697586356753765,1.43351427435239,0.46533597825964,0.776361426961898,0.424452070304744,0.199136078961209,0.191155563413462,0.215510571361596,0.184564175585201,0.424949495204308,-0.00798051554774677,16.0206624699712,-10.218796876334,24.2741750457005,24.2741750457005,24.3748839254433,2.02181527245041,4.64014360725786,2.02700482668961,9.85588224219438,7.1970223805192,9.2701957240238,16.9560308077941,-0.137415149471681,-0.292046360270967,-0.169743180572254,-0.277398460823474,-0.397288528295371,-0.404133536248705,-0.404133536248705,-0.0917558869007555,-0.048256101655118,0
2017,0,93710200,93710200,12987.5167822179,6583.74148859996,12956.4890968539,4016.6742051559,1976.86804075757,1976.86804075757,1983.06527365751,1878,0,0.54770875157012,0.975795511425923,1.00893595454985,0.836041496003543,0.411437445252609,0.993926529350527,0.489136716251032,0.195959979920072,0.0964369279461283,1.03200147592361,0.507874373198737,0.154742117764823,0.125420752175919,0.0723816925460449,5.53503139236051,65.9436187667835,40.6797612527402,8.9725207021812,29.6661052228811,12.3036036330944,5184569173.4874,1556745373.72269,0.0669291338582677,1.16286355338681,0.859946119291063,0.510294853129478,0.772239081841435,0.468731918051222,0.31064492640919,0.30026513710792,0.259202420811022,0.241059262634376,0.515351596443265,-0.0103797893012694,13.0137480333671,-14.3634699004537,12.8486067235253,12.8486067235253,12.8084538302428,1.95572413309808,3.85798865948507,1.96040762355657,6.32363958406086,5.60694863367668,7.26063827319733,11.9619518486982,0.202736455912027,0.318939974120477,0.19635013301132,0.328208778637856,0.876224438009661,0.889245703291344,0.889245703291344,-0.065247582567766,0.0337936921848139,0
2018,0,93710200,93710200,13170.8697177362,6608.5351757973,13140.871447057,3842.59733586098,2001.00965777471,2001.00965777471,1999.45694768552,1884,0,0.467612690034343,0.817367420989037,0.855141739081085,0.631446028885264,0.337052798110557,0.83412542670042,0.445238858403881,0.241987547174657,0.129167935424531,0.873433576059921,0.466220733535089,0.152991825988826,0.135220945894088,0.0783704640351344,6.39580010761232,57.0687003750437,214.018571144672,1.70545947507175,178.356106312395,2.04646764019783,5204093722.94958,1575756430.52101,0.078740157480315,1.00050482888736,0.999495425836257,0.500595465238856,0.762204296278001,0.46379384394338,0.318832616841183,0.302791708683505,0.26017855022824,0.258826321156143,0.505270856504004,-0.0160409081576778,20.0308226570959,-16.2921236644214,12.6935919081205,12.6935919081205,12.7034493187772,1.92849831061618,3.84351438319091,1.93290072902194,6.61011232245306,5.28041200692291,6.92781716491004,11.3852567813891,0.003765896221817,-0.0153131023593486,-0.00927744198952463,-0.00680874184224856,0.0302222253801796,0.0122120528631202,0.0122120528631202,-0.0650193724790866,0.014117628380605,0
2019,0,93710200,93710200,13374.7685344605,6861.86787222736,13343.9484712657,4134.58731906452,2309.54366648454,2309.54366648454,2307.86360813177,2219,0,0.35003481194277,0.756162206050615,0.815485990263776,0.452548760411823,0.272017463358272,0.62181961196573,0.373762582753334,0.211126633163093,0.126903742147333,0.663675393574917,0.398921205505605,0.17400551040007,0.15913648734955,0.0984333862403984,6.43050866745032,56.7606730471481,114.032069083087,3.20085396095069,149.691774731663,2.43834372766505,5403588325.04202,1818720999.11765,0,0,0,0.504909007117231,0.763968789235621,0.474439328491631,0.354381685557844,0.336576528357849,0.270152278434148,0.292454695877497,0.516986467383924,-0.0178051571999946,28.717015846207,-19.2039732985343,10.9978435864183,10.9978435864183,11.0058497003475,1.89909828604182,3.7016160137393,1.90348456865637,6.14329751433256,4.76958697562126,6.24316993419772,10.0531020284196,0.0383341678134435,0.0472813082244621,0.0407378978051389,0.0621671067015412,0.154105926199265,0.1541891652102,0.1541891652102,-0.0982168529882066,0.0154810442358071,0
