date,open,high,low,close,volume,unadjusted,putthrough
2010-09-10,6.4355,9.6533,6.4355,9.6533,200,15.0000,0
2010-09-13,8.0444,8.0444,8.0444,8.0444,5000,12.5000,0
2010-09-16,8.0444,8.0444,8.0444,8.0444,15000,12.5000,0
2010-09-30,7.2721,7.2721,7.2721,7.2721,9000,11.3000,0
2010-10-07,7.2721,7.2721,7.2721,7.2721,20000,11.3000,0
2010-10-08,6.5642,6.5642,6.5642,6.5642,100,10.2000,0
2010-10-11,5.9207,5.9207,5.9207,5.9207,100,9.2000,0
2010-10-12,5.3415,5.3415,5.3415,5.3415,100,8.3000,0
2010-10-13,4.8267,4.8267,4.8267,4.8266,100,7.5000,0
2010-10-14,4.3761,4.3761,4.3761,4.3761,2700,6.8000,0
2010-10-15,3.9900,4.0543,3.9900,3.9900,47400,6.2000,0
2010-10-18,3.6682,3.6682,3.6039,3.6039,28300,5.6000,0
2010-10-19,3.2821,3.5395,3.2821,3.5395,76300,5.5000,0
2010-10-20,3.6039,3.6039,3.6039,3.6039,2900,5.6000,0
2010-10-21,3.9257,3.9257,3.7970,3.7969,9600,5.9000,0
2010-10-22,4.1830,4.3117,3.7325,3.8613,8800,6.0000,0
2010-10-25,3.6682,3.6682,3.6682,3.6682,9900,5.7000,0
2010-10-26,3.9900,3.9900,3.3464,3.7326,13200,5.8000,0
2010-10-27,3.7326,3.7326,3.4752,3.6039,9000,5.6000,0
2010-10-28,3.9900,3.9900,3.6683,3.7326,23100,5.8000,0
2010-10-29,3.7326,3.7970,3.7326,3.7969,15000,5.9000,0
2010-11-01,3.7969,3.7969,3.7325,3.7969,4900,5.9000,0
2010-11-02,3.6682,3.6682,3.6682,3.6682,6000,5.7000,0
2010-11-03,3.7969,3.7969,3.7326,3.7326,4800,5.8000,0
2010-11-05,3.7326,3.7970,3.7326,3.7969,7000,5.9000,0
2010-11-09,3.6682,3.7325,3.6682,3.7326,400,5.8000,0
2010-11-10,3.7970,3.7970,3.7326,3.7326,3800,5.8000,0
2010-11-11,3.6682,3.6682,3.6039,3.6682,2400,5.7000,0
2010-11-12,3.6682,3.6682,3.5395,3.6039,3300,5.6000,0
2010-11-15,3.5395,3.5395,3.4108,3.5395,6500,5.5000,0
2010-11-16,3.4751,3.4751,3.4108,3.4108,1600,5.3000,0
2010-11-17,3.2177,3.2821,3.2177,3.2178,51000,5.0000,0
2010-11-18,3.2178,3.5396,3.2178,3.5395,11500,5.5000,0
2010-11-19,3.4108,3.4108,3.4108,3.4108,43600,5.3000,0
2010-11-22,3.2821,3.2821,3.0890,3.0890,34100,4.8000,0
2010-11-23,3.4108,3.4108,3.4108,3.4108,100,5.3000,0
2010-11-24,3.2177,3.2177,3.2177,3.2178,800,5.0000,0
2010-11-25,3.5396,3.5396,3.5396,3.5395,100,5.5000,0
2010-11-26,3.5395,3.6682,3.5395,3.6682,3200,5.7000,0
2010-11-29,3.5395,3.8613,3.4751,3.7969,21100,5.9000,0
2010-11-30,3.9256,4.0543,3.7325,3.7969,5200,5.9000,0
2010-12-01,3.9900,4.1187,3.8613,3.8613,2900,6.0000,0
2010-12-02,4.3118,4.3118,3.6039,3.8613,20500,6.0000,0
2010-12-03,3.9257,4.0544,3.9257,3.9257,9000,6.1000,0
2010-12-06,4.1188,4.1188,3.7970,3.7969,4100,5.9000,0
2010-12-07,4.0543,4.0543,3.4751,3.6039,4200,5.6000,0
2010-12-08,3.5395,3.6683,3.2178,3.6682,24700,5.7000,0
2010-12-09,3.6038,3.6038,3.4751,3.5395,6200,5.5000,0
2010-12-10,3.8613,3.8613,3.6039,3.7326,9500,5.8000,0
2010-12-13,3.9257,3.9257,3.8613,3.9257,7700,6.1000,0
2010-12-14,3.7326,3.7970,3.6683,3.7969,6600,5.9000,0
2010-12-15,3.7325,3.7325,3.6038,3.6039,3300,5.6000,0
2010-12-16,3.6039,3.6039,3.5395,3.5395,9500,5.5000,0
2010-12-17,3.7969,3.7969,3.6039,3.6039,2087,5.6000,0
2010-12-20,3.5395,3.5395,3.4752,3.5395,21200,5.5000,0
2010-12-21,3.5395,3.6039,3.5395,3.5395,39200,5.5000,0
2010-12-22,3.6039,3.6039,3.4751,3.5395,40400,5.5000,0
2010-12-23,3.5395,3.7326,3.5395,3.6682,17000,5.7000,0
2010-12-24,3.6682,3.9900,3.6038,3.9900,12800,6.2000,0
2010-12-27,3.7326,3.7969,3.7326,3.7326,10200,5.8000,0
2010-12-28,3.9900,4.0544,3.8613,3.8613,11400,6.0000,0
2010-12-29,3.7969,3.7969,3.7326,3.7969,5400,5.9000,0
2010-12-30,3.7325,3.8613,3.6038,3.8613,15400,6.0000,0
2010-12-31,3.6682,3.6682,3.6682,3.6682,4800,5.7000,0
