Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2014,4,507928542457,0,507928542457,-419204133246,88724409211,695347792,-12695622658,-5219803192,0,-35071376691,41652757654,176289707,-6287893992,-6111604285,0,35541153369,-8854973296,-9894337,-8864867633,26676285736,0,26676285736,2311,0
2015,1,272082014498,0,272082014498,-234010161538,38071852960,453002908,-18425516365,-3138553048,0,-4102136972,15997202531,5980245,-474570201,-468589956,0,15528612575,-2405849055,1951798,-2403897257,13124715318,0,13124715318,1136,0
2015,2,273471009239,0,273471009239,-229418675363,44052333876,156792634,6918076461,-3450672107,0,-19183974014,33933247767,1123901744,-1126220188,-2318444,0,33930929323,-4113428577,-45587410,-4159015987,29771913336,0,29771913336,2428,0
2015,3,148766316531,0,148766316531,-128366463950,20399852581,1919591405,-8968262864,-7371137961,-65395242,-12876512681,409273199,1255745370,-1022134240,233611130,0,642884329,1761493879,2225646,1763719525,2406603854,1183207359,1223396495,106,0
2015,4,454694361873,0,454694361873,-341516396226,113177965647,289363679,-10674790386,-7550562139,-101590360,-15891192670,86799755910,2592547601,-4036188199,-1443640598,0,85356115312,-17206489011,2225647,-17204263364,68151851948,3574834581,64577017367,5131,0
2016,1,249837875004,0,249837875004,-215929265881,33908609123,753801811,-6836780287,-7242184984,0,-15193359330,12632271317,137595454,-654151179,-516555725,0,12115715592,-22318759,-1489891401,-1512210160,10603505432,1051661392,9551844040,827,0
2016,2,319189911097,0,319189911097,-298806526161,20383384936,1061528431,-8811119130,-7115178307,0,-23786191628,-11152397391,10384134934,-203778681,10180356253,0,-972041138,-1724774599,900178579,-824596020,-1796637158,749088179,-2545725337,-292,0
2016,3,106376812795,0,106376812795,-87070724828,19306087967,151691727,-11139105549,-9720663811,0,-17616827038,-9298152893,5584980329,-270981797,5313998532,0,-3984154361,1388210073,202398038,1590608111,-2393546250,1018595733,-3412141983,-583,0
2016,4,291507763007,0,291507763007,-221555607691,69952155316,657201896,-15181594461,-14191017314,0,-31390583863,24037178888,11941250678,-2978469710,8962780968,0,32999959856,-7883649450,2626126385,-5257523065,27742436791,2499957985,25242478806,2115,0
2017,1,138377651174,0,138377651174,-102889865517,35487785657,1392677732,-13189956498,-9272893342,0,-18146219852,5544287039,1548700202,-635973236,912726966,0,6457014005,-40857912,-780041373,-820899285,5636114720,-16237310,5652352030,489,0
2017,2,119652795754,0,119652795754,-117319929547,2332866207,4204039967,-11655078225,-10931335061,0,-2999255688,-8117427739,45289715795,-31097963621,14191752174,0,6074324435,-1259114183,-3030629846,-4289744029,1784580406,2340465782,-555885376,-77,0
2017,3,210295594646,0,210295594646,-174402512006,35893082640,720397970,-9195495886,-10316531639,0,-13723115289,13694869435,370107678,-710890037,-340782359,0,13354087076,-1639813561,0,-1639813561,11714273515,4651700189,7062573326,535,0
2017,4,235461563410,0,235461563410,-139635056127,95826507283,553531765,-11386983804,-11017684303,0,-25719245516,59273809728,4899842815,10894445604,15794288419,0,75068098147,-11207142764,1264943747,-9942199017,65125899130,3029268455,62096630675,4838,0
2018,1,60245217308,0,60245217308,-24028685738,36216531570,598846523,-11325264997,-10471092282,0,-12781364499,12708748597,407894299,-14899384,392994915,0,13101743512,-1408466727,0,-1408466727,11693276785,1784901192,9908375593,858,858
2018,2,157009830247,0,157009830247,-131210860459,25798969788,1002478895,-13270860794,-12930351559,0,-18145738773,-4615150884,6577031036,-1125869247,5451161789,0,836010905,-850468634,2588892721,1738424087,2574434992,3662957565,-1088522573,-148,-148
2018,3,154578621772,0,154578621772,-113695016183,40883605589,568826858,-12508767488,-11729968175,0,-14052310752,14891354207,273195960,-468573659,-195377699,0,14695976508,-3608137669,1456679561,-2151458108,12544518400,5375646884,7168871516,577,577
2018,4,246042333855,0,246042333855,-202424380336,43617953519,552883270,-15901651429,-14215605396,0,-15445452963,12823732397,8182548041,-225720656,7956827385,0,20780559782,-13321387351,10078713027,-3242674324,17537885458,3530452422,14007433036,1128,1128
2019,1,68745563788,0,68745563788,-35084328964,33661234824,265701124,-15378710642,-14370408227,0,-15158947074,3389278232,16363636,-156445088,-140081452,0,3249196780,-28391577,833472848,805081271,4054278051,1725845565,2328432486,171,171
2019,2,181223129164,0,181223129164,-129679470495,51543658669,171580305,-20968217249,-20796154407,0,-13073130089,17673891636,2012499543,-370131404,1642368139,0,19316259775,-10004436445,9782813554,-221622891,19094636884,2511463180,16583173704,987,987
2019,3,185992513584,0,185992513584,-129816734120,56175779464,24038987,-25146840018,-24069347540,0,-16437298857,14615679576,2024853811,-3512757525,-1487903714,0,13127775862,-942393913,-621140625,-1563534538,11564241324,3184528807,8379712517,525,525
2019,4,242048113143,0,242048113143,-154889350866,87158762277,238082810,-32146711693,-30087731671,0,-21192891401,34057241993,339948121,2450471409,2790419530,0,36847661523,-126742409,-1805397857,-1932140266,34915521257,2859409304,32056111953,1915,1915
2020,1,93037636188,0,93037636188,-52491302528,40546333660,425537345,-28630662440,-27795635464,0,-9816176730,2525031835,304500852,-117179572,187321280,0,2712353115,-107345494,-913387709,-1020733203,1691619912,-866914130,2558534042,140,140
