Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2010,3,470379126600,-419220490139,-3995988172,-7950061528,-1946359731,576817946822,-628536348825,0,-14452174973,-26242700,9090909,0,0,0,0,0,-17151791,0,0,176099330353,-157700579164,0,-7499520000,0,10899231189,-3570095575,26871612513,0,23301516938
2010,4,667171665036,-620215403972,-5168674486,-10785840142,-1920992291,855698407655,-915950819753,0,-31171657953,-26242700,9090909,0,0,0,0,0,-17151791,0,0,244280577980,-200121526991,0,-7499520000,0,36659530989,5470721245,26871542513,0,32342263758
2011,1,151712267283,-133389489056,-1419482729,-3353116329,-2281549417,129210638572,-132743474188,420339266,7735794136,0,136363636,0,0,0,0,7362400,143726036,0,0,29658746000,-56516375150,0,-6557492430,0,-33415121580,-25535601408,32342263758,0,6806662350
2011,2,110820966162,-5927088842,-1430949382,-13849852258,-2955211505,3043247644,34334912153,0,124036023972,-95647186441,404545455,0,0,0,10000000000,516333323,-84726307663,0,0,32949573420,-68908175000,0,0,0,-35958601580,3351114729,6806662350,0,10157777079
2011,3,227248980305,-245617390393,-1450935778,2136439366,-9949622,214760659234,-297646359911,0,-100578556799,95615367441,-404545455,0,0,0,8000000000,636775021,103847597007,0,0,59437335928,-56550905100,0,0,0,2886430828,6155471036,10157777079,0,16313248115
2011,4,127373812414,-77417544461,-1473654323,-10132020162,-7310274,203913118543,-188189900347,0,54066501390,-3642551907,1348284675,0,0,7000000000,0,544752022,5250484790,0,0,82724648350,-144577227700,0,0,0,-61852579350,-2535593170,16313248115,0,13777654945
2012,1,113238294997,-80094886284,-948776138,-7533367485,-3135260,142356384609,-140182195044,0,26832319395,-339222675,0,0,0,0,0,127898213,-211324462,0,0,67513860000,-101316668597,0,0,0,-33802808597,-7181813664,13777654945,0,6595841281
2012,2,98996320212,-37622809503,-894332599,-5954090393,-3052774,-124566027028,106090205513,0,36046213428,-190369740,0,0,0,0,0,62419926,-127949814,0,0,27247500000,-53900668146,0,0,0,-26653168146,9265095468,6595841281,-241529938,15619406811
2012,3,225061326229,-131561543974,-792926250,-10637728974,-8587638,350731824372,-363827976226,0,68964387539,0,0,0,0,0,0,92820428,92820428,0,0,2916000000,-79087000000,0,-3825400000,0,-79996400000,-10939192033,15619406811,241529938,4921744716
2012,4,108627260076,-52548165583,-1047705964,-9808229322,-10213040,93877029600,-110115599055,0,28974376712,0,0,0,0,0,0,71134160,71134160,0,0,18824000000,-44633259000,0,-100000000,0,-25909259000,3136251872,4921744716,-9288871,8048707717
2013,1,123801128112,-86061604340,-991242130,-7447617923,-15889420,65294747287,-62327687779,0,32251833807,-323714319,0,0,0,0,0,75912400,-247801919,0,0,38690000000,-69326911940,0,-50000000,0,-30686911940,1317119948,8048707717,0,9365827665
2013,2,93974744099,-120153198487,-791456904,-9975188824,-415047286,-12929667591,17303818098,0,-32985996895,282865228,0,0,0,0,0,57910165,340775393,0,0,85854697321,-55241382495,0,0,0,30613314826,-2031906676,9365827665,0,7333920989
2013,3,276983856048,-129580192463,-578912643,-6274399951,-777066369,222570892615,-244460650689,0,117883526548,-152245052,0,0,0,0,0,29860829,-122384223,0,0,-40454697321,-80968360083,0,0,0,-121423057404,-3661915079,7333920989,0,3672005910
2013,4,261034461137,-152448290527,-997985260,-9559890700,-1602140637,142544863465,-148331136847,0,90639880631,-302955667,0,0,0,0,0,18329657,-284626010,0,0,59165290865,-148204566153,0,-728524910,0,-89767800198,587454423,3672005910,373542,4259833875
2014,1,79693313251,-50178831451,-991529603,-5614672869,-11878223,74953076391,-77234194886,0,20615282610,0,0,0,0,0,0,23054818,23054818,0,0,16420000000,-25919654832,0,-769444910,0,-10269099742,10369237686,4262136191,0,14631373877
2014,2,167737810734,-174783567725,-1010965826,-7452685759,-513469877,-33645642551,28262260215,0,-21406260789,0,0,0,0,0,0,46095529,46095529,0,0,101996725000,-88525000000,0,0,0,13471725000,-7888440260,14631373877,205762,6743139379
2014,3,424203650643,-297353679685,-1061021668,-8754582138,-324587152,271490386052,-273672631075,0,114527534977,0,0,0,0,0,0,5463433,5463433,0,0,-44713600000,-71852836949,0,0,0,-116566436949,-2033438539,6743139379,-205762,4709495078
2014,4,294396964834,-229405960576,-1230894544,-9549420216,-313287562,141351950360,-159529974566,0,35719377730,-39363636,0,0,0,0,0,4757386,-34606250,0,0,28925710000,-65210527990,0,0,0,-36284817990,-600046510,4709495078,414019,4109862587
2015,1,425451108596,-327692394763,-1195949266,-7719018549,-1528747880,111223238189,-120072853465,37461588,78465382862,0,0,0,0,0,0,12108872,12108872,0,0,5825000000,-69114955771,0,-9942658920,0,-73232614691,5244877043,4109862587,0,9354739630
2015,2,153321302315,-220607599404,-1317393206,-6650090150,-765050995,24415360783,-33804682411,0,-85408153068,0,0,0,0,0,0,1224328,1224328,0,0,155610302000,-76750358996,0,1200360000,0,80060303004,-5346625736,9354739630,0,4008113894
2015,3,179174953440,-18024276665,-1257152929,-9585197324,-426953579,274321662549,-292584254787,0,131618780705,0,0,0,0,0,0,24057867,24057867,0,0,-108954832000,-22181849937,0,-1200360000,0,-132337041937,-694203365,4008113894,0,3313910529
