date,open,high,low,close,volume,unadjusted,putthrough
2010-09-08,6.0490,6.0490,6.0490,6.0490,2500,15.0000,0
2010-09-09,6.0490,6.0490,6.0490,6.0490,9900,15.0000,0
2010-09-10,6.0490,6.0490,6.0490,6.0490,100,15.0000,0
2010-09-13,5.6457,5.6457,5.6457,5.6457,1000,14.0000,0
2010-09-14,6.0490,6.0490,5.4441,5.8473,6200,14.5000,0
2010-09-15,6.0489,6.0489,5.8473,5.8473,8000,14.5000,0
2010-09-16,6.0489,6.1296,6.0489,6.1296,33700,15.2000,0
2010-09-17,6.0489,6.1296,6.0489,6.0490,26900,15.0000,0
2010-09-20,6.0490,6.0490,6.0490,6.0490,34400,15.0000,0
2010-09-21,6.0893,6.1297,6.0893,6.1296,41400,15.2000,0
2010-09-22,6.0893,6.1296,6.0893,6.1296,6300,15.2000,0
2010-09-23,6.1296,6.1296,6.1296,6.1296,5400,15.2000,0
2010-09-24,6.1296,6.7345,6.1296,6.7345,5300,16.7000,0
2010-09-27,6.6538,6.6538,6.4925,6.4926,7100,16.1000,0
2010-09-28,6.4523,6.4523,6.4523,6.4522,6300,16.0000,0
2010-09-29,6.4119,6.4119,6.2506,6.2506,2800,15.5000,0
2010-09-30,6.2103,6.4522,6.2103,6.4522,20200,16.0000,0
2010-10-01,6.3715,6.3715,6.3715,6.3716,300,15.8000,0
2010-10-04,6.2909,6.2909,6.2909,6.2909,4000,15.6000,0
2010-10-05,6.0489,6.0489,6.0489,6.0490,26673,15.0000,0
2010-10-06,6.1297,6.1297,6.0490,6.0490,10300,15.0000,0
2010-10-07,6.0490,6.0893,6.0490,6.0893,11300,15.1000,0
2010-10-08,6.2506,6.2506,6.1296,6.1296,2100,15.2000,0
2010-10-11,6.2506,6.2506,6.1699,6.1700,1500,15.3000,0
2010-10-12,6.2103,6.2103,6.2103,6.2103,5100,15.4000,0
2010-10-13,6.0893,6.0893,6.0490,6.0490,9700,15.0000,0
2010-10-15,6.0490,6.0490,6.0490,6.0490,18679,15.0000,0
2010-10-20,6.1297,6.1297,6.1297,6.1296,25000,15.2000,0
2010-10-21,5.9683,5.9683,5.8473,5.8473,8700,14.5000,0
2010-10-22,6.0489,6.0489,5.9683,5.9683,11700,14.8000,0
2010-10-25,6.0490,6.0490,6.0490,6.0490,6800,15.0000,0
2010-10-27,5.6457,5.6457,5.6457,5.6457,2000,14.0000,0
2010-10-29,6.0490,6.0490,6.0490,6.0490,2200,15.0000,0
2010-11-08,5.6054,5.6054,5.6054,5.6054,6100,13.9000,0
2010-11-09,6.0490,6.0490,6.0490,6.0490,200,15.0000,0
2010-11-16,6.0490,6.0490,6.0490,6.0490,14640,15.0000,0
2010-11-19,6.0490,6.0490,6.0490,6.0490,5000,15.0000,0
2010-11-22,6.0490,6.0490,6.0490,6.0490,3500,15.0000,0
2010-11-23,5.8474,5.8474,5.8474,5.8473,10000,14.5000,0
2010-12-01,5.6457,5.6457,5.6457,5.6457,500,14.0000,0
2010-12-02,5.6457,5.7667,5.6457,5.6457,7900,14.0000,0
2010-12-03,5.6457,5.9683,5.6457,5.9683,11700,14.8000,0
2010-12-06,5.7263,5.7263,5.7263,5.7264,8000,14.2000,0
2010-12-07,5.8474,5.8474,5.8474,5.8473,100,14.5000,0
2010-12-08,5.7263,5.7263,5.7263,5.7264,10000,14.2000,0
2010-12-09,5.6457,5.7667,5.6457,5.7667,2200,14.3000,0
2010-12-10,5.7667,5.8474,5.7667,5.8070,1760,14.4000,0
2010-12-13,5.6457,5.7667,5.6457,5.7667,5400,14.3000,0
2010-12-14,5.6054,5.6054,5.6054,5.6054,5900,13.9000,0
2010-12-15,5.7264,5.7264,5.7264,5.7264,100,14.2000,0
2010-12-17,5.6457,5.6457,5.5651,5.6457,2600,14.0000,0
2010-12-21,5.5650,5.5650,5.5650,5.5651,900,13.8000,0
2010-12-22,5.6054,5.6054,5.6054,5.6054,700,13.9000,0
2010-12-24,5.6457,5.6861,5.6457,5.6860,3500,14.1000,0
