disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2017-11-13,stockAlert,listedUpcom,Ngày giao dịch đầu tiên trên UPCoM,2017-11-20,,,Giá tham chiếu 10.900 đ/cp,,,,
2018-03-05,investorRight,MEETING,Họp cổ đông,2018-03-23,,,ĐHĐCĐ thường niên năm 2018,,,,
2018-08-29,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-09-20,2018-10-10,2018-10-10,Trả cổ tức năm 2017 (700 đ/cp),700,7,,2017
2018-10-23,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-11-29,2018-12-27,2018-12-27,Trả cổ tức đợt 1/2018 (300 đ/cp),300,3,1,2018
2019-03-19,investorRight,MEETING,Họp cổ đông,2019-04-05,2019-04-25,2019-04-25,ĐHĐCĐ thường niên năm 2019,,,,
2019-09-23,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-10-11,2019-10-25,2019-10-25,Trả cổ tức đợt 2/2018 (500 đ/cp),500,5,2,2018
2019-09-23,investorRight,POLL,Lấy ý kiến cổ đông,2019-10-11,,,V/v thay đổi ngành nghề kinh doanh và sửa đổi điều lệ,,,,
2019-11-20,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-11-29,2019-12-27,2019-12-27,Trả cổ tức đợt 1/2019 (400 đ/cp),400,4,1,2019
2020-03-16,investorRight,MEETING,Họp cổ đông,2020-04-01,2020-04-28,2020-04-28,ĐHĐCĐ thường niên năm 2020,,,,
2020-09-22,investorRight,DIVIDEND,Cổ tức bằng tiền,2020-10-08,2020-10-28,2020-10-28,Trả cổ tức đợt 2/2019 (500 đ/cp),500,5,2,2019
