date,open,high,low,close,volume,unadjusted,putthrough
2010-09-09,14.0362,14.0362,14.0362,14.0362,100,33.0000,0
2010-09-10,14.4615,14.4615,14.4615,14.4615,100,34.0000,0
2010-10-15,14.0311,14.0311,14.0311,14.0310,100,32.6000,0
2010-10-21,14.0310,14.0310,14.0310,14.0310,42100,32.6000,0
2010-10-22,14.0310,14.0310,14.0310,14.0310,800,32.6000,0
2010-11-09,12.6550,12.6550,12.6550,12.6550,100,24.7000,0
2010-11-12,11.4254,11.4254,11.4254,11.4254,100,22.3000,0
2010-11-15,10.2982,10.2982,10.2982,10.2982,100,20.1000,0
2010-11-16,9.2735,9.2735,9.2735,9.2735,100,18.1000,0
2010-11-18,8.3513,8.3513,8.3513,8.3513,100,16.3000,0
2010-11-19,7.5315,7.5315,7.5315,7.5315,31700,14.7000,0
2010-11-22,6.8142,8.2488,6.8142,6.8142,38100,13.3000,0
2010-11-23,6.8142,6.8142,6.8142,6.8142,100,13.3000,0
2010-11-24,6.1482,6.1482,6.1482,6.1482,100,12.0000,0
2010-11-25,5.5334,6.4044,5.5334,6.4043,5400,12.5000,0
2010-11-26,5.6358,6.6605,5.6358,6.6605,20600,13.0000,0
2010-11-29,5.5333,6.5068,5.5333,6.4043,15000,12.5000,0
2010-11-30,6.4043,6.4043,5.8920,5.8920,16800,11.5000,0
2010-12-01,6.3531,6.3531,6.3531,6.3531,4000,12.4000,0
2010-12-02,6.4043,6.4043,6.1994,6.1994,15900,12.1000,0
2010-12-03,6.4043,7.0192,6.4043,7.0192,36300,13.7000,0
2010-12-06,7.3266,7.3266,6.6606,7.2753,13700,14.2000,0
2010-12-07,7.9926,7.9926,6.9167,7.5315,6600,14.7000,0
2010-12-08,7.8389,8.5562,7.8389,8.5050,18000,16.6000,0
2010-12-09,8.3513,8.3513,8.3513,8.3513,1000,16.3000,0
2010-12-10,8.3513,8.3513,8.3513,8.3513,420,16.3000,0
2010-12-13,7.5315,7.5315,7.5315,7.5315,11800,14.7000,0
2010-12-14,8.2488,8.2488,8.1976,8.1976,1900,16.0000,0
2010-12-15,8.1976,8.1976,8.1976,8.1976,1400,16.0000,0
2010-12-17,8.1976,8.1976,8.1976,8.1976,2000,16.0000,0
2010-12-21,8.1976,8.1976,8.1976,8.1976,140000,16.0000,0
2010-12-24,9.0174,9.0174,9.0174,9.0173,200,17.6000,0
2010-12-27,9.8883,9.8883,9.8883,9.8883,3000,19.3000,0
2011-01-14,9.8883,9.8883,9.8883,9.8883,500,19.3000,0
2011-02-09,10.8618,10.8618,10.8618,10.8618,200,21.2000,0
2011-03-04,10.8618,10.8618,10.8618,10.8618,200,21.2000,0
2011-04-20,6.5273,6.5273,6.5273,6.5273,1000,12.5000,0
2011-04-21,5.9007,5.9007,5.9007,5.9007,26000,11.3000,0
2011-04-22,6.2662,6.2662,6.2662,6.2662,31300,12.0000,0
2011-04-25,5.6396,6.7884,5.6396,6.7884,2900,13.0000,0
2011-04-26,5.7440,5.7440,5.7440,5.7440,500,11.0000,0
2011-04-27,5.7440,6.3184,5.7440,6.3184,4800,12.1000,0
2011-04-28,6.3184,6.3184,6.3184,6.3184,100,12.1000,0
2011-04-29,6.5273,6.5273,5.7962,5.7962,1100,11.1000,0
2011-05-04,6.0051,6.4228,6.0051,6.4229,10800,12.3000,0
2011-05-05,6.5273,6.5273,5.7441,6.5273,1500,12.5000,0
2011-05-06,6.5273,6.5273,6.0051,6.4751,300,12.4000,0
2011-05-09,6.4751,6.4751,6.2662,6.2662,300,12.0000,0
2011-05-10,6.3184,6.3184,6.3184,6.3184,2300,12.1000,0
2011-05-11,5.6918,6.4228,5.6918,6.4229,3500,12.3000,0
2011-05-12,6.4229,6.4229,6.4229,6.4229,100,12.3000,0
2011-05-16,6.4751,7.0495,6.4751,7.0495,800,13.5000,0
2011-06-13,7.2061,7.2061,7.2061,7.2061,100,13.8000,0
2011-06-17,6.7884,6.7884,6.7884,6.7884,100,13.0000,0
2011-06-22,6.7884,6.7884,6.7884,6.7884,100,13.0000,0
2011-06-23,7.4672,7.4672,7.4672,7.4672,7600,14.3000,0
2011-06-24,8.1983,8.1983,8.1983,8.1983,1000,15.7000,0
2011-06-27,8.9816,8.9816,8.9816,8.9816,6300,17.2000,0
2011-06-28,9.1383,9.1383,9.1383,9.1382,100,17.5000,0
2011-06-29,9.3993,9.7126,9.3993,9.7126,5100,18.6000,0
2011-06-30,9.6604,10.6525,9.6604,10.6003,3100,20.3000,0
2011-07-06,11.6447,11.6447,11.6447,11.6447,1000,22.3000,0
2011-07-12,11.6447,11.6447,11.6447,11.6447,3200,22.3000,3200
2011-07-13,11.6447,11.6447,11.6447,11.6447,8300,22.3000,8300
2011-07-15,12.7935,12.7935,12.7935,12.7935,800,24.5000,0
2011-07-18,14.0467,14.0467,11.5403,11.5403,3000,22.1000,0
2011-07-22,13.5768,13.5768,13.5768,13.5768,6000,26.0000,0
2011-07-27,13.5768,13.5768,13.5768,13.5768,50750,26.0000,50750
2011-07-28,14.9345,14.9345,14.9345,14.9345,3000,28.6000,0
2011-08-01,16.3966,16.3966,16.3966,16.3966,2500,31.4000,0
2011-08-18,14.7778,14.7778,14.7778,14.7778,1000,28.3000,0
2011-08-19,13.3157,13.3157,13.3157,13.3157,5000,25.5000,0
2011-08-23,12.0102,12.0102,12.0102,12.0102,2000,23.0000,0
2011-08-24,10.8092,10.8092,10.8092,10.8092,2000,20.7000,0
2011-08-25,11.8536,11.8536,9.7648,9.7649,3000,18.7000,0
2011-08-26,10.3393,10.3393,10.3393,10.3393,1000,19.8000,0
2011-08-29,10.3393,10.3393,10.3393,10.3393,54350,19.8000,54350
2011-08-30,11.3315,11.3315,11.3315,11.3314,1000,21.7000,0
2011-08-31,12.4280,12.4280,12.4280,12.4280,500,23.8000,0
2011-09-21,11.2171,11.2171,11.2171,11.2171,100,21.3000,0
2011-09-22,10.1112,10.1112,10.1112,10.1112,100,19.2000,0
2011-09-23,9.1106,9.1106,9.1106,9.1106,500,17.3000,0
2011-09-28,8.2153,8.2153,8.2153,8.2153,100,15.6000,0
2011-09-29,7.4254,8.9526,7.4254,8.9526,9000,17.0000,0
2011-09-30,8.0573,8.0573,8.0573,8.0573,100,15.3000,0
2011-10-03,7.2674,7.2674,7.2674,7.2674,100,13.8000,0
2011-10-05,7.9520,7.9520,6.6355,6.6355,5300,12.6000,0
2011-10-07,7.1094,7.1094,7.1094,7.1094,100,13.5000,0
2011-10-10,6.8461,6.8461,6.8461,6.8461,100,13.0000,0
2011-10-11,7.3201,7.3201,7.3201,7.3201,5000,13.9000,0
2011-10-12,7.8467,7.8467,7.8467,7.8467,3000,14.9000,0
2011-10-13,7.1094,7.1094,7.1094,7.1094,100,13.5000,0
2011-10-14,7.7413,7.7413,7.0567,7.0568,5100,13.4000,0
2011-10-25,8.3734,8.3734,8.3734,8.3733,4000,15.9000,0
2011-11-09,9.1632,9.1632,9.1632,9.1632,1500,17.4000,0
2011-11-18,10.0585,10.0585,10.0585,10.0585,100,19.1000,0
2011-12-05,9.0579,10.0585,9.0579,10.0585,14200,19.1000,0
2011-12-08,10.7431,10.7431,10.7431,10.7431,300,20.4000,0
2011-12-13,10.9067,11.7792,10.9067,11.7789,1600,21.6000,0
2011-12-14,12.8695,12.8695,12.8695,12.8695,500,23.6000,0
2011-12-15,14.1237,14.1237,14.1237,14.1237,2000,25.9000,0
2011-12-16,15.2143,15.2143,15.2143,15.2144,2400,27.9000,0
2011-12-20,13.7420,13.7420,13.7420,13.7420,1000,25.2000,0
2011-12-21,12.3787,12.3787,12.3787,12.3787,100,22.7000,0
2011-12-23,11.1790,13.5784,11.1790,13.5784,11300,24.9000,0
2011-12-26,11.3426,13.0331,11.3426,13.0331,45400,23.9000,0
2011-12-27,13.9601,13.9601,13.9601,13.9601,6000,25.6000,0
2011-12-28,12.5968,13.9056,12.5968,12.5969,8300,23.1000,0
2011-12-30,11.6153,11.6153,11.6153,11.6153,600,21.3000,0
2012-02-07,10.4701,10.4701,10.4701,10.4701,100,19.2000,0
2012-03-05,9.4340,9.4340,9.4340,9.4340,100,17.3000,0
2012-03-13,8.6706,8.6706,8.6706,8.6706,3000,15.9000,0
2012-03-14,9.4886,9.4886,9.4886,9.4885,2000,17.4000,0
2012-03-15,9.4340,9.4340,9.4340,9.4340,1000,17.3000,0
2012-03-16,10.3065,10.3065,10.3065,10.3065,1000,18.9000,0
2012-03-19,11.2335,11.2335,11.2335,11.2336,2000,20.6000,0
2012-03-21,12.1061,12.1061,12.1061,12.1061,1000,22.2000,0
2012-03-22,13.0877,13.0877,13.0877,13.0876,1300,24.0000,0
2012-03-26,13.6329,13.6329,13.6329,13.6330,1000,25.0000,0
2012-03-27,12.2697,12.2697,12.2697,12.2697,100,22.5000,0
2012-03-29,12.2697,12.2697,12.2152,12.2151,2300,22.4000,0
2012-03-30,12.1606,12.1606,12.1606,12.1606,1000,22.3000,0
2012-04-06,12.2159,12.2159,12.2159,12.2154,100,22.1000,0
2012-04-09,10.9994,10.9994,10.9994,10.9994,100,19.9000,0
2012-04-12,12.0496,12.0496,12.0496,12.0496,100,21.8000,1040
2012-04-13,13.2103,13.2103,13.2103,13.2104,100,23.9000,0
2012-04-16,14.4817,14.4817,14.4817,14.4816,100,26.2000,0
2012-04-18,13.0445,13.0445,13.0445,13.0445,100,23.6000,0
2012-04-19,11.7732,11.7732,11.7732,11.7732,100,21.3000,0
2012-04-20,10.6125,10.7230,10.6125,10.7231,1100,19.4000,480
2012-04-23,9.6729,9.6729,9.6729,9.6729,100,17.5000,0
2012-04-24,8.7332,10.4467,8.7332,10.4467,1100,18.9000,0
2012-04-25,9.2860,9.2860,9.2860,9.2859,100,16.8000,0
2012-04-26,8.4015,10.0597,8.4015,10.0598,1100,18.2000,0
2012-04-27,10.8336,10.8336,8.9543,8.9543,300,16.2000,0
2012-05-02,8.6227,8.6227,8.6227,8.6227,100,15.6000,0
2012-05-03,7.7936,8.5674,7.7936,8.5674,1100,15.5000,0
2012-05-04,7.6830,8.4569,7.6830,8.4568,1100,15.3000,0
2012-05-08,9.1754,9.1754,9.1754,9.1754,100,16.6000,0
2012-05-09,10.0598,10.0598,8.2910,8.2910,200,15.0000,0
2012-05-10,10.0597,10.0597,10.0597,10.0598,100,18.2000,0
2012-05-15,11.0547,11.0547,11.0547,11.0547,100,20.0000,0
2012-05-17,12.1602,12.1602,12.1602,12.1602,100,22.0000,0
2012-05-23,10.9442,10.9442,10.9442,10.9441,100,19.8000,0
2012-05-24,11.9943,11.9943,11.9943,11.9943,100,21.7000,0
2012-05-25,12.9892,13.0998,12.9892,13.0998,500,23.7000,0
2012-05-28,14.3711,14.3711,14.3711,14.3711,100,26.0000,0
2012-05-29,12.9340,12.9340,12.9340,12.9340,100,23.4000,0
2012-06-01,14.2053,14.2053,14.2053,14.2053,100,25.7000,0
2012-06-04,14.3158,14.3158,14.3158,14.3158,100,25.9000,0
2012-06-05,15.6976,15.6976,15.6976,15.6977,100,28.4000,0
2012-06-06,17.2454,17.2454,17.2454,17.2453,100,31.2000,0
2012-06-07,18.9588,18.9588,18.9588,18.9588,100,34.3000,0
2012-06-08,20.8381,20.8381,20.8381,20.8381,100,37.7000,0
2012-06-11,22.8832,22.8832,22.8832,22.8832,100,41.4000,0
2012-06-12,25.1494,25.1494,25.1494,25.1494,100,45.5000,0
2012-06-15,27.6367,27.6367,27.6367,27.6367,100,50.0000,0
2012-07-10,29.2949,29.2949,29.2949,29.2949,400,53.0000,0
2012-07-11,26.5312,26.5312,26.5312,26.5313,100,48.0000,0
2012-07-12,28.7422,28.7422,23.8782,23.8781,200,43.2000,0
2012-07-13,23.7123,23.7123,23.7123,23.7123,100,42.9000,600
2012-07-17,21.3908,21.3908,21.3908,21.3908,100,38.7000,0
2012-07-18,19.2904,19.2904,19.2904,19.2904,100,34.9000,0
2012-07-20,17.4111,17.4111,17.4111,17.4111,100,31.5000,0
2012-07-23,15.6976,15.6976,15.6976,15.6977,100,28.4000,0
2012-07-25,14.1500,14.1500,14.1500,14.1500,100,25.6000,0
2012-07-30,14.0395,14.0395,11.4969,11.4969,300,20.8000,0
2012-07-31,14.4264,14.4264,14.4264,14.4264,100,26.1000,0
2012-08-07,13.0235,13.0235,13.0235,13.0235,100,23.2000,0
2012-08-10,14.3146,14.3146,11.7324,11.7324,200,20.9000,0
2012-08-15,14.3146,14.3146,14.3146,14.3146,100,25.5000,0
2012-08-16,15.7180,15.7180,15.7180,15.7180,100,28.0000,90000
2012-09-04,17.2337,17.2337,17.2337,17.2337,100,30.7000,0
2012-09-07,17.3460,17.3460,17.3460,17.3459,100,30.9000,0
2012-09-12,18.9177,18.9177,18.9177,18.9177,100,33.7000,0
2012-09-21,17.0652,17.0652,17.0652,17.0653,200,30.4000,0
2012-09-24,15.3812,15.3812,15.3812,15.3812,100,27.4000,0
2012-09-25,13.8655,13.8655,13.8655,13.8655,200,24.7000,0
2012-09-26,12.5182,12.5182,12.5182,12.5183,200,22.3000,0
2012-09-27,11.2833,11.2833,11.2833,11.2833,100,20.1000,0
2012-09-28,10.1606,11.1710,10.1606,10.1606,1000,18.1000,0
2012-10-01,9.8238,9.8238,9.8238,9.8238,100,17.5000,0
