Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,19279593523,0,19279593523,-12071110632,7208482891,91010610,-1102878221,-1102878221,0,-1894986045,4301629235,0,0,0,0,4301629235,-215373990,0,-215373990,4086255245,0,4086255245,4086,0
2007,0,7287274097,0,7287274097,-1852173174,5435100923,454583071,-262325906,-262325906,-38279998,-3257718913,2331359177,284620278,-374130833,-89510555,0,2241848622,-128165789,0,-128165789,2113682833,0,2113682833,2114,0
2008,0,6419471413,0,6419471413,-4113853395,2305618018,144440335,-285576,0,0,-3036434560,-586661783,41004545,-2353950,38650595,0,-548011188,0,0,0,-548011188,0,-548011188,-584,0
2009,0,2399084528,0,2399084528,-999919580,1399164948,516848250,-132000,0,0,-1856842936,59038262,166459467,-213078068,-46618601,0,12419661,-2173441,0,-2173441,10246220,0,10246220,6,0
2010,0,8289648725,0,8289648725,-3932625168,4357023557,858488603,-4173392,0,0,-1780337588,3431001180,161152257,0,161152257,0,3592153437,-837559015,0,-837559015,2754594422,0,2754594422,1377,0
2011,0,21291048897,0,21291048897,-19083659823,2207389074,312390617,-4100413,0,0,-2320666892,195012386,4778382,0,4778382,0,199790768,-20956288,0,-20956288,178834480,0,178834480,89,0
2012,0,217638985,0,217638985,-121120000,96518985,225609800,-973379,0,0,-4968340782,-4647185376,3505016571,-4027697180,-522680609,0,-5169865985,0,0,0,-5169865985,0,-5169865985,-2585,0
2013,0,6779941685,0,6779941685,-5428798160,1351143525,27350377,501067969,0,0,-4808091058,-2928529187,0,-1825893707,-1825893707,0,-4754422894,0,0,0,-4754422894,0,-4754422894,-2377,0
2014,0,5325169520,0,5325169520,-4790476190,534693330,18321941,-8067696,0,0,-423914580,121032995,0,-103838360,-103838360,0,17194635,0,0,0,17194635,0,17194635,9,0
2015,0,51272727,0,51272727,-41018182,10254545,6142,-42264441,0,0,-489083756,-521087510,0,0,0,0,-521087510,0,0,0,-521087510,0,-521087510,-261,0
2016,0,12585188336,0,12585188336,-1561923643,11023264693,442706,-769908532,0,-122015507,-1357899276,8773884084,1157813000,-7160894165,-6003081165,0,2770802919,0,0,0,2770802919,0,2770802919,1385,0
2017,0,39259036912,0,39259036912,-24156348128,15102688784,3184365,0,0,-147320162,-3305704175,11652848812,0,-33217871,-33217871,0,11619630941,-120738380,0,-120738380,11498892561,210566212,11288326349,5644,0
2018,0,391887665624,0,391887665624,-284568272639,107319392985,12480591,-22872295,0,-147149738,-2687167670,104474683873,689212531,-6190015,683022516,0,105157706389,-242643345,0,-242643345,104915063044,2092679852,102822383192,51411,0
2019,0,292431682085,0,292431682085,-214283749894,78147932191,1093308789,-1601527696,-164398506,-147838720,-4565897742,72990129028,478162,-25521122,-25042960,0,72965086068,53969968,0,53969968,73019056036,1495952415,71523103621,4634,0
