Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2008,0,1141471311,40256451142,5070633953,1343753130,0,0,40844462556,0,88656772092,2148483198,-63857666163,-38076814818,-1341701333,-42218393628,-1443592430,1798885458,-4409070723,-58743098347,-23518478534,0,0,0,-79867410,39175552,1013508560,-22545661832,0,0,542347554319,-461628800363,-7404441847,-6222758000,0,67091554109,-14197206070,21857493229,11136886,7671424045
2009,0,117295978678,55424006357,-7089900265,0,0,0,23539753823,0,189169838593,-17506647129,-9087261156,57085462307,982811735,-20357144070,-4786855706,63588733501,-49040142655,210048795420,-11870830711,427623182,0,0,-1545226668,39175552,1006512445,-11942746200,0,0,416437008306,-559576677489,-11404977928,-9358784000,0,-163903431111,34202618109,7671424045,85939474,41959981628
2010,0,17345567308,47610132782,-1284550015,5561134981,0,0,30285888682,0,99518173738,7848119480,-38872265238,-22507421501,341040879,-31575525024,-11623132895,15262457050,-5858428959,12533017530,-13446375734,111818181,0,0,-7497047220,39175552,1300768077,-19491661144,0,0,762384788788,-746318066020,-10631127843,-12755630300,0,-7320035375,-14278678989,41959981628,0,27681302639
2011,0,3008545470,45576451175,-2166884554,0,0,0,46599999714,0,93018111805,-35379318719,-85333579407,-28935035880,-83680240,-45465874907,-1339269004,19809416017,-9144624132,-92853854467,-15575437721,239363636,0,0,-2288899735,39175552,1175202807,-16410595461,0,0,1023088517953,-890360935084,-11499370010,-24392959400,0,96835253459,-12429196469,27681302639,388680,15252494850
2012,0,63378720694,40012666041,4121342324,-53684413,0,-781782086,40257097180,0,146934359740,40648107917,60969183096,-2198963733,-54204340,-41426416021,-14121158782,3928062786,-1950373951,192728596712,-4224519631,340636364,0,0,0,13058598,781782086,-3089042583,0,0,658936581335,-815037451613,-10809190730,-8105160000,0,-175015221008,14624333121,15252494850,-65934,29876762037
2013,0,87285642933,31711274403,-377038605,81225651,0,-763964422,16168610242,0,134105750202,-12146552961,14573491583,30621497721,-1272769908,-16711113819,-19535896010,191976190,-3024338891,126802044107,-2772002290,20650000,0,0,0,0,743314422,-2008037868,0,-7780000,527397465544,-610363978112,-9310526488,-20167583442,0,-112452402498,12341603741,29876762037,0,42218365778
2014,0,88156537595,28379788140,1147437981,298085241,0,-965027808,8417667146,0,125434488295,-6697899575,3800110819,16448858005,-1619039129,-8520335046,-21495774234,2427475277,-5615152760,104162731652,-2341607574,205909091,0,0,0,0,867513326,-1268185157,0,0,360056274544,-400861694698,-9620596021,-36284060303,0,-86710076478,16184470017,42218365778,343713,58403179508
2015,0,95567138758,22833443699,-147641537,-4887254,0,-1540117153,4993560639,0,127701497152,-27818802403,19125647189,-6586102818,-1629620351,-4693385739,-20350256097,532185955,-6031198966,80249963922,-11677335120,0,0,0,0,0,1540117153,-10137217967,0,-7356000,183704526547,-207913399981,-5707481833,-57308402788,0,-87232114055,-17119368100,58403179508,519032,41284330440
2016,0,82841146995,23070204913,803754473,255709684,0,-3174411494,9281764443,0,113078169014,-11582962083,25214943862,133056131402,-3806504856,-9586439443,-16760625779,951330430,-9322599018,221241443529,-181556435018,1508449120,0,0,-26000000000,0,1665962374,-204382023524,0,-8570000,361368525154,-319702956371,-11327056569,-41902382916,0,-11572440702,5286979303,41284330440,858473,46572168216
2017,0,43241793883,23638663853,667109896,4622233,0,-2664085927,7844890620,0,65732994558,619354354,-36020083784,6574187732,5394498457,-7797390620,-11089243306,350690000,-5651497660,18113509731,-25821674713,1455263105,0,0,-104000000000,0,1205239489,-127161172119,0,0,382732816509,-232986160702,-11010637629,-33563891460,0,105172126718,-3875535670,46572168216,-234609,42696397937
2018,0,15253325854,23254024165,4036641093,6506244,0,-2859133732,10024018298,0,49715381922,625068355,-8388572659,9059923090,-122317344,-10047518298,-5943330952,0,-6698836969,28199797145,-13598816670,1718890909,0,0,0,0,1121206978,-10758718783,0,0,300800583793,-300530389909,-9848712335,-14171269963,0,-23749788414,-6308710052,42696397937,-7296807,36380391078
2019,0,51710553908,24833657656,1796210296,11094426,0,-1736789945,6169783926,0,82784510267,13803160267,66726513610,-11277236002,11030785818,-6266283926,-3871853770,150000000,-4952237451,148127358813,-8299674385,0,0,0,0,0,1601694052,-6697980333,0,0,230955758993,-295668161946,-8666436251,-86908440,0,-73465747644,67963630836,36380391078,-4246617,104339775297
