Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2010,1,1979078000000,-1683489000000,312642000000,106616000000,26522000000,0,-447201000000,-163370000000,130798000000,0,2175923000000,-940640000000,368892000000,-2651802000000,0,0,-589441000000,-71599000000,1032000000000,2434604000000,0,-28791000000,-1335570000000,0,1253249000000,1777623000000,0,-214338000000,0,1563285000000,-360031000000,34952000000,0,0,0,0,-112492000000,22822000000,10000000000,-404749000000,0,0,0,0,0,0,0,1158536000000,23619729000000,0,24778265000000
2010,2,4829148000000,-3292439000000,568384000000,652452000000,0,42428000000,-880075000000,-258308000000,1661590000000,0,282045000000,-3201312000000,594429000000,-14548887000000,0,0,-717425000000,-795219000000,2627094000000,14490024000000,0,-247549000000,-3708481000000,2351649000000,0,-1212042000000,0,-224763000000,0,-1436805000000,-831739000000,47513000000,0,0,0,0,-150830000000,229177000000,28745000000,-677134000000,0,0,0,0,0,0,0,-2113939000000,23619729000000,-504095000000,21001695000000
2010,3,7831346000000,-5544265000000,569735000000,620658000000,0,59506000000,-1351837000000,-500932000000,1684211000000,0,-5373122000000,-4041175000000,609445000000,-19108140000000,0,0,-1147787000000,-1143931000000,7603206000000,20421740000000,105713000000,-261591000000,-2415736000000,0,2596210000000,-470957000000,0,-233381000000,0,-704338000000,-629568000000,94092000000,-47969000000,0,0,0,-200335000000,23475000000,22101000000,-738204000000,1813986000000,0,0,-240000000,0,0,1813746000000,371204000000,23619729000000,-482857000000,23508076000000
2011,1,4264108000000,-2806366000000,404037000000,-101329000000,0,-12883000000,-597641000000,-206883000000,943043000000,0,3801481000000,1021254000000,-19280000000,-696809000000,0,0,-351413000000,-250823000000,-2568423000000,1468800000000,0,193655000000,-2634695000000,0,-1132365000000,-225575000000,0,-28781000000,0,-254356000000,-319745000000,34000000,0,0,0,0,0,2890000000,12879000000,-303942000000,0,0,0,0,0,0,0,-558298000000,27677230000000,-222990000000,26895942000000
2012,1,4412710000000,-2744267000000,214752000000,42675000000,0,23251000000,-1067413000000,-155639000000,726069000000,0,2928584000000,1643014000000,-204989000000,-1368503000000,0,0,1076278000000,-2129609000000,-4057757000000,5466969000000,0,64329000000,-2574982000000,0,2046100000000,3615503000000,0,-64350000000,0,3551153000000,-230579000000,12458000000,0,0,0,0,0,0,22660000000,-195461000000,0,0,0,-40317000000,-56322000000,0,-96639000000,3259053000000,19523985000000,55631000000,22838669000000
2012,2,4663865000000,-2746518000000,203195000000,239754000000,0,5271000000,-925388000000,-266272000000,1173907000000,0,-2114944000000,1456659000000,-17604000000,1174186000000,0,0,-1107336000000,0,-426981000000,7022082000000,0,16511000000,5228185000000,0,-8173919000000,4230746000000,0,-190520000000,0,4040226000000,-223780000000,4546000000,0,0,0,0,0,95000000000,27154000000,-97080000000,0,0,0,-116000000,2000000,0,-114000000,3943032000000,22838669000000,-97931000000,26683770000000
2012,3,4152290000000,-2526621000000,293893000000,45174000000,0,10184000000,-1025276000000,-217026000000,732618000000,0,-5189861000000,2032871000000,-51529000000,-6803193000000,0,0,-70146000000,0,-1170427000000,9792258000000,0,-119452000000,-10775364000000,0,4677400000000,-6944825000000,0,-17077000000,0,-6961902000000,-238695000000,1750000000,0,0,0,0,0,0,1059000000,-235886000000,0,0,0,375000000,-1000000,0,374000000,-7197414000000,26683770000000,26846000000,19513202000000
2012,4,16843085000000,-10377032000000,707745000000,314705000000,0,-6643000000,-4245201000000,-768913000000,2467746000000,0,-71229000000,2491021000000,-380526000000,-16836273000000,0,0,526565000000,-2129609000000,-8093064000000,32653776000000,0,-168579000000,-9840159000000,0,-2053044000000,-1433375000000,0,-275520000000,0,-1708895000000,-886527000000,22336000000,0,0,0,0,-11000000000,95000000000,55271000000,-724920000000,0,0,0,-40103000000,-56321000000,0,-96424000000,-2530239000000,19523985000000,423000000,16994169000000
2013,1,3463150000000,-2099050000000,256582000000,120776000000,0,5097000000,-986703000000,-71473000000,688379000000,0,-749336000000,-235004000000,14616000000,-2141489000000,0,0,10830000000,0,-1218082000000,0,-115832000000,-3307645000000,10483615000000,0,-595706000000,2834346000000,0,-16264000000,0,2818082000000,-157656000000,560000000,0,0,0,0,0,0,30977000000,-126119000000,0,0,0,-5000000,0,0,-5000000,2691958000000,17133531000000,-14686000000,19810803000000
2013,2,4177290000000,-2155312000000,266166000000,-296637000000,0,4991000000,-870002000000,-248847000000,877649000000,0,1604841000000,1989425000000,368761000000,-10957853000000,0,-377949000000,1552133000000,-108214000000,1496620000000,17152131000000,119916000000,3258494000000,-16108341000000,0,-4144001000000,-3276388000000,0,16264000000,0,-3260124000000,-50521000000,479000000,0,0,0,0,0,15000000000,31670000000,-3372000000,0,0,0,-581907000000,0,0,-581907000000,-3845403000000,19810803000000,-36423000000,15928977000000
2013,3,3511725000000,-2456740000000,322122000000,54062000000,0,103523000000,-941695000000,-146510000000,446487000000,0,2066372000000,452459000000,0,-271958000000,0,377949000000,183635000000,108214000000,-161983000000,3526799000000,1864000000,-37489000000,-1700437000000,0,-5103952000000,-112040000000,0,-111619000000,0,-223659000000,-101485000000,1976000000,0,0,0,0,0,0,9044000000,-90465000000,322190000000,0,0,-2470000000,0,0,319720000000,5596000000,15928977000000,-3011000000,15931562000000
2013,4,3520146000000,-2442375000000,195684000000,16015000000,0,-13736000000,-964187000000,-208085000000,103462000000,0,-645775000000,84540000000,-43995000000,-1749550000000,0,-1348007000000,600380000000,0,160127000000,3506994000000,-5948000000,-53286000000,49761000000,0,-367496000000,291207000000,0,-2472000000,0,288735000000,-117551000000,3068000000,0,0,0,0,0,4396000000,3300000000,-106787000000,0,0,0,-876928000000,0,0,-876928000000,-694980000000,15931562000000,63346000000,15299928000000
2014,1,3970689000000,-2320583000000,260149000000,21871000000,0,8699000000,-906605000000,-67170000000,967050000000,0,493295000000,-2252701000000,38549000000,-4160972000000,0,0,-688896000000,0,-1252318000000,9542747000000,0,15674000000,-500498000000,0,321903000000,2523833000000,0,-202478000000,0,2321355000000,-161292000000,5735000000,0,0,0,0,0,0,7678000000,-147879000000,0,0,0,-33310000000,0,0,-33310000000,2140166000000,15299928000000,-16629000000,17423465000000
2014,2,3290013000000,-2114958000000,231002000000,61037000000,0,14388000000,-888541000000,-57384000000,535557000000,0,-64503000000,-1619056000000,5447000000,-6766840000000,0,-43467000000,707337000000,0,1975502000000,7088729000000,4716000000,68992000000,-49000000,0,-48413000000,1843952000000,0,-11418000000,0,1832534000000,-92650000000,1480000000,0,0,0,0,0,31042000000,-7678000000,-67806000000,0,0,0,-34235000000,33310000000,0,-925000000,1763803000000,17423465000000,2810000000,19190078000000
2014,3,3237197000000,-2043095000000,248008000000,81009000000,0,17046000000,-1016086000000,-180957000000,343122000000,0,1008240000000,2723685000000,-9875000000,-4608324000000,0,0,-50606000000,0,216085000000,7764923000000,-505264000000,-992785000000,500547000000,0,195363000000,6585111000000,0,9389000000,0,6594500000000,-95989000000,9128000000,0,0,0,0,0,-31042000000,44940000000,-72963000000,0,0,0,-383000000,0,0,-383000000,6521154000000,19190078000000,-8419000000,25702813000000
2014,4,3376186000000,-1984781000000,269970000000,34163000000,72420000000,-40132000000,-1132671000000,-172229000000,422926000000,0,356719000000,-1614998000000,-2277000000,-7493974000000,0,-7369000000,-444667000000,0,-1535870000000,7016433000000,1000000,-2381242000000,0,0,-297163000000,-5981481000000,0,-17189000000,0,-5998670000000,-173196000000,1107000000,0,0,0,0,0,22000000,5128000000,-166939000000,0,0,0,-456000000,0,0,-456000000,-6166065000000,25702813000000,29645000000,19566393000000
2015,1,3995961239776,-2047052320751,264563457352,48914482586,0,16957519399,-1214359726046,-39936762124,1025047890192,0,-374227000000,-1130121158257,12151849783,-5972324738732,0,-509556261,673906909624,0,-127379610570,8042744623225,29266169246,-43332065461,42400,0,475415446364,2610638801553,0,0,0,2610638801553,-25145378262,9996800000,0,0,0,0,0,626400000,3610000000,-10912178262,0,0,0,-113440910,0,0,-113440910,2599613182381,19566392907823,17889137351,22183895227555
2015,2,4351858760224,-1804537679249,299738542648,73797517414,0,1787480601,-970357273954,-189217237876,1776928109808,0,705104000000,955904158257,-20368849783,-8225839261268,0,-8707443739,466627090376,0,1836382610570,8840815376775,-29266169246,930141065461,-42400,0,-436290446364,6791430198447,0,-62000000,0,6791368198447,-199901621738,-205800000,0,0,0,0,0,-400000,4780000000,-195327821738,0,0,0,-125559090,0,0,-125559090,6595914817619,22183895227555,-13107137351,28766702907823
2015,3,3100317160669,-2071414420948,218820623757,9780935217,0,8392311169,-530946638608,-162079031336,574262522851,0,403951000000,-2308115556026,20368849783,-6022527963838,0,-1207011423,-1296189970908,0,-2420597298648,3983093104493,24636380660,-110265087007,128800,0,1549435581521,-5603155319742,0,-870000,0,-5603156189742,-133223121022,-9029844600,0,0,0,0,0,8629343,2104871248,-140139465031,0,0,0,-21130475,0,0,-21130475,-5743316785248,28766702907823,54337633229,23077723755804
2015,4,4841125579904,-2246060870150,453536429833,20185448464,0,244433285131,-1974299149442,-120101324297,1203569816512,0,0,-1781998240823,0,-2357425627307,0,-876599434615,-43349786708,-1050498432296,-748169440641,-349630509413,-1783188193,-99123381710,0,0,-2546916508726,-8651924733920,0,-244527933556,0,-8896452667476,-269561091193,8453980526,0,0,0,0,0,-8229343,2172345328,-258942994682,0,0,0,-438242060,0,0,-438242060,-9155833904218,23077723755804,2369724732512,16291614584098
2016,1,4218524000000,-3252979000000,326552000000,67307000000,0,74045000000,-1055485000000,-8160000000,381182000000,0,-282120000000,-495898000000,0,-4784569000000,0,0,601649000000,0,288053000000,13330762000000,44590000000,-153298000000,0,0,193907000000,9124258000000,0,0,0,9124258000000,-110901000000,855000000,0,0,0,0,0,0,3566000000,-106480000000,0,0,0,-269000000,0,0,-269000000,9017509000000,16291615000000,-42893000000,25266231000000
2016,2,4696458000000,-3143312000000,373749000000,218966000000,0,8059000000,-1557500000000,-12903000000,596716000000,0,226498000000,-1030884000000,0,-10691058000000,0,-102000000,194634000000,0,189278000000,5643723000000,-63709000000,-256151000000,0,0,67899000000,-5123156000000,0,-46770000000,0,-5169926000000,-110748000000,8789000000,0,0,0,0,-592000000,390000000,23026000000,-79135000000,0,0,0,-45000000,0,0,-45000000,-5249106000000,25266231000000,-97143000000,19919982000000
2016,3,4259388000000,-3544270000000,352921000000,293438000000,0,15073000000,-934574000000,-23118000000,425136000000,0,0,-1009199000000,0,-8124685000000,0,0,-94335000000,0,2143612000000,5414219000000,13755000000,-4500000000,0,0,32223000000,-1203774000000,0,-11296000000,0,-1215070000000,-91167000000,59189000000,0,0,0,0,0,360000000,3150000000,-28468000000,0,0,0,-196000000,0,0,-196000000,-1243734000000,19989690000000,-213236000000,18532720000000
2016,4,4711696000000,-3522678000000,444396000000,-279475000000,0,48306000000,-1366551000000,-5866000000,29828000000,0,-112256000000,173758000000,-15421000000,-13570589000000,0,-245660000000,-599869000000,3774694000000,2845639000000,5960313000000,-17489000000,24869000000,0,0,70403000000,-1681780000000,0,-13104000000,0,-1694884000000,-120639000000,117333000000,0,0,0,0,0,0,2599000000,-707000000,0,0,0,-65000000,0,0,-65000000,-1695656000000,18532720000000,375707000000,17212771000000
2017,1,5182179000000,-3622565000000,391116000000,170635000000,0,22958000000,-885331000000,-15341000000,1252035000000,0,-4299949000000,15421000000,0,-8088377000000,0,-28887000000,953782000000,-1348042000000,-2698301000000,11678014000000,212000000,-25763000000,2771990000000,0,334514000000,516649000000,0,-6440000000,0,510209000000,-121727000000,19678000000,0,0,0,0,0,0,1110000000,-100939000000,0,0,0,-429000000,0,0,-429000000,408841000000,17212771000000,-48926000000,17572686000000
2017,2,5247082000000,-3695247000000,466747000000,110051000000,0,28454000000,-1992655000000,-23317000000,145260000000,0,4080413000000,-3409730000000,-9476000000,-13165420000000,0,15158000000,743022000000,-2426652000000,417366000000,14036890000000,-212000000,-19906000000,-29880000000,0,74875000000,451708000000,0,-4290000000,0,447418000000,-92194000000,26206000000,0,0,0,0,0,0,11707000000,-54281000000,0,0,0,-16000000,0,0,-16000000,393121000000,17572686000000,-31426000000,17934381000000
2017,3,5678211000000,-3920833000000,463089000000,122082000000,0,74121000000,-1519251000000,-27743000000,858642000000,0,331792000000,642419000000,14518000000,-9544030000000,0,-1178000000,822655000000,220749000000,9441706000000,-4807343000000,0,-1312593000000,2974142000000,0,316315000000,-42206000000,0,-8346000000,0,-50552000000,-168570000000,125618000000,0,0,0,0,0,469642000000,-99481000000,327209000000,0,0,0,-165000000,0,0,-165000000,276492000000,17934381000000,-7960000000,18202913000000
