Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2013,2,405589124178,124473928426,38337928426,86136000000,0,0,0,75002232389,68829652349,1935898445,0,0,4236681595,0,195053614857,196332755747,-1279140890,11059348506,2170888112,7113613820,0,1774846574,665685351796,500000000,0,0,500000000,0,620247506033,505238833189,738546754682,-233307921493,92786313498,122355578248,-29569264750,10313553643,13594039674,-3280486031,11908805703,0,0,0,0,0,0,0,0,44937845763,38687751357,991094406,5259000000,0,1071274475974,618168994984,368971680663,81958443744,250815207997,8141667997,11207628414,6483946909,5721576535,0,0,2112173121,0,249197314321,0,0,370001209,248827313112,0,0,0,453105480990,453105480990,315425840000,0,0,-11753620000,0,0,0,1219011000,0,148214249990,0,0,0,0,1071274475974
2014,2,337728912937,32667777549,16667777549,16000000000,0,0,0,78951065441,64658444561,13125902540,0,0,1166718340,0,207818054114,207818054114,0,18292015833,5906812959,7392213531,3029041,4989960302,579840356816,0,0,0,0,0,537957282256,447329969146,748743460484,-301413491338,80550755674,122355578248,-41804822574,7838209359,13834916387,-5996707028,2238348077,0,0,0,0,0,0,0,0,41883074560,35025379985,1546194575,5311500000,0,917569269753,366101102771,184953996352,39165577518,117842984460,2971407235,9856559910,6301149545,4395659410,0,0,2612060676,0,181147106419,0,0,343433959,180803672460,0,0,0,551468166982,551468166982,393053360000,0,0,-11826900000,0,0,0,1219011000,0,169022695982,0,0,0,0,917569269753
2014,3,365736159035,65395179192,25027779192,40367400000,0,0,0,106937932295,61077356889,11774655434,0,0,34085919972,0,177644165037,177644165037,0,15758882511,5856602140,8880643368,0,1021637003,594335691886,0,0,0,0,0,554243618404,432818573555,750466748848,-317648175293,77491866220,122355578248,-44863712028,7152128539,13834916387,-6682787848,36781050090,0,0,0,0,0,0,0,0,40092073482,34780573482,0,5311500000,0,960071850921,380154801417,198909458307,39123577518,119903814143,438417708,22391763290,8265006591,5058512516,0,0,1562177391,284667930,181245343110,0,0,441670650,180803672460,0,0,0,579917049504,579917049504,393053360000,0,0,-11826900000,0,0,0,1219011000,0,197471578504,0,0,0,0,960071850921
2015,1,360549812648,82609407814,24526367814,58083040000,0,0,0,72088991117,66966803962,4118784693,0,0,1003402462,0,158674688542,159213156917,-538468375,47176725175,3628806363,43229345165,0,318573647,961520310532,0,0,0,0,0,922370921441,472770518075,874191340581,-401420822506,0,0,0,5779966900,13834916387,-8054949487,443820436466,0,0,0,0,0,0,0,0,39149389091,37250385647,1899003444,0,0,1322070123180,621843583103,173911603688,42348254365,84186495759,182024787,25532386089,5984095451,9701779410,0,0,3556988113,61237699,447931979415,0,0,0,447620057456,0,311921959,0,700226540077,700226540077,423053360000,40026904470,0,-11826900000,0,0,0,1219011000,0,247754164607,0,0,0,0,1322070123180
2015,2,396120315156,61160314529,19660314529,41500000000,0,0,0,73450072603,62369296255,10447142639,0,0,633633709,0,221200878920,221984357697,-783478777,40309049104,3668732483,36276689496,0,363627125,1222010740045,0,0,0,0,0,1174378601270,453650450338,874640556581,-420990106243,0,0,0,5093886080,13834916387,-8741030307,715634264852,0,0,0,7468652342,0,7468652342,0,0,40163486433,37036669603,3126816830,0,0,1618131055201,944846510514,285501374674,95814061777,143098715619,11251715531,14127420371,7734124683,8149984136,0,0,2772772702,0,659345135840,0,0,368452750,658976683090,0,0,0,673284544687,673284544687,423053360000,35539435379,0,0,0,0,0,1219011000,0,213472738308,0,0,0,0,1618131055201
2015,3,405432473722,2828821108,2828821108,0,0,0,0,68525708642,50743486891,8996979358,0,0,8785242393,0,280455352089,281238830866,-783478777,53622591883,265679971,53049402671,0,307509241,1288442191017,0,0,0,0,0,438489727016,434081921756,874640556581,-440558634825,0,0,0,4407805260,13834916387,-9427111127,0,0,0,0,67168114181,0,67168114181,0,0,42079341545,39961695101,2117646444,0,0,1693874664739,1013580075872,340225167693,151979972739,143263291296,5630806094,10650524147,10489011784,11972038273,0,0,2644765786,0,673354908179,0,0,0,673042986220,0,311921959,0,680294588867,680294588867,423053360000,35539435379,0,0,0,0,0,1219011000,0,220482782488,0,0,0,0,1693874664739
2015,4,418633757516,6582910835,6582910835,0,0,0,0,30246099494,21966528130,5325445158,0,0,2954126206,0,355874899088,357876019164,-2001120076,25929848099,0,25758200806,0,171647293,1301500178563,0,0,0,0,0,607359893488,603638169047,1066658575562,-463020406515,0,0,0,3721724441,13834916387,-10113191946,0,0,0,0,85951975781,0,85951975781,0,0,44718429430,42600782986,2117646444,0,0,1720133936079,1029843711816,401491931626,189376761779,175853376141,8319539830,4716788596,9171028452,8597785231,0,0,2885313150,0,628351780190,0,0,0,627983327440,0,368452750,0,690290224263,690290224263,465358350000,35297435379,0,0,0,0,0,1219011000,0,188415427884,0,0,0,0,1720133936079
2016,1,398647306853,18115892276,6115892276,12000000000,0,0,0,96368192568,49345229247,1730783096,0,0,45292180225,0,270244774154,272245894230,-2001120076,13918447855,0,13740543732,177904123,0,1276923220809,0,0,0,0,0,807104211111,804068567490,1293007480259,-488938912769,0,0,0,3035643621,13834916387,-10799272766,0,0,0,0,39993760000,0,39993760000,0,0,42308730205,39442150461,2866579744,0,0,1675570527662,982895928466,322672162936,199996080295,96974752432,236501424,-2150848805,6574480693,12284585109,0,0,4373591860,0,660223765530,0,0,0,659856377280,0,367388250,0,692674599196,692674599196,465358350000,35297435379,0,0,0,0,0,1219011000,0,190799802817,0,0,0,0,1675570527662
2016,2,441789694410,16809384573,11809384573,5000000000,0,0,0,137300739170,89581469849,1045359608,0,0,46516391590,0,264357103523,267072642122,-2715538599,23322467144,5462148121,17825347723,34971300,0,1477010440332,0,0,0,0,0,840450670039,838101107238,1354962905026,-516861797788,0,0,0,2349562801,13834916387,-11485353586,0,0,0,0,39992000000,0,39992000000,0,0,40543017664,38376122503,2166895161,0,0,1918800134742,1220333604223,462362183909,185877049379,240187142836,13023939564,987788732,9885761705,7753720487,0,0,3477504938,0,757971420314,0,0,0,757563581180,0,0,407839134,698466530519,698466530519,535160240000,35297435379,0,0,0,0,0,1219011000,0,126789844140,0,0,0,0,1918800134742
2016,3,504476779396,14126831031,12126831031,2000000000,0,0,0,95484351071,49149696668,418662996,0,0,45915991407,0,362687105193,365926582180,-3239476987,32178492101,0,32013713978,164778123,0,1457277323737,0,0,0,0,0,1108133450407,1106469968426,1656025851622,-549555883196,0,0,0,1663481981,13834916387,-12171434406,0,0,0,0,39992000000,0,39992000000,0,0,43324008526,41157113365,2166895161,0,0,1961754103133,1256060969927,534982535015,256140942189,230185600905,16522725615,2972306988,11458451521,9792781961,0,0,4022599388,0,721078434912,0,0,0,720692606817,0,385828095,0,705693133206,705693133206,535160240000,35297435379,0,0,0,0,0,1219011000,0,134016446827,0,0,0,0,1961754103133
