disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2015-09-18,stockAlert,listedHose,Ngày giao dịch đầu tiên trên HOSE,2015-09-30,,,Giá tham chiếu 29.000đ/cp,,,,
2015-10-22,investorRight,KINDDIV,Cổ phiếu thưởng,2015-11-03,2015-11-05,,Tỷ lệ 100:10,,10,,
2015-12-01,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2015-12-09,,,Số lượng 4.230.499 cp,,,,
2016-01-20,investorRight,MEETING,Họp cổ đông,2016-02-25,2016-03-28,2016-03-28,ĐHCĐ thường niên năm 2016,,,,
2016-03-30,schedEvent,schedDiv,Dự kiến cổ tức,2016-06-01,2016-06-01,,"Dự kiến trả cổ tức bằng cổ phiếu năm 2015, tỷ lệ 100:10",,10,,2015
2016-03-31,schedEvent,schedIssue,Dự kiến phát hành,2016-06-01,2016-06-01,,Phát hành để tăng vốn,,5,,
2016-04-06,investorRight,DIVIDEND,Cổ tức bằng tiền,2016-04-19,2016-05-20,2016-05-20,Cổ tức bằng tiền năm 2015 (500đ/cp),500,5,,2015
2016-05-19,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2016-06-01,2016-06-02,,"Trả cổ tức năm 2015, Tỷ lệ 100:10",,10,,2015
2016-05-19,investorRight,KINDDIV,Cổ phiếu thưởng,2016-06-01,2016-06-02,,Tỷ lệ 100:5,,5,,
2016-07-06,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2016-07-15,,,Số lượng 6980189CP,,,,
2017-02-10,schedEvent,schedDiv,Dự kiến cổ tức,,,,Dự kiến trả cổ tức bằng tiền 2016 (300đ/cp),300,0.3,,2016
2017-02-10,investorRight,MEETING,Họp cổ đông,2017-02-24,2017-03-28,2017-03-28,ĐHĐCĐ thường niên năm 2017,,,,
2017-03-28,schedEvent,schedDiv,Dự kiến cổ tức,2017-07-24,2017-07-24,,"Dự kiến trả cổ tức bằng cổ phiếu cho CĐHH, tỷ lệ 100:12",,12,,
2017-06-19,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-06-30,2017-08-02,2017-08-02,Trả cổ tức năm 2016 (300 đ/cp),300,3,,2016
2017-07-07,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2017-07-24,2017-07-25,,"Trả cổ tức năm 2016, Tỷ lệ 100:12",,12,,2016
2017-08-31,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,,,,Số lượng 6421774 cp,,,,
2018-03-08,investorRight,MEETING,Họp cổ đông,2018-03-27,2018-04-17,2018-04-17,ĐHĐCĐ thường niên năm 2018,,,,
2018-04-19,schedEvent,schedIssue,Dự kiến phát hành,2019-01-24,2019-01-24,,"Dự kiến phát hành 5.993.780 cp cho CĐHH, tỷ lệ 100:10",,10,,
2018-04-19,schedEvent,schedIssue,Dự kiến phát hành,2019-01-24,2019-01-24,,"Dự kiến phát hành 600.000 cp cho CBCNV, giá 10.000 đ/cp",,,,
2018-04-19,schedEvent,schedDiv,Dự kiến cổ tức,2019-01-24,2019-01-24,,"Dự kiến phát hành 4.195.646 cp trả cổ tức năm 2017, tỷ lệ 100:7",,7,,2017
2018-05-25,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-06-14,2018-07-13,2018-07-13,Trả cổ tức năm 2017 (800 đ/cp),800,8,,2017
2019-01-07,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2019-01-24,2019-01-25,,"Trả cổ tức năm 2017, Tỷ lệ 100:7",,7,,2017
2019-01-07,investorRight,ISSUE,Phát hành thêm,2019-01-24,2019-03-13,,"Phát hành 5,993,780 cp cho CĐHH, giá 10000 đ/cp, tỷ lệ 100:10",,10,,
2019-01-28,schedEvent,schedDiv,Dự kiến cổ tức,,,,Dự kiến trả cổ tức năm 2018 (1500 đ/cp),1500,15,,2018
2019-01-28,investorRight,MEETING,Họp cổ đông,2019-03-12,2019-04-02,2019-04-02,ĐHĐCĐ thường niên năm 2019,,,,
2019-05-17,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,,,,Số lượng 10789146 cp,,,,
2019-05-22,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2019-06-03,,,Số lượng 10171334 cp,,,,
2019-05-22,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2020-03-30,,,Số lượng 300000 cp,,,,
2019-05-22,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2020-03-30,,,Số lượng 17812 cp,,,,
2019-05-22,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2021-03-29,,,Số lượng 300000 cp,,,,
2019-06-04,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-06-17,2019-07-05,2019-07-05,Trả cổ tức năm 2018 (1500 đ/cp),1500,15,,2018
2020-05-12,investorRight,MEETING,Họp cổ đông,2020-06-01,2020-06-22,2020-06-22,ĐHĐCĐ thường niên năm 2020,,,,
2020-07-02,investorRight,DIVIDEND,Cổ tức bằng tiền,2020-07-16,2020-07-31,2020-07-31,Trả cổ tức năm 2019 (1500 đ/cp),1500,15,,2019
