Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2015,4,1544887022475,132549365270,15699365270,116850000000,0,0,0,322871804369,17633469255,302649403971,0,0,2588931143,0,1069709504026,1071245984026,-1536480000,19756348810,821838436,18934400539,109835,0,728050342082,0,0,0,0,0,289234389888,40676336012,85843673979,-45167337967,0,0,0,248558053876,251329385890,-2771332014,0,0,0,0,422160060022,0,422160060022,0,0,216237083,0,216237083,0,0,2272937364557,663029433947,658593034270,191036835591,94848245294,159383250910,77430062486,15217517,86064186011,0,0,48178468875,0,4436399677,0,0,2936399677,1500000000,0,0,0,1609907930610,1609907930610,1200000000000,0,0,0,0,0,0,0,0,379354358945,0,0,0,0,2272937364557
2016,1,999347375318,196866745489,48866745489,148000000000,83175000000,0,0,59722817753,37759334605,19722386071,0,0,2241097077,0,654084103836,655006783836,-922680000,5498708240,613684333,4881960907,3063000,0,998117336790,0,0,0,0,0,470522839840,222014495046,259694358955,-37679863909,0,0,0,248508344794,251329385890,-2821041096,0,75852586326,76269931274,-417344948,423133482672,0,423133482672,0,0,216237083,0,216237083,0,0,1997464712108,365768330772,361049725848,4118860000,59073448906,106661265949,77847994070,15217517,66105748263,0,0,23587975639,0,4718604924,0,0,3218604924,1500000000,0,0,0,1631696381336,1631696381336,1200000000000,0,0,0,0,0,0,0,0,412066900640,0,0,0,0,1997464712108
2016,2,1503147865421,205781165025,57781165025,148000000000,83175000000,0,0,536447552440,13452720886,517539850384,0,0,5454981170,0,665854605754,666777285754,-922680000,11889542202,555290396,10598875652,735376154,0,2602269116124,0,0,0,0,0,468562671724,220104036012,259694358955,-39590322943,0,0,0,248458635712,251329385890,-2870750178,0,75434092704,76269931274,-835838570,2025650092392,0,2025650092392,0,0,216237083,0,216237083,0,0,4105416981545,204418420604,201199815680,2035990000,54675019265,9537470401,8981185902,20106406,61888356286,0,0,29259539362,0,3218604924,0,0,3218604924,0,0,0,0,3900998560941,3900998560941,3299945720000,0,0,0,0,0,0,0,0,601021690638,0,0,0,0,4105416981545
2016,3,1441881534996,468290237269,49290237269,419000000000,30000000000,0,0,127361041274,104203363739,22276568501,0,0,881109034,0,804347219530,804509579530,-162360000,11883036923,589900648,11271918918,21217357,0,3021510030439,30000000,0,0,30000000,0,92070778031,38661851401,77033417637,-38371566236,0,0,0,53408926630,56329385890,-2920459260,0,514366509416,519918298703,-5551789287,2414164183448,0,2414164183448,0,0,667377727,0,667377727,0,0,4463391565435,276178296755,272176914585,1000000000,53943813514,71887172416,30092233109,15217517,76645066206,0,0,31675683693,0,4001382170,0,0,4001382170,0,0,0,0,4187213268680,4187213268680,3299945720000,0,0,0,0,0,0,0,0,887236062145,0,0,0,0,4463391565435
2016,4,1387571660936,423172251686,74844251686,348328000000,80000000000,0,0,64433104859,44761794055,17405877049,0,0,2265433755,0,795581004472,795581004472,0,24385299919,629998666,23748954773,6346480,0,3194946062989,229750000000,0,0,0,0,91146232326,37787014773,77033417637,-39246402864,0,0,0,53359217553,56329385890,-2970168337,0,512319655272,519918298703,-7598643431,2361201574866,0,2317251574866,43950000000,0,317418708,317418708,0,0,0,4582517723925,300543483053,255292100883,0,61100142137,63414423998,22580827381,15217517,68099160686,0,0,34864202804,0,45251382170,0,0,45251382170,0,0,0,0,4281974240872,4281974240872,3629940140000,0,0,0,0,0,0,0,0,652002136538,0,0,0,0,4582517723925
2017,1,1311732205917,527522459306,79478691841,448043767465,39200000000,0,0,104835690991,82856519658,19105272373,0,0,2873898960,0,639750624155,639750624155,0,423431465,418668128,1763337,3000000,0,3332144129653,252750000000,0,0,0,0,77337833518,24028325047,52080175059,-28051850012,0,0,0,53309508471,56329385890,-3019877419,0,633355948986,656324100544,-22968151558,2367048823933,0,2323098823933,43950000000,0,993375945,173112800,820263145,0,0,4643876335570,216034676367,170283294197,0,42907293281,53959067341,33160898612,15217517,29380502604,0,0,2348085529,0,45751382170,0,0,45751382170,0,0,0,0,4427841659203,4427841659203,3629940140000,0,0,0,0,0,0,0,0,797867217389,0,0,0,0,4643876335570
2017,2,1415620681976,455045914737,104139914737,350906000000,151000000000,0,0,90802631076,41125563740,28443238958,0,0,21233828378,0,713104572860,713104572860,0,5667563303,311962556,4924979436,430621311,0,3321145942800,229750000000,0,0,0,0,76624375590,23364576201,52080175059,-28715598858,0,0,0,53259799389,56329385890,-3069586501,0,630468800585,656324100544,-25855299959,2376680138712,0,2332730138712,43950000000,0,1671256557,1370597800,300658757,0,0,4736766624776,169060925461,123309543291,5000000000,12985844266,43321115644,30987098571,43450050,13520291474,0,0,12385082071,0,45751382170,0,0,45751382170,0,0,0,0,4567705699315,4567705699315,3629940140000,0,0,0,0,0,0,0,0,937730893194,0,0,0,0,4736766624776
2017,3,1391418443281,213469455909,82406735909,131062720000,220300000000,0,0,83670280115,26985501100,27651101407,0,0,29033677608,0,856749273358,856749273358,0,17229433899,743471377,16477956615,8005907,0,3415047952403,229750000000,0,0,0,0,78250412875,25040322568,54419670277,-29379347709,0,0,0,53210090307,56329385890,-3119295583,0,627066271346,655802796663,-28736525317,2387128662655,0,2341678662655,43950000000,0,375564119,0,375564119,0,0,4806466395684,413769767302,220911719132,75731814000,9495840938,97586067820,21770302874,15217517,3724097980,0,0,5636483906,0,192858048170,0,0,188351382170,4506666000,0,0,0,4392696628382,4392696628382,3629940140000,0,0,0,0,0,0,0,0,762721375333,0,0,0,0,4806466395684
2017,4,1451605629657,456144753909,232569753909,223575000000,8000000000,0,0,131347634407,41265347786,50725572347,0,0,39356714274,0,841049665235,841049665235,0,15063576106,223529117,14831569216,8477773,0,3519745005259,288750000000,0,0,0,0,77335759379,24175378149,54419670277,-30244292128,0,0,0,53160381230,56329385890,-3169004660,0,624390026998,655802796663,-31412769665,2404592166689,0,2359142166689,43950000000,0,3018725937,2776128389,242597548,0,0,4971350634916,633270774488,363059361588,123844780224,5523397174,147782040478,18064109902,15217517,3724097980,0,0,56778120553,0,270211412900,0,0,248532024950,21679387950,0,0,0,4338079860428,4338079860428,3629940140000,-186053278621,0,0,0,0,0,0,0,874157444628,0,0,0,0,4971350634916
2018,1,1563320940949,195059607887,135059607887,60000000000,486135000000,0,0,187782638264,28261251227,64905539809,0,0,89615847228,0,692258372789,692258372789,0,2085322009,848627363,1233694646,3000000,0,3293078270392,0,0,0,0,0,80028412417,26917740269,57105108237,-30187367968,0,0,0,53110672148,56329385890,-3218713742,0,621297897590,655802796663,-34504899073,2414672942658,0,2369222942658,43950000000,0,373824339,0,373824339,0,0,4856399211341,491263070151,146051867465,0,11537553911,103782005835,19594516982,15217517,4094734342,0,0,931463922,0,345211202686,0,0,302605563486,42605639200,0,0,0,4365136141190,4365136141190,3629940140000,-219996488178,0,0,0,0,0,0,0,935084067963,0,0,0,0,4856399211341
2018,2,1758963651733,494452397921,262452397921,232000000000,480635000000,0,0,217310700606,24842236263,146902993742,0,0,45565470601,0,558961447063,558961447063,0,7604106143,773551996,3180736175,3649817972,0,3414441061636,0,0,0,0,0,84013572874,30952609808,62061240237,-31108630429,0,0,0,53060963066,56329385890,-3268422824,0,618621653237,655802796663,-37181143426,2506641018019,0,2461191018019,43950000000,0,66758487,66758487,0,0,0,5173404713369,648558793513,156884610683,0,12540214161,114636052710,18893655710,15217517,3872959104,0,0,966822694,0,491674182830,0,0,446858543630,44815639200,0,0,0,4524845919856,4524845919856,3629940140000,0,0,-219996488178,0,0,0,0,0,1094613502286,0,0,0,0,5173404713369
2018,3,1775202729455,270299245170,89594245170,180705000000,364445000000,0,0,273058122601,51843871651,181831516414,0,0,38382734536,0,844100738785,844100738785,0,23299622899,272204351,23027418548,0,0,3455921912152,0,0,0,0,0,84789892502,31778638518,63525869523,-31747231005,0,0,0,53011253984,56329385890,-3318131906,0,612926585646,653173309948,-40246724302,2302187455804,0,2256737455804,43950000000,0,1436442391,86520777,1349921614,0,0,5231124641607,948398223416,443589539507,194914420698,32249342324,110666059202,8437299406,65933217,82749334224,0,0,2088279576,0,504808683909,0,0,504808683909,0,0,0,0,4282726418191,4282726418191,3629940140000,0,0,-219996488178,0,0,0,0,0,852328766535,0,0,0,0,5231124641607
2018,4,1586218472251,119497147748,86497147748,33000000000,343400000000,0,0,251263857702,22893860191,191976429023,0,0,36393568488,0,814788834622,814788834622,0,57268632179,188403167,51604985744,5475243268,0,3628370651346,0,0,0,0,0,84191726945,31230182038,63610574147,-32380392109,0,0,0,52961544907,56329385890,-3367840983,0,610815790417,653173309948,-42357519531,2312307546215,0,2268357546215,43950000000,0,1098334953,680909091,417425862,0,0,5214589123597,889647312779,384388485470,128882534366,22655706456,217613597268,1510598149,15217516,3063194929,0,0,1910464267,0,505258827309,0,0,505258827309,0,0,0,0,4324941810818,4324941810818,3629940140000,0,0,-219996488178,0,0,0,0,0,894376365533,0,0,0,0,5214589123597
2019,1,2143006371035,339943572741,309943572741,30000000000,763022000000,0,0,288897354629,60536842821,218461492540,0,0,9899019268,0,698577185759,698577185759,0,52566257906,10617565725,41943692181,5000000,0,4166947074278,0,0,0,0,0,78868569529,25956733704,59368111786,-33411378082,0,0,0,52911835825,56329385890,-3417550065,0,666907911227,711854094231,-44946183004,2325559875664,0,2281609875664,43950000000,0,827979751,680909091,147070660,0,0,6309953445313,1820998400864,761806202927,64526793598,31366278482,436222370865,22587044005,72217517,3063194929,0,0,196477091190,0,1059192197937,0,0,505126848935,0,0,0,0,4488955044449,4488955044449,3629940140000,0,0,-219996488178,0,0,0,0,0,1013947092896,0,0,0,0,6309953445313
2019,2,2417770605947,324568744032,266568744032,58000000000,1196650000000,0,0,259389577820,51969230445,171833995982,0,0,35586351393,0,573298888570,573298888570,0,63863395525,18333957558,40905341507,4624096460,0,4540196709556,0,0,0,0,0,77812720036,24950593293,59368111786,-34417518493,0,0,0,52862126743,56329385890,-3467259147,0,663812757056,711854094231,-48041337175,2290325364769,0,2290325364769,0,0,912185153,783257963,128927190,0,0,6957967315503,2403270060989,1280084779610,0,25972955676,921043099327,25469939057,15217517,3063194929,0,0,297236879071,0,1123185281379,0,0,505635461451,58321980000,0,0,0,4554697254514,4554697254514,3629940140000,0,0,-219996488178,0,0,0,0,0,1079573282318,0,0,0,0,6957967315503
2019,3,3727716463512,126582710054,126582710054,0,1191354200000,0,0,153061663637,46188781713,61130778100,0,0,43360109529,-2038005705,2131721453478,2131721453478,0,124996436343,32386151541,92334685923,275598879,0,3795224730703,0,0,0,0,0,77450755592,24638337931,59646111786,-35007773855,0,0,0,52812417661,56329385890,-3516968229,0,660351711088,711854094231,-51502383143,2048902918528,0,2048902918528,0,0,177802835,0,177802835,0,0,7522941194215,3066609821317,1763255862489,165200000000,59927212018,795320599418,27055181145,0,180990994766,0,0,529062947676,0,1303353958828,0,0,505560084286,233814867710,0,0,0,4456331372898,4456331372898,3629940140000,0,0,-219996668178,0,0,0,0,0,981085095831,0,0,0,0,7522941194215
2019,4,4246805575470,116409466258,116409466258,0,1004733501370,0,0,444001304684,88792716450,153823878974,0,0,203422714965,-2038005705,2501528620749,2501528620749,0,180132682409,14887742048,164969617728,275322633,0,3951010378246,0,0,0,0,0,76683162124,23920453540,59727403786,-35806950246,0,0,0,52762708584,56329385890,-3566677306,0,657281553544,711854094231,-54572540687,1812065919535,0,1812065919535,0,0,107217796074,95237325199,22973311,0,0,8197815953716,3727977900912,2238234218719,0,113045307697,809938739043,45943373790,0,130254958926,0,0,1133184847756,0,1489743682193,0,0,509823273780,391662998650,19030178520,0,0,4469838052804,4469838052804,3629940140000,0,0,-219996488178,0,0,0,0,0,994414601608,0,0,0,0,8197815953716
2020,1,5905037261992,275596583341,166596583341,109000000000,1317367975781,0,0,425613576556,110319748509,108878120597,0,0,208453713155,-2038005705,3679846197966,3679846197966,0,206612928348,32893012426,173702995217,16920705,0,2751361523287,0,0,0,0,0,81871014551,29059681716,65552437066,-36492755350,0,0,0,52811332835,56429385890,-3618053055,0,730794778878,789546060149,-58751281271,1835584669659,0,1835584669659,0,0,103111060199,25968502,111152930,0,0,8656398785279,3935643595943,2848112440111,719470189630,282030901623,1025237575112,28670262821,0,39108954280,0,4574318866,748882641716,0,1087531155832,0,0,511822308453,575055127440,653719939,0,0,4720755189336,4720755189336,3629940140000,0,0,-219996488178,0,0,0,0,0,1146650090907,0,0,0,0,8656398785279
2020,2,7272328855604,404793134116,162793134116,242000000000,2594405975781,0,0,1122248695675,799176393313,30203898625,0,0,294906409442,-2038005705,3056919822556,3056919822556,0,93961227476,35128279846,58809452628,23495002,0,2995266475877,0,0,0,0,0,80697038654,27927890211,65552437066,-37624546855,0,0,0,52769148443,56429385890,-3660237447,0,727729340016,789546060149,-61816720133,2086452599647,0,2086452599647,0,0,100387497560,63222403,60176884,0,0,10267595331481,4089869262079,2998538046771,1445397358708,253479102842,1140707335334,35928631006,33482647114,4270067512,0,0,85135308192,0,1091331215308,0,0,516105026403,0,965811674,0,0,6177726069402,6177726069402,3629940140000,0,0,-219996488178,0,0,0,0,0,1393239486832,0,0,0,0,10267595331481
