disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2006-10-24,stockAlert,listedHose,Ngày giao dịch đầu tiên trên HOSE,2006-12-14,,,,,,,
2007-01-10,investorRight,DIVIDEND,Cổ tức bằng tiền,2007-01-23,2007-02-09,2007-02-09,Trả cổ tức đợt 3/2006 (500 đ/cp),500,5,3,2006
2007-03-13,investorRight,MEETING,Họp cổ đông,2007-03-20,2007-04-13,2007-04-13,ĐHĐCĐ thường niên năm 2007,,,,
2007-12-07,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2007-12-17,2007-12-19,,"Trả cổ tức đợt 4/2006, Tỷ lệ 100:20",,20,4,2006
2007-12-07,investorRight,ISSUE,Phát hành thêm,2007-12-17,2008-01-30,,Tỷ lệ 10:1 với giá 50.000 đ/cp,,10,,
2007-12-07,investorRight,DIVIDEND,Cổ tức bằng tiền,2007-12-17,2008-01-10,2008-01-10,Trả cổ tức đợt 1/2007 (500 đ/cp),500,5,1,2007
2007-12-07,investorRight,POLL,Lấy ý kiến cổ đông,2007-12-17,2007-12-27,2007-12-27,Lấy ý kiến cổ đông bằng văn bản về việc niêm yết bổ sung số lượng cổ phiếu phát hành thêm,,,,
2008-04-29,investorRight,DIVIDEND,Cổ tức bằng tiền,2008-05-13,2008-06-06,2008-06-06,Trả cổ tức đợt 2/2007 (500 đ/cp),500,5,2,2007
2008-08-22,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2008-09-04,2008-09-08,,"Trả cổ tức đợt 2/2007, Tỷ lệ 100:10",,10,2,2007
2008-08-22,investorRight,DIVIDEND,Cổ tức bằng tiền,2008-09-04,2008-09-23,2008-09-23,Trả cổ tức đợt 1/2008 (1500 đ/cp),1500,15,1,2008
2009-02-20,investorRight,MEETING,Họp cổ đông,2009-03-03,2009-04-11,2009-04-11,ĐHĐCĐ thường niên năm 2009,,,,
2009-04-17,investorRight,DIVIDEND,Cổ tức bằng tiền,2009-04-29,2009-05-22,2009-05-22,Trả cổ tức đợt 2/2008 (1500 đ/cp),1500,15,2,2008
2009-08-11,investorRight,DIVIDEND,Cổ tức bằng tiền,2009-08-26,2009-09-21,2009-09-21,Trả cổ tức đợt 1/2009 (1500 đ/cp),1500,15,1,2009
2009-09-25,investorRight,POLL,Lấy ý kiến cổ đông,2009-10-02,2009-10-15,2009-10-15,Lấy ý kiến cổ đông bằng về việc chia thưởng cổ phiếu cho cổ đông hiện hữu với tỷ lệ 2:1,,,,
2009-12-04,investorRight,KINDDIV,Cổ phiếu thưởng,2009-12-15,2009-12-17,,Tỷ lệ 100:50,,50,,
2010-03-02,investorRight,MEETING,Họp cổ đông,2010-03-11,2010-04-22,2010-04-22,ĐHĐCĐ thường niên năm 2010,,,,
