Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2015,3,40213072111,3029936779,3029936779,0,0,0,0,37108773605,11115241605,0,0,0,25993532000,0,0,0,0,74361727,73251727,1110000,0,0,129856896608,40025000000,0,0,40025000000,0,1418534545,1418534545,1418534545,0,0,0,0,0,0,0,0,0,0,0,88218640997,0,69230000000,19000000000,-11359003,194721066,194721066,0,0,0,170069968719,16155643486,15522203486,9116560000,5066665832,0,1173749265,95277000,0,0,0,69951389,0,633440000,0,0,0,633440000,0,0,0,153914325233,153914325233,150000000000,0,0,0,0,0,0,0,0,3914325233,0,0,0,0,170069968719
2015,4,48583875012,3118273395,118273395,3000000000,0,0,0,45386823629,21000000000,0,0,0,18294839629,0,0,0,0,78777988,78777988,0,0,0,110806841875,40025000000,0,0,40025000000,0,1359428939,1359428939,1418534545,-59105606,0,0,0,0,0,0,0,0,0,0,69218640997,0,69230000000,0,-11359003,203771939,203771939,0,0,0,159390716887,2601101497,2046801497,316560000,0,0,1729081802,0,1159695,0,0,0,0,554300000,0,0,0,554300000,0,0,0,156789615390,156789615390,150000000000,0,0,0,0,0,0,0,0,6789615390,0,0,0,0,159390716887
2016,1,67955266758,1439720466,439720466,1000000000,0,0,0,66433574130,35649834203,3000000,0,0,7693442927,0,0,0,0,81972162,81972162,0,0,0,101218015890,52325000000,0,0,52325000000,0,1300323332,1300323332,1418534545,-118211213,0,0,0,0,0,0,0,0,0,0,45217462836,0,45230000000,0,-12537164,2375229722,2375229722,0,0,0,169173282648,6393380538,5839080538,237420000,3009715000,0,2451418763,127812125,0,0,0,12714650,0,554300000,0,0,0,554300000,0,0,0,162779902110,162779902110,150000000000,0,0,0,0,0,0,0,0,12779902110,0,0,0,0,169173282648
2016,2,82007280371,7422565205,4422565205,3000000000,380570001,380570001,0,74142330640,6308242361,0,0,0,26150291279,0,0,0,0,61814525,61814525,0,0,0,100919657925,52140000000,0,0,52140000000,0,1241217725,1241217725,1418534545,-177316820,0,0,0,0,0,0,0,0,0,0,45217462836,0,39200000000,6030000000,-12537164,2320977364,2320977364,0,0,0,182926938296,11500638925,11104618925,316560000,5656169700,0,4755938901,175342089,790710,0,0,19817525,0,396020000,0,0,0,396020000,0,0,0,171426299371,171426299371,150000000000,0,0,0,0,0,0,0,0,21426299371,0,0,0,0,182926938296
2016,3,75174251382,2437607830,2437607830,0,121570720,121570720,0,72538473247,19914773783,0,0,0,17575752464,0,0,0,0,76599585,76599585,0,0,0,105990366929,40140000000,0,0,40140000000,0,1182112118,1182112118,1418534545,-236422427,0,0,0,0,0,0,0,0,0,0,62707557473,0,39200000000,23530000000,-22442527,1960697338,1960697338,0,0,0,181164618311,6594586749,6198566749,237420000,1286169700,0,4444492652,210325433,0,0,0,20158964,0,396020000,0,0,0,396020000,0,0,0,174570031562,174570031562,150000000000,0,0,0,0,0,0,0,0,24570031562,0,0,0,0,181164618311
2016,4,60060345658,1059558293,1059558293,0,0,0,0,58939940352,20247405172,0,0,0,37592535180,0,0,0,0,60847013,60847013,0,0,0,138640190318,40140000000,0,0,40140000000,0,1123006511,1123006511,1418534545,-295528034,0,0,0,0,0,0,0,0,0,0,95777557473,0,77200000000,18600000000,-22442527,1599626334,1599626334,0,0,0,198700535976,9988241082,9750501082,316560000,355584500,8685578114,199513140,0,0,0,0,13265328,0,237740000,0,0,0,237740000,0,0,0,188712294894,188712294894,150000000000,0,0,0,0,0,0,0,0,38712294894,0,0,0,0,198700535976
2017,1,101917733227,6460956666,6460956666,0,0,0,0,95402739668,39316519155,10000000,0,0,39480600192,0,0,0,0,54036893,54036893,0,0,0,119340537812,40240000000,0,0,40240000000,0,1063900904,1063900904,1418534545,-354633641,0,0,0,0,0,0,0,0,0,0,76829736590,0,52700000000,24500000000,-370263410,1206900318,1206900318,0,0,0,221258271039,27722390991,27484650991,6237420000,15095974482,5746884066,0,249835947,0,0,0,109536496,0,237740000,0,0,0,237740000,0,0,0,193535880048,193535880048,150000000000,0,0,0,0,0,0,0,0,43535880048,0,0,0,0,221258271039
2017,2,90310985064,1278479557,1278479557,0,447720000,482246750,-34526750,88564054210,18724182139,16432094020,0,0,47367778051,0,0,0,0,20731297,20731297,0,0,0,118872369365,40240000000,0,0,40240000000,0,1004795297,1004795297,1418534545,-413739248,0,0,0,0,0,0,0,0,0,0,76779971776,0,52700000000,24500000000,-420028224,847602292,847602292,0,0,0,209183354429,13346749613,13267289613,2816560000,7371331572,0,2318654213,310238900,0,0,0,270504928,0,79460000,0,0,0,79460000,0,0,0,195836604816,195836604816,150000000000,0,0,0,0,0,0,0,0,45836604816,0,0,0,0,209183354429
2017,3,76743381835,365080540,365080540,0,0,0,0,76368714759,6414222750,16687761260,0,0,50406730749,0,0,0,0,9586536,9586536,0,0,0,127380254331,40140000000,0,0,40140000000,0,945689690,945689690,1418534545,-472844855,0,0,0,0,0,0,0,0,0,0,85829971776,0,58350000000,27900000000,-420028224,464592865,464592865,0,0,0,204123636166,6988994989,6909534989,4337420000,37096667,0,2308732338,28082957,0,0,0,153203027,0,79460000,0,0,0,79460000,0,0,0,197134641177,197134641177,179999980000,0,0,0,0,0,0,0,0,17134661177,0,0,0,0,204123636166
2017,4,126595920365,34262378607,34262378607,0,0,0,0,45514181243,11661644750,2004066020,0,0,31568470473,0,46737228361,46737228361,0,82132154,82132154,0,0,0,128226573556,41283000000,0,0,41283000000,0,1391846814,1391846814,2040396363,-648549549,0,0,0,0,0,0,0,0,0,0,64820505503,0,19150000000,45900000000,-229494497,20731221239,280060743,0,0,0,254822493921,51291323854,32245029854,7258280000,318095774,389680000,10337910587,373868149,0,0,0,414075177,0,19046294000,0,0,0,19046294000,0,0,0,203531170067,203531170067,179999980000,0,0,0,0,0,0,0,0,15191399374,0,0,0,0,254822493921
