Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,1500000,1500000,10527.2834873333,4507.89586133333,10362.9223766667,31.409696,-13.4038106666667,-13.4038106666667,119.046938833333,0,0,7.77608929513222,8.83646339409806,8.95752292462977,0.0374739766887318,0.0331569425820331,0.0374739766887318,0.0331569425820331,0.0919444406683481,0.0813523626088571,0.130200005504668,0.115200853716621,-0.00127324496227298,0.0062757067776804,-0.00112656605562874,6.38918328498921,57.1278023683455,67.1563451476651,5.43507838607697,31.7089491437405,11.5109459586759,29399320.8347826,-87416.1565217391,0,0,0,0.316711784074884,0.0612102584341984,0.0152163102498361,0.000945273241532463,-0.00297340734546209,0.715539025608466,0.378880497940543,0.428210740858013,-0.00391868058699455,0,0,0,0,52.9203023760237,0.598444984176621,1.3975478125035,0.607936619711172,200.575007157026,-0.184603543115981,-3.01589223503167,-12.131951838848,0,0,0,0,0,0,0,0,0,0
2009,0,10595700,10595700,10257.7876353615,570.948644827619,12593.7860412243,1511.87702115009,311.956920543239,311.956920543239,340.906726525855,0,0,2.73505867550037,4.05967864699423,4.35946067481976,0.00699606238589646,0.00436683324773748,0.0519772049236718,0.0324433622894388,0.248822077559745,0.155310867903271,0.366339019171497,0.228663113709019,0.0531076283200828,0.0635388406519929,0.0344356410973977,9.1775181685272,39.771100781005,6.00031611062049,60.830128491723,2.91275857869412,125.310763023704,26302611.1130435,17171585.9304348,0,0,0,0.394330918697436,1.11171015139665,0.858511886020132,0.796879781627685,0.652847196676964,0.0906267690202569,0.0630246720736055,0.0971984476784747,-0.144032584950721,-90.969794168422,181.980598067713,20.1950961338804,20.1950961338804,18.4801281693754,0.614167520711981,11.0342673672552,0.500246707334688,4.16700559097563,8.29388218553318,7.46047175616192,9.66076570469134,-0.105332695919811,0.11393070193777,15.249085521144,49.4775797795464,753.218203351487,-197.43492248672,-24.2737486600755,8.75680309022933,5.88296846815714,6.0638
2010,0,15000000,15000000,11467.8957624667,4386.52672633333,16501.2868794,-1275.33821866667,1293.3814694,1293.3814694,1305.3695866,1309,0,1.39509133326931,1.75499826524876,2.29187633298215,0.000742915426084597,0.00041670556240634,0.210577012739366,0.118113865242869,0.338650874659793,0.18995123567193,0.339465538209251,0.190408185172007,0.138227622039684,0.234393889139474,0.0807004192147392,13.7666877828136,26.5132765236142,31.7688373204393,11.4892464057905,16.3412418264562,22.3361237705369,286077829.978261,110752043.217391,0,0,0,0.0339098351110096,0.724167299623092,0.704469048548665,0.531872300149006,0.387139552987407,0.696274083544974,0.273696936353956,0.468801488764068,-0.144732747161599,-12.5754213930074,62.5059461466568,4.87095273053709,4.87095273053709,4.82621938236599,0.549359719558954,1.43621602991261,0.381788405113109,-4.9398660745747,1.89240549797633,2.61321589494758,2.68628622062962,9.8764041999007,-0.0647016109271604,6.08488291588978,7.92485036387146,6.25938623682421,5.44972710535113,3.14602589084325,0.761224231029309,0.582674622323789,0.415668620289363
2011,0,16500000,16500000,9656.01955224242,462.889290848485,12613.6797090303,75.7317006060606,-462.762150606061,-462.762150606061,-458.823309833333,-482,0,0.658367449149263,1.23136525510372,1.69362451039842,0.0554660460319095,0.0340054783913254,0.113832434512632,0.0697891172885182,0.250250852000151,0.153425393531859,0.320645115789447,0.196583159181551,-0.0460886817440355,-0.0252187512684167,-0.0269545311248162,1.23633354445913,295.22777379601,1.64984952548362,221.23229686235,0.903392734573667,404.032472291525,33207275.2130435,-33181325.8391304,0,0,0,0.0915262383757009,-0.586535571583893,-0.773347092860511,-0.946272231485245,-0.999218563590461,0.0625526068714169,0.0269619366691485,0.0461013442449818,-0.0529463321052167,-4.93576660515153,-0.0772551703544773,0,0,0,0.766361331391618,15.9865439669941,0.586664650657194,97.7133741983842,18.0505579823702,-30.7748734379845,-23.3408234788903,-0.883922234674505,-0.686693810674102,-1.09401658769846,-1.12742703536111,-1.20651792919015,-1.29960012362029,-1.3577924700133,-0.152625627812505,-0.0737950773645655,0.1
2012,0,16500000,16500000,9784.03912921212,476.356273151515,12815.9929703636,2231.349532,153.025490969697,153.025490969697,157.603303833333,153,0,1.32461102188574,1.7833232467058,1.96132184719869,0.290852178055245,0.142684615656667,0.290852178055245,0.142684615656667,0.326417889901663,0.160132241317555,0.724660315648995,0.35549975699469,0.0157433157458193,0.0189878667232117,0.00857432145687376,2.87361395132446,127.017757493755,1.26895064102968,287.639241589274,1.02740445081245,355.264180246997,34173384.8130435,11870270.9217391,0,0,0,0.0689553883711195,0.776705855639252,0.599579558234004,0.41961708352905,0.347354263754652,0.0643724693447993,0.0266911858156252,0.0490076990977347,-0.0722628197743973,-17.3351130848792,6.92077765574015,48.357956266681,48.357956266681,46.9533304189204,0.756333851722433,15.5345912651522,0.577403562651145,3.31637867302988,17.2337611548784,22.1882724711718,28.7430765745893,0.0290933114446115,-0.224686491872433,-2.36275247354524,-1.79786077784975,-1.45634344923116,-1.35773950020227,-1.33067849384243,0.266300843656714,0.0132580072230661,0
2013,0,16500000,16500000,10338.2550290909,4579.37699872727,13668.7444113333,-473.629148787879,479.454254363636,479.454254363636,488.8390445,479.45,0,1.47442378525365,2.15152412035311,2.40772204072198,0.0125160328343455,0.00762688433816745,0.0125160328343455,0.00762688433816745,0.218662681960684,0.133246293490955,0.315397172104139,0.192193307900438,0.0476540349317774,0.0424836110687882,0.0259799536722481,7.00578655071174,52.0997888471093,11.2989823818631,32.3037940643125,19.7032657296513,18.5248478606628,328520523.821739,35024544.126087,0,0,0,0.030591208270052,0.16512577473692,0.145907817513222,0.138307394571483,0.106612955923241,0.61883472955774,0.24814046635711,0.455154562665778,-0.0316944386482423,13.7240271474475,-11.8058209172767,15.4342149071589,15.4342149071589,15.1379070130721,0.71578810729442,1.61594033469108,0.541381108411417,-15.6240383830645,1.00193621956345,6.067715480274,6.86691252490739,8.61334458436051,3.26484185353554,1.0437736638396,1.33940952129519,2.16859511867021,1.9506103404888,2.13316592762039,-0.149345070119989,0.0566448981406944,0
2014,0,26500000,26500000,11342.2946865283,5131.58947716981,13959.4012586792,1257.40874381132,1113.95521083019,1113.95521083019,1114.92893028302,1469.45,0,3.45131045854111,4.57355901143226,5.60841019910591,0.00198417185155547,0.00116446189334537,0.0186191871194202,0.0109271451808143,0.175341261739623,0.102903494708295,0.471319672150982,0.276605979151251,0.125309080768132,0.104427095827368,0.074536973709048,6.59725961614824,55.3260021943933,4.41615814269666,82.6510256666484,23.9347789723993,15.2497752505216,591248352.804348,128558815.152174,0,0,0,0.0888585781966478,0.278238954662886,0.269571399639471,0.267199701163289,0.217436233931828,0.69345803745538,0.343364927267027,0.577253693875485,-0.0497634672314616,-50.9636814328783,-3.95890831128214,6.64299599127065,6.64299599127065,6.63719435293651,0.652425298805653,1.44204832302394,0.530108696130434,5.88511892924327,0.474636037005135,1.70585760566921,1.76070620859602,0.799730336254941,4.22769409450061,2.03256767898571,2.32508452245128,2.47694647500054,2.67053500223636,1.32338163795982,0.829574441897198,0.762039399018916,0.606060606060606
2015,0,55650000,55650000,12863.2505474214,5584.53419613657,12862.6568068464,-616.796386864331,1564.18841906559,1564.18841906559,1497.73699647799,2335,0,2.52504893886292,5.04273140742921,5.21565761806487,0.00654336262345686,0.00541529862486832,0.00800178930554247,0.00662229515867757,0.133158733185877,0.110202406042068,0.208310580215874,0.172398209224203,0.171283291953284,0.185574061013639,0.126419835873789,5.14476080997722,70.9459610429617,8.36845761757528,43.616161624985,9.60761117913425,37.9907131121943,1351214469.63043,379338374.465217,0.0675675675675676,3.12837683813118,0.319654585026712,0.280135813131683,0.488597678883169,0.366959614529109,0.365207028942163,0.280738833835141,0.754666783261698,0.451349650657106,0.611523132047847,-0.0844681951070213,-47.541575632844,73.31913204114,4.73088785839534,4.73088785839534,4.94078734611051,0.575282271982445,1.3250881344982,0.575308827027184,-11.997476245962,0.569051663283293,1.16466305076198,1.5507201358207,1.28535853541324,6.20482799306788,3.01317233660414,2.11099133045143,2.12361502334102,1.95069905565167,0.404175323979012,0.688860086441358,1.38160150976055,1.1
