Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2013,4,17335432,17335432,20416.1035507509,0,21837.6632872489,3421.27982227383,2041.00383665085,2041.00383665085,2043.388284007,2041,0,0.0199058481150428,0.174041429726863,1.5204973226213,0.0698459032201676,0.044278699687984,0.212331098611651,0.134606963563903,0.424356305810206,0.269020007751105,0.50778607382033,0.321910177001459,0.100146198525564,0.144257633252288,0.0606550891445464,12.7137198434068,28.7091429177028,0.470545621153793,775.695243120121,5.16250289559699,70.7021395206,0,0,0,0,0,0.477879119742674,0.411669739170503,0.339105673383273,0.273088856007176,0.209652570539006,0,0.322736814039763,0.53286320251398,-0.0634362854681692,0,0,0,0,0,0,0,0,0,0.383292891813242,0.931068901458632,1.13030515823906,0.0929033368624168,0.212181967009584,0.0780167839961039,0.0266711088111615,0.0970614350251133,0.0724053450901772,-0.139352780205095,-0.0823311849714314,0.00352537607032821,0
2014,1,17335432,17335432,20360.1105800536,0,21859.5284665534,0,1869.75882014362,1869.75882014362,1870.57401508656,2041,0,0.173644921717393,0.304575990791609,1.56177327027296,0.0671905703759471,0.0419941310678466,0.203664469272937,0.127290367809898,0.432303912213592,0.270190103299664,0.526354184063876,0.328971557616076,0.0919875100993296,0.129677388051544,0.05576253091971,15.397445240273,23.705231244812,0.542539412199242,672.762184263136,9.46381677271011,38.567948721547,0,0,0,0,0,0.447959019552207,0.377194516714454,0.304431955902393,0.24987834979477,0.202615057084983,0,0.326133083669039,0.537998721236794,-0.0472632927097868,0.31053200014979,-6.6176629554233,0,0,0,0,0,0,0,0.239427099362362,0.634757634993973,0.786471639130837,0.173674468937819,0.541216600794797,0,0,0.897092531529995,0.887672204937832,0.0833083858188637,0.011543121476463,-0.00435036928526267,0
2014,2,17335432,17335432,20406.77136624,0,21424.7543666059,0,1638.22577966329,1638.22577966329,1661.24805699968,2041,0,0.128090033434685,0.287512297042161,1.73437736716982,0.0585142143026153,0.03808397455043,0.196796141153636,0.128084762320442,0.363017206233851,0.236269737333895,0.4865678360342,0.316682660878795,0.0800995142197084,0.122121138491068,0.0503938374799028,15.0772443875514,24.208667752402,0.555718687540911,656.807136746017,10.6576935432968,34.2475600857907,0,0,0,0,0,0.422817841856761,0.386076153382574,0.288861749553353,0.239198256225346,0.192893939557385,0,0.321066098062956,0.510325066978996,-0.0463043166679611,6.11071239892627,-0.383765116058509,0,0,0,0,0,0,0,0.293856006924729,0.761134828841756,1.01728943821429,-0.617873311352686,0,0,0,0,0,-0.123830430955017,-0.0375159315275688,0.0022917746936042,0
2014,3,17335432,17335432,20416.8117262379,0,22048.9339937995,0,1380.48433947305,1380.48433947305,1402.52088429351,2041,0,0.154418208923384,0.261654861854407,1.88150961489432,0.109624880478314,0.0703454154485546,0.218685861898409,0.140328981348464,0.351070155368177,0.225278931417841,0.478439771065745,0.307011002574267,0.0676436396577901,0.103000251862981,0.0431564008931072,12.7815824722372,28.5567143812446,0.468581369305933,778.946889289776,9.50468431153663,38.4021171073477,0,0,0,1.38048433947305,0.724383443843856,0.41152486441384,0.408054250458214,0.280395529732633,0.230980573516333,0.186424852375308,0,0.275446998487215,0.43173752038866,-0.044555721141025,-4.85572395212695,10.5802456832796,0,0,0,0,0,0,0,0.3811197854377,0.933992931110831,1.3592220453768,0.374852507395042,0,0,0,0,0,-0.157329620489317,0.0147705327732193,0.000492011196565834,0
2014,4,17335432,17335432,20626.9968021564,0,21718.4305987875,4290.09093548981,1858.82949101009,1858.82949101009,1910.69521570042,1859,0,0.155881337828207,0.369932186848045,1.8600539770755,0.0608538726077717,0.0403607710347455,0.122092276809457,0.0809765791107262,0.389254058783832,0.258169172604361,0.45483514034377,0.30166522147724,0.0905793897160315,0.129951250496442,0.0587261602247976,12.2947462383813,29.687477311289,0.403886493848634,903.719251718263,8.06505454716033,45.2569784699739,0,0,0,1.03268305056116,0.968351324694057,0.467812944201669,0.439742721309499,0.337774186976626,0.29407101414382,0.233871206427184,0,0.283279504676,0.436931080703911,-0.0601998077166366,0,0,0,0,0,0,0,0,0,0,0,0,-0.17434613244811,-0.191737929711321,-0.118042343096283,-0.17758803309304,-0.110908904476234,-0.0789682873947662,-0.0892572284134956,-0.03429200019763,0.0103297502817479,0
2015,4,17335432,17335432,15741.9551138107,0,15762.00251335,4844.21534029264,4116.41035856505,4116.41035856505,4216.13553476775,2790,0,0.522739049200643,1.38937296923178,3.09825978861558,0.00473330503470948,0.00350890219594324,0.0301016241575919,0.0223149901249741,0.277773715341877,0.205919709925951,0.348941854287595,0.258678202606352,0.185968408768206,0.224709744374175,0.130693500139058,21.4507127776933,17.0157515874981,0.550197802703572,663.397778410704,25.4220394659036,14.3576206971728,0,0,0,4.11641035856505,0.242930104847125,0.432455387037663,0.580279283841156,0.483803035417083,0.475488753789981,0.372342197225988,0,0.356841440982196,0.507762320937187,-0.103146556563993,0,0,0,0,0,0,0,0,0,0,0,0,0.25347840114359,0.158739820752415,0.654075243724214,0.795390763075053,1.02677195029814,0.995640716902182,1.21451745761156,0.0254890558456946,0.146216264568978,0.499999711573383
2016,1,26003143,26003143,15153.4249045587,7308.69195069996,15293.7134579847,6981.34784806591,2764.99314825135,2764.99314825135,2797.56655652165,2790,0,0.651593422409942,1.42896004417581,2.76012466460762,0.00487823745740391,0.0034751262788887,0.0286093539544397,0.0203805408443589,0.330411042088155,0.235376015460839,0.403758328737311,0.287626666550569,0.186459223809952,0.216615945740193,0.122129444246702,24.3343435976813,14.9993772601608,0.479392874357556,761.379694033091,34.0968761327205,10.7047929722141,0,0,0,0,0,0.448089264819187,0.612930398344478,0.5149288838812,0.509757635283032,0.40898773660635,0.46552178029936,0.322824122249213,0.492866692655427,-0.100769898676682,0.0155928121213568,-17.045687883919,5.67813341958156,5.67813341958156,5.61202019069051,1.03606940997721,2.14812720332212,1.02656559135435,2.24884941155732,1.75748325098835,2.86734555136326,3.41306014481375,0.406246042957341,-0.431762628479005,0,0,-0.694105919548559,-0.684101653584993,-0.0297230255748232,-0.0620243975391191,-0.0378166340715629,0
2016,2,26003143,26003143,15413.1117971777,7870.74211548196,15421.202063266,3506.33658654263,3316.11285658814,3316.11285658814,3356.10984433689,2790,0,0.763295229982786,1.92983283067938,4.15104780872969,0.00229426592692718,0.00182207902798837,0.0259788209714824,0.0206320742109444,0.188950046396135,0.150061905568611,0.259147321101714,0.205811755907139,0.217768770637972,0.184516425833768,0.152768771690061,30.9990728632786,11.7745456972159,0.504170641658379,723.961234234897,37.2629854648553,9.79524306618562,4263834015.52083,1889072402.64583,0,0,0,0.51028773817881,0.487889488527825,0.403151607174689,0.564714551637914,0.443045483423932,0.420895300293153,0.362594295571873,0.516870778716652,-0.121669068213982,15.6378399054368,9.39364261028901,5.63913256536145,5.63913256536145,5.57192728109135,1.21325273222401,2.37588777851285,1.21261623596414,5.33320163037708,1.95994222083362,4.01718476605762,4.86155130217392,0.0854960493816803,0.170384373391832,0,0,0.385780716283908,0.391541707624387,0.199320460770522,-0.0955397631774788,0.00833601372430137,0
2016,3,26003143,26003143,15950.3544654583,6891.15525603963,15957.8204121709,6075.78231554547,3424.82555951025,3424.82555951025,3465.18582936301,2409,0.0477726595670791,1.46123000341517,2.46435875591839,4.96857786361478,0.00467522280152002,0.00381069935604611,0.0236351791886122,0.019264656667228,0.156572560467995,0.127619790688028,0.226867397477117,0.184915988430077,0.218952236801128,0.184727072373761,0.164353462912545,34.0426536298376,10.7218433665255,0.405657300971634,899.774265434762,34.327707380586,10.6328102821811,3733160324.125,1917650193,0.0568181818181818,3.42482555951025,0.291985674196791,0.579290876994917,0.521526504395129,0.459807211101092,0.65381184051623,0.513680106532652,0.391542912274979,0.330698661907925,0.44055787111957,-0.140131733983578,-4.61296619533164,-6.32017523382157,5.13894786586351,5.13894786586351,5.07909268555312,1.10342375388046,2.55399847283586,1.10290751151558,2.89674630951947,2.01252086641076,3.85890429240006,4.37687973964439,-0.28486260466631,-0.197286321464903,0,0,-0.275172227055353,-0.2749389114958,0.0327831734393851,0.00826902498625293,0.0347974397004516,0
2016,4,26003143,26003143,15532.6770793054,7408.58205106206,15542.7169900192,3686.41528849032,2405.68779524075,2405.68779524075,2475.55046413043,2406,0.407492244662581,1.38324471391073,2.22611041552541,4.18164519876782,0,0,0.0230045320536422,0.0182935039707062,0.190189622791057,0.151241268963977,0.25752464320011,0.204786955542095,0.153694895428265,0.165232566914817,0.117904561254466,32.1288024533175,11.3605230238611,0.597535991734972,610.841865676085,40.7905524578808,8.94815044186737,4013467052.10417,1304808203.45833,0.09375,1.60379186349383,0.62352230533301,0.465153225610238,0.468650873680952,0.373272271109607,0.408744289650997,0.325107490984448,0.463036378191379,0.363100157042933,0.47332045573925,-0.0836367986665496,0,0,6.65090459021877,6.65090459021877,6.46320898395428,1.03008643766355,2.15965752821841,1.02942104718721,4.34025977755545,1.524800172314,3.25359507032959,4.08495430903911,-0.0112504180105679,0.0635086789729469,0.135610043033193,0.184568464005896,-0.15004142093443,-0.136681530572249,-0.123379186069621,-0.0807390297337146,-0.0139122883114025,0
