Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,184000000,184000000,10561.8339115978,0,10286.1985868859,0,0,0,0,0,0,0.106437061759843,0.62664323776058,1.20735230056808,0.56887814237122,0.210102585785566,1.42664549471122,0.526900025001414,1.13730274768625,0.420037667669753,1.70762085218612,0.630672071685146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937337216515867,0,0.962454682978973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,184000000,184000000,11161.1457366304,45262.7511454348,10901.0564880109,-634.581158494565,1148.44507008152,1148.44507008152,1112.11477400272,1148,0,0.0726219450241712,0.535338148349095,1.04087642784826,0.652672692855556,0.226680484687508,1.65756323411657,0.575690145187202,1.22549464063558,0.425627917579656,1.87926282562569,0.652688878868607,0.105731627199675,0.16454057097133,0.0378178964583459,11.8627172951325,30.7686671543429,5.93008846625152,61.5505151528913,28.2922573289193,12.9010561354859,2025868696.36585,51402065.8951593,0.101010101010101,1.14844507008152,0.870742559702064,0.1154278212606,0.0853638005586854,0.0636977381141543,0.0338020819421855,0.0253728516499456,4.57199506519543,1.49048664218344,4.16711643840401,-0.00842923029223995,-16.9500046848257,0.50519764416826,8.62035134105043,8.62035134105043,8.90195889077885,0.887005710131407,0.218722895746882,0.90816885600842,-15.6008413856567,0.606722552789252,7.10749227211534,9.52502507548901,0,0,0,0,0,0,0,0.123726503269137,0.0567376084343798,0
2011,0,184000000,184000000,10687.2781794891,52626.9179055761,11282.2027603043,-516.628625956522,686.617124451087,686.617124451087,611.097078955163,689,0,0.0707730320756634,0.465667017018532,0.88464931169176,1.54251884636949,0.328093064144968,3.1609218516955,0.672326654735175,2.07919986076494,0.442244874280618,3.62229494710353,0.770460504407576,0.06285168867126,0.147973886902968,0.0166689320164449,8.07146606477907,45.2210288776071,5.9521697300173,61.3221760393145,21.1195882456116,17.2825339090521,2355473825.01241,30824375.2807103,0.0606060606060606,1.14436187408514,0.873849455006919,0.110294376991643,0.0844652689466596,0.0653500282949712,0.0176829038118633,0.0130862737481483,5.31585029349253,1.27761817403604,4.81737280085105,-0.00459663006371505,-98.3956766395157,37.5969202544404,14.4185160076142,14.4185160076142,16.2003719882392,0.926335015682472,0.18811665957263,0.87748821842065,-19.1627012182503,0.801174645783023,9.48525536915025,12.25974443602,0.1626981695496,0.110989264453614,0.150459714212005,0.192858028057568,-0.3917569950413,-0.400328085186687,-0.40213324752019,0.563491955979639,-0.0424895291773413,0
2012,0,184000000,184000000,10068.8120430815,43155.1529182826,10667.3670107065,5062.96540590761,4.80791201630435,4.80791201630435,-32.6980372404891,5,0,0.0662561594584612,0.257758427173747,0.753761981577452,1.92544025564818,0.379375690540208,3.47234734802535,0.684167773623864,2.06611693928095,0.407093670279924,3.99179559071165,0.786516332708432,0.000463277232344665,0.0744177756620414,0.0000948792733186846,7.37395092862643,49.4985664446224,4.20852824733727,86.7286563256253,11.8509727980355,30.7991593787562,1931536885.66383,215192.364631477,0,0,0,0.0921490038561449,0.0729563051227211,0.0502873588186158,0.000407385300007365,0.000111409917267782,4.35910635538208,0.851623227496302,4.15831232717949,-0.000295975382739583,-4.64243815143977,37.1021315202977,2059.10590011373,2059.10590011373,0,0.983234164829056,0.229404817977273,0.928064065862144,1.9553757938872,1.00888093445108,13.8285639980536,20.0623170147007,-0.179979473703701,-0.31488733423354,-0.291712813213826,-0.368987779800771,-0.981108062811873,-0.993018759904401,-0.992997681174719,0.0170404806558861,-0.0578693775927495,0
2013,0,184000000,184000000,8497.58264234783,40545.4765513533,9098.63410663587,6336.33271916848,-1567.45231991848,-1567.45231991848,-1587.51664959647,-1567,0,0.0837277390982692,0.190674794343457,0.5524474308251,2.34252878401099,0.42620101115862,3.59364524941502,0.653829848111213,2.04354900641777,0.371804461414619,4.3979752813081,0.800170108789294,-0.168848324779888,-0.0175337859350289,-0.0320518240178609,11.5885811426992,31.4965219214907,4.7789826346681,76.3760883649558,10.9214808815497,33.4203762254088,1814733078.43566,-70155978.3179275,0,0,0,0.0823574322032925,0.0103275959592819,-0.0128953222763591,-0.0386591169531133,-0.0386591169531133,4.09550268195487,0.8290883637289,4.36761980323221,0,13.4639049532998,24.5933653734406,0,0,0,1.16503721313203,0.244170271064913,1.08807540604141,1.56241795353499,0.961472145617351,93.0973819471737,-74.5597608971752,-0.0604719527207089,-0.160304352527886,-0.867001679314874,-1.24092569667548,-90.1571803397021,-327.015183847586,-327.015183847586,-0.0860402402405045,-0.15604913409952,0
2014,0,184000000,184000000,9041.5306307337,37218.4508837554,9216.51208971739,-659.486325891304,-112.447509255435,-112.447509255435,-124.395295641304,-112,0,0.0256881012315197,0.265512269485196,0.697219719843309,2.34089843430334,0.409613617807047,3.46381360044808,0.606102853288052,2.32125424202856,0.406176250107253,4.67045401781777,0.817242448030058,-0.0128224850942739,0.0342372492726522,-0.0022860608032944,8.49535232328312,42.9646689284032,4.6593614254977,78.3369150121278,7.09567906904493,51.4397560047947,1665822175.28849,-19192624.7725614,0,0,0,0.0772906433648312,0.0605335136657597,0.0276079156163387,-0.0115214127037525,-0.0115214127037525,3.75943948320762,0.756652079606456,4.24405160104384,0,-0.393557519536159,14.2614857348736,0,0,0,1.09494734955033,0.265997099957779,1.07415906403955,-15.0116835047641,1.09298054760874,18.0557922615184,39.5893903327459,-0.082056642333059,-0.138530296677768,4.38037477500127,-2.96524772440218,-0.72642923336361,-0.72642923336361,-0.928260969838443,0.106328971176105,0.064012085704833,0
2015,0,284000000,284000000,9154.31620702817,27814.5664554507,8821.6826996338,-2997.86812642958,306.52534318662,306.52534318662,314.97227434419,331,0,0.0208904375101093,0.139296973290416,0.928555025065167,1.46368638659157,0.345979575188465,2.62076900249791,0.619485536285405,1.63783189512529,0.387143303713522,3.23055721076672,0.763624517958294,0.0408368065259392,0.0520952336370833,0.00849040736591272,9.81715943773555,37.1797975081264,3.73776330152101,97.6519834339083,8.77307982607302,41.6045456368975,1921512253.30771,14626032.4449039,0,0,0,0.0693741597310478,0.0652025372700306,0.0408435682171706,0.00761172999012966,0.00761172999012966,2.80955216721724,0.770432217636405,3.70559268325355,0,-36.591478181666,-0.796327442020671,32.2974925892919,32.2974925892919,31.4313379506592,1.08145707184545,0.355928610854186,1.12223487707294,-3.30234672857034,1.20721396293019,18.5148310706164,29.5570151097297,0.15349182032286,0.0353455775210572,0.242462048718294,0.706493257441832,-1.76206525257629,-1.76206525257629,-3.72594159902928,0.1568414913428,0.562731868722027,0.543478260869565
