Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2014,4,106060094293,0,106060094293,-95251988395,10808105898,459464761,-1036884966,-1036884966,0,-2825333896,7405351797,502607545,-4076725617,-3574118072,0,3831233725,-975500860,0,-975500860,2855732865,0,2855732865,293,0
2015,1,30889056942,0,30889056942,-26365946463,4523110479,6495446,-1346601451,-1346601451,0,-3348061310,-165056836,421869976,-33665890,388204086,0,223147250,96000653,0,96000653,319147903,0,319147903,33,0
2015,2,169527484661,0,169527484661,-156593795724,12933688937,37447746,-5188798036,-5188798036,0,-3565170656,4217167991,51655888,-38377157,13278731,0,4230446722,-930698279,0,-930698279,3299748443,0,3299748443,319,0
2015,3,109022820082,0,109022820082,-100949498078,8073322004,20499247,-2511734118,-2507234118,0,-3774568410,1807518723,1859375573,-2259881147,-400505574,0,1407013149,-309542892,0,-309542892,1097470257,0,1097470257,102,0
2015,4,133383931191,0,133383931191,-122318146898,11065784293,134548096,-2667548237,-2665048237,0,-3794567626,4738216526,187002038,-157871702,29130336,0,4767346862,-1509294648,0,-1509294648,3258052214,0,3258052214,304,0
2016,1,84121153206,0,84121153206,-76499804477,7621348729,15419336,-2116790288,-2116790288,0,-4088141319,1431836458,484634232,-34027729,450606503,0,1882442961,-376488592,0,-376488592,1505954369,0,1505954369,140,0
2016,2,192475158154,0,192475158154,-180580133119,11895025035,56352624,-1850189475,-1850189475,0,-5159040187,4942147997,49989037,-1281976607,-1231987570,0,3710160427,-742032085,0,-742032085,2968128342,0,2968128342,256,0
2016,3,246471600386,0,246471600386,-231399946171,15071654215,29195850,-2259621766,-2259621766,0,-4786787994,8054440305,113443977,-6205027,107238950,0,8161679255,-1632335851,0,-1632335851,6529343404,0,6529343404,608,0
2016,4,330809743483,0,330809743483,-314949304805,15860438678,109533612,-2909974674,-2909974674,0,-4916452516,8143545100,210950370,-134890404,76059966,0,8219605066,-1971158245,0,-1971158245,6248446821,0,6248446821,582,0
2017,1,308532357835,0,308532357835,-292073998933,16458358902,190965661,-3130190186,-3130190186,0,-5812629469,7706504908,76693862,-227917398,-151223536,0,7555281372,-1480282874,0,-1480282874,6074998498,0,6074998498,538,0
2017,2,406837269222,0,406837269222,-378445242811,28392026411,112677883,-4083233841,-4083233841,0,-13842782692,10578687761,184785780,-47777517,137008263,0,10715696024,-3598051823,0,-3598051823,7117644201,0,7117644201,630,0
2017,3,366983570701,0,366983570701,-348047621586,18935949115,550226156,-3934986319,-3934986319,0,-6699866062,8851322890,1494340277,-648410985,845929292,0,9697252182,-1890141236,0,-1890141236,7807110946,0,7807110946,691,0
2017,4,320902203039,0,320902203039,-302022029742,18880173297,328542856,-4577900171,-4577900171,0,-7031564398,7599251584,1563176460,-591150535,972025925,0,8571277509,-1875790987,0,-1875790987,6695486522,0,6695486522,593,0
2018,1,407607505570,0,407607505570,-393030214624,14577290946,74549049,-4698846344,-4698846344,0,-7097107204,2855886447,391402279,-239857492,151544787,0,3007431234,-601486247,0,-601486247,2405944987,0,2405944987,213,0
2018,2,243567723313,0,243567723313,-221660798282,21906925031,329197579,-4873986695,-4873986695,0,-6887148037,10474987878,628161246,-1324605376,-696444130,0,9778543748,-1955708750,0,-1955708750,7822834998,0,7822834998,692,0
2018,3,251543804336,0,251543804336,-238777448815,12766355521,446681360,-4668263455,-4668263455,0,-7293019155,1251754271,3876923329,-3389995252,486928077,0,1738682348,-347736470,0,-347736470,1390945878,0,1390945878,123,0
2018,4,345297586925,0,345297586925,-325246782233,20050804692,28142287,-3924099232,-3924099232,0,-13278132194,2876715553,-3498491331,1611416505,-1887074826,0,989640727,-430482534,0,-430482534,559158193,0,559158193,49,0
2019,1,104126979188,0,104126979188,-92197582354,11929396834,103948409,-3797427761,-3797427761,0,-7867016476,368901006,25686523,-27908161,-2221638,0,366679368,-73335874,0,-73335874,293343494,0,293343494,26,0
2019,2,196258106650,0,196258106650,-180326558494,15931548156,94460366,-4449435868,-4449435868,0,-11248881290,327691364,80614489,-14717652,65896837,0,393588201,-78717639,0,-78717639,314870562,0,314870562,28,0
2019,3,167898017903,0,167898017903,-154638044777,13259973126,18074503,-4354196411,-4354196411,0,-6434843082,2489008136,2709731619,-5039648814,-2329917195,0,159090941,-2326894718,0,-2326894718,-2167803777,0,-2167803777,-192,0
2019,4,119317434623,0,119317434623,-98099579267,21217855356,8498880,-4210155298,-4210155298,0,-8680815605,8335383333,513787515,-4863223151,-4349435636,0,3985947697,-1594183144,0,-1594183144,2391764553,0,2391764553,212,0
2020,1,43616910287,0,43616910287,-42698521665,918388622,10339657,-3756785210,-3384006763,0,-5384646349,-8212703280,2583005011,-3470741952,-887736941,0,-9100440221,0,0,0,-9100440221,0,-9100440221,-806,0
