Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2007,0,416703038,-4796941,411906097,-256649045,155257052,809542,-10938117,-9397606,-57770623,-39346116,48011738,2186099,-552953,1633146,0,49644884,-13625593,0,-13625593,36019291,0,36019291,3118,0
2008,0,499381348000,-14884571000,484496777000,-292017590000,192479187000,8008383000,-19670625000,0,-61685305000,-58331684000,60799956000,3987161000,-1990629000,1996532000,0,62796488000,-23593888000,2354146000,-21239742000,41556746000,0,41556746000,0,0
2009,0,633590880000,-8230518000,625360362000,-390295381000,235064981000,10675869000,-21429058000,-12390630000,-85967235000,-59264351000,79080206000,2715555000,-2772140000,-56585000,0,79023621000,-30339217000,2345415000,-27993802000,51029819000,-7591014000,58620833000,3790,0
2010,0,821332458000,-7964864000,813367594000,-521341894000,292025700000,9332831000,-35258962000,-23170806000,-95708718000,-79504826000,90886025000,5254144000,-2675728000,2578416000,0,93464441000,-25423887000,2907082000,-22516805000,70947636000,-160848000,71108484000,4590,0
2011,0,1052921937168,-9329515761,1043592421407,-631927240425,411665180982,9431652493,-64968768000,-41950914818,-131556417782,-115354956577,109216691116,6888804181,-7854417302,-965613121,0,108251077995,-36182263909,10729697264,-25452566645,82798511350,2267152395,80531358955,4750,0
2012,0,1242119995157,-25775146727,1216344848430,-758032878599,458311969831,8352832014,-40434203822,-39797840212,-156255590333,-137895477685,132079530005,7538992828,-3914767822,3624225006,0,135703755011,-44668311603,9117846835,-35550464768,100153290243,0,100153290243,4729,0
2013,0,1430683066402,-24475522325,1406207544077,-888835000645,517372543432,9722864825,-25269346002,-22624742928,-191629937864,-146853340640,163342783751,12526532426,-10319384801,2207147625,0,165549931376,-43644475650,-5342891267,-48987366917,116562564459,0,116562564459,5003,0
2014,0,1647967680135,-34390771170,1613576908965,-1017801890106,595775018859,11227392757,-17406903143,-14851757462,-242030871518,-162474939545,185089697410,10300702921,-3937076393,6363626528,0,191453323938,-48711764990,4656199011,-44055565979,147397757959,0,147397757959,5501,0
2015,0,1914545057539,-30803467082,1883741590457,-1157540036355,726201554102,17608842128,-19113326491,-11131608073,-285632790806,-188479071476,250585207457,3361401215,-4743951243,-1382550028,0,249202657429,-58149936958,-3194734146,-61344671104,187857986325,0,187857986325,4413,0
2016,0,2180202835116,-17886928878,2162315906238,-1315991880972,846324025266,20405977867,-16302234359,-10697412010,-309782396478,-238920077749,301725294547,6460309364,-1821984864,4638324500,0,306363619047,-65883045149,-407674877,-66290720026,240072899021,0,240072899021,5514,0
2017,0,2520900957811,-23500239936,2497400717875,-1563850760815,933549957060,18669699664,-12149140252,-9500290007,-371405879821,-248369871852,320294764799,14976961586,-666120533,14310841053,0,334605605852,-68249146618,1701622845,-66547523773,268058082079,0,268058082079,4833,0
2018,0,2881394732494,-25618382280,2855776350214,-1789107482383,1066668867831,13513154919,-16908537876,-11068142459,-432623981454,-272748858876,357900644544,11305534329,-935307493,10370226836,0,368270871380,-73015976515,-870652717,-73886629232,294384242148,0,294384242148,4031,0
2019,0,3298710950005,-46229433953,3252481516052,-2054990358755,1197491157297,29972019720,-14334036161,-11434553822,-500044195759,-285140218494,427944726603,9723383622,-817351647,8906031975,0,436850758578,-94012038665,6248329163,-87763709502,349087049076,0,349087049076,4084,0
