date,open,high,low,close,volume,unadjusted,putthrough
2006-12-08,9.3500,9.3500,9.3500,9.3500,2800,35.0000,0
2006-12-11,9.3500,9.3500,8.9500,9.2400,800,34.6000,0
2006-12-12,8.3600,8.3600,8.3600,8.3600,600,31.3000,0
2006-12-13,8.1500,8.1500,8.1500,8.1500,1000,30.5000,0
2006-12-14,7.8800,7.8800,7.8800,7.8800,600,29.5000,0
2006-12-18,8.0100,8.0100,8.0100,8.0200,100,30.0000,0
2006-12-19,8.2900,8.2900,8.2900,8.2800,400,31.0000,0
2006-12-20,8.4100,8.4100,8.4100,8.4200,100,31.5000,0
2006-12-25,7.5900,7.5900,7.5900,7.5900,7500,28.4000,0
2006-12-26,7.0800,7.0800,7.0800,7.0800,100,26.5000,0
2006-12-27,7.7500,7.7500,7.7500,7.7500,200,29.0000,0
2006-12-28,6.9700,6.9700,6.9700,6.9700,100,26.1000,0
2006-12-29,7.6600,7.6600,7.6100,7.6100,600,28.5000,0
2007-01-02,8.3800,8.3800,8.3800,8.3900,6900,31.4000,0
2007-01-03,9.2200,9.2200,8.9800,9.1600,4000,34.3000,0
2007-01-04,9.8800,10.0100,9.8800,10.0200,4300,37.5000,0
2007-01-05,10.1500,10.2900,10.1500,10.2100,3600,38.2000,0
2007-01-08,9.6200,10.6900,9.6200,10.5000,2900,39.3000,0
2007-01-09,10.9500,11.4900,10.9500,11.4900,1900,43.0000,0
2007-01-10,11.4900,11.4900,10.6900,10.6900,5200,40.0000,0
2007-01-11,11.4900,11.4900,10.6600,11.0900,2800,41.5000,0
2007-01-12,10.6900,10.6900,10.6900,10.6900,1400,40.0000,0
2007-01-15,10.6900,11.4900,10.6900,11.4900,8300,43.0000,0
2007-01-16,12.0200,12.0500,11.2200,12.0500,15500,45.1000,0
2007-01-17,12.5600,13.1500,12.5600,13.0900,8700,49.0000,0
2007-01-18,13.3600,13.8900,13.2200,13.3600,5800,50.0000,0
2007-01-19,13.1700,13.1700,13.0900,13.0900,3600,49.0000,0
2007-01-22,12.2900,12.4200,12.2900,12.3700,1100,46.3000,0
2007-01-23,12.2600,12.6900,12.2600,12.3400,1700,46.2000,0
2007-01-24,12.5500,12.5500,12.3700,12.5600,6100,47.0000,0
2007-01-25,12.5600,12.5600,12.4300,12.4200,2500,46.5000,0
2007-01-26,12.5500,12.8200,12.5500,12.8200,1200,48.0000,0
2007-01-29,13.3500,13.6200,13.3500,13.6300,3700,51.0000,0
2007-01-30,14.8600,14.8600,13.9000,14.4300,18700,54.0000,0
2007-01-31,15.2300,15.7400,14.7000,15.6300,18600,58.5000,0
2007-02-01,16.3000,16.7000,15.6300,15.6300,1900,58.5000,0
2007-02-02,16.2200,16.4300,15.6300,16.0300,17700,60.0000,0
2007-02-05,17.7700,17.7700,15.5000,15.5000,10800,58.0000,0
2007-02-06,15.2300,15.7700,14.7500,14.8300,10300,55.5000,0
2007-02-07,15.7700,15.7700,14.7000,15.1000,10000,56.5000,0
2007-02-08,15.4500,15.4500,15.1800,15.1800,5500,56.8000,0
2007-02-09,14.7500,15.5000,14.7500,15.5000,3800,58.0000,0
2007-02-12,15.5000,15.8700,15.5000,15.5000,3200,58.0000,0
2007-02-13,15.7400,15.8700,15.7400,15.8200,11000,59.2000,0
2007-02-14,16.0300,16.0300,15.5000,15.5000,3500,58.0000,0
2007-02-15,16.0300,16.5700,15.9500,16.3000,9600,61.0000,0
2007-02-26,17.8200,17.8200,16.8300,17.4700,51600,65.4000,0
2007-02-27,18.8600,18.8600,18.1600,18.8600,30700,70.6000,0
2007-02-28,20.6800,20.6800,20.6800,20.6800,33400,77.4000,0
2007-03-01,22.7400,22.7400,21.3700,22.4400,28900,84.0000,0
2007-03-02,22.9700,22.9700,21.3700,21.7700,16700,81.5000,0
2007-03-05,22.4400,23.7700,22.4400,23.0000,7600,86.1000,0
2007-03-06,23.8000,24.6600,23.2400,24.0700,17600,90.1000,0
2007-03-07,24.5800,25.9100,24.5800,24.5800,9800,92.0000,0
2007-03-08,25.1100,25.1100,24.5800,24.9800,5000,93.5000,0
