Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2006,0,4290000,3709342.236295,20406.6809641026,29893.943413986,20491.2630144522,7520.24885617716,3710.43007109557,4291.25812367723,3676.81685885781,3710,0,0.665765921108739,0.960919237983799,1.05685024258543,0.142546029616986,0.0878812882584079,0.197361731888819,0.121675807442014,0.477187309088459,0.294191536417649,0.622029358489157,0.383488347626795,0.183380592340906,0.23483471199968,0.121594648341965,25.3461290788348,14.4006210520246,75.9050505710561,4.80863917821011,207.662716546182,1.75765783126904,126599227.291214,15713469.8963475,0.0576923076923077,2.47362004739705,0.40426580511113,0.239068507349406,0.250569187232904,0.17256988172529,0.167630607306659,0.124119793086904,1.14976705438408,0.979655583673334,1.47744842124019,-0.0435108142197551,43.9242428388383,56.5236777092252,7.00727395525959,6.05882919429705,7.07133398210016,1.27409254085643,0.869741393430075,1.26883345266041,3.45733239647296,0.847025449235441,3.38040546241677,4.9083040491608,-0.00393186319965877,0.0688401831644088,0.133695388345231,0.0785986839520161,0.0907162730703279,-0.0880050298812251,-0.0880050298812249,0.28237556872443,0.0938295397120574,0
2007,0,6348000,5767342.236295,27875.3651127914,21296.3778569628,28012.8695537177,650.064042848141,2770.34899354127,3049.26856955476,2939.20394391934,3199,0,3.51075810728207,3.99621418625798,4.38601223551838,0.0536968153729626,0.0454741364337703,0.0715962882672301,0.0606326345091765,0.124816449322154,0.105703107460491,0.180821002531142,0.153131594156561,0.129665044167331,0.168074273713712,0.0976147535951888,18.4003615638054,19.8365667291004,59.4560814090154,6.13898513575189,302.912084802222,1.20497008311279,133454498.159921,17360489.053307,0.0576923076923077,1.84689932902752,0.541448028207661,0.255045602558465,0.274027387498977,0.183070973642468,0.17425135263318,0.130085454538247,0.819091456037032,0.750389457004883,0.996768198470698,-0.0441658980949327,-28.5254046752868,110.804164970938,9.38509915559946,8.52663496406825,8.8459326049113,0.932723208998225,1.22086488954268,0.92814482822412,39.996059289921,1.16099745627705,4.23679350766129,6.34178883291704,0.0541493894977554,0.124598840775595,0.152838489152343,0.11829569082729,0.0957841169267626,0.104815751570082,-0.253361755791485,0.449405736198176,0.990969546981807,0.47972027972028
2008,0,6348000,5767342.236295,30050.6803969754,27542.986584436,30374.727831443,3747.37144628229,4312.61850189036,4746.81423927201,4196.8688563327,0,0,0.941772607513658,1.41720700454571,1.82462331073169,0.0330529815232199,0.0285662186930302,0.0660949262822872,0.0571228988027338,0.123829245010511,0.10702009714549,0.157065339252775,0.13574457199989,0.145573223172566,0.188115540845317,0.124584505988652,20.5801396982824,17.7355453048972,59.5434354195985,6.12997885372031,88.7135453651814,4.1143660587288,172599090.659427,27025174.9753208,0.0346153846153846,4.79179833543373,0.208689917646437,0.203813954401985,0.301909543899179,0.21127249709853,0.203140333252627,0.156577736719638,1.05934563786292,0.795671904567939,0.929718529737233,-0.0465625965329886,18.0270586915682,67.1847132612487,6.02881984311929,5.47735780028911,6.19509469798378,0.865205035511172,0.943978966126064,0.855974747964181,6.93819664602349,0.888925928959372,2.94434524155428,4.20748531478192,0.293317895157035,0.0335258944540413,0.424912376121397,0.492549560509119,0.507735947260357,0.556705856173608,0.556705856173608,0.0612408552960075,0.0830291498377305,0
2009,0,10102626,9521968.236295,33428.9604236562,16852.2719390978,33501.5983953083,659.990779229084,3708.44358466799,3934.58764493607,3748.90577192504,4811,0,1.59525263926895,3.16356895329294,3.53148939565313,0.220167782002417,0.163587587970642,0.22622647162488,0.168089274877723,0.107828714878509,0.0801181681557556,0.345870947384647,0.256986710395048,0.139595155833787,0.144389617772544,0.109307657734955,16.8017245914935,21.7239604192058,33.3556885345583,10.9426612381825,43.9344134324079,8.30783824078006,168067325.420533,36984223.6702863,0.0384615384615385,3.70844358466799,0.269654904320064,0.216812707341549,0.380803936184652,0.26481214732971,0.258472306764521,0.220056001829894,0.648164305349916,0.496726546088257,0.634361956379158,-0.0384163049346263,-30.7764132891482,72.7087007120184,7.01102751232166,6.60806222818871,6.93535702996588,0.777768727190241,1.54281868308089,0.77608237353956,39.3944897690387,1.68332006118663,4.42043766157498,6.35665726878751,-0.0262560203624506,0.035846976730338,0.228200789856166,0.220505450252432,0.23897528661619,0.368510054201683,-0.1400946819102,1.02953671145469,0.744822999655804,0.591465973534972
2010,0,13212488,12631830.236295,30244.8712455217,17630.3936391844,30037.4907820541,1268.14950628527,3467.61439298942,3627.01308511553,2736.71441832152,0,0,2.46688166946222,3.81365058875388,4.58493396282817,0.403796553061488,0.269576855807117,0.406189386083297,0.271174324625512,0.0705682426851259,0.0471117567464551,0.497890283839518,0.332394361063137,0.123689346329963,0.127846906956943,0.0866249236861659,13.0875920741624,27.8890110519707,27.8074750552587,13.1259670025659,30.1057818282622,12.1239169964804,229951988.541955,45227851.4866733,0.0384615384615385,3.46761439298942,0.288382699651302,0.203131777781507,0.34261408110134,0.272444314140486,0.24142220225911,0.196683889421645,0.678092063045553,0.440427143986673,0.628873807070192,-0.0447383128374652,-11.2467222653247,118.177718877119,7.49795019093385,7.168432919831,9.50044324169796,0.85964988208868,1.47472600624264,0.865584951441208,20.5023144914204,1.9113523908396,5.57873273829121,7.01557085846913,0.368213529706477,0.281878954798359,0.230998886008096,0.407646894062225,0.277959436495382,0.222895791726731,-0.064940772639562,0.303437759501974,0.171153208725795,0.307827093668517
2011,0,18275870,17695212.236295,25346.7235128615,14411.9844336275,25233.4028983572,163.809413943085,2378.94774700192,2457.01148878129,2416.84593105554,0,0,1.21702007178058,2.29888780356739,2.89630347349637,0.239970589174747,0.178313154032297,0.25742917394792,0.191285974270604,0.0863801710392473,0.0641858687634473,0.343983090610554,0.255600946897204,0.100776893328177,0.106378095094483,0.071158664112517,10.2816394213743,35.5001751219954,26.126212227466,13.9706436134773,19.0983034485286,19.1116452298344,260011405.677196,42876101.1589339,0.0235756385068762,3.96491291166987,0.252212349243968,0.221748565798225,0.33628861369062,0.232991061324679,0.189664856464204,0.164900847511914,0.566286225289882,0.431088728535447,0.610519932497643,-0.0247640089522895,12.5161240961961,37.4674083180527,10.6980071470983,10.3581119242644,10.5302533657513,1.00407454979679,1.76589144383319,1.00858374522514,155.36347629473,2.08321615880697,6.19472701125554,8.94118489766416,0.130720405271718,0.234349597715269,0.109844628505071,-0.0330216722750843,-0.111689308770217,-0.0519978343086306,-0.313952626390203,0.0414973610997986,0.159213797727426,0.383226989496604
2012,0,23073824,22493166.236295,24924.8479215669,16640.2772035099,24811.0225884101,3875.18789252271,3580.04010583595,3672.45831232546,3670.56921387413,3136,0,0.775475731796595,1.17724383641865,1.40651090415101,0.0985895310257293,0.0750319090979513,0.1721169133335,0.130990181828625,0.203951638437318,0.155218111257811,0.312536400143652,0.237856925795291,0.159109384768897,0.17904023633635,0.119796760972259,12.2660872953381,29.7568402385922,27.1929620550426,13.4225907152441,10.1104348055693,36.101315820655,379027470.389931,81512755.1688055,0.0392927308447937,3.58004010583595,0.279326479714533,0.214560114012181,0.340571475430393,0.284861387993815,0.248586127058806,0.215057644990607,0.653841933340272,0.55682373708926,0.739551566452674,-0.0335284820681994,0.646021478232328,-5.59324827180346,7.10885890873487,6.92996293915305,6.93352952010912,1.02106941956419,1.52942163695638,1.02575377170824,6.56742349167288,1.55857247987123,4.57634473909363,5.47133639573882,0.457734015178137,0.410478464066616,0.476299238579116,0.782266377639165,0.910593558925389,0.901123305653484,0.504883875800848,0.212166767605976,0.241515669126138,0.262529444562694
2013,0,23073824,22493166.236295,27400.6051312084,17264.9490162966,25392.1769179222,576.691294472906,4207.16389905722,4315.77121363017,4182.15429039851,4207,0,0.860553045178508,1.27756122862642,1.49512282522674,0.0957091958008461,0.0723372464681062,0.199422459925325,0.150723987535237,0.216513614620047,0.163641524447251,0.321821961777087,0.243233833208248,0.160807547898874,0.181850377894564,0.121939511128796,9.63860057339947,37.8685678714941,20.8628539186547,17.4952094964166,8.48961186764511,42.9937205246163,393256066.11155,95812582.9664363,0.0707269155206287,2.33731327725401,0.4278416632172,0.200948886717852,0.386153377396313,0.305391806930006,0.27788550599266,0.243639173614828,0.678386994746427,0.500403476836869,0.65990633655415,-0.0342463323778312,11.26335390136,6.71444646085618,6.04920573826541,5.89697616954838,6.08538046012046,0.928811603909187,1.47408486268784,1.00227720066163,44.1310632636847,1.56337502711614,4.04858566214645,5.11924351485453,0.0375397479949964,-0.0282795185629006,0.176403506385469,0.112316908351142,0.159828431579695,0.175430554003691,0.175172281505722,0.106966624142465,0.0993288792546383,0
2014,0,23073824,22493166.236295,32324.8125988999,19171.4316351724,30471.2686675169,2841.9885409978,5984.87190866152,6139.37049289982,5578.90111457035,5985,0,1.39451637241191,1.89553049031804,2.06207542542294,0.17249611768944,0.127165905668971,0.280407603758931,0.206719359056353,0.175683687916559,0.129515815106033,0.356465137270912,0.262789752184924,0.200412894078243,0.209263747264577,0.149432876141683,9.54114186897944,38.2553791791634,32.3808173081736,11.2721058435998,18.1177047146724,20.1460397852941,436681381.419546,135821872.685094,0.0353634577603143,6.64985767629058,0.150379158273628,0.210769040023078,0.444062800908167,0.373795484025573,0.351480597595788,0.311031975404057,0.753297903150192,0.478680615511814,0.641985685953866,-0.0404486221917309,0.343261583122571,14.5840314197906,4.25238842007092,4.14537614718527,4.56183027398219,0.787320883056445,1.32749606207336,0.835213009267654,8.95499740159568,1.41144824122847,3.17848790383223,3.77599061932996,0.110425036128186,0.164690298637705,0.276949731908114,0.359145381227539,0.404509579905793,0.417578656998246,0.422543084190913,0.209463604944638,0.179711632064761,0
2015,0,23766039,23185381.236295,36533.6009001332,20567.3361329585,34620.7972289787,1588.95375140132,6537.57957356714,6701.30758375351,6370.56158552546,6251,0,1.6380103335106,2.15492673889486,2.40423901873563,0.455256730830079,0.278353123678512,0.522137788355854,0.319245547703255,0.175943061435297,0.107575127227179,0.635536633516942,0.388579882891604,0.192516980357746,0.178270040911878,0.127783921854899,11.2607918105003,32.4133512227488,56.8397650665635,6.42156067275363,33.9450766928559,10.7526638782589,482531206.971372,153378451.244817,0.0196463654223969,13.0751591471343,0.0764809046488106,0.248662906864796,0.465357613671084,0.391694677107582,0.36006239515358,0.317862241921106,0.808146802866737,0.402010383751762,0.605661682854201,-0.0422001532324742,-12.4369942545088,43.7154454977955,3.89287804662446,3.79776628395634,3.99493822614083,0.696618985617353,1.2373989434255,0.735107277619174,16.0168286695288,1.6831433371468,3.61688148576517,4.29707993372735,0.104996062352783,0.30366173755268,0.157985603929875,0.157908787947826,0.131975794873252,0.129261791290634,0.0923507926887657,0.403606381085601,0.164109126861625,0.0300000121349631
2016,0,31265357,30684699.236295,34491.4773491951,19691.487611608,33024.5834925857,3939.27601495163,5507.60778461605,5611.83025702656,5503.24733169527,5353,0,0.572145161130073,1.06697321839419,1.29720866749423,0.624551040441737,0.335700422793087,0.739384915323418,0.39742440986944,0.229038213858925,0.123109594331686,0.860441626034788,0.462493213435926,0.176916815250432,0.146511383575102,0.100513623144331,10.3175790117326,35.3765160979085,70.8284699768501,5.15329499732662,22.5807337084367,16.1642223283306,607760503.492596,169987486.280355,0.0196463654223969,11.0152155692321,0.0907835161023283,0.250294507015437,0.431732615028196,0.360125013740614,0.312221302076675,0.27969485562733,0.773732322656501,0.359368866184144,0.632535106352326,-0.0325264464493445,-3.79579888789616,43.2376034374091,4.62088096960851,4.53506232982263,4.62454228677383,0.737863436301718,1.29243663566573,0.77063803108111,6.46057801063034,2.3877901110873,5.53071514166554,6.63044781667722,0.259525797942129,0.267790168802945,0.168517180048493,0.158011001425955,0.0921739951902467,0.108287930284465,-0.157546348363466,0.412803216034433,0.242012317634339,0.31554766025588
2017,0,34564342,33983684.236295,41132.4046691819,61676.5387835822,39849.8057188822,10124.0370933432,5624.11894417084,5720.21471490089,5602.43513774253,5305,0,0.363629962715848,1.01351330596398,1.05981146848049,0.363876870670396,0.188988249501641,0.5489078016283,0.285088536615157,0.553297018616693,0.287368182567347,0.925394153498615,0.480625825012032,0.155508778562847,0.162200026140284,0.0819598436664924,11.8231322295931,30.8716838238863,346.317430907443,1.05394637238906,13.297699444135,27.4483568780752,2104451115.39191,208700662.923001,0.0589390962671906,3.74941262944723,0.266708441782634,0.116955513733989,0.172159083083323,0.141139481318464,0.113612293507775,0.0991710671711827,2.42343963786178,0.898807355742723,1.70537702125945,-0.0144412263365922,6.79275485711226,-5.01098766025394,4.52515322891203,4.44913368963301,4.54266749623717,0.618733580122248,0.412636644369781,0.638648032051532,2.51381931588674,0.664026826058644,3.85705368642829,4.70475603180339,2.46263224296138,0.61798969412639,0.380770345469608,0.357067962849597,0.259995996686359,0.227741332551957,0.0211545854590867,0.364397156585369,0.31836967508313,0.105515667068826
2018,0,47520507,46939849.236295,34212.3607343667,48899.1495347893,33332.0561983903,1121.7991074043,4573.65475120036,4630.2320130152,4309.55327912958,4302,0,0.50892066257505,1.13258652809076,1.24440332741059,0.490176943185008,0.2516963756268,0.610083564310442,0.313266105436667,0.451179945159811,0.231672171714861,0.947493053741118,0.486519349540678,0.142636365716152,0.148461065818129,0.0736307964587997,8.2911453807088,44.0228681611655,373.708922974978,0.976695972615134,8.09506716240754,45.0891873627699,2293891784.56269,231996094.693978,0.0392927308447937,4.57365475120036,0.218643525670045,0.100626497682214,0.171020340903698,0.140027466255691,0.113322693279973,0.10113645999138,1.92138112120979,0.787222368601287,1.52499420172073,-0.0121862332885935,-1.49024189696749,27.6354843938571,5.56447772830265,5.49648482591416,5.90548447869295,0.743883188815882,0.52045894953436,0.763529253896705,22.6867714834325,0.802179278279818,4.69054893728417,5.7287280826394,0.0900190400172356,-0.0621665032968218,0.0828091348804805,0.0814309569388152,0.0872405575788391,0.111621263893982,-0.186778445370407,0.156666035778308,0.143540932564484,0.374841939707691
