date,open,high,low,close,volume,unadjusted,putthrough
2005-07-20,1.78,1.78,1.78,1.78,40,30.00,0
2005-07-21,1.69,1.69,1.69,1.69,30,28.50,0
2005-07-22,1.69,1.69,1.61,1.61,100,27.10,0
2005-07-25,1.61,1.61,1.53,1.53,10,25.80,0
2005-07-26,1.46,1.46,1.46,1.46,120,24.60,0
2005-07-27,1.39,1.39,1.39,1.39,20,23.40,0
2005-07-28,1.32,1.32,1.32,1.32,430,22.30,0
2005-07-29,1.25,1.25,1.25,1.26,60,21.20,0
2005-08-01,1.26,1.26,1.24,1.23,2300,20.80,0
2005-08-02,1.23,1.24,1.23,1.24,1240,21.00,0
2005-08-03,1.30,1.30,1.29,1.30,3250,21.90,0
2005-08-04,1.34,1.34,1.34,1.34,1850,22.60,0
2005-08-05,1.35,1.35,1.32,1.32,2690,22.20,0
2005-08-08,1.31,1.31,1.27,1.27,1140,21.40,0
2005-08-09,1.28,1.28,1.28,1.27,240,21.50,0
2005-08-10,1.27,1.27,1.24,1.24,2090,21.00,0
2005-08-11,1.24,1.24,1.24,1.24,2090,21.00,0
2005-08-12,1.25,1.25,1.25,1.25,500,21.10,0
2005-08-15,1.25,1.25,1.25,1.25,600,21.10,0
2005-08-16,1.25,1.25,1.23,1.23,1000,20.80,0
2005-08-17,1.23,1.23,1.23,1.23,2130,20.80,0
2005-08-18,1.23,1.23,1.22,1.22,5850,20.60,0
2005-08-19,1.23,1.23,1.23,1.23,1840,20.70,0
2005-08-22,1.23,1.23,1.23,1.23,2700,20.70,0
2005-08-23,1.23,1.26,1.23,1.26,30,21.20,0
2005-08-24,1.25,1.25,1.25,1.24,2000,21.00,0
2005-08-25,1.24,1.24,1.24,1.24,500,21.00,0
2005-08-26,1.24,1.24,1.24,1.24,500,21.00,0
2005-08-29,1.24,1.24,1.22,1.23,600,20.70,0
2005-08-30,1.25,1.25,1.24,1.23,2150,20.80,0
2005-08-31,1.22,1.22,1.22,1.23,3000,20.70,0
2005-09-01,1.23,1.23,1.23,1.23,50,20.70,0
2005-09-07,1.23,1.25,1.23,1.24,980,21.00,0
2005-09-08,1.24,1.24,1.24,1.24,1230,21.00,0
2005-09-09,1.25,1.25,1.24,1.24,400,21.00,0
2005-09-12,1.23,1.23,1.23,1.23,400,20.80,0
2005-09-13,1.22,1.24,1.22,1.24,30,21.00,0
2005-09-14,1.24,1.25,1.24,1.25,10,21.10,0
2005-09-15,1.24,1.24,1.24,1.24,180,21.00,0
2005-09-16,1.24,1.24,1.23,1.23,1960,20.80,0
2005-09-19,1.23,1.24,1.23,1.24,430,21.00,0
2005-09-20,1.24,1.26,1.24,1.26,1620,21.30,0
2005-09-21,1.32,1.32,1.24,1.24,2690,21.00,0
2005-09-22,1.24,1.24,1.24,1.24,50,21.00,0
2005-09-23,1.24,1.24,1.24,1.24,580,21.00,0
2005-09-26,1.21,1.23,1.21,1.23,560,20.80,0
2005-09-27,1.24,1.24,1.24,1.24,9140,21.00,0
2005-09-28,1.24,1.24,1.24,1.24,2770,21.00,0
2005-09-29,1.24,1.25,1.24,1.26,600,21.20,0
2005-09-30,1.27,1.32,1.27,1.32,5420,22.20,0
2005-10-03,1.33,1.33,1.33,1.32,4260,22.30,0
2005-10-04,1.34,1.34,1.33,1.33,6050,22.50,0
2005-10-05,1.33,1.34,1.33,1.35,420,22.70,0
2005-10-06,1.34,1.34,1.34,1.34,540,22.60,0
2005-10-07,1.34,1.34,1.34,1.34,1010,22.60,0
