Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2014,1,322692602602,0,322692602602,-282487605333,40204997269,11692864,-19467745692,-19467745692,-537032322,-18501743133,1710168986,51433273,-64604776,-13171503,0,1696997483,-440400565,0,-440400565,1256596918,0,1256596918,0,0
2015,1,666433148792,0,666433148792,-623462952159,42970196633,14149518,-8622465399,-8622465399,-310335539,-35984922846,-1933377633,2513562320,0,2513562320,0,580184687,-127640631,0,-127640631,452544056,0,452544056,28,0
2015,2,644301283652,0,644301283652,-579115902554,65185381098,10538455,-13675087314,-13675087314,-2416225849,-36080603496,13024002894,-1259903729,0,-1259903729,0,11764099165,-2588101817,0,-2588101817,9175997348,0,9175997348,574,0
2015,3,436675649900,0,436675649900,-398879115016,37796534884,5962057,-14656672964,-14656672964,-1918733762,-24932594766,-3705504551,5629247681,-1501093743,4128153938,0,422649387,-92982864,0,-92982864,329666523,0,329666523,21,0
2016,1,559009403156,0,559009403156,-499991105538,59018297618,12188151,-26712193109,-26712193109,-467671430,-31813792282,36828948,298194959,-51162211,247032748,0,283861696,-56772339,0,-56772339,227089357,0,227089357,14,0
2016,2,584273917893,0,584273917893,-503595891701,80678026192,8151821,-28498438001,-24666069359,-449899441,-50755719988,982120583,9256719947,-5467713833,3789006114,0,4771126697,-943992897,0,-943992897,3827133800,0,3827133800,239,0
2016,3,368311038261,0,368311038261,-309260100930,59050937331,11596169,-25543452277,-25543452277,-227338403,-32797263901,494478919,354433932,-585062415,-230628483,0,263850436,-52770088,0,-52770088,211080348,0,211080348,13,0
2016,4,424697765146,0,424697765146,-314355327157,110342437989,716052940,-25549989756,-23691856303,-224508284,-42983635401,42300357488,2037395149,-237204884,1800190265,0,44100547753,1053535324,44283396124,45336931448,89437479201,0,89437479201,5590,0
2017,1,571007476301,0,571007476301,-506636054013,64371422288,14836399,-23411190372,-23411190372,-339004479,-36785093239,3850970597,918351078,0,918351078,0,4769321675,0,0,0,4769321675,0,4769321675,298,0
2017,2,590913514867,0,590913514867,-507307206048,83606308819,16272681,-21290663137,-21290663137,-439062061,-32454865149,29437991153,1090439286,-106701109,983738177,0,30421729330,0,-7059190192,-7059190192,23362539138,0,23362539138,1460,0
2017,3,412747647388,0,412747647388,-361775842745,50971804643,7324947,-19928371485,-19928371485,-381484086,-29796546136,872727883,316364044,-8395800,307968244,0,1180696127,0,-204926792,-204926792,975769335,0,975769335,61,0
2017,4,440433110107,0,440433110107,-294871944492,145561165615,804876545,-19778959376,-19778959376,-351868593,-39419392347,86815821844,2051643972,-217972556,1833671416,0,88649493260,0,-17769835099,-17769835099,70879658161,0,70879658161,4430,0
2018,1,597638793897,0,597638793897,-540193599792,57445194105,6856154,-18879549102,-18879549102,-449122741,-33257554844,4865823572,3636363,-6791900,-3155537,0,4862668035,0,-972533607,-972533607,3890134428,0,3890134428,243,0
2018,2,645503495053,0,645503495053,-604574021125,40929473928,6480720,-20168307446,-17552427446,-351065225,91006278,20507588255,2966663969,-13673773,2952990196,0,23460578451,0,-4696208825,-4696208825,18764369626,0,18764369626,1173,0
2018,3,500427550824,0,500427550824,-481697905535,18729645289,7837706,-17086428718,-17086428718,-279560572,-23468683380,-22097189675,9515196491,-2928586200,6586610291,0,-15510579384,0,2863095118,2863095118,-12647484266,0,-12647484266,-790,0
2018,4,757733342686,0,757733342686,-661432133586,96301209100,909038654,-21114059184,-17844209184,-322331826,-30293008524,45480848220,-203288222,988167123,784878901,0,46265727121,0,-9943589644,-9943589644,36322137477,0,36322137477,2270,0
2019,1,633572396067,0,633572396067,-577070478686,56501917381,10435468,-16950999789,-16950999789,-309819277,-36020452432,3231081351,2486302364,-6049130,2480253234,0,5711334585,-1142266917,0,-1142266917,4569067668,0,4569067668,286,0
2019,2,805079439290,0,805079439290,-701524693926,103554745364,10881714,-12827740867,-16097590867,-392333937,-50095976991,40249575283,481181964,-17353761,463828203,0,40713403486,-8157033275,0,-8157033275,32556370211,0,32556370211,2034,0
2019,3,727479547230,0,727479547230,-665875666938,61603880292,10428428,-16176353145,-16176353145,-304305017,-43489697151,1643953407,2799321509,-2194613277,604708232,0,2248661639,-886777725,0,-886777725,1361883914,0,1361883914,85,0
2019,4,699218703122,0,699218703122,-644186370590,55032332532,1010780211,-7660899475,-14599521175,-542593573,-45403369418,2436250277,1397414223,-5382622457,-3985208234,0,-1548957957,-770383211,0,-770383211,-2319341168,0,-2319341168,-145,0
2020,1,792474117231,0,792474117231,-757699496718,34774620513,13662933,-13408789395,-13408789395,-410201471,-15333312971,5635979609,328819991,-388988044,-60168053,0,5575811556,0,-1196043920,-1196043920,4379767636,0,4379767636,274,0
2020,2,490565898965,0,490565898965,-458300470371,32265428594,568064629,-4579318110,-9597194103,-483025154,-24479436857,3291713102,1009331091,-14063823,995267268,0,4286980370,-2059336759,1196043920,-863292839,3423687531,0,3423687531,214,0
