date,open,high,low,close,volume,unadjusted,putthrough
2016-02-26,6.4934,6.4934,6.4934,6.4934,100,15.0000,0
2017-03-14,5.8441,6.0605,5.8441,6.0605,2500,14.0000,0
2017-03-15,5.8873,5.9739,5.8008,5.8007,15800,13.4000,0
2017-03-16,5.4111,5.4111,5.0215,5.0215,4400,11.6000,0
2017-03-27,4.4155,4.4155,4.4155,4.4155,100,10.2000,0
2017-03-28,3.7662,3.7662,3.7662,3.7661,100,8.7000,0
2017-03-29,3.2033,3.2033,3.2033,3.2034,5700,7.4000,0
2017-03-30,2.8138,2.8138,2.7272,2.7272,19936,6.3000,0
2017-03-31,3.1168,3.1168,3.1168,3.1168,100,7.2000,0
2017-04-03,3.1168,3.5497,3.1168,3.3765,10700,7.8000,0
2017-04-04,3.3765,3.4198,3.3765,3.3765,21600,7.8000,0
2017-04-07,3.3765,3.3765,3.3765,3.3765,11800,7.8000,0
2017-04-10,3.3765,3.5064,3.3765,3.4631,13300,8.0000,0
2017-04-11,3.4631,3.6795,3.4631,3.6796,10500,8.5000,0
2017-04-12,3.6363,3.7662,3.6363,3.6363,19400,8.4000,0
2017-04-14,3.5064,3.5064,3.5064,3.5064,200,8.1000,0
2017-04-17,3.4631,3.4631,3.4631,3.4631,12000,8.0000,0
2017-04-18,3.5064,3.5064,3.5064,3.5064,100,8.1000,0
2017-04-19,3.4631,3.4631,3.4631,3.4631,38000,8.0000,0
2017-04-20,3.4631,3.4631,3.4631,3.4631,8000,8.0000,0
2017-04-21,3.8094,3.8094,3.8094,3.8094,100,8.8000,0
2017-04-26,3.4631,3.6795,3.4631,3.6796,300,8.5000,0
2017-04-27,3.0735,3.5064,3.0735,3.5064,200,8.1000,0
2017-04-28,3.4631,3.4631,3.4631,3.4631,100,8.0000,0
2017-05-04,3.4631,3.4631,3.4631,3.4631,1500,8.0000,0
2017-05-12,3.4198,3.4198,3.4198,3.4198,500,7.9000,0
2017-05-15,3.2466,3.2466,3.2034,3.2034,200,7.4000,0
2017-05-16,3.7229,3.7229,3.7229,3.7229,100,8.6000,0
2017-05-25,3.2034,3.2034,3.2034,3.2034,2000,7.4000,0
2017-05-26,3.5497,3.5497,3.5497,3.5497,100,8.2000,0
2017-06-05,3.0302,3.0302,3.0302,3.0302,9400,7.0000,0
2017-06-06,2.9869,2.9869,2.9869,2.9869,700,6.9000,0
2017-06-08,2.8137,2.8137,2.7272,2.7272,1000,6.3000,0
2017-06-09,2.6406,2.6406,2.5973,2.5973,1500,6.0000,0
2017-06-12,2.8570,2.8570,2.8570,2.8571,200,6.6000,0
2017-06-13,2.8571,2.8571,2.8571,2.8571,100,6.6000,0
2017-06-14,2.7272,2.7272,2.6839,2.6839,1800,6.2000,0
2017-06-19,2.6839,2.6839,2.6839,2.6839,3400,6.2000,0
2017-06-20,2.8571,2.8571,2.8571,2.8571,100,6.6000,0
2017-06-22,2.8138,2.8138,2.6839,2.6839,4400,6.2000,0
2017-06-28,2.5973,2.5973,2.5973,2.5973,1400,6.0000,0
2017-06-29,2.9003,2.9436,2.5973,2.8138,3700,6.5000,0
2017-07-03,2.9004,2.9004,2.9004,2.9004,100,6.7000,0
2017-07-04,2.9004,2.9004,2.9004,2.9004,100,6.7000,0
2017-07-05,2.4675,2.6840,2.4675,2.6839,700,6.2000,0
2017-07-06,2.3809,2.6839,2.3809,2.6839,5900,6.2000,0
2017-07-07,2.8138,3.0302,2.6406,3.0302,4100,7.0000,0
2017-07-17,2.5540,2.5540,2.5540,2.5541,1400,5.9000,0
2017-07-18,2.8138,2.8138,2.8138,2.8138,500,6.5000,0
2017-07-21,2.5974,2.7705,2.5974,2.7705,1800,6.4000,0
2017-07-24,2.8138,3.0302,2.8138,3.0302,8000,7.0000,0
