Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2014,4,120725724774,581643137,581643137,0,16450000000,16450000000,0,37407157483,32839248905,3370891090,0,0,1207017488,-10000000,63562552047,63562552047,0,2724372107,569650051,787922056,0,1366800000,9747899179,0,0,0,0,0,9212091385,3031103717,4071631933,-1040528216,0,0,0,0,0,0,6180987668,0,0,0,0,0,0,0,0,535807794,535807794,0,0,0,130473623953,79300571190,34425913905,9260968249,2462835370,21933316500,613827542,0,14523173,0,0,140443071,0,44874657285,0,0,0,44874657285,0,0,0,51173052763,51173052763,35000000000,0,0,0,0,0,0,0,0,16173052763,0,0,0,0,130473623953
2015,1,119216521373,2985645597,2985645597,0,16450000000,16450000000,0,49013947863,40769067396,7037547938,0,0,1217332529,-10000000,44600432790,44600432790,0,6166495123,2873245123,0,0,3293250000,9546680368,0,0,0,0,0,9181760058,3000772390,4071631933,-1070859543,0,0,0,0,0,0,6180987668,0,0,0,0,0,0,0,0,364920310,364920310,0,0,0,128763201741,74155521057,25010539272,9176512543,1464550396,11267824145,2894473612,128455214,0,0,0,78723362,0,49144981785,0,0,0,43224657285,0,0,0,54607680684,54607680684,35000000000,0,0,0,0,0,0,0,0,19607680684,0,0,0,0,128763201741
2015,2,85383843651,2625112528,2625112528,0,0,0,0,31907524533,6560315265,2962920105,0,0,5944289163,-10000000,46513362260,46513362260,0,4337844330,1661215130,2676629200,0,0,59314134810,0,0,0,0,0,3267417281,3267417281,4398253842,-1130836561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191172823,191172823,0,0,0,144697978461,86513404566,50191424281,20104918249,10116498935,17330414644,2325477860,156188448,73984591,0,0,83941554,0,36321980285,0,0,0,36321980285,0,0,0,58184573895,58184573895,35000000000,0,0,0,0,0,0,0,0,23184573895,0,0,0,0,144697978461
2015,3,100679209948,3404065807,3404065807,0,10171693187,0,0,35830262732,12427198929,9077076867,0,0,5835986936,-10000000,48519917797,48519917797,0,2753270425,1491663237,1206587280,55019908,0,54273899963,0,0,0,0,0,5895612207,5895612207,7124298205,-1228685998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71177117,71177117,0,0,0,154953109911,60923151119,25120951119,9278900000,5082262362,5060812696,2888574690,177065649,73984591,0,0,1854517717,0,35802200000,0,0,0,35802200000,0,0,0,94029958792,94029958792,73500000000,-1238181819,0,0,0,0,1050476306,0,0,20717664305,0,0,0,0,154953109911
2015,4,165611481258,48530003401,42689142249,5840861152,0,0,0,47707204441,35113992841,9225726748,0,0,3387484852,-20000000,65074571987,65074571987,0,4299701429,1358348200,2941353229,0,0,73477038538,0,0,0,0,0,7098687027,7098687027,8479976023,-1381288996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482205166,482205166,0,0,0,239088519796,145205075800,110043075800,15494400000,29734005096,20157376900,3126971521,166198574,84271429,0,0,41144468867,0,35162000000,0,0,0,35162000000,0,0,0,93883443996,93883443996,73500000000,-1238181819,0,0,0,0,1050476306,0,0,20571149509,0,0,0,0,239088519796
2016,1,132754159727,19713571673,13808552323,5905019350,0,0,0,51674755132,22854908259,16755331373,0,0,12084515500,-20000000,59067771162,59067771162,0,2298061760,1058525879,1239535881,0,0,102834627873,0,0,0,0,0,7355395939,7355395939,8913276023,-1557880084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159050025,2159050025,0,0,0,235588787600,65356829417,30254829417,14696000000,5456555345,2521000000,5686983883,221168777,0,0,0,633192902,1039928510,35102000000,0,0,0,35102000000,0,0,0,170231958183,170231958183,143500000000,-2804875455,0,0,0,0,1808348854,0,757872548,26970612236,0,0,0,0,235588787600
2016,2,229245707625,3006388547,3006388547,0,0,0,0,160095470861,43186973083,23143301444,0,0,93785196334,-20000000,64912747807,64912747807,0,1231100410,1216612205,14488205,0,0,87224904409,0,0,0,0,0,7160425754,7160425754,8913276023,-1752850269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902294180,1902294180,0,0,0,316470612034,92881051216,57839051216,20283000000,15566299195,433421361,6180006236,164068896,62390456,0,0,14182936562,0,35042000000,0,0,0,35042000000,0,0,0,223589560818,223589560818,193500000000,4155124545,757872548,0,0,0,1808348854,0,0,23368214871,0,0,0,0,316470612034
2016,3,287557119368,10024944039,10024944039,0,0,0,0,198901962622,68085577457,25143122560,0,0,105693262605,-20000000,77665825456,77665825456,0,964387251,956425588,7961663,0,0,100883274570,0,0,0,0,0,7718993000,7718993000,9666094205,-1947101205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563205700,2563205700,0,0,0,388440393938,155438551353,120456551353,21106000000,76267973674,4638224505,3035201677,306211762,0,0,0,14177211225,0,34982000000,0,0,0,34982000000,0,0,0,233001842585,233001842585,193500000000,4155124545,0,0,0,0,1808348854,0,0,32780496638,0,0,0,0,388440393938
2016,4,343239396316,31740300186,31740300186,0,10000000000,0,0,215418931047,44787432767,84636664275,0,0,80294834005,0,84642715329,84642715329,0,1437449754,531395273,906054481,0,0,205078575318,0,0,0,0,0,8517676834,8517676834,10691810569,-2174133735,0,0,0,0,0,0,0,0,0,0,45000000000,0,45000000000,0,0,2291162595,2291162595,0,0,0,548317971634,120689517247,86646761691,50173020702,12929450681,578691555,2405687128,0,0,0,0,14171455844,0,34042755556,0,0,0,34042755556,0,0,0,427628454387,427628454387,387000000000,3999794545,757872548,0,0,0,1808348854,0,0,34062438440,0,0,0,0,548317971634
2017,1,348790855613,32313646118,32313646118,0,10000000000,0,0,220671041837,86982678396,47690772176,0,0,80297591265,0,84863561174,84863561174,0,942606484,594589956,348016528,0,0,218904209160,0,0,0,0,0,8278962535,8278962535,10691810569,-2412848034,0,0,0,0,0,0,0,0,0,0,45000000000,0,45000000000,0,0,1994233400,1994233400,0,0,0,567695064773,131323408255,100861052699,53688809702,27735018372,450939562,4341487661,113280853,0,0,0,14177788039,0,30462355556,0,0,0,30462355556,0,0,0,436371656518,436371656518,387000000000,3999794545,757872548,0,0,0,1808348854,0,0,42805640571,0,0,0,0,567695064773
