Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2015,1,29471795000,0,29471795000,-10367872301,19103922699,3730891,0,0,0,-261714119,18845939471,59100,-794316,-735216,0,18845204255,0,0,0,18845204255,0,18845204255,0,0
2015,2,16549000000,0,16549000000,-7298388955,9250611045,850399,-1664260381,-1585644445,0,-364636232,7222564831,0,-1867271039,-1867271039,0,5355293792,0,0,0,5355293792,0,5355293792,0,0
2015,3,18263461420,0,18263461420,-18409141646,-145680226,265417,-225672200,0,0,-251978476,-623065485,0,0,0,0,-623065485,0,0,0,-623065485,0,-623065485,0,0
2016,1,26001751000,0,26001751000,-5635546076,20366204924,810451,0,0,0,-4263794420,16103220955,0,0,0,0,16103220955,0,0,0,16103220955,0,16103220955,0,0
2016,2,33448878050,0,33448878050,-28648460897,4800417153,172189091,-486111111,-486111111,-3569090909,2644461948,3561866172,0,-107517206,-107517206,0,3454348966,0,0,0,3454348966,0,3454348966,0,0
2016,3,61051502000,0,61051502000,-23296859403,37754642597,2263402,0,0,-297241879,-995472417,36464191703,1250913667,-10895642,1240018025,0,37704209728,0,0,0,37704209728,0,37704209728,3770,0
2016,4,37738341500,0,37738341500,-32267270932,5471070568,1415316,796827746,1242452653,-403792541,-258531108,5606989981,-1250913320,-11770,-1250925090,0,4356064891,0,0,0,4356064891,0,4356064891,436,0
2017,1,58519143940,0,58519143940,-56108086512,2411057428,19857850,-210069333,-118449333,-379598804,-926677950,914569191,0,0,0,0,914569191,0,0,0,914569191,0,914569191,0,0
2017,2,40736757320,0,40736757320,-30223334824,10513422496,629304097,-111519147,-187466360,-192645396,-1095418874,9743143176,0,-25208688,-25208688,0,9717934488,0,0,0,9717934488,0,9717934488,0,0
2017,3,31466086000,0,31466086000,-22956608473,8509477527,1476751,-214453425,-214453425,-449435200,-1165266840,6681798813,0,0,0,0,6681798813,0,0,0,6681798813,0,6681798813,497,0
2017,4,41068673540,0,41068673540,-29377415893,11691257647,1661784622,-630801482,-198495224,-33864035,-1379185173,11309191579,30923717,-127731181,-96807464,0,11212384115,-82790594,0,-82790594,11129593521,0,11129593521,421.42,0
2018,1,54040540182,0,54040540182,-47573144813,6467395369,1111494,-1014797598,-1014797598,-361986977,-1393257233,3698465055,0,-493699080,-493699080,0,3204765975,-658592,0,-658592,3204107383,0,3204107383,0,0
2018,2,48141462860,0,48141462860,-35510006760,12631456100,1027879045,-1509488326,-1342479826,-386009680,-1524917531,10238919608,38752,387338414,387377166,0,10626296774,658592,0,658592,10626955366,0,10626955366,0,0
2018,3,64741812266,0,64741812266,-37015212917,27726599349,655312,-1180828791,-1180828791,-362163342,-1699497617,24484764911,0,-2100000,-2100000,0,24482664911,0,0,0,24482664911,0,24482664911,0,0
2018,4,82796453165,0,82796453165,-53449469455,29346983710,124857365,-4097734595,-631917145,-356048496,-1009025622,24009032362,0,-138109,-138109,0,24008894253,0,0,0,24008894253,0,24008894253,0,0
2019,1,60378861988,0,60378861988,-52034925038,8343936950,3053209,-608961926,-608961926,-396394417,-1178943150,6162690666,0,0,0,0,6162690666,0,0,0,6162690666,0,6162690666,0,0
2019,2,40041661231,0,40041661231,-32673279481,7368381750,765344526,-3477427014,-872348076,-396151557,-1046348264,3213799441,18337,-25000,-6663,0,3213792778,0,0,0,3213792778,0,3213792778,300,0
2019,3,48101977322,0,48101977322,-29825757471,18276219851,1860066,-1484515010,-1484515010,-396381540,-1131714007,15265469360,0,-3508040,-3508040,0,15261961320,0,0,0,15261961320,0,15261961320,0,0
2019,4,191078522670,0,191078522670,-170884905372,20193617298,32968833,-1725051662,-1643881473,-395171106,-990402364,17115960999,0,-2825073821,-2825073821,0,14290887178,0,0,0,14290887178,0,14290887178,0,0
2020,1,67516708621,0,67516708621,-66035843167,1480865454,2100029616,-1665002251,-1665002251,-311278639,-1681883222,-77269042,0,-41758640,-41758640,0,-119027682,0,0,0,-119027682,0,-119027682,0,0
2020,2,5462897720,0,5462897720,-5470981835,-8084115,1312280,-1631237146,-1631237146,-294425179,-1070001162,-3002435322,898766,-26331351,-25432585,0,-3027867907,0,0,0,-3027867907,0,-3027867907,-84,0
