Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2009,4,184440650110,0,184440650110,-145019242719,39421407391,877396257,-1750138456,-139336319,-1176284101,-29228904211,8143476880,232323434,-28560620,203762814,0,8347239694,-2664423273,426863993,-2237559280,6109680414,0,6109680414,0,0
2010,1,31836700810,0,31836700810,-23976904514,7859796296,1634778797,-167772281,-155984725,-21534363,-6454887513,2850380936,5985264,0,5985264,0,2856366200,-714091550,0,-714091550,2142274650,0,2142274650,0,0
2010,2,44642445006,0,44642445006,-34206247275,10436197731,1220718102,-645821999,-181670197,-50000000,-7966283751,2994810083,132865682,618,132865064,0,3127675147,-760103987,0,-760103987,2367571160,0,2367571160,0,0
2010,3,51085684669,0,51085684669,-42197102268,8888582401,1048363654,-343947907,-95511302,-90550909,-7465521835,2036925404,136456853,-8144568,128312285,0,2165237689,-414053741,0,-414053741,1751183948,0,1751183948,0,0
2010,4,214674779397,0,214674779397,-164388229024,50286550373,681995202,-700405556,-199282047,-1067602752,-38225954282,10974582985,2408531077,-255594423,2152936654,0,13127519639,-2720699312,-711439989,-3432139301,9695380338,0,9695380338,0,0
2011,1,21335354327,0,21335354327,-16314640551,5020713776,719971058,-589778741,-541454028,-20335732,-3437133943,1693436418,10210110,0,10210110,0,1703646528,-430416840,0,-430416840,1273229688,0,1273229688,0,0
2011,2,32706473033,0,32706473033,-21302079138,11404393895,982372448,-1128265382,-740297401,956157071,-9709012127,2505645905,99793983,-8333290,91460693,0,2597106598,-654838895,0,-654838895,1942267703,0,1942267703,0,0
2011,3,22555311189,0,22555311189,-17705070176,4850241013,917321903,-582368046,-581634652,-24959147,-3486565230,1673670493,48610012,-3012407,45597605,0,1719268098,-437150843,0,-437150843,1282117255,0,1282117255,0,0
2011,4,209285366937,0,209285366937,-165232115648,44053251289,720864916,-5016342607,-814625215,122157367,-24854224990,15025705975,946456647,709030815,1655487462,0,16681193437,-3752085015,-142287997,-3894373012,12786820425,0,12786820425,0,0
2012,1,29533534111,0,29533534111,-25707203004,3826331107,991763371,-1078191418,-1069338867,-830776119,-2233624084,675502857,997641,-499585831,-498588190,0,176914667,-172065814,0,-172065814,4848853,0,4848853,0,0
2012,2,73228461706,0,73228461706,-60975739269,12252722437,367100977,-778520428,-777514887,75746766,-8497746958,3419302794,354021193,-349374770,4646423,0,3423949217,-859404240,0,-859404240,2564544977,0,2564544977,0,0
2012,3,28572273129,0,28572273129,-23986622253,4585650876,670228055,-720548433,-714697928,-147069939,-2953601911,1434658648,155330057,-23782321,131547736,0,1566206384,-397174857,0,-397174857,1169031527,0,1169031527,0,0
2012,4,204647422897,0,204647422897,-162359121660,42288301237,1880019697,-1271244102,-950848984,-206856813,-32533572779,10156647240,7150003165,-938583617,6211419548,0,16368066788,-4163934163,0,-4163934163,12204132625,0,12204132625,0,0
2013,1,33938056099,0,33938056099,-27049724026,6888332073,953500811,-415837611,-415305654,-146848942,-4787918518,2491227813,15425352,-170000000,-154574648,0,2336653165,-629163291,0,-629163291,1707489874,0,1707489874,0,0
2013,2,43576048182,0,43576048182,-33827644338,9748403844,1278214161,-157093330,-157093330,-192025310,-7716254498,2961244867,30518740,-500001,30018739,0,2991263606,-614233454,0,-614233454,2377030152,0,2377030152,0,0
2013,3,54359300433,0,54359300433,-39468532060,14890768373,897449867,-190313257,-162834611,-226029549,-11726382573,3645492861,58827373,-31332647,27494726,0,3672987587,-921246897,0,-921246897,2751740690,0,2751740690,0,0
2013,4,260900412268,0,260900412268,-217316921133,43583491135,1555773843,-868915449,-385481665,-785507763,-29225534800,14259306966,118325945,-106143290,12182655,0,14271489621,-3591003142,0,-3591003142,10680486479,0,10680486479,0,0
2014,1,26184305024,0,26184305024,-20449047500,5735257524,1624992321,-306155289,-306085174,-299854979,-4456835905,2297403672,18426103,-1096643,17329460,0,2314733132,-515841289,0,-515841289,1798891843,0,1798891843,0,0
2014,2,72469552530,0,72469552530,-60785035699,11684516831,1453654995,-505814546,-378655236,124261934,-9184706854,3571912360,144536367,-23041141,121495226,0,3693407586,-745111895,0,-745111895,2948295691,0,2948295691,0,0
2014,3,112829003905,0,112829003905,-91419327230,21409676675,1337597200,-657382249,-292822442,-49762015,-14116101416,7924028195,823260167,-1215542651,-392282484,0,7531745711,-1736561449,0,-1736561449,5795184262,0,5795184262,0,0
