Year,Quarter,I. Current Assets,1. Short term financial assets,1.1.Cash and cash equivalents,1.1.1. Cash,1.1.1.1 Cash deposited by investors for securities trading,1.1.2. Cash equivalents,1.2. Net Value Short-term investments,1.2.1. Short-term investments,1.2.2. Held-to-maturity investment,1.2.3. Loans,1.2.4. Available for sales assets,1.2.5. Provisions for impairments of short-term investments,1.3. Accounts receivable,1.3.1. Receivables(from 2019),1.3.1.1. Account receivables,1.3.1.2. Receivables and accrued dividend/interest of financial assets,1.3.1.2.1. Due or overdue receivables on dividend/interest,1.3.1.2.1.1. Doubtful debts on dividend/interest which are overdue,1.3.1.2.2 Undue accrued dividend/interest,1.3.2. Trade accounts receivable,1.3.3. Deductible value added tax,1.3.4. Receivables form services provided by the stock company,1.3.5. Prepayments to suppliers,1.3.6. Intercompany receivables,1.3.7. Receivables arise from transaction error,1.3.8. Receivable from trading stocks,1.3.9. Construction contract in progress receivables,1.3.10. Short-term loans receivables,1.3.11. Other receivables,1.3.12. Provision for short term receivables,1.3.13. Provision for doubtful debts,1.3.14. Shortage of current assets waiting for solution,"1.4.Inventories,net",1.4.1.Inventories,1.4.2. Provision for decline in inventories,2. Other current assets,2.1. Advance,2.2. Tools and equipments,2.3. Short-term prepayments,2.4. Short term Collaterals,2.5. VAT to be claimed,2.6. Other taxes receivable,2.7. Government bonds purchased for resale,2.8. Other current assets,2.9. Provision for other current assets,II. Long-Term Assets,1. Long term financial assets,1.1. Long-term trade receivables,1.1.1. Long-term customer receivables,1.1.2. Long-term prepayments to suppliers,1.1.3. Paid-in capital in wholly-owned subsidiaries,1.1.4. Long-term intercompany receivables,1.1.5. Long-term loans receivables,1.1.6. Other long-term receivables,1.1.7. Provision for doubtful LT receivable,1.2. Long-term investments,1.2.1. Investments in subsidiaries,1.2.2. Investments in associates,1.2.3. Long- term securities Investments,1.2.3.1. Held-to-maturity investment,1.2.4. Other long-term investments,1.2.5. Provision for diminuation in value of long-term investments,2. Fixed Assets,2.1. Tangible fixed assets Accumulated depreciation,2.1.1. Cost,2.1.2. Accumulated depreciation,2.1.3. Revaluation of tangible fixed assets using fair value model,2.2 Finance lease assets,2.2.1. Cost,2.2.2. Accumulated depreciation,2.2.3. Revaluation of fixed assets in financial lease using fair value model,2.3. Intangible fixed assets,2.3.1. Cost,2.3.2. Accumulated depreciation,2.3.3. Revaluation of intangible fixed assets using fair value model,2.4. Construction in progress,3. Net Investment properties,3.1. Cost,3.2.Accumulated depreciation,3.3.Revaluation of investment property using fair value model,4. Long-term incomplete assets,4.1. Long-term cost of work in progress,4.2. Construction in progress,5. Other long-term assets,5.1. Long term collaterals,5.2. Long-term prepayments,5.3. Deferred income tax assets,"5.4. Long-term equipment, material and spare parts",5.5. Payments to Settlement Assistance Fund,5.6. Other long-term assets,5.7. Goodwill,6. Provision for long term assets,A.  Total Assets,I. Liabilites,1. Current liabilities,1.1. Short-term borrowings,1.1.1. Short term borrowings,1.1.2. Short term finance lease,1.2. Short term financial assets borrowings,1.3. Short term convertible bonds,1.4. Short term bonds issued,1.5. Borrowings form payable assistance fund,1.6. Payables to securities trading,1.7. Payable arise from transaction errors,1.8. Short-term trade payables,1.9. Advances from customer,1.10. Taxes and liabilities to State budget,1.11. Payable to employees,1.12. Employees' welfare payable to authorities,1.13. Accrued expenses,1.14. Intercompany payables,1.15. Short-term unrealized revenue,1.16. Short term collaterals received,1.17. Construction contract in progress payables,"1.18. Dividend, principal and interest payables",1.19. Payables to securities issuers,1.20. Other payables,1.21. Provision for ST liabilities,1.22.Bonus and welfare funds,1.23.Price stabilization fund,1.24.Government bonds purchased for resale,2. Long-term liabilities,2.1. Long-term borrowings,2.1.1. Long term borrowings,2.1.2. Long term financial lease,2.2. Long term financial assets borrowings,2.3. Convertible bonds,2.4. Long term bonds,2.5. Long-term trade payables,2.6. Long-term advances from customers,2.7. Long-term accrued expenses,2.8. Long-term intercompany payables,2.9. Intra-company payables for operating capital received,2.10. Deffered revenue,2.11. Long term collaterals received,2.12. Other long-term payables,2.13. Preferred shares,2.14. Provision for severance allowances,2.15. Provision for long-term liabilities,2.16. Provision for compensation of investors,2.17. Deferred income tax liabilities,2.18. Technology-science development fund,II. Owner's equity,1. Capital and researves,1.1. Shareholders' equity,1.1.1. Paid-in capital,1.1.1.1 Common shares,1.1.1.2 Preferred shares,1.1.2. Share premium,1.1.3. Conversion options on convertible bonds,1.1.4. Owner's other capital,1.1.5. Treasury shares,1.2. Differences upon asset revaluation,1.3. Foreign exchange differences,1.4. Charter reserve,1.5. Investment and development funds,1.6. Financial researve funds,1.7. Other funds in owners' equity,1.8. Undistributed earnings,1.8.1. Realized gain,1.8.1.1 Beginning accumulated undistributed earnings,1.8.1.2 Current period undistributed earnings,1.8.2. Unrealized gain,1.9. Minority interests,2. Budget sources and other funds,2.1. Bonus and welfare funds,2.2. Budget sources and other funds,2.2. Funds used for fixed asset acquisitions,III. Minority Interests,B. Total Resources,C. Distributed profit to investor,1. Distributed profit to investor during the year
2014,4,104825480926,96758730874,43213125969,43213125969,0,0,74724057,1934804561,0,0,0,-1860080504,53470880848,0,0,0,0,0,0,803000000,0,0,260375677,0,0,11455683075,0,0,41263998846,0,-312176750,0,0,0,0,8066750052,0,0,174008335,0,90322890,1582700,0,7800836127,0,10153678220,7030000000,0,0,0,0,0,0,0,0,7030000000,0,7030000000,0,0,0,0,1152435666,332084598,3002563913,-2670479315,0,0,0,0,0,820351068,3420900575,-2600549507,0,0,0,0,0,0,0,0,0,1971242554,0,163437061,0,0,0,1807805493,0,0,114979159146,33339227491,33339227491,0,0,0,0,0,0,0,31157148858,0,255180335,0,880049913,11757929,0,0,0,0,0,0,73011937,0,962078519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81639931655,81639931655,96000000000,96000000000,96000000000,0,0,0,0,0,0,0,0,0,0,0,-14360068345,-14360068345,0,-14360068345,0,0,0,0,0,0,0,114979159146,0,0
2015,1,94127318853,86979800032,49631871674,49631871674,0,0,15629624,74154561,0,0,0,-58524937,37332298734,0,0,0,0,0,0,425000000,0,0,717451443,0,0,5695504132,0,0,30806519909,0,-312176750,0,0,0,0,7147518821,0,0,504253487,0,102840314,0,0,6540425020,0,10072599337,7020000000,0,0,0,0,0,0,0,0,7020000000,0,0,0,0,7020000000,0,1029511400,301970136,3002563913,-2700593777,0,0,0,0,0,727541264,3420900575,-2693359311,0,0,0,0,0,0,0,0,0,2023087937,0,163437061,0,0,1675920876,183730000,0,0,104199918190,21584432896,21584432896,0,0,0,0,0,0,0,19408489000,0,130000000,0,1118341840,4489181,0,0,0,0,0,0,127453037,0,795659838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82615485294,82615485294,96000000000,96000000000,96000000000,0,0,0,0,0,0,0,0,0,0,0,-13384514706,-13384514706,0,-13384514706,0,0,0,0,0,0,0,104199918190,0,0
2015,2,120898240264,114861674571,88242952289,88242952289,0,0,16673443,74154561,0,0,0,-57481118,26602048839,0,0,0,0,0,0,2690503333,0,0,1266999882,0,0,9537102680,0,0,13419619694,0,-312176750,0,0,0,0,6036565693,0,0,311705730,0,0,0,0,5724859963,0,7432614873,4490000000,0,0,0,0,0,0,0,0,4490000000,0,0,0,0,0,4490000000,1014937868,241741212,3002563913,-2760822701,0,0,0,0,0,773196656,3655150575,-2881953919,0,0,0,0,0,0,0,0,0,1927677005,0,68026129,0,0,1675920876,183730000,0,0,128330855137,43896489259,43896489259,0,0,0,0,0,0,0,41214226058,0,307215072,0,1375988922,44973896,0,0,0,0,0,0,108712792,0,845372519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84434365878,84434365878,96000000000,96000000000,96000000000,0,0,0,0,0,0,0,0,0,0,0,-11565634122,-11565634122,-11565634122,0,0,0,0,0,0,0,0,128330855137,0,0
2015,3,106491298881,101247506847,76611070547,76611070547,0,0,16589743,74154561,0,0,0,-57564818,24619846557,0,0,0,0,0,0,474456130,0,0,1105910025,0,0,10190796001,0,0,13160861151,0,-312176750,0,0,0,0,5243792034,0,0,171029154,0,0,0,0,5072762880,0,11308225550,8490000000,0,0,0,0,0,0,0,0,8490000000,0,0,0,0,8490000000,0,993381866,197216519,3002563913,-2805347394,0,0,0,0,0,796165347,3834775575,-3038610228,0,0,0,0,0,0,0,0,0,1824843684,0,37264789,0,0,1675920876,111658019,0,0,117799524431,30743747774,30743747774,0,0,0,0,0,0,0,28008043183,0,130715000,60000000,1717244888,39635562,0,0,0,0,0,0,80653392,0,707455749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87055776657,87055776657,96000000000,96000000000,96000000000,0,0,0,0,0,0,0,0,0,0,0,-8944223343,-8944223343,0,-8944223343,0,0,0,0,0,0,0,117799524431,0,0
2015,4,122427002660,117518674316,92885499567,92885499567,0,0,16589743,74154561,-57564818,0,0,0,24616585006,0,0,0,0,0,0,749456130,0,0,342239048,0,0,8135245549,0,0,19853255297,0,-4463611018,0,0,0,0,4908328344,0,0,146028772,0,1582700,17783825,0,4742933047,0,17511327755,14950000000,0,0,0,0,0,0,0,0,14950000000,0,0,0,0,14950000000,0,864653411,215704271,3063363913,-2847659642,0,0,0,0,0,648949140,3834775575,-3185826435,0,0,0,0,0,0,0,0,0,1696674344,0,7753449,0,0,1675920876,13000019,0,0,139938330415,58004228181,23004228181,0,0,0,0,0,0,0,20335121980,0,130000000,100000000,1591660576,54383936,0,214375000,0,0,0,0,0,0,578686689,0,0,0,0,35000000000,35000000000,35000000000,35000000000,35000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81934102234,81934102234,96000000000,96000000000,96000000000,0,0,0,0,0,0,0,0,0,0,0,-14065897766,-14065897766,0,-14065897766,0,0,0,0,0,0,0,139938330415,0,0
2016,1,106287455501,100519247722,48431755227,48431755227,0,0,32243616162,0,0,32228588531,74154561,-59126930,19843876333,0,0,0,0,0,0,0,19366525,1695103329,0,0,0,0,0,0,22593017497,-4463611018,0,0,0,0,0,5768207779,5263442612,0,414221297,90543870,0,0,0,0,0,17804137969,14950000000,0,0,0,0,0,0,0,0,14950000000,0,0,14950000000,14950000000,0,0,896813452,187442692,3063363913,-2875921221,0,0,0,0,0,709370760,4014400575,-3305029815,0,0,0,0,0,0,0,0,0,1957324517,13000019,65392845,0,0,1878931653,0,0,0,124091593470,37887450096,2887450096,0,0,0,0,0,0,0,328235285,0,162727273,75000000,1118466597,416344142,15341660,230764925,0,0,0,0,0,0,540570214,0,0,0,0,35000000000,0,0,0,0,0,35000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86204143374,86204143374,96000000000,96000000000,96000000000,0,0,0,0,0,0,0,0,0,0,0,-9795856626,-9795856626,0,-9795856626,0,0,0,0,0,0,0,124091593470,0,0
2016,2,125664072640,120818384423,69184037272,69184037272,0,0,33399676980,0,0,21183492349,12274154561,-57969930,18234670171,0,0,0,0,0,0,0,0,761976453,0,0,0,0,0,0,21936304736,-4463611018,0,0,0,0,0,4845688217,4477442612,0,277701735,90543870,0,0,0,0,0,2963064387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996259847,162813406,3063363913,-2900550507,0,0,0,0,0,833446441,4238650575,-3405204134,0,0,0,0,0,0,0,0,0,1966804540,13000019,74872868,0,0,1878931653,0,0,0,128627137027,37707965044,2707965044,0,0,0,0,0,0,0,272245580,0,130000000,0,1198540333,311019100,28564300,227025517,0,0,0,0,0,0,540570214,0,0,0,0,35000000000,0,0,0,0,0,35000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90919171983,90919171983,96000000000,96000000000,96000000000,0,0,0,0,0,0,0,0,0,0,0,-5080828017,-5080828017,0,-5080828017,0,0,0,0,0,0,0,128627137027,0,0
2016,3,134290509586,129656814823,79707812327,79707812327,0,0,33059879279,0,0,20843642738,12274154561,-57918020,16889123217,0,0,0,0,0,0,0,0,333807188,0,0,0,0,0,0,21568927047,-5013611018,0,0,0,0,0,4633694763,4398235612,0,144915281,90543870,0,0,0,0,0,2899556338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926672775,138184120,3063363913,-2925179793,0,0,0,0,0,788488655,4283275575,-3494786920,0,0,0,0,0,0,0,0,0,1972883563,13000019,80951891,0,0,1878931653,0,0,0,137190065924,40723865360,5723865360,0,0,0,0,0,0,0,299998756,0,130000000,0,1913553187,339609860,34340930,225792413,0,2240000000,0,0,0,0,540570214,0,0,0,0,35000000000,0,0,0,0,0,35000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96466200564,96466200564,96000000000,96000000000,96000000000,0,0,0,0,0,0,0,0,0,0,0,466200564,466200564,0,466200564,0,0,0,0,0,0,0,137190065924,0,0
2016,4,159487701916,155372278093,84056228159,84056228159,0,0,54351297486,0,0,23136160582,31274154561,-59017657,16964752448,66263890,0,66263890,0,0,66263890,0,0,424133964,0,0,0,0,0,0,21638408224,-5164053630,0,0,0,0,0,4115423823,4001387000,0,18492953,95543870,0,0,0,0,0,2907608238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846348456,113554834,3063363913,-2949809079,0,0,0,0,0,732793622,4283275575,-3550481953,0,0,0,0,0,0,0,0,0,2061259782,13000019,62280913,0,0,1985978850,0,0,0,162395310154,60376760751,25376760751,18899000000,18899000000,0,0,0,0,0,233781719,0,790000000,0,4231360106,332410952,42798530,309674230,0,0,0,0,0,0,537735214,0,0,0,0,35000000000,0,0,0,0,0,35000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102018549403,102018549403,96000000000,96000000000,96000000000,0,0,0,0,0,0,0,0,0,0,0,6018549403,6018549403,0,6018549403,0,0,0,0,0,0,0,162395310154,0,0
2017,1,128679696292,124396155869,30811962236,30811962236,0,0,75591442346,0,0,52075633165,23574154561,-58345380,17992751287,408163891,0,408163891,0,0,408163891,0,0,592586130,274138450,0,0,0,0,0,21881916446,-5164053630,0,0,0,0,0,4283540423,3828623262,0,359373291,95543870,0,0,0,0,0,17034180607,12200000000,0,0,0,0,0,0,0,0,12200000000,0,0,0,0,12200000000,0,2042884845,1316321911,4308047549,-2991725638,0,0,0,0,0,726562934,4327900575,-3601337641,0,0,0,0,0,0,0,0,0,2791295762,13000019,48457865,0,0,2729837878,0,0,0,145713876899,45063761417,33323761417,23298000000,23298000000,0,0,0,0,0,456092294,0,790000000,0,2367241458,325002662,41831830,131830959,0,0,0,0,0,0,5913762214,0,0,0,0,11740000000,0,0,0,0,0,11740000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100650115482,100650115482,96000000000,96000000000,96000000000,0,0,0,0,0,0,0,300927470,0,300927470,0,4048260542,4048260542,0,4048260542,0,0,0,0,0,0,0,145713876899,0,0
