Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2014,4,329910877430,-133665168,329777212262,-304768853148,25008359114,2157976250,-3520693173,-1410055097,-5406636524,-7034409511,11204596156,1669855991,-201900298,1467955693,0,12672551849,-634338701,0,-634338701,12038213148,0,12038213148,0,0
2015,1,281044908373,0,281044908373,-258241961364,22802947009,2843122410,-3055358419,-949197513,-5287382476,-6866994094,10436334430,2126171188,-14551091,2111620097,0,12547954527,-2120279547,0,-2120279547,10427674980,0,10427674980,0,0
2015,2,326020239622,-139572535,325880667087,-295948929756,29931737331,2971801522,-5819238603,-905969102,-5338339806,-6872784405,14873176039,1571262229,-7806124,1563456105,0,16436632144,-2636329118,-431352590,-3067681708,13368950436,0,13368950436,853,0
2015,3,375410836008,0,375410836008,-345579446129,29831389879,4670513854,-11731540328,-1350177840,-5686311231,-7143214611,9940837563,1691892911,-80996729,1610896182,0,11551733745,-2831881733,0,-2831881733,8719852012,0,8719852012,0,0
2015,4,418714272985,-20092800,418694180185,-370197029798,48497150387,2605774834,-2536432050,-1692737134,-6885611769,-7548096881,34132784521,2509655835,-46541350,2463114485,0,36595899006,-7300434298,0,-7300434298,29295464708,0,29295464708,0,0
2016,1,293359517841,0,293359517841,-259772653444,33586864397,4044097966,-1059182054,-1290722848,-5653447010,-7155342274,23762991025,6067469,-8317020,-2249551,0,23760741474,-3877029538,0,-3877029538,19883711936,0,19883711936,0,0
2016,2,330931508844,0,330931508844,-296786836459,34144672385,4067051646,-3066722833,-1344338895,-5868953767,-7956452517,21319594914,21669033,-7832726,13836307,0,21333431221,-4001506313,-263701087,-4265207400,17068223821,0,17068223821,0,0
2016,3,318115629534,-284030870,317831598664,-290116136926,27715461738,3031062237,-1862256452,-1394350815,-6031704429,-7450082343,15402480751,5139089,-36845487,-31706398,0,15370774353,-2863628833,0,-2863628833,12507145520,0,12507145520,0,0
2016,4,348906916896,0,348906916896,-332380123254,16526793642,4782514017,-5943050109,-1534013686,-5892931981,-8123576663,1349748906,1502711,-1338978548,-1337475837,0,12273069,-1038466417,0,-1038466417,-1026193348,0,-1026193348,0,0
2017,1,333169092085,0,333169092085,-305471439807,27697652278,3044756515,-2917840011,-1922578695,-5739471299,-7643279113,14441818370,27219549,-16088302,11131247,0,14452949617,-1987771023,0,-1987771023,12465178594,0,12465178594,0,0
2017,2,348134575828,0,348134575828,-313741786243,34392789585,4261062197,-4355216060,-2107743307,-5824844717,-8175410477,20298380528,3459063,-696442838,-692983775,0,19605396753,-3187550373,-1021719587,-4209269960,15396126793,0,15396126793,0,0
2017,3,442520773139,0,442520773139,-398157017587,44363755552,2180907962,-1931047416,-1715758536,-6129379235,-7662602806,30821634057,1715878231,-11191202,1704687029,0,32526321086,-5781108982,0,-5781108982,26745212104,0,26745212104,0,0
2017,4,436061043441,-19801800,436041241641,-401195930126,34845311515,2304080984,-2895219576,-2381057281,-6670022548,-7462405062,20121745313,658274092,-29888542,628385550,0,20750130863,-4606893188,0,-4606893188,16143237675,0,16143237675,0,0
2018,1,392484838340,0,392484838340,-368852408177,23632430163,2037897804,-3448133200,-2503811888,-6537703509,-8154243550,7530247708,17178933,-2609327,14569606,0,7544817314,-2349959260,0,-2349959260,5194858054,0,5194858054,0,0
2018,2,475476113000,0,475476113000,-440201749654,35274363346,2704067790,-3427137763,-1733459075,-6824459640,-7606432936,20120400797,16951384,-13419952,3531432,0,20123932229,-3114427887,75627781,-3038800106,17085132123,0,17085132123,0,0
2018,3,451812075538,0,451812075538,-418117254000,33694821538,3232646715,-6246459321,-2097606323,-6556061052,-7694475138,16430472742,83971703,-3518102,80453601,0,16510926343,-2964248249,0,-2964248249,13546678094,0,13546678094,0,0
2018,4,477143015996,-9429624,477133586372,-428359787311,48773799061,2056495102,-2932667065,-2468404450,-6933525514,-7444247052,33519854532,2166061,-39918685,-37752624,0,33482101908,-6131417857,0,-6131417857,27350684051,0,27350684051,0,0
2019,1,436873184733,0,436873184733,-388796777787,48076406946,1827934077,-4754700200,-3964939497,-7096391858,-13786747766,24266501199,95243511,-10811054,84432457,0,24350933656,-4288704777,0,-4288704777,20062228879,0,20062228879,0,0
2019,2,484875918736,0,484875918736,-431108226389,53767692347,2932586776,-7336957418,-4857806453,-7249383059,-14120632332,27993306314,7203228,-242327909,-235124681,0,27758181633,-5053777342,4812419,-5048964923,22709216710,0,22709216710,1394,0
2019,3,463065644936,0,463065644936,-419610165682,43455479254,1734376554,-4573480207,-4181516142,-7127922178,-7481875780,26006577643,15562510,-143146468,-127583958,0,25878993685,-3260897340,0,-3260897340,22618096345,0,22618096345,0,0
2019,4,497945280517,-7464800,497937815717,-450238639082,47699176635,2712818240,-4746557612,-4073684488,-7366625072,-7602013811,30696798380,114914706,-110014391,4900315,0,30701698695,-7122685334,0,-7122685334,23579013361,0,23579013361,0,0
