date,open,high,low,close,volume,unadjusted,putthrough
2006-02-15,12.0400,12.0400,12.0400,12.0400,68200,34.0000,0
2006-02-16,12.0400,12.0400,12.0400,12.0400,179660,34.0000,0
2006-02-17,11.8600,11.8600,11.8600,11.8600,120180,33.5000,0
2006-02-20,12.2300,12.4300,12.2300,12.4200,153030,30.5000,0
2006-02-21,13.0300,13.0300,13.0300,13.0300,43890,32.0000,0
2006-02-22,13.6800,13.6800,13.6800,13.6800,202850,33.6000,0
2006-02-23,13.8400,14.0500,13.8400,14.0400,90230,34.5000,0
2006-02-24,14.2400,14.2400,14.1200,14.1300,119020,34.7000,0
2006-02-27,14.0500,14.0500,13.8400,13.8400,82570,34.0000,0
2006-02-28,13.6800,13.6800,13.4300,13.4300,123900,33.0000,0
2006-03-01,13.7100,13.7100,13.5900,13.6000,94690,33.4000,0
2006-03-02,13.8400,14.2500,13.8400,14.2500,136060,35.0000,0
2006-03-03,14.0500,14.0500,13.6800,13.6800,153030,33.6000,0
2006-03-06,13.6800,13.6800,13.6800,13.6800,49880,33.6000,0
2006-03-07,13.7600,13.7600,13.7600,13.7600,68020,33.8000,0
2006-03-08,13.8400,13.8400,13.7600,13.7600,41240,33.8000,0
2006-03-09,14.2100,14.2100,14.0400,14.0400,100170,34.5000,0
2006-03-10,14.4100,14.4100,14.2400,14.2500,82600,35.0000,0
2006-03-13,14.2500,14.3300,14.2500,14.3300,73310,35.2000,0
2006-03-14,14.4100,14.4100,14.2500,14.2500,56070,35.0000,0
2006-03-15,13.6800,13.7600,13.6800,13.7600,100140,33.8000,0
2006-03-16,14.0400,14.1700,14.0400,14.1700,72660,34.8000,0
2006-03-17,14.2500,14.2500,14.2500,14.2500,71730,35.0000,0
2006-03-20,14.4500,14.4500,14.4100,14.4100,89640,35.4000,0
2006-03-21,14.7400,15.0200,14.7400,15.0200,193190,36.9000,0
2006-03-22,15.2600,15.2600,15.0200,15.0200,154120,36.9000,0
2006-03-23,15.0200,15.0200,14.6500,14.6600,79530,36.0000,0
2006-03-24,14.4600,14.4600,14.2500,14.2500,41890,35.0000,0
2006-03-27,14.2500,14.3300,14.2500,14.3300,38960,35.2000,0
2006-03-28,14.4900,14.4900,14.4500,14.4500,45380,35.5000,0
2006-03-29,14.4500,14.4500,14.4500,14.4500,106770,35.5000,0
2006-03-30,14.6500,14.6500,14.6500,14.6600,90230,36.0000,0
2006-03-31,14.8600,14.8600,14.7000,14.7000,119600,36.1000,0
2006-04-03,14.7800,14.7800,14.7000,14.7000,58700,36.1000,0
2006-04-04,14.2500,14.2500,14.2500,14.2500,112740,35.0000,0
2006-04-05,14.2500,14.2500,14.2500,14.2500,86090,35.0000,0
2006-04-06,14.2500,14.2500,14.2500,14.2500,105480,35.0000,0
2006-04-07,14.8600,14.8600,14.7400,14.7400,137240,36.2000,0
2006-04-10,15.0700,15.2700,15.0700,15.2700,216090,37.5000,0
2006-04-11,16.0000,16.0000,16.0000,16.0000,238150,39.3000,0
2006-04-12,16.7700,16.7700,16.7700,16.7700,132770,41.2000,0
