Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2010,1,109863774048,-154409482497,-4419281139,-1763689836,-90315378,104802154924,-81360670311,5817359940,-27377510189,-1826092730,0,-12000000000,12000000000,0,0,415606959,-1410485771,0,0,19820230102,-37825786063,0,-7939000,0,-18013494961,-46801490921,73564049000,0,26762558079
2010,2,249816421765,-252592429945,-12201618527,-5066922563,-492050804,54862967993,-81798822561,0,-47472454642,-22883577526,0,-6450000000,0,0,0,553802390,-28779775136,0,0,128813643488,-97613180262,0,-24791000,0,31175672226,-45076557552,73564049000,0,28487491448
2010,3,388778318211,-355211004839,-18719005738,-8425336426,-2186400479,142228493262,-237371022246,0,-90905958255,-24998783655,206363636,0,0,-30450000000,0,627722101,-54614697918,0,0,208268472787,-128707503897,0,-545531500,0,79015437390,-66505218783,73564049000,0,7058830217
2011,1,131461975494,-183688392266,-6524602653,-4874494538,-1636841181,66822048156,-60869411334,0,-59309718322,-1835951279,0,-45879000000,45879000000,0,0,608915209,-1227036070,0,0,101964883949,-39275817568,0,0,0,62689066381,2152311989,29603228126,-785821,31754754294
2011,2,104990162083,-99365669120,-7808335488,-23757633109,-4904611810,17837976945,-40697956003,0,-53706066502,-32591728675,5000000,45879000000,-45879000000,0,0,370621922,-32216106753,0,0,131628055606,-62560997132,0,-1060000,0,69065998474,-16856174781,31754754294,0,14898579513
2011,3,158660912243,-166794383109,-7740628606,-18773997889,-62457918,8493850791,-15061203900,0,-41277908388,0,24298120,0,0,0,0,389714485,414012605,0,0,106998911514,-62493005668,0,-1350000,0,44504555846,3640660063,14898579513,0,18539239576
2011,4,69761185606,-76935177111,-9761685233,-10164653522,-102896356,27080876248,-54207507841,0,-54329858209,0,3100000000,-3000000000,12000000000,0,0,0,12100000000,0,0,66958834667,-31844264159,0,-8675061030,0,26439509478,-15790348731,18539239576,0,2748890845
2012,1,178264490854,-119222541663,-7880787690,-24321751418,-215155530,63504462509,-93079612934,0,-2950895872,-2289877889,0,0,0,-30000000,-1018850500,1155112936,-2183615453,0,0,70274321639,-63121625806,-645021731,-541000000,0,5966674102,832162777,2748838399,0,3581001176
2012,2,81539931212,-77364635247,-7667239780,-20912817262,-64426993,-47973218727,59167083688,0,-13275323109,-26684110507,160000000,0,0,-1051050500,1018850500,3230681436,-23325629071,0,0,88940295728,-45508471787,-334370167,541000000,0,43638453774,7037501594,3581001176,0,10618502770
2012,3,99489830998,-76248459871,-8308287781,-6444694260,-525309078,3285537574,-5469170396,0,5779447186,506317989,0,0,0,-232365472,0,1238506016,1512458533,264565472,0,53946637737,-63230950076,-334370167,0,0,-9354117034,-2062211315,10618502770,0,8556291455
