Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2014,3,7933800,7933800,25802.024189625,62107.1346678767,25347.628987,7663.75417189745,2258.80277584512,2258.80277584512,2113.10072657491,1181,0.716936824540059,0.0680349516163971,0.409656568271434,1.17818989566596,0,0,0.114536576874977,0.0189496676058678,4.31133216241926,0.713294509451863,5.04425255667864,0.834553571244298,0.088554071054713,0.0627213105677472,0.0146636435775788,3.58781744996175,101.733158135984,0.637697508952499,572.371688576234,3.8423399691014,94.9941970089029,311864294.321519,11342335.1031646,0,0,0,0.0983431260378444,0.0596802514147924,0.0473992523477868,0.0453899530134381,0.0363694571956066,4.0329308225894,0.403185659294088,2.43484720100277,-0.00902049581783148,0,0,6.817770973492,6.817770973492,7.28786839468918,0.5968523975802,0.247958629589867,0.607551894021258,2.00945902681364,0.173063880692415,2.89985173637387,3.65119431468197,-0.409997092767991,-0.584873728761831,0,0,-0.497842564374126,-0.49631001115539,0.192746522253057,0.0192794232789895,0.018254544292919,0
2014,4,7933800,7933800,26587.47575025,63882.0370495853,26136.799856625,55234.6012366079,2215.31570647105,2215.31570647105,2099.03335413043,2215,0.263879435900121,0.191052322640586,0.485007792132804,1.17103046560892,0,0,0.00803003729577421,0.00131622308693649,4.4324572311699,0.726534924388782,5.10081784423348,0.836087549975745,0.0842361825503738,0.0665837015138393,0.0141602502040836,3.83966461698332,95.060385843482,0.686523986913111,531.663870393207,3.64972501742965,100.00753433667,320776775.66076,11123969.4632911,0,0,0,0.0884684145517242,0.0646700858250316,0.0490510750467878,0.0442463630011607,0.0346782258172437,3.62966119599917,0.408332602674338,2.429079936047,-0.00956813718391698,0,0,7.94469156183451,7.94469156183451,8.38481197326718,0.661965812976228,0.275507808029648,0.6733800655224,0.318640844795947,-0.0753273838847769,-1.16479486494852,-1.53569282249013,0.0966758236913554,0.176748437444784,0.180110004809609,0.269833722186995,0.185355342194526,0.198589105972875,0.891650439359126,0.0952594902894648,0.0395884423135768,0
2015,1,7933800,7933800,25130.832152875,65912.8729270967,24683.87556825,-3159.55447200585,2638.14139580025,2638.14139580025,2531.28667618291,2215,1.87338603145631,0.156018858525115,0.43146806873861,0.499544975724818,0,0,0.00451630177562646,0.00071632597549241,4.92152575604129,0.780598133883178,5.30481363253917,0.841391029412988,0.10174279473956,0.0864275880419436,0.0166218228395477,3.77307376921513,96.7381032881121,0.909676769750545,401.241421279881,4.47017470069558,81.6522897736423,330974399.512025,13247143.1683544,0,0,0,0.0946392647691083,0.0697332263113353,0.0556782413351054,0.051112360419446,0.0400246761921329,1.53285750993248,0.415289376977268,2.54200169543305,-0.0110876842273132,46.6804817606267,37.0135357839339,16.2993538058473,16.2993538058473,16.9874081843793,1.71104560877347,0.652376358220046,1.74202790324018,-13.6095137403032,0.35890868109689,5.14688191099152,6.44612100688957,-0.663653170868494,-0.526149738572418,0,0,-0.442352427729607,-0.436592514259437,0.200801386366533,-0.0231813156416273,-0.0547868331336909,0
2015,2,7938029.44444444,7938029.44444444,25628.648925625,63315.089370375,25185.41165,31609.5354767937,2275.0836252742,2275.0836252742,2110.06294656951,2215,-0.982574790153551,0.183160623254365,0.584766774210179,1.1817332298368,0,0,0,0,3.85913626853773,0.620168899568211,5.22271815182063,0.839298522670929,0.0875417315212394,0.0633314794841601,0.0141959790875013,3.74402125601585,97.4887627610345,0.999749150876894,365.091582903425,4.75208581821288,76.8083771974611,320582730.989241,11430177.7253165,0,0,0,0.0750185714019133,0.0617382795159411,0.0461141685463076,0.0457294698296633,0.0356543775456828,1.03625350851678,0.39815529157149,2.45528705161308,-0.0100750922839805,16.7813580730173,27.0918113829976,26.8561556688432,26.8561556688432,28.9564821273862,2.38405076199349,0.965014826759268,2.42600759714007,1.93296102199467,0.678899769114318,10.9964154239028,14.722151358591,1.02559360803319,0.176290976484489,0,0,0.256682797321413,0.25670669594383,-0.130423019175917,0.00652999040504998,0.0198090047206434,0
2015,3,19955760.6666667,19955760.6666667,27421.695585625,29040.4393534286,26982.040994,9528.90034934273,1364.96176607784,1364.96176607784,1272.26576948574,2215,1.30218235381527,0.13830178077101,0.465482329196901,1.04131095234713,0,0,0.0379093789716252,0.00690836596186377,3.23737603164617,0.589958975574831,4.48745957884921,0.817766311417694,0.129995230898201,0.0872769689110989,0.0215973652092186,4.44642787209092,82.088366324575,1.3303335033806,274.367291414127,5.75987735734179,63.3694048250446,367598549.862025,17239778.685443,0,0,0,0.0819482881182642,0.0741493071001555,0.0605274223401185,0.060264672613846,0.0468983860026483,1.16161757413714,0.460514040035387,2.77184871331947,-0.0133662866111976,35.8777292060258,60.9800439408966,18.3155313367029,18.3155313367029,19.6499824168854,0.911686876616977,0.860868518404438,0.926542213969627,2.62359759085154,0.706075138190359,9.52234303736168,11.6653759716174,0.190252266411318,1.17045847145823,0,0,1.87760590078196,1.87752914713125,-0.395355087062511,-0.0564611282575446,0.0699625901155956,0
2015,4,19949324.5555556,19949324.5555556,12115.3128615582,23851.9663040214,11940.5440722336,1609.94259572843,2153.69318331307,2153.69318331307,2025.13039982846,2148,-0.630813976420467,0.223513605639725,0.568895984804651,1.15744466867122,0,0,0.129908425915636,0.0255411467254023,2.92856601123317,0.575782006907757,4.08624093163499,0.803391146144831,0.188853947426586,0.125520171843855,0.0339633465166936,3.3609453311429,108.600397816016,0.730639335456464,499.562482181401,3.54457240357724,102.97433891649,301922023.906329,27192863.485443,0,0,0,0.181872936532806,0.131705739629396,0.115469037479425,0.115469037479425,0.0900658492335742,0.757205279492743,0.377094612505279,2.09684302134117,-0.0254031882458509,0,0,14.6260387710115,14.6260387710115,15.5545539204133,2.60001539869014,1.32064583684613,2.6380707453063,19.5659150106204,1.19245941438229,9.05396695495367,10.3270923566395,-0.0587784190909456,0.934958750141222,0.916872119269621,1.21568946039947,1.45629115323174,1.44452877861441,-0.0197046434101368,-0.0502613675205832,0.139187559981703,1.49998675
2016,1,21965906.4444444,21965906.4444444,12537.5584433097,21531.9605389009,12363.8836333833,-487.991529013867,2111.49434357764,2111.49434357764,1992.35620449748,2148,0.747219789429384,0.152288575405147,0.532780074086203,1.120090716045,0,0,0.184808177629357,0.038605842342803,2.81488807210689,0.588021193208999,3.78705207331941,0.791103170660397,0.202214854515455,0.118689526082564,0.0377662502013035,3.52869180288288,103.437766852237,0.878720019091203,415.376902847272,4.44012969185795,82.2048060148594,299808592.791139,29354991.9044304,0,0,0,0.198198428843341,0.142246876188848,0.125000936896813,0.124990381639099,0.0979124435065157,0.66869442667394,0.385714510319522,2.06526205734002,-0.0270779381325828,36.5325041972501,59.9411372195801,15.2498632534537,15.2498632534537,16.1617686271726,2.56828314265466,1.49545137526263,2.60435967814013,-65.9847519588501,1.36636133235463,9.6055630110333,10.9308087305181,-0.355238082532844,-0.704053511922634,0,0,-0.599544020997096,-0.589825405524911,0.017582157356214,-0.0260210743513039,0.0348522226851744,0
2016,2,21982640.3333333,21982640.3333333,11124.0598620657,21813.3430633414,10967.1671895516,5691.38977633579,2438.23336943404,2438.23336943404,2323.65988250031,2148,0.810627395668501,0.497537450671628,0.766304618141602,1.29363997027458,0.0434533011539412,0.00839676810369284,0.245886162525488,0.0475142056369678,3.13481839371722,0.60576164296431,4.17500312231211,0.806763401612555,0.223992214571903,0.121111103858537,0.0437270201821853,3.66903434697337,99.4812164408036,0.893669390024656,408.428445770006,4.34631109315841,83.9792624542113,495240371.053664,55313526.5314757,0,0,0,0.226633965226211,0.142568837400644,0.126832384817996,0.141842088041489,0.111690261465946,0.641568913627688,0.391502532165864,2.00547667837807,-0.0301518265755432,205.118914959914,690.987563020438,13.9445224670566,13.9445224670566,14.6320897718539,3.05643806502192,1.5586790113405,3.10016245876071,5.97393630310974,1.14160607053952,8.00740253868659,9.00090361131121,1.22760626055947,0.486317372373085,0,0,0.381340101968092,0.385113823726379,0.0513901710461708,0.0550734754675517,-0.0240215225252486,0.0999929299625288
2016,3,21999558.1111111,21999558.1111111,11980.5920920345,19471.5107777173,11824.6939526382,2179.92117649757,2775.03869562572,2775.03869562572,2687.24443045252,2148,0.448268356123982,0.368025591864208,0.86552890668561,1.38643678713456,0.0382658591116452,0.00816680341223561,0.188591019681228,0.0402496067984772,2.57581390546905,0.549737188209809,3.68553694513019,0.7865772884281,0.243868985654461,0.140767431797145,0.0494909935139282,3.42852363994878,106.459817207343,0.756849785569052,482.26214363735,3.61942435192873,100.844765495789,442072459.711042,63002709.0247678,0,0,0,0.290690240294003,0.18911739688072,0.170277636239252,0.179687444269689,0.142516702049137,0.559526171773486,0.347264515683675,1.71116074220115,-0.0371707422205519,-177.159519587482,-166.988258786452,12.5403656730463,12.5403656730463,12.950068704446,2.90469784236601,1.78722649707409,2.9429937163182,15.9638799673997,1.31999232896117,6.97975094165297,7.75200054519484,-0.212851787223605,0.454134201940587,0,0,0.740946638117837,0.738559164992177,0.139020409646937,-0.0248673118305097,0.076998167988088,0
2016,4,21999742,21999742,13549.6485001506,19628.3527584615,13479.346371062,4509.42995104215,3422.96158782226,3422.96158782226,3386.3721262163,3423,0.934632754140137,0.395771068308672,0.904789550012692,1.41404784466055,0.11514349087557,0.0298438666161737,0.345955456385738,0.0896676695921165,2.40055002626429,0.622194917354935,2.8581961364607,0.740811517965661,0.277744891517448,0.192118276447875,0.0630243720790813,4.1171141676858,88.6543304688497,1.09425753930425,333.559502118736,4.78933139814183,76.2110552929398,574862818.991744,77737856.0154799,0.0161812297734628,6.84592317564451,0.14607233741063,0.222040015907721,0.179776229173891,0.165553488970084,0.169026472304059,0.1352285335688,0.635221772118495,0.466204983349697,2.05453935126683,-0.0337979387352591,0,0,9.02727045197696,9.02727045197696,9.12480933822402,2.28050196281155,1.57425334567005,2.29239602198645,6.85230735047982,1.24895723204878,6.94728795785735,7.54413114346668,0.167713002864065,0.425605253175319,0.901355946604483,1.05281931090292,0.709327572535291,0.753251852397601,0.593373867206759,-0.0609820684057522,0.237902706417407,0.0999929299625288
