date,open,high,low,close,volume,unadjusted,putthrough
2007-12-13,16.27,16.49,11.10,12.75,71500,116.00,0
2007-12-14,11.87,12.35,11.12,11.54,36800,105.00,0
2007-12-17,10.33,10.44,10.23,10.23,12500,93.10,0
2007-12-18,9.34,9.34,9.25,9.26,19900,84.20,0
2007-12-19,9.35,10.18,8.36,10.18,32200,92.60,0
2007-12-20,10.11,10.11,9.01,9.52,13000,86.60,48500
2007-12-21,9.66,10.22,9.66,10.00,8800,91.00,0
2007-12-24,9.45,10.33,9.45,9.62,11000,87.50,0
2007-12-25,9.66,9.66,9.42,9.45,16900,86.00,0
2007-12-26,9.45,9.67,9.34,9.67,23100,88.00,0
2007-12-27,9.67,9.67,9.45,9.51,9600,86.50,0
2007-12-28,9.46,9.56,9.46,9.54,2400,86.80,0
2008-01-02,9.51,9.51,9.01,9.23,5900,84.00,0
2008-01-04,9.04,9.04,8.41,8.70,8300,79.10,0
2008-01-07,7.82,8.24,7.80,7.95,2700,72.30,0
2008-01-08,8.24,8.25,7.81,7.80,19900,71.00,0
2008-01-09,7.91,8.62,7.91,7.97,5200,72.50,0
2008-01-10,8.51,8.51,7.27,7.69,9900,70.00,0
2008-01-11,7.58,8.36,7.58,7.69,7000,70.00,0
2008-01-14,8.51,8.51,7.21,7.64,4000,69.50,0
2008-01-15,7.15,7.15,6.64,6.64,16800,60.40,0
2008-01-16,6.62,7.31,6.62,7.31,25300,66.50,0
2008-01-17,7.90,7.90,7.04,7.19,28800,65.40,0
2008-01-18,7.33,7.42,7.32,7.37,13200,67.00,0
2008-01-21,8.09,8.09,7.15,7.15,5100,65.00,0
2008-01-22,8.03,8.03,6.99,7.09,20300,64.50,0
2008-01-23,7.08,7.08,6.71,7.02,10700,63.90,0
2008-01-24,6.89,7.36,6.89,6.98,9500,63.50,0
2008-01-25,7.24,7.25,6.98,6.98,11000,63.50,0
2008-01-28,7.14,7.54,6.44,6.60,4900,60.00,0
2008-01-29,7.26,7.26,6.60,6.82,19100,62.00,0
2008-01-30,6.82,7.56,6.82,7.55,23100,68.70,0
2008-01-31,8.26,8.26,7.25,7.48,1700,68.00,0
2008-02-01,7.54,7.59,7.04,7.46,14200,67.90,0
2008-02-12,7.37,7.37,7.34,7.35,1800,66.90,0
2008-02-13,7.20,7.20,6.87,6.87,2600,62.50,0
2008-02-14,6.95,7.18,6.87,6.90,7000,62.80,0
2008-02-15,6.82,6.91,6.81,6.91,18500,62.90,0
2008-02-18,6.26,6.59,6.26,6.60,8700,60.00,0
2008-02-19,7.02,7.02,6.49,6.54,6100,59.50,0
2008-02-20,6.92,6.92,5.94,6.25,9300,56.90,0
2008-02-21,6.55,6.55,5.40,5.41,8700,49.20,0
2008-02-22,4.94,5.49,4.94,5.46,26800,49.70,0
2008-02-25,5.60,5.71,5.49,5.72,25300,52.00,0
2008-02-26,5.78,5.78,5.10,5.10,11800,46.40,0
2008-02-27,5.39,5.39,5.06,5.17,3100,47.00,0
2008-02-28,5.28,5.28,4.76,4.95,4100,45.00,0
2008-02-29,4.95,4.95,4.57,4.56,11000,41.50,0
2008-03-03,4.67,4.67,4.21,4.23,10800,38.50,0
2008-03-04,4.50,4.50,3.82,3.83,11500,34.80,0
2008-03-05,3.52,3.63,3.50,3.54,20100,32.20,0
2008-03-06,3.88,3.88,3.88,3.88,18400,35.30,0
2008-03-07,4.26,4.26,4.26,4.27,3400,38.80,0
2008-03-10,4.69,4.69,4.62,4.68,68700,42.60,25700
2008-03-11,5.14,5.14,4.39,4.51,22800,41.00,0
2008-03-12,4.84,5.05,4.80,4.79,31600,43.60,0
2008-03-13,4.92,5.03,4.92,4.92,3300,43.00,0
2008-03-14,4.92,4.98,4.75,4.85,6500,42.40,45700
2008-03-17,4.58,4.58,4.37,4.40,14300,38.50,0
2008-03-18,4.11,4.11,4.01,4.03,20500,35.20,0
2008-03-19,4.12,4.45,4.12,4.23,10100,37.00,6000
2008-03-20,4.46,4.46,4.37,4.38,2600,38.30,0
2008-03-21,4.44,4.44,4.12,4.18,9400,36.50,0
2008-03-24,3.89,3.89,3.74,3.80,16300,33.20,0
2008-03-25,3.41,3.46,3.41,3.43,24700,30.00,0
2008-03-26,3.43,3.72,3.43,3.68,39500,32.20,0
2008-03-27,3.66,3.70,3.66,3.71,2800,32.40,0
2008-03-28,3.74,3.74,3.74,3.74,100,32.70,0
2008-03-31,3.81,3.81,3.81,3.81,2200,33.30,0
2008-04-01,3.88,3.88,3.88,3.88,200,33.90,0
2008-04-02,3.95,3.95,3.95,3.95,100,34.50,0
2008-04-03,4.02,4.02,4.02,4.02,100,35.10,0
2008-04-04,4.10,4.10,4.10,4.10,100,35.80,0
2008-04-07,4.21,4.21,4.21,4.21,100,36.80,0
2008-04-08,4.34,4.34,4.30,4.30,18700,37.60,0
2008-04-09,4.46,4.46,4.23,4.23,4200,37.00,0
2008-04-11,4.21,4.21,4.21,4.21,600,36.80,0
2008-04-16,4.08,4.08,4.08,4.08,700,35.70,0
2008-04-17,4.19,4.19,3.97,4.19,19300,36.60,0
2008-04-18,4.13,4.14,3.92,3.91,3600,34.20,0
2008-04-21,3.89,4.01,3.89,4.00,4100,35.00,0
2008-04-22,3.89,3.89,3.89,3.89,5200,34.00,0
2008-04-23,3.78,3.78,3.78,3.77,400,33.00,0
2008-04-24,3.67,3.67,3.67,3.67,3100,32.10,0
2008-04-25,3.77,3.77,3.57,3.57,5300,31.20,0
2008-04-28,3.68,3.68,3.48,3.66,9500,32.00,0
2008-04-29,3.63,3.63,3.52,3.52,5300,30.80,0
2008-05-05,3.65,3.65,3.44,3.44,3600,30.10,0
2008-05-06,3.35,3.35,3.35,3.35,1700,29.30,0
2008-05-07,3.44,3.44,3.26,3.26,300,28.50,0
2008-05-08,3.48,3.48,3.29,3.29,500,28.80,0
2008-05-09,3.45,3.45,3.27,3.27,300,28.60,5000
2008-05-12,3.43,3.43,3.30,3.31,300,28.90,0
2008-05-13,3.44,3.46,3.30,3.29,300,28.80,0
2008-05-15,3.43,3.43,3.31,3.31,200,28.90,0
2008-05-16,3.29,3.29,3.29,3.28,400,28.70,0
2008-05-19,3.19,3.19,3.19,3.19,200,27.90,0
2008-05-20,3.10,3.10,3.10,3.10,100,27.10,0
2008-05-21,3.19,3.19,3.19,3.19,200,27.90,0
2008-05-26,3.10,3.10,3.10,3.10,100,27.10,0
2008-05-27,3.01,3.01,3.01,3.01,100,26.30,0
2008-05-28,2.93,2.93,2.93,2.93,100,25.60,0
2008-05-29,2.85,2.85,2.85,2.85,200,24.90,0
2008-06-02,2.77,2.77,2.77,2.77,100,24.20,0
2008-06-03,2.69,2.69,2.69,2.69,100,23.50,0
2008-06-05,2.61,2.61,2.61,2.61,100,22.80,0
2008-06-10,2.54,2.54,2.54,2.54,100,22.20,0
2008-06-11,2.47,2.47,2.47,2.47,5900,21.60,0
2008-06-12,2.40,2.40,2.40,2.40,2400,21.00,0
2008-06-13,2.33,2.33,2.33,2.33,30700,20.40,0
2008-06-16,2.40,2.40,2.26,2.40,34500,21.00,0
2008-06-17,2.39,2.39,2.39,2.39,30600,20.90,0
2008-06-18,2.46,2.46,2.32,2.32,10100,20.30,0
2008-06-20,2.35,2.35,2.35,2.34,900,20.50,0
2008-06-23,2.25,2.25,2.25,2.25,7500,19.70,0
2008-06-24,2.17,2.17,2.17,2.17,5200,19.00,0
2008-06-25,2.09,2.09,2.09,2.09,2600,18.30,0
2008-06-26,2.01,2.01,2.01,2.01,200,17.60,0
2008-06-27,1.93,1.93,1.93,1.93,200,16.90,0
2008-06-30,1.86,1.86,1.86,1.86,12100,16.30,0
2008-07-01,1.79,1.93,1.79,1.93,14300,16.90,0
2008-07-02,1.93,1.93,1.79,1.93,15100,16.90,0
2008-07-03,1.96,1.96,1.94,1.97,17200,17.20,0
2008-07-04,2.03,2.03,2.03,2.02,20100,17.70,0
2008-07-07,2.10,2.10,1.94,1.94,24400,17.00,0
2008-07-08,1.96,1.97,1.96,1.98,17200,17.30,23000
2008-07-09,1.97,1.99,1.93,1.99,16800,17.40,0
2008-07-10,1.99,2.02,1.89,1.98,35600,17.30,0
2008-07-11,2.00,2.00,1.98,2.00,42200,17.50,0
2008-07-14,2.08,2.08,1.92,2.08,29300,18.20,0
2008-07-15,2.14,2.14,2.14,2.14,28300,18.70,0
2008-07-16,2.22,2.22,2.06,2.22,41800,19.40,0
2008-07-17,2.25,2.25,2.17,2.25,49800,19.70,0
2008-07-18,2.25,2.25,2.17,2.17,10000,19.00,0
2008-07-21,2.12,2.12,2.12,2.13,1800,18.60,0
2008-07-22,2.05,2.05,2.05,2.05,1000,17.90,0
2008-07-23,1.97,1.97,1.97,1.97,100,17.20,0
2008-07-24,1.90,1.90,1.90,1.90,10900,16.60,0
2008-07-25,1.83,1.83,1.83,1.83,3000,16.00,0
2008-07-28,1.76,1.83,1.76,1.81,51900,15.80,0
2008-07-29,1.71,1.84,1.71,1.84,17300,16.10,0
2008-07-30,1.91,1.91,1.84,1.91,35000,16.70,0
2008-07-31,1.90,1.97,1.83,1.97,52500,17.20,0
2008-08-01,1.95,2.02,1.92,2.01,33700,17.60,0
2008-08-04,2.08,2.08,2.01,2.04,40500,17.80,0
2008-08-05,2.01,2.01,2.01,2.00,300,17.50,0
2008-08-06,1.92,2.08,1.92,2.06,49200,18.00,0
2008-08-07,2.11,2.11,1.97,2.04,14700,17.80,0
2008-08-08,2.07,2.09,1.97,2.00,14200,17.50,0
2008-08-11,2.11,2.13,1.98,2.13,65300,18.60,0
2008-08-12,2.19,2.20,2.15,2.20,43800,19.20,0
2008-08-13,2.13,2.21,2.11,2.13,38200,18.60,0
2008-08-14,2.12,2.21,2.12,2.21,39900,19.30,0
2008-08-15,2.28,2.28,2.28,2.28,4600,19.90,0
2008-08-18,2.39,2.43,2.29,2.43,51900,21.20,0
2008-08-19,2.42,2.52,2.26,2.25,37000,19.70,0
2008-08-20,2.28,2.28,2.20,2.21,40600,19.30,0
2008-08-21,2.12,2.38,2.08,2.38,47500,20.80,0
2008-08-22,2.46,2.46,2.35,2.46,75900,21.50,0
