Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2010,1,4329659556269,-2049366033859,283657754320,366084988591,-2023212192,50081661870,-1032941806774,-446905105124,1498247803101,-3099097240192,-1131476301419,-77972415887,-9820245186537,-19536432853,-724964246641,0,0,-9906968079880,-7443784235162,-3887065660627,-81843000000,769017,-79443833477,0,3699266285084,-31074881775473,0,-55555974,0,-31074937331447,-92937087016,226412728,-20630446,0,0,0,-13545570000,0,27114027494,-79162847240,0,0,0,-119923428000,0,0,-119923428000,-31274023606687,72601931000000,0,41327907393313
2010,2,4873818443731,-2147221966141,227072245680,59567011409,0,13882212192,-683933193226,-307787894876,2081618196899,0,4841925240192,1211451301419,77972415887,-1468318813463,0,832432853,263517246641,244305079880,-4622964764838,16880852660627,81843000000,-769017,-184752166523,0,-4291518285084,15116762775473,0,-310875444026,0,14805887331447,-6958912984,242587272,-238369554,0,0,-648430000,0,10135000000,-21370027494,-18838152760,0,0,0,-1332179572000,0,0,-1332179572000,13454869606687,41328007393313,0,54782877000000
2010,3,4920529000000,-3796619000000,187420000000,131661000000,0,121834000000,-1109444000000,-257003000000,236504000000,0,1410187000000,-575409000000,0,-10391849000000,0,-205849000000,-799137000000,-2746198000000,2638618000000,8009239000000,0,0,2163406000000,0,1312161000000,1051673000000,0,111546000000,0,1163219000000,-169577000000,888000000,-74000000,0,0,0,-190862000000,-10135000000,271483000000,-98277000000,1122855000000,0,0,-1000000,0,0,1122854000000,2187796000000,54782877000000,0,56970673000000
2011,1,7600101000000,-4991987000000,245453000000,508766000000,0,-38675000000,-958270000000,-292745000000,2146850000000,0,-2224012000000,-6895755000000,-4416000000,-21117102000000,0,0,-127171000000,4402940000000,11453164000000,468687000000,0,44980000000,-940191000000,0,3086528000000,-9705498000000,0,-21440000000,0,-9726938000000,-16771000000,451000000,-100000000,0,0,0,-11676000000,80562000000,16192000000,68658000000,0,4363825000000,0,0,0,0,4363825000000,-5294455000000,96678346000000,0,91383891000000
2012,1,9599894000000,-5844797000000,170050000000,367875000000,0,17967000000,-1233429000000,-376347000000,2756668000000,0,-1785984000000,1606662000000,-65320000000,1203716000000,0,-8872000000,-4557523000000,-19721926000000,1595900000000,-2537728000000,0,0,-4026000000,0,-15653000000,-21534086000000,0,-16695000000,0,-21550781000000,-118741000000,636000000,-321000000,0,0,0,-176063000000,10240000000,174047000000,-110202000000,8342702000000,3476126000000,0,0,0,0,11818828000000,-9842155000000,124705018000000,0,114862863000000
2012,3,7281501000000,-4517688000000,331131000000,391093000000,0,-25900000000,-1218557000000,-294110000000,2027453000000,0,315446000000,-2254320000000,0,-11821572000000,0,-1005024000000,-290878000000,4524124000000,-1595695000000,19476849000000,-120931000000,0,-16453000000,0,1214778000000,10453777000000,0,-199505000000,0,10254272000000,-94280000000,2421000000,-222000000,0,0,0,-1000000,0,10936000000,-81146000000,-4729319000000,4729319000000,0,0,0,0,0,10173126000000,125871739000000,0,136044865000000
2012,4,7280925000000,-5136713000000,400301000000,743746000000,0,20138000000,-1825685000000,-467473000000,1214742000000,2137944000000,-149095000000,0,-13832178000000,0,-2508362000000,1555714000000,-11457345000000,-11699863000000,22407307000000,-72549000000,0,-22075000000,0,0,-1727315000000,-14153075000000,0,-170692000000,0,-14323767000000,-1352259000000,1952000000,-41000000,0,0,0,1000000,-3200000000,106623000000,-1246924000000,0,0,0,0,0,0,0,-15570691000000,136044865000000,0,120474174000000
2013,1,7770062000000,-4813824000000,382519000000,694063000000,0,-15194000000,-1393365000000,-209395000000,2448398000000,0,-2499926000000,-7044796000000,0,1988257000000,0,0,-2919091000000,-12151930000000,3708436000000,13344124000000,344373000000,0,-6892000000,0,2306258000000,-482789000000,0,-27864000000,0,-510653000000,-11176000000,266000000,-25000000,0,0,-48950000000,5000000000,0,82051000000,27166000000,0,0,0,-2780900000000,0,0,-2780900000000,-3264387000000,120707847000000,0,117443460000000
2013,2,7456743000000,-4049041000000,387997000000,251116000000,0,45369000000,-968676000000,-380451000000,2825071000000,0,1249208000000,2077060000000,3550062000000,-1988257000000,0,-1142103000000,1926217000000,12744157000000,4716089000000,8864307000000,-122140000000,0,-332000000,0,-11097207000000,23602132000000,0,-149032000000,0,23453100000000,-85708000000,774000000,-249000000,0,0,0,0,0,93025000000,7842000000,0,0,0,-1000000,0,0,-1000000,23460941000000,117443460000000,0,140904401000000
2013,3,6549984000000,-3380547000000,408452000000,600227000000,0,-67967000000,-1442486000000,-276419000000,2738964000000,0,-1095067000000,-11353482000000,-3550062000000,-9524455000000,0,13281000000,-865073000000,-988034000000,-2357878000000,9565877000000,164080000000,0,-3932000000,0,-5403853000000,-22659634000000,0,-122497000000,0,-22782131000000,-140464000000,418000000,-41000000,0,0,48950000000,-53950000000,5000000000,67255000000,-72832000000,0,0,0,0,0,0,0,-22854963000000,140904401000000,0,118049438000000
2013,4,6714682000000,-4329219000000,431966000000,58551000000,0,291192000000,-1626959000000,2132914000000,3890160000000,0,919146000000,11241145000000,0,-23622301000000,0,-1251955000000,1073394000000,8211785000000,3818084000000,13149888000000,-528499000000,0,-2814000000,0,-506322000000,16391711000000,0,-65447000000,0,16326264000000,-892196000000,-981000000,0,0,0,0,-68905000000,357909000000,41065000000,-563108000000,0,0,0,0,0,0,0,15763156000000,118049438000000,0,133812594000000
2014,1,7431153000000,-4789431000000,424231000000,156078000000,0,13058000000,-1530193000000,-254136000000,1678174000000,0,-3368400000000,2484271000000,136725000000,-4834898000000,0,-1598000000,-857082000000,-19497262000000,-18646539000000,10752118000000,57757000000,0,-2678000000,0,4730285000000,-27369127000000,0,-27397000000,0,-27396524000000,-7568000000,1320000000,-1016000000,0,0,0,0,0,1465000000,-5799000000,0,0,0,0,0,0,0,-27402323000000,137139962000000,0,109737639000000
2014,2,7255208000000,-4016734000000,435527000000,799073000000,0,348660000000,-1521941000000,-336455000000,3139649000000,0,-620571000000,-215386000000,-136872000000,-13395404000000,0,-731290000000,-3042332000000,16883054000000,15318890000000,35561518000000,-57757000000,0,-236000000,0,-9913023000000,42790240000000,0,-318484000000,0,42471756000000,-91870000000,1218000000,-38000000,0,0,0,0,0,61995000000,-28695000000,0,0,0,0,0,0,0,42443061000000,109737639000000,0,152180700000000
2014,3,6481902000000,-3176128000000,442048000000,496667000000,0,-3162000000,-1254671000000,-264591000000,2963501000000,0,-1603687000000,-4747340000000,31935000000,-9636238000000,0,-1510266000000,3563013000000,15273239000000,-2317944000000,8767109000000,0,0,-1659000000,0,3529469000000,14311132000000,0,-84887000000,0,14226245000000,-138769000000,-464000000,-63000000,0,0,0,0,0,12294000000,-127002000000,0,0,0,-2780901000000,0,0,-2780901000000,11318342000000,152180700000000,0,163499042000000
2014,4,6732996000000,-3834486000000,439950000000,296911000000,0,7659000000,-1881509000000,-305586000000,2230740000000,0,-6482494000000,-7479284000000,104937000000,-21151288000000,0,-2154392000000,-1148693000000,8811630000000,4839102000000,31602750000000,75278000000,0,199617000000,0,-1804337000000,7643566000000,0,-91477000000,0,7552089000000,-748965000000,3625000000,-1394000000,0,0,0,-499602000000,9565000000,76026000000,-1160745000000,0,0,-47000000,0,0,0,-47000000,6391297000000,163499042000000,0,169890339000000
2015,1,7441200000000,-4384712000000,337577000000,601706000000,0,4238000000,-1629121000000,-346655000000,2214047000000,0,4766655000000,-1677747000000,0,-7449856000000,0,0,-1567154000000,-40199176000000,-11470199000000,14116018000000,202638000000,0,300000000000,0,-459073000000,-41223847000000,0,-138842000000,0,-41362689000000,-49979000000,375000000,-62000000,12100000000,0,0,0,0,7819000000,-29747000000,0,0,0,0,0,0,0,-41392436000000,175012996000000,0,133620560000000
