Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2006,0,5000000,5000000,28149.9536806,34091.5003396,28149.9536806,7336.8331602,3887.780432,3887.780432,3822.80338685,5846,0,2.17086589299947,4.07979098592148,5.77117365100057,0,0,0,0,0.155179240945269,0.134204068898285,0.156293115545412,0.135167383982642,0.138109656453159,0.164526804658335,0.119441735487644,5.08254449029349,71.8144230113613,4.16507675023286,87.6334391628183,15.8239185441227,23.0663472503508,455768721.117647,51975674.2245989,0,0,0,0.204658182587979,0.136004010014609,0.136004010014609,0.126710646130826,0.11403958151657,1.02070360298204,1.04737086807258,1.21106772417515,-0.0126710646142559,0,0,8.59102014226096,8.59102014226096,8.73704363527879,1.18650284042983,0.979716341823866,1.18650284042983,4.55237283862259,0.701554093136184,5.15833388339672,5.15833388339672,0,0,0,0,0,0,0,0,0,0
2007,0,6000000,6000000,26629.7553543333,31907.1590325,26905.1507068333,3851.3556875,4254.79395383333,4254.79395383333,4283.12010945833,4638,0,3.96108459256456,7.27834318615298,9.55671362242865,0,0,0,0,0.0925926105740273,0.0846324114645222,0.0940561538039362,0.0859701336872987,0.168963577317041,0.189125130309586,0.150451311209286,5.32087389876166,68.5977542307378,4.51938448780249,80.7632103409459,17.0378604048538,21.4228777162664,511879556.671123,68258726.5320856,0,0,0,0.223434652097095,0.185862211078068,0.149455206713203,0.149455206713203,0.133349194439389,0.955304162649701,1.12825061929917,1.26707610066471,-0.0161060122738146,17.2283515511285,9.09030618743641,7.84996884982138,7.84996884982138,7.7980535559214,1.25423608124004,1.04678702249797,1.24139798969857,8.67227093784233,0.737517062477965,3.96808505720501,4.93470303709942,0.123112519472331,0.226153051302101,0.534838392898599,0.234191651715957,0.324711213188958,0.31328217575637,0.0944018131303084,0.0852021959333882,0.146935487515582,0.2
2008,0,6000000,6000000,28124.8189025,34492.0791088333,26691.1288378333,5758.80751516667,4584.4544295,4584.4544295,4557.197099125,4584,0,3.36208797495694,5.35014399035367,6.98425453479296,0,0,0,0,0.128478708394483,0.11367730208017,0.130205467964705,0.115205130089471,0.166297587268363,0.184208430852195,0.149472209631438,5.15174091583126,70.8498361938889,4.88545745952004,74.7115296825977,14.8513333410834,24.5769178845577,553348862.708556,73547397.2647059,0,0,0,0.212143953284994,0.174842187679419,0.147463801866443,0.147463801866443,0.132913252779996,1.03269697930639,1.12458469343799,1.25117385806234,-0.0145505490864463,40.3378349094812,38.3436416750933,7.28549067585404,7.28549067585404,7.32906636985548,1.18756320230141,0.968338263826095,1.25135209540696,5.79981183813423,0.878144305081232,5.02249666820316,5.95498213098129,0.0810137961107846,0.0263875281212116,0.0169190171973901,0.0666099077462872,0.0666099077462872,0.0774797744012166,0.0774797744012166,0.0839253550549819,0.0492562977044917,0
2009,0,6000000,6000000,30192.4807836667,38097.2589358333,29521.1415363333,1649.97510316667,5025.80329583333,5025.80329583333,4994.45054170833,5026,0,1.19529830642931,2.43375021920946,3.3195763877711,0,0,0.118224231128528,0.0933380631548074,0.265090326922323,0.209288886379856,0.266624002390589,0.210499723585982,0.169682760401477,0.196370045261595,0.141212588703135,5.28162076498949,69.1075744058512,4.88354189540442,74.7408352006721,12.1280204769939,30.0955956243957,611185972.23262,80627860.3609626,0,0,0,0.224316700637885,0.174610728986326,0.152916634942481,0.152226475823397,0.13192033852877,1.14063649508483,1.07043834391267,1.28625170533861,-0.0203061372946273,14.9401983706724,4.58540412878032,6.64570378782839,6.64570378782839,6.68742231424233,1.10623569620912,0.876703493452249,1.13139256349192,20.242729684768,0.945544356161487,5.41515611125784,6.1833976173825,0.104521963307127,0.167899055120792,0.103059780675389,0.145364351869621,0.140194975415491,0.0962707500140794,0.0962707500140794,0.230938766550929,0.0983636201902487,0
2010,0,6000000,6000000,33435.6547361667,41506.7027165,31983.6060033333,-3725.436305,4378.63423516667,4378.63423516667,4375.56946241667,4379,0,0.488056196110439,1.89827149872041,2.75293160837289,0.174464456561801,0.114250500680965,0.327074510293273,0.214189338604626,0.351750470362756,0.230348737764095,0.527034503323352,0.345135949565215,0.135891910071713,0.183614714134669,0.0969454517164619,5.21234502371036,70.0260628065979,4.18943384280028,87.1239441165225,9.73214444915977,37.5045810208368,665882931.280749,70245469.013369,0,0,0,0.240235979550264,0.176297128923495,0.155607560412947,0.135068634941332,0.10549222049927,1.24271565019461,0.918981999408504,1.28816996579054,-0.029576414442062,-4.61189356575748,21.3774560682473,7.62794931162563,7.62794931162563,7.63329214331633,0.998933631285285,0.804689310739266,1.04428500015036,-8.96539284678496,1.03025732692487,5.84386900238152,6.62086934716286,0.0894931518933986,0.166812162510072,0.100015536133853,0.108665329422879,-0.0333064468043555,-0.128769277779575,-0.128769277779575,0.300013358391297,0.0783175622968486,0
2011,0,8286988,8286988,29478.009933766,33990.1654546863,28451.3431002917,4367.24317520431,3172.61899715554,3172.61899715554,3058.72028585657,3580,0,0.0847760317895827,0.816423323089846,1.6521666164892,0.166187774045491,0.107259553261901,0.415487856302072,0.2681607724074,0.383028239902561,0.247210952397709,0.549398342539255,0.354588182687007,0.118190977868516,0.141366819747056,0.0767815904187895,4.88952699332656,74.6493475745544,3.44046493778483,106.090312385223,9.44602555373893,38.6405899416105,753144634.334225,70298009.513369,0,0,0,0.224637838014397,0.180102987588638,0.130664692883644,0.109424861174245,0.0933393219690292,1.02844676111002,0.822607115619141,1.26625065808527,-0.0160855392052154,-7.87401468495986,9.95639416512902,10.4172609536889,10.4172609536889,10.805172396058,1.12117473582036,0.972340074191763,1.16163233080062,7.56770316515609,1.30451134894722,7.24314108507056,9.98365602947444,0.131046613382383,0.0576095487419028,0.155463366964853,-0.0502527127698696,-0.0836909049630604,0.000747955714980098,-0.275431829478952,0.235515008777611,0.217681725853186,0.381164666666667
2012,0,8286988,8286988,30266.3598166185,38127.4456299442,29197.7108354688,1987.60586838065,2641.09387186273,2641.09387186273,2537.11783005478,2641,0,0.143695029331247,0.825244251799722,1.62820507475958,0.137937242827143,0.0859682514505609,0.466182156176464,0.290544192435146,0.465960105407386,0.290405801120663,0.604513765252851,0.376758229405148,0.0884131469759368,0.114082296702635,0.0560527758717211,4.74830062589852,76.8696063617351,3.07847569333192,118.565171974754,10.3750463022436,35.180565885385,844817337.983957,58520623.5909091,0,0,0,0.195804010110617,0.14977045967445,0.102992343072159,0.0836275435981257,0.0692701498415748,1.15362921724491,0.809190914122711,1.27635276057787,-0.0143573937565509,3.68824288601766,-14.7923801941857,12.5137543773445,12.5137543773445,13.0265924619222,1.09197142306664,0.866829640799317,1.13193805453582,16.6280450897072,1.18374355204538,7.90371849441098,11.4935102623699,0.121719918685699,-0.0222606296382782,-0.0671975512629337,-0.115839480837956,-0.142729719753543,-0.167535126584489,-0.167535126584489,0.063267134761289,0.026743660261457,0
2013,0,8700000,8700000,30011.1720095402,38059.4672455172,29027.4672648276,4438.00413942529,2598.31272137931,2598.31272137931,2313.11974922414,2696,0,0.261729313499777,1.57272054725585,2.87656329171559,0.0344929019587783,0.0264744982342721,0.114666687319063,0.0880106583837537,0.268379834421403,0.205990828518718,0.302872736380181,0.23246532675299,0.0883168412635176,0.127741770217427,0.0608802672553462,4.28357192143539,85.2092614982152,2.94090817837784,124.111321354252,9.02604348493617,40.4385377279823,885340548.224599,60442033.8930481,0,0,0,0.218723071742631,0.149962937089093,0.107186306740939,0.0939844580564857,0.0682698132535039,1.15157238261777,0.891759686367995,1.29364410205099,-0.0257146448029818,19.9149567465964,21.3554508009285,12.7197930133889,12.7197930133889,14.2880626958832,1.10125655837412,0.868377893647282,1.13857677276744,7.44704127389118,0.903407570223559,6.02420563213458,8.42838602888921,0.0479668307202892,0.170632430714977,0.0493136246518013,0.0906412148834641,0.177753051311992,0.0328330455869839,-0.0161982695651969,-0.154713648216714,0.0409870044443719,0.0498386144640248
2014,0,8700000,8700000,31312.2255465517,45889.0543183908,30338.7711212644,5489.38729597701,3340.54735344828,3340.54735344828,3240.36501034483,3341,0,0.360109546821307,1.31010835329254,2.34982576602331,0,0,0.0949897232486264,0.067118322357171,0.414919088763088,0.293175642578234,0.415257710750536,0.293414907826446,0.108948541228255,0.146984818816322,0.0800940614322189,4.38643031870203,83.2111702410459,3.19107540710928,114.381502607814,6.68121312137592,54.6307973371208,1067472653.93048,77707919.7192513,0.0605143721633888,1.67027367672414,0.598704280583091,0.205107745888148,0.137207658374486,0.0998857105038565,0.094982454188284,0.0727961690007958,1.38847365562453,1.10025105072965,1.49662465379276,-0.0221862851874882,14.6515616287813,0.00274057920792773,9.89358823663559,9.89358823663559,10.1994682372166,1.05549827337775,0.72021532129841,1.08936515153824,6.02070836288437,0.745697327962086,5.43480835396832,7.46550556831946,0.205719828455974,0.130664790947371,0.103165872377159,0.123596711145142,0.218523048793834,0.285660238647083,0.285660238647083,0.133351213841592,0.0433523068208701,0
2015,0,12174904,12174904,26270.651345834,31806.5845508104,25598.7990802227,4871.27189027527,2998.59447696672,2998.59447696672,2366.6433609456,3882,0,0.374408657176064,1.46374629562715,2.92363121944514,0,0,0.105685899292489,0.0789474619068798,0.337707862361908,0.252268077179197,0.338686472494175,0.252999099828918,0.123282545757937,0.171673279177312,0.0897314075313926,3.95761608626984,92.2272378228638,3.08229545967925,118.418238866037,6.45664028844166,56.5309485574725,1035406720.51872,97613903.4545455,0.0544629349470499,1.66588582053707,0.600281236368054,0.229800344819611,0.172574358329668,0.131370807528184,0.127834181334008,0.0942759029086106,0.962377747377017,0.951795790472319,1.30767822905334,-0.0335582784253978,-3.09612455245056,6.19706977875121,11.021830478869,11.021830478869,13.9649262518349,1.25805788234638,1.03909302010102,1.29107619058325,6.78467569547475,1.02195055156771,5.92179835671463,7.77912970770514,-0.0300391146262122,0.0867329507974062,0.21997838445281,0.275703442860198,0.305442744846056,0.256164156848,-0.102364325453605,0.110571545504021,0.174094887346032,0.399414252873563
