Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2014,4,810846345186,-2141390521,808704954665,-784558939487,24146015178,9394160727,-12268235095,-11830079386,-11322630870,-9875608743,73701197,682932149,-264730406,418201743,1629267903,2121170843,-81355230,0,-81355230,2039815613,-624843,2040440456,0,0
2015,1,776858220026,-2132408342,774725811684,-751596150282,23129661402,5116277896,-11753939607,-11659258751,-10567334638,-4578823233,1345841820,347238466,-136184819,211053647,0,1556895467,-527350521,0,-527350521,1029544946,-2486569,1032031515,0,0
2015,2,897389216845,-4830853486,892558363359,-846476795824,46081567535,4270541805,-9756839204,-9657011656,-13425167659,-10658626270,18402975166,117337263,-99224188,18113075,0,18421088241,-2939665210,0,-2939665210,15481423031,4335846,15477087185,0,0
2015,3,995761211379,-4018631303,991742580076,-955934039040,35808541036,4256453841,-8512874194,-8512874194,-11825516734,-8972088496,12785061359,25435427,-400423520,-374988093,0,12410073266,-2132277102,0,-2132277102,10277796164,1817433,10275978731,0,0
2015,4,797393019173,-5405142433,791987876740,-742896321073,49091555667,5846779111,-7348725827,-7214894481,-12720085771,-19492729013,22612229766,179508034,-499010573,-319502539,0,22292727227,-3173394827,0,-3173394827,19119332400,317561,19119014839,0,0
2016,1,1168691911308,-8289476486,1160402434822,-1093570595186,66831839636,28269352,-8607205781,-8607205781,-24247825364,-5354911759,31150241116,-7557683,-1223290096,-1230847779,0,29919393337,-5483863661,0,-5483863661,24435529676,2876664,24432653012,679,0
2016,2,1047389448657,-5406309574,1041983139083,-977954784686,64028354397,6990147733,-5582668620,-5578077393,-28041195330,-9405215873,29875492066,29907461,-374874669,-344967208,0,29530524858,-4438212240,0,-4438212240,25092312618,3719917,25088592701,696,0
2016,3,921524152985,-6236478620,915287674365,-866515220679,48772453686,3325198763,-9319834095,-9319834095,-18200420966,-7283512534,19009936356,6374693,-1861930961,-1855556268,0,17154380088,-2406495339,0,-2406495339,14747884749,2026132,14745858617,0,0
2016,4,1441685173097,-8453093473,1433232079624,-1363340973560,69891106064,3367554719,-9573977414,-9571166558,-31622327661,-9249255230,22060362814,85717179,-1294622579,-1208905400,0,20851457414,-3607786425,0,-3607786425,17243670989,4334742,17239336247,0,0
2017,1,1399210296453,-6760143262,1392450153191,-1347040337499,45409815692,2621705606,-11600734346,-11587941676,-14640066202,-7244801767,15975961901,175759371,-252143797,-76384426,0,15899577475,-2512909793,0,-2512909793,13386667682,1762112,13384905570,0,0
