Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2013,4,429959591.1499,429959591.1499,11582.349320365,0,12685.0832022431,1049.14135719032,460.112159609969,460.112159609969,327.122359566028,0,0,0.331572934372295,0.879399828069739,1.2681297031068,0.257527326001027,0.108059888265249,0.733341715510855,0.307714233937383,0.913000256559778,0.383099949982005,1.23883980041997,0.519824022136552,0.0402630308113525,0.0815886342440549,0.0171960614470932,8.41475517149837,43.3761877275161,5.62123154862318,64.9323901431174,8.89866754523895,41.0173768313533,0,0,0,0,0,0.121877593160448,0.0869988225094305,0.0523026522523841,0.0303631896094946,0.0249773048378073,0,0.952152525364719,2.22937947644675,-0.00538588477168728,0,0,0,0,0,0,0,0,0,0.21370618616114,2.45642619057258,4.08595313923873,-0.11880687993359,-0.110465896285607,-0.416462143974546,-0.528257224208309,-0.604532802200528,-0.625414506536666,-0.604410138556832,0.0582007922935053,0.0207130071839072,-0.00324230732490849
2014,4,428565530.0181,428565530.0181,12427.4427271844,0,15827.3173494239,2493.19803857504,727.519816647017,727.519816647017,229.047739590966,0,0,0.432187251023599,0.92901485396751,1.32220200898443,0.606382785951152,0.182247871813875,1.33650668645494,0.401686038777243,1.35614036753818,0.407586926263156,2.02538594529346,0.608728160962673,0.0605000633101794,0.0904397352033227,0.0210611097211988,7.81684326865634,46.6940409901222,5.08579910064833,71.7684660319104,9.66871431265819,37.7506241468057,0,0,0,0,0,0.113949260026858,0.0953772032996796,0.0598985742449483,0.0393964342438514,0.0345145793912212,0,0.909245421356893,2.61189492314423,-0.00488185485263022,0,0,0,0,0,0,0,0,0,0,0,0,0.22883352031415,0.14889592668325,0.347175756036918,0.407297195867599,0.594419413847039,0.698048383157734,0.576052618194649,0.502868941593502,0.0764540975301597,0.00325285407751097
2015,4,500000000,500000000,11715.254560554,0,14434.042055968,492.675211202,764.369268374,764.369268374,686.763050711,764,0,0.361371174720691,0.941008199802978,1.35512513387807,0.575674544185799,0.224415596343998,1.10543912280123,0.430934079804223,0.933050424786059,0.363731677233592,1.56521629318209,0.610169324646101,0.0551275303595609,0.0287317198939242,0.020889304682538,6.78480466944576,53.7966850606203,4.60174981648811,79.3176540567682,10.2840731990085,35.4917738270464,177113025.528485,6215350.37999486,0,1.528738536748,0.654134095505464,0.123094089141075,0.0599837041698051,0.0213483821517408,0.0413794905059853,0.0350925651089125,0,0.828541263252705,2.1865463852559,-0.00628692539707277,0,0,0,0,0,0,0,0,0,0,0,0,0.126163488938358,0.216542071990013,1.06679406636146,0,0.182849978510046,0.145022371876314,0.0540684013249664,0.0579042075234866,0.122517015102477,0.162899980118553
2016,3,500000000,500000000,11747.217829096,30606.084621868,14534.916133908,135.175475372,852.275295656,852.275295656,654.545042375,764,0,0.344480167762138,0.978958909290407,1.3799387372495,0.671222373407951,0.256300309813266,1.1347659724387,0.433300321657819,0.861884328669241,0.329102886334909,1.61889021475233,0.61815886959791,0.0576030189690173,0.0339010000522663,0.022284589368719,7.0020049033895,52.1279269346573,4.92691846563278,74.0828171900997,12.6755206241741,28.7956614029636,3384879962.60429,147485576.198629,0,0,0,0.119882429824833,0.0496575390634609,0.0274083735738819,0.0474489010392524,0.0435718778296512,2.41773320340216,0.800262581185837,2.06858380387973,-0.00387702320960118,6.22612459991446,24.0325082112272,14.8531819055676,14.8531819055676,19.340151067476,1.07761686078943,0.413610566539281,0.870937257798706,93.6486442171755,0.81872923806582,16.4875113327607,29.8715002500552,0.0912857439118075,-0.0303380524145521,0,0,0.134557132576148,-0.0502635324222875,0.167332279599266,0.00140620506474676,0.0108716789080552,0
2016,4,500000000,500000000,11884.972969072,30923.041629304,14918.06514192,726.247523128,649.66794987,649.66794987,446.416897914,650,0,0.228295725857096,0.875463337731575,1.34142919787751,0.634412355148342,0.243403198248762,1.16395494052021,0.446571307826785,0.906240307300105,0.347694661664035,1.60642571549106,0.616332821589126,0.0434784154293877,0.0151804299281048,0.0168314344209265,6.91478044456481,52.7854792970179,4.28439716973848,85.1928487344884,10.9517397781617,33.3280380463228,3419933823.19221,128140313.439505,0,0,0,0.110219080252317,0.0536742276244627,0.0122039656932834,0.0442065629136097,0.0374686529226161,2.57692013577533,0.801146412383986,2.06949542542181,-0.00673790999099365,0,0,18.4709742914072,18.4709742914072,26.8807028947003,1.00967835864897,0.388060144401458,0.804393859782782,16.5232921529496,0.862991655071502,16.0783246125033,70.7140348277495,0.0182874775003243,-0.0957532292541853,-0.105667219449853,-0.4487120630846,0.0581797234344199,0.0593085215172735,-0.166660422669499,0.0526671604397064,0.033565151956203,0
2017,1,500000000,500000000,12030.241159708,32636.820654128,15065.326050894,1595.858678196,696.529577564,696.529577564,494.675126567,650,0.164094446767989,0.232436230463863,0.892603228266258,1.33983594078858,0.663720894828248,0.250169423327614,1.23320389301446,0.464818735050717,0.922883082513735,0.347852735012985,1.65308560094916,0.623080386233206,0.046435247811925,0.0144440211422812,0.017615176643366,7.14041950696126,51.1174448005692,4.98066735610215,73.2833521903072,11.8731428508596,30.7416498381955,3609469216.33798,129041090.497899,0,0,0,0.104309006566159,0.0498237510296925,0.0114728690610567,0.0396607117117053,0.0357507109116776,2.9402541129845,0.82538255290027,2.17578535597584,-0.00391000080002767,-5.89791254957634,5.32880564000565,15.9361502476614,15.9361502476614,22.4389693434416,0.922674770409126,0.340106657987105,0.736791222606251,6.95550311043063,0.823378808943116,16.5258293871215,71.7674719864085,-0.119074084867542,-0.0306807448879433,0,0,-0.208458684557735,-0.127805797209823,-0.0662149623169795,0.016683672124945,0.00723833394537809,0
2017,2,500000000,500000000,11598.653624962,33754.929513308,14635.734013944,580.70042241,752.274014092,752.274014092,562.7665737835,772,2.67605212320665,0.228390487481666,0.787690778675655,1.24984428973823,0.686159842665077,0.245935318232605,1.33455393426604,0.478334530985515,1.03149716870469,0.369712082619273,1.79000123933444,0.641577220145411,0.0499326440672654,0.0149873970201761,0.0186851399060103,7.20639364626714,50.6494673919274,4.86480623428986,75.0286820114801,11.858496594776,30.779618401273,3733126466.85556,132795992.306127,0,0,0,0.100434028161707,0.0611282811654667,0.0116599515198167,0.0413176279015527,0.0355723261682002,3.55989554031934,0.838412026281346,2.2405039245414,-0.0057453017333525,-3.00158092473564,-11.9426907089861,12.6044497382311,12.6044497382311,16.8489040424917,0.817508678730896,0.280907118951669,0.647866379025893,16.3285570908459,0.796927152211249,13.0369632029088,68.3473812782868,0.126064741281273,0.245612066101491,0,0,0.571293367158667,0.401129452873081,0.0800316861244532,0.0218521094912234,-0.0282939377340846,0
2017,3,500000000,500000000,11837.950147064,34934.00368818,14949.736427998,1792.93789962,774.983189418,774.983189418,615.428220276,650,1.78661494531785,0.223956320843903,0.820956505668228,1.27970513216484,0.695766680790743,0.253515517644318,1.32743558169762,0.483675818237079,0.976534259011014,0.355818401492332,1.74447373973732,0.635631419779694,0.0510859751198053,0.0106790713500824,0.0188966445930114,7.36955339754825,49.5281030355829,4.74225755122644,76.9675615584405,12.7245100407485,28.6847979868094,3863526176.52953,145313619.026764,0,0,0,0.09226565613785,0.0557924043512787,0.00809651958288711,0.0427281208019408,0.0376116563955299,2.09750847722486,0.851806156469328,2.30280819973629,-0.0051164644064109,10.3094684229867,7.0818453901917,21.4907887389243,21.4907887389243,27.0624574097866,1.40691587589856,0.476756118441565,1.1140664639952,9.28922301409876,0.963374425986652,17.2671251075877,118.986240461006,0.0865998040103271,-0.193709146654439,0,0,0.0971681391619221,0.178294334968752,0.030187371756301,0.00439032375707704,0.0210519443068089,0
2017,4,500000000,500000000,11974.693157188,34893.087599884,15377.197392466,304.841372352,771.911012228,771.911012228,596.6851777295,772,2.95698211425168,0.206475292382438,0.780959242690413,1.26757404533058,0.650591657546613,0.243396231836645,1.26768445046681,0.474260029040448,0.955708574030305,0.357545109831482,1.67297341720251,0.625884794227927,0.0500727735077316,0.0132809088536209,0.0189656005447498,8.13715568999115,44.855968584816,4.51921775467951,80.7661900385424,12.8122110294179,28.4884474008374,3859001061.69918,151553536.747622,0,0,0,0.0912522725257648,0.0541854875293491,0.0100267024568833,0.0429007517024941,0.0392727377693155,2.67585027606472,0.857311724679601,2.26346514649587,-0.00362801393317858,0,0,16.8931389673559,16.8931389673559,21.8540705998759,1.0889631850126,0.373712987211924,0.848008884010873,42.7763459381843,0.856251952790882,15.8022376808385,85.3971638704678,0.128384717718642,-0.0657908817651829,0.13913285307128,-0.0729261204260977,0.0950535262001331,0.182715514576692,0.188162371843126,0.0561641571374767,0.029869358680009,0
2018,1,500000000,500000000,12458.38572798,36003.76674922,16104.739100398,1379.035560892,773.084674866,773.084674866,554.509954506,772,1.87108525229211,0.216404466146945,0.803683864565068,1.296151943608,0.621307560616028,0.239576107764745,1.21932561883353,0.470171786688606,0.911011033943657,0.351285726229623,1.59336194419742,0.614400141007129,0.0497954944270933,0.0116729103163687,0.0184244126445098,7.8768072668491,46.3385719155736,4.48333269510455,81.4126509947726,14.1183838862019,25.8528173579923,3981836623.44835,151744647.683256,0,0,0,0.0911942217347337,0.0446256884549117,0.00874891843717503,0.0432022432904384,0.0381092099032034,4.03629672076457,0.858053815979848,2.31905433492897,-0.00509303338723503,2.11186914741867,-1.21597235755559,11.5381927620621,11.5381927620621,16.0862756881373,0.715983610939801,0.247751855024815,0.55387423195074,6.46828860180392,0.712615053003915,15.9687184148188,81.4517883691706,-0.0116555049203813,0.108463115048311,0,0,0.427378764355545,0.464839852885396,0.0874785102930729,0.00966963230189255,0.0485650723121411,0
