date,open,high,low,close,volume,unadjusted,putthrough
2009-02-12,8.6300,8.6300,3.4500,4.6600,21500,27.0000,0
2009-02-13,5.1800,5.1800,5.1800,5.1800,5000,30.0000,0
2009-02-16,5.5400,5.5400,5.5400,5.5500,1000,32.1000,0
2009-02-17,5.9300,5.9300,5.1700,5.1800,41900,30.0000,0
2009-02-18,4.9600,4.9600,4.9600,4.9600,16400,28.7000,0
2009-02-19,4.6300,4.8400,4.6100,4.6600,16700,27.0000,0
2009-02-20,4.4900,4.4900,4.3500,4.3500,26200,25.2000,0
2009-02-23,4.3200,4.3200,4.0600,4.0600,15600,23.5000,0
2009-02-24,3.8200,4.0100,3.8200,3.8200,36000,22.1000,0
2009-02-25,3.8200,4.0800,3.8200,4.0800,30600,23.6000,0
2009-02-26,4.1500,4.2000,3.9800,4.2000,34000,24.3000,0
2009-02-27,4.3400,4.3900,4.3400,4.3900,16300,25.4000,0
2009-03-02,4.4100,4.6800,4.4100,4.6500,28800,26.9000,0
2009-03-03,4.3700,4.4900,4.3200,4.4700,12000,25.9000,0
2009-03-04,4.4900,4.4900,4.4400,4.4700,13500,25.9000,0
2009-03-05,4.5600,4.6600,4.5600,4.6600,5700,27.0000,0
2009-03-06,4.5700,4.5700,4.4900,4.5600,5600,26.4000,0
2009-03-09,4.6300,4.6500,4.6300,4.6500,7500,26.9000,0
2009-03-10,4.6500,4.6800,4.6500,4.6600,10800,27.0000,0
2009-03-11,4.8300,4.8300,4.7600,4.7900,23000,27.7000,0
2009-03-12,4.5500,4.5700,4.5100,4.5400,5100,26.3000,0
2009-03-13,4.6600,4.6800,4.6400,4.6600,8600,27.0000,0
2009-03-16,4.7100,4.7500,4.7100,4.7500,8100,27.5000,0
2009-03-17,4.8400,4.8900,4.7300,4.7500,15800,27.5000,0
2009-03-18,4.9200,4.9200,4.5900,4.6000,7900,26.6000,0
2009-03-19,4.7200,4.7200,4.5800,4.6600,13800,27.0000,0
2009-03-20,4.6600,4.6600,4.6600,4.6600,1500,27.0000,0
2009-03-23,4.6300,4.8000,4.5900,4.6600,9500,27.0000,0
2009-03-24,4.7100,4.7100,4.7100,4.7200,1100,27.3000,0
2009-03-25,4.6700,4.7200,4.6700,4.6800,3700,27.1000,0
2009-03-26,4.7500,4.7700,4.7500,4.7700,23700,27.6000,0
2009-03-27,4.8400,4.8400,4.7700,4.7700,8000,27.6000,0
2009-03-30,4.6700,4.6700,4.6700,4.6600,5000,27.0000,0
2009-03-31,4.6800,4.6800,4.6800,4.6800,1500,27.1000,0
2009-04-01,4.7500,4.8200,4.7500,4.8200,6400,27.9000,0
2009-04-03,4.7900,4.8800,4.7900,4.8400,12000,28.0000,0
2009-04-07,4.8400,4.9300,4.7500,4.9200,19600,28.5000,0
2009-04-08,4.8300,4.8300,4.7500,4.7700,8700,27.6000,0
2009-04-09,4.9300,4.9300,4.7900,4.7900,7900,27.7000,0
2009-04-10,4.8400,4.8400,4.8400,4.8400,11000,28.0000,0
2009-04-13,4.9300,5.1700,4.9300,5.1700,41600,29.9000,0
2009-04-14,5.3600,5.3600,5.2700,5.2700,5300,30.5000,0
2009-04-15,5.0300,5.0300,4.9900,4.9900,5200,28.9000,0
2009-04-16,5.0100,5.0100,5.0100,5.0100,100,29.0000,0
2009-04-17,4.9200,4.9200,4.7900,4.7900,6000,27.7000,0
2009-04-20,4.5100,4.9600,4.5100,4.5100,7000,26.1000,0
2009-04-21,4.2500,4.5100,4.2500,4.5100,16600,26.1000,0
2009-04-22,4.6500,4.6500,4.6500,4.6500,1000,26.9000,0
2009-04-23,4.9100,4.9100,4.9100,4.9100,200,28.4000,0
2009-04-24,4.6700,4.6900,4.6700,4.6600,2500,27.0000,0
2009-04-27,4.8300,4.8300,4.8300,4.8400,200,28.0000,0
2009-04-28,4.8200,4.8200,4.8200,4.8200,100,27.9000,0
2009-04-29,4.7900,4.7900,4.7500,4.7500,4300,27.5000,0
2009-05-04,4.7700,5.1000,4.7700,4.9800,29600,28.8000,0
2009-05-05,5.2700,5.3100,5.0100,5.0100,38800,29.0000,0
2009-05-06,4.9200,4.9200,4.9200,4.9200,4000,28.5000,0
2009-05-07,4.8300,5.0100,4.7800,5.0100,2900,29.0000,0
2009-05-08,4.7500,4.7500,4.6600,4.6600,9400,27.0000,0
2009-05-11,4.9500,4.9500,4.8200,4.8900,8900,28.3000,0
2009-05-12,4.8400,4.9200,4.8400,4.9200,12500,28.5000,0
2009-05-13,5.0800,5.0800,4.9200,4.9200,2600,28.5000,0
2009-05-14,4.9500,4.9500,4.8300,4.8400,7700,28.0000,0
2009-05-15,5.0000,5.0000,4.8700,4.9200,19000,28.5000,0
2009-05-18,4.9000,4.9500,4.8500,4.9100,16700,28.4000,0
2009-05-19,4.9300,4.9300,4.8800,4.9200,15500,28.5000,0
2009-05-20,4.8300,4.8300,4.8200,4.8400,7200,28.0000,0
2009-05-21,4.6300,4.8400,4.6300,4.8400,13900,28.0000,0
2009-05-22,4.9300,4.9300,4.6700,4.6600,9900,27.0000,0
2009-05-25,4.9000,4.9700,4.8300,4.9600,14400,28.7000,0
2009-05-26,4.9300,4.9300,4.8400,4.9200,9700,28.5000,0
2009-05-27,4.9500,5.0400,4.8700,4.8700,21200,28.0000,0
2009-05-28,5.2400,5.2400,4.9400,4.9400,5400,28.4000,0
2009-05-29,5.0400,5.2200,5.0400,5.1300,10500,29.5000,134700
2009-06-01,5.1600,5.2200,5.1600,5.2200,9900,30.0000,0
2009-06-02,5.2200,5.5300,5.2200,5.5300,57700,31.8000,0
