date,open,high,low,close,volume,unadjusted,putthrough
2017-01-09,13.4891,13.4891,9.6350,10.4852,346000,18.5000,0
2017-01-10,10.8253,10.8253,10.4852,10.5986,234947,18.7000,179516
2017-01-11,10.5986,10.5986,10.3719,10.4852,173442,18.5000,74728
2017-01-12,10.2018,10.2018,9.5217,9.5217,52349,16.8000,0
2017-01-13,9.2383,9.2383,8.5582,8.6149,70740,15.2000,49582
2017-01-16,8.7283,8.7283,8.4449,8.6716,134435,15.3000,147931
2017-01-17,8.5016,8.8983,8.5016,8.8983,40175,15.7000,108531
2017-01-18,8.8983,8.9550,8.7849,8.9550,20408,15.8000,53362
2017-01-19,8.8983,9.0684,8.8416,9.0683,73089,16.0000,0
2017-01-20,8.9549,9.3517,8.9549,9.0116,52135,15.9000,89126
2017-01-23,9.3517,9.5784,9.1816,9.1817,42247,16.2000,0
2017-01-24,9.4651,9.6351,9.4651,9.6351,63225,17.0000,0
2017-01-25,9.5784,9.5784,9.5784,9.5784,1610,16.9000,0
2017-02-02,9.5784,9.5784,9.1250,9.2383,9810,16.3000,0
2017-02-03,9.1249,9.5784,9.1249,9.4651,7890,16.7000,0
2017-02-06,9.4084,9.4084,9.3517,9.3517,75013,16.5000,0
2017-02-07,9.3517,9.3517,9.3517,9.3517,23900,16.5000,0
2017-02-08,9.3517,9.3517,9.2383,9.2383,11454,16.3000,0
2017-02-09,9.3517,9.5217,9.2950,9.2950,27845,16.4000,0
2017-02-10,9.3517,9.5784,9.3517,9.5784,12638,16.9000,0
2017-02-13,9.2950,9.5217,9.2950,9.5217,24240,16.8000,0
2017-02-14,9.4083,9.4650,9.4083,9.4084,17715,16.6000,0
2017-02-15,9.3517,9.6351,9.3517,9.4651,53610,16.7000,18760
2017-02-16,9.5785,9.7485,9.5785,9.6351,62280,17.0000,0
2017-02-17,9.5217,9.5217,9.5217,9.5217,1540,16.8000,0
2017-02-20,9.5217,9.7484,9.5217,9.5784,20599,16.9000,0
2017-02-21,9.5784,9.6351,9.5217,9.6351,12750,17.0000,0
2017-02-22,9.6351,9.6918,9.5784,9.5784,41019,16.9000,74135
2017-02-23,9.6351,9.6351,9.5217,9.5217,60220,16.8000,0
2017-02-24,9.6351,9.6351,9.5784,9.6351,30064,17.0000,0
2017-02-27,9.6351,9.6351,9.5784,9.6351,16720,17.0000,93
2017-02-28,9.5784,9.7485,9.5784,9.6918,13447,17.1000,0
2017-03-01,9.6918,9.9185,9.6918,9.8051,8158,17.3000,0
2017-03-02,9.9751,10.3719,9.8618,9.9185,17246,17.5000,0
2017-03-03,9.9752,10.0319,9.9752,10.0318,13301,17.7000,0
2017-03-06,10.0318,10.0318,9.9184,9.9185,20752,17.5000,0
2017-03-07,9.7485,10.0319,9.7485,9.9751,15280,17.6000,0
2017-03-08,9.8051,9.8051,9.8051,9.8051,4000,17.3000,0
2017-03-09,9.8051,9.8051,9.7484,9.8051,6619,17.3000,0
2017-03-10,9.8051,9.9185,9.8051,9.9185,1400,17.5000,0
2017-03-13,9.9185,9.9752,9.9185,9.9185,3515,17.5000,0
2017-03-14,9.9185,10.0319,9.9185,9.9751,12650,17.6000,0
2017-03-15,9.8617,9.9184,9.8051,9.9185,42200,17.5000,20000
2017-03-16,9.9185,9.9185,9.9185,9.9185,12643,17.5000,19100
2017-03-17,9.9752,9.9752,9.9752,9.9751,4767,17.6000,0
2017-03-20,9.9751,9.9751,9.8617,9.8618,15087,17.4000,0
2017-03-21,9.9185,9.9185,9.9185,9.9185,8753,17.5000,0
2017-03-22,10.0885,10.0885,9.9185,9.9185,23629,17.5000,0
2017-03-23,9.9185,9.9185,9.9185,9.9185,7280,17.5000,0
2017-03-24,9.7485,10.0885,9.7485,9.9185,13548,17.5000,240000
2017-03-27,9.9185,9.9752,9.9185,9.9751,4030,17.6000,0
2017-03-28,9.9184,10.0885,9.9184,10.0318,11397,17.7000,0
2017-03-29,10.2018,10.2018,9.9751,9.9751,3496,17.6000,0
2017-03-30,10.2018,10.2018,10.0318,10.0318,15105,17.7000,80000
2017-03-31,10.2018,10.2018,10.0318,10.2019,42058,18.0000,0
2017-04-03,10.2019,10.4853,10.2019,10.4286,27703,18.4000,0
2017-04-04,10.4853,10.4853,10.4286,10.4286,21211,18.4000,0
2017-04-05,10.5986,10.6553,10.4853,10.4852,35224,18.5000,0
2017-04-07,10.6552,10.6552,10.4852,10.5419,18220,18.6000,0
2017-04-10,10.5419,10.5986,10.5419,10.5986,3630,18.7000,0
2017-04-11,10.5986,10.8820,10.5986,10.7120,54706,18.9000,33881
2017-04-12,10.5986,10.8254,10.5986,10.7120,25639,18.9000,0
2017-04-13,10.8254,11.9022,10.8254,11.5054,93217,20.3000,0
2017-04-14,11.5054,11.6188,11.2220,11.2220,6810,19.8000,0
2017-04-17,11.4487,11.4487,10.7686,11.2220,23971,19.8000,0
2017-04-18,11.2787,11.2787,11.1086,11.2220,91100,19.8000,0
2017-04-19,11.2220,11.3354,11.2220,11.2787,78130,19.9000,0
2017-04-20,11.2787,11.4487,11.2787,11.3921,31708,20.1000,0
2017-04-21,11.3354,11.3354,11.3354,11.3354,60210,20.0000,0
2017-04-24,11.3354,11.3354,11.2220,11.3354,51260,20.0000,0
2017-04-25,11.3921,11.6188,11.3354,11.4488,70300,20.2000,0
2017-04-26,11.3354,11.5622,11.3354,11.3354,10591,20.0000,0
2017-04-27,11.3354,11.6188,11.3354,11.3354,44740,20.0000,0
2017-04-28,11.4488,11.6188,11.3921,11.5054,17003,20.3000,0
2017-05-03,11.8455,11.8455,11.4487,11.7321,4440,20.7000,0
2017-05-04,11.6754,11.6754,11.3920,11.6188,40700,20.5000,0
2017-05-05,11.5621,11.6755,11.5054,11.6755,116900,20.6000,0
2017-05-08,11.6188,11.6188,11.6188,11.6188,11150,20.5000,100000
2017-05-09,11.7322,11.8455,11.6755,11.8455,36600,20.9000,0
