Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2014,3,113379378.086111,113379378.086111,13066.277900519,2490.88344276311,12825.3237482475,3441.54680731839,1128.71991980592,1128.71991980592,1125.15395203845,1248,1.42040026857249,1.3246416035998,1.76217757500004,1.76217757500004,0,0,0.137810606838183,0.062050342643153,1.22094836173141,0.549741895295386,1.22094836173141,0.549741895295386,0.103060257528925,0.118935942749346,0.0465159382092406,0,0,0,0,89.250163973508,4.08962834072039,1093718962.54958,362531338.643059,0,0,0,0.67859643885164,0.409504234638571,0.382526660323422,0.382526660323422,0.331466629963113,0.193091739749078,0.1403336987932,0.310921969853779,-0.0510600303603097,0,0,11.4288759980582,11.4288759980582,11.4650977109656,0.987274271848114,5.17888544222293,1.00582256270628,3.74831455802617,1.62666514533892,3.97227917990792,4.25242293952424,0.202646637816007,0.27249535624486,0,0,0.536820566724748,0.384205446953107,0.0507995633782239,0.0861228172737982,0.0709732647306736,0
2014,4,110720462.825,110720462.825,11840.7167633372,2808.36024330384,11679.4165191117,0,1421.1242554838,1421.1242554838,1405.04073567351,1496,1.27344590828921,2.06215754213006,2.57375294598285,2.57375294598285,0,0,0.0571818692872266,0.0356749369179039,0.602858315315736,0.376114538356426,0.602858315315736,0.376114538356426,0.103782247145753,0.126884748268773,0.0644063683876101,0,0,0,0,7.93233132011331,46.0142151493977,1233116494.89802,445743726.05949,0,0,0,0.731239508117907,0.469946904964471,0.44194424644463,0.44194424644463,0.361477385067625,0.255305476663985,0.178175374306089,0.28710578153136,-0.0804668613770052,0,0,7.74035061153411,7.74035061153411,7.82895450695035,0.928997814900842,3.91687641435177,0.941827871452317,0,0.294442857449415,0.626544944415955,0.666244350544577,0.657496654283517,0.478130408979706,0.450678070601244,0.446364818487855,0.446364818487855,0.26457682022165,0.142123273501994,0.512930980199236,0.533274658923542,0.5499971499715
2015,1,123985855.075,123985855.075,12072.619433043,2812.84733216336,11915.6295571951,-1953.50216831982,1218.45855282133,1218.45855282133,1183.62636581187,1496,0.486912249561204,1.47353557529664,2.03924940949136,2.03924940949136,0,0,0.230278586768607,0.120384641339412,0.912856857872427,0.477221729433404,0.912856857872427,0.477221729433404,0.0969404147705722,0.116553358731437,0.0499622799690544,0,0,0,0,14.0552655640234,25.9689152323293,1235086720.51275,427964944.886686,0,0,0,0.728888319992195,0.448295506201547,0.41661093433041,0.41661093433041,0.346505988428906,0.186281280275719,0.144188792221423,0.27976548171681,-0.0701049459015042,-13.9186914108025,274.418926958344,12.3927071339735,12.3927071339735,12.7574042249748,1.25076418450424,5.36822593510135,1.26724315551435,-7.72970731483102,2.33629425140141,5.2115049539467,5.60785629680212,-0.133453255212996,-0.0224639808198134,0,0,0.0708957032084605,0.108529151027653,0.200266331930887,0.216776617969748,0.0193500004307734,0
2015,2,137398657.016667,137398657.016667,11805.4752555167,2947.19761665903,11614.079143537,-7720.33025554484,1133.75303262319,1133.75303262319,1103.51102172424,1496,1.10426180845677,1.20784312113368,1.77056109929682,1.77056109929682,0,0,0.594105945028892,0.266246825745256,1.23141043415605,0.551852951526502,1.23141043415605,0.551852951526502,0.0910520549071608,0.112373557198474,0.0461349450285598,0,0,0,0,15.4237613701244,23.6647852129636,1294078280.55241,441292192.835694,0,0,0,0.730706878419583,0.454280445097576,0.420862347303586,0.420862347303586,0.341008885990512,0.230249813801487,0.135289568465507,0.267007865917295,-0.0798534613130742,5.85882219920497,47.3456882816067,11.2899367249182,11.2899367249182,11.5993404216298,1.08424266901229,4.3431088324882,1.10211062296084,-1.65796016184759,3.98874830676873,8.7803654104283,9.47756037650826,0.100311904895312,0.0168406634368223,0,0,-0.0705574126501872,-0.0994299777510117,0.163220684134595,0.140719726715301,-0.0221281039303742,0
2015,3,150388888.966667,150388888.966667,12103.4918437583,3213.7024434095,11918.0476783193,-10127.7840562383,1054.06166528789,1054.06166528789,1024.7569728616,1496,1.5515305812419,1.19092260510662,1.59390136209126,1.59390136209126,0,0,0.979468572766188,0.377485141571616,1.59472086421278,0.614602089268129,1.59472086421278,0.614602089268129,0.0855381603832314,0.106490146002722,0.0409823302222654,0,0,0,0,19.1392404972381,19.0707672048257,1411097277.17847,449062783.98017,0,0,0,0.69847383564972,0.461188461247171,0.396186458240927,0.396186458240927,0.318236588818373,0.315068867000931,0.128779441655137,0.268787950187747,-0.0538531349024192,-1.71197861047039,131.383418763654,9.67685320119686,9.67685320119686,9.95357950238375,0.842732009214357,3.17390927741853,0.85584487286079,-1.00713047823302,1.87693295881997,4.06977432554203,4.73749902294384,0.343066484035142,0.197361529870743,0,0,0.288340478398631,0.27978260306354,0.0487974579856223,0.19217055489194,0.0252439297691367,0
2015,4,154998165,154998165,12486.8030743396,3446.00252063309,12315.1204752521,-3454.42710547573,1172.76917685445,1172.76917685445,1153.49781295798,1173,2.03055316659638,0.858750379570758,1.51923791354579,1.51923791354579,0.0516680630301632,0.0173682147385293,0.878696233667339,0.295373659882737,1.92319514588352,0.646481875240847,1.97486320891368,0.663850089979376,0.0964150217268054,0.117317593363514,0.0417909402707834,0,0,0,0,9.20601119229225,39.6480074134167,1513097388.33711,514949207.878187,0,0,0,0.731420715214027,0.456267015023128,0.425092481600229,0.425092481600229,0.340327867754841,0.28958004375068,0.122796115835239,0.283300401941398,0,0,0,10.1469242497639,10.1469242497639,10.3164478218508,0.953006140094777,3.45327663829269,0.966291805582716,-3.44485485918545,1.68240644024265,3.68732865810467,3.95774216920835,0.227051454260409,0.227355527588434,0.191362046055841,0.180262786401223,0.180262786401223,0.155258454068427,0.155258454068427,0.957244746562345,0.054564797378057,0
2016,1,149972124,149972124,12670.036984612,3577.35780109686,12505.4839629811,-22115.1071113856,1134.20624576205,1134.20624576205,1112.60460929392,1173,1.69035013885521,1.22178591948197,1.87842447344344,1.87842447344344,0.0509208401738514,0.0236206282010332,1.16528781281849,0.540541555869988,1.12013381626571,0.519595990935817,1.1557784043874,0.53613043067654,0.0894658029041377,0.110349216936578,0.0359233419801146,0,0,0,0,-5.94488375880203,-61.3973316903933,1520101264.35411,481867761.27762,0,0,0,0.720301674970163,0.461482404962469,0.399731694727757,0.399731694727757,0.316997145241088,0.259228826166439,0.113323865906722,0.282229049211455,-0.0169156827636083,-1.38440747351842,-1.26818044428021,12.1670992833654,12.1670992833654,12.4033280868373,1.08918387663432,3.85759568018853,1.10351586878612,-0.624007830054565,6.00290577638884,13.0078757322872,15.01733751805,-0.315879360984458,-0.386101772557428,0,0,-0.519993571406792,-0.521972452745629,-0.0328819445918888,-0.264469287402673,0.0146742051739019,0
2016,2,154374901.777778,154374901.777778,12659.0439578172,4355.36940893494,12504.4309090498,-14613.0397568922,1289.49814660647,1289.49814660647,1538.42683060374,1173,1.87572553915458,1.16028147098469,1.65769699640435,1.65769699640435,0.05096505948159,0.0199624249155198,1.52727955492434,0.598217754483317,1.50208446718024,0.588349129734373,1.55304952666183,0.608311554649893,0.102910977762051,0.146480024834163,0.04008062385146,0,0,0,0,-6.98657930414332,-52.2430196682289,1079827709.41653,329034958.22314,0,0,0,0.727535982896218,0.493151291977226,0.448849480800516,0.370419784792952,0.304710608325591,0.335028416071918,0.131536686798357,0.337733491877933,0,-3.37543763597439,-8.84274592718921,10.081441399673,10.081441399673,8.45019063720977,1.0269337908391,2.98482144208728,1.0396314789977,-0.889616412209414,7.09440399026283,14.3858570497073,15.8057529165681,1.15826864004858,1.21601457376204,0,0,1.01625055316927,1.29078774592517,0.175018493965664,0.183254454355861,-0.000867639676838894,0
2016,3,148097124,148097124,12524.7602093934,4543.00258457052,12363.9684624331,-26856.7172941927,1398.13169709494,1398.13169709494,1627.07589265373,1173,1.40863156217937,0.942178963226832,1.66429736369026,1.66429736369026,0.051511479461806,0.0202782430113071,1.51564548479243,0.596655886818393,1.48872237773594,0.586057214188233,1.54023385719775,0.606335457199541,0.10614740272885,0.145078641190283,0.0415568485405698,0,0,0,0,-6.76613842688884,-53.9450979231343,1088802168.61488,342246749.277686,0,0,0,0.73621512300436,0.496137571397964,0.449992308788948,0.381362838506536,0.314333272970127,0.369349803623619,0.132206330395444,0.337690635566086,0,-3.40783070596908,-25.2823369262705,8.79745450700898,8.79745450700898,7.55957362255484,0.98205472954086,2.7074604891872,0.994826219216957,-0.457985980388588,7.07441641010162,14.2589814155136,15.7211940558291,-0.307650633649493,-0.364881753573312,0,0,-0.0723157626575216,-0.167157103929542,0.0886222885077292,-0.015574233705122,-0.010607732216682,0
2016,4,154998165,154998165,12569.5907512389,5044.16143211429,12419.1807284106,-14243.9769597659,1201.86925194243,1201.86925194243,1702.9549326713,0,0.533996408699073,0.998809632284628,1.61327518796485,1.61327518796485,0.0484020769982275,0.0182254170661332,1.39001062997188,0.523397445496476,1.60734384215383,0.605232537707159,1.65574591915206,0.623457954773292,0.0959331386877804,0.162200352616175,0.0340819631369113,0,0,0,0,137.520375483897,2.65415214811379,1208912784.85785,307913270.447934,0,0,0,0.732051850677442,0.477280870338803,0.452187079598681,0.31059891878946,0.254702633891112,0.336277428807619,0.133810799740225,0.37664761146048,0,0,0,12.4805589091803,12.4805589091803,8.80821900346512,1.19335627522492,2.9737351196773,1.20780914039567,-1.05307668233174,6.32508077072809,13.2523240796099,13.9877520966358,0.369332002399913,0.370513584996531,0.456195825227108,0.482617148349176,0.000518846647579174,0.0248131308890951,0.0248131308890949,-0.101352444281373,0.00663001381589812,0
