Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2009,4,198055578576,0,198055578576,-178462438732,19593139844,25582233786,-20080701084,-22077328649,-481071745,-10001487122,14612113679,40171226002,-13426218788,26745007214,3614620816,44971741709,-5775387659,0,-5775387659,39196354050,7180815491,32015538559,1009.28,0
2010,1,67432131596,0,67432131596,-56266984691,11165146905,19375083170,-17814203983,-16476088407,-444539435,-6274015448,6007471209,594799486,-67136469,527663017,328019500,6863153726,-887177197,0,-887177197,5975976529,-16356598,5992333127,188.91,0
2010,2,79749268591,-375617000,79373651591,-58432773690,20940877901,25379120031,-24063203511,-23736766204,-409174182,-10840009811,11007610428,1044173661,-24565239,1019608422,2073527432,14100746282,-2846256350,84806610,-2761449740,11339296542,178587114,11160709428,352,0
2010,3,54817184796,0,54817184796,-44326726326,10490458470,2374057320,-21809456375,-20872456375,-438750848,-8223520444,-17607211877,91577698353,-68218914714,23358783639,322876593,6074448355,-981447110,0,-981447110,5093001245,161569250,4931431995,77.9,0
2010,4,153501940597,0,153501940597,-126000894164,27501046433,7476742943,-24495598226,-20353200648,-490905916,-11990780858,-1999495624,9915092271,-975538529,8939553742,92110847,7032168965,-2515726255,-130972756,-2646699011,4385469954,1474605369,2910864585,46,0
2011,1,79597000121,-5519000,79591481121,-60392903343,19198577778,1938951520,-14555874447,-14169439679,-532298367,-7473424311,-1424067827,832814279,-384872610,447941669,319927941,-656198217,-265848339,40526546,-225321793,-881520010,-1459343693,577823683,9.23,0
2011,2,63609404514,-13577000,63595827514,-49184379305,14411448209,10592012974,-35941376670,-18262121329,-277114233,-9761318198,-20976347918,1111477587,-367900336,743577251,-2375814149,-22608584816,122835926,-40526546,82309380,-22526275436,-1676447537,-20849827899,-334,0
2011,3,148169136989,-40149057,148128987932,-114952869221,33176118711,5406716855,-18353406797,-16766549051,-603221125,-8613452788,11012754856,632648371,-913596491,-280948120,-3418900070,7312906666,-396337492,397855106,1517614,7314424280,1317090624,5997333656,96.75,0
2011,4,241606353100,-24493473,241581859627,-173674323808,67907535819,3797922128,-29347583261,-18756795146,-391216567,-14333461740,27633196379,2053219223,-354983471,1698235752,-3599047313,25732384818,-1931157302,13026736742,11095579440,36827964258,650561616,36177402642,585.74,0
2012,1,102108014546,-21083917,102086930629,-68865762971,33221167658,792600749,-14408113931,-18931251334,-422382727,-8885981799,10297289950,2010055614,-106787710,1903267904,-963133123,11237424731,-6127713611,0,-6127713611,5109711120,-185645554,5295356674,85.74,0
