Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2005,0,2406477000000,500312000000,130312000000,370000000000,22800000000,22800000000,0,748600000000,382596000000,76804000000,0,0,291564000000,-2364000000,1081501000000,1081501000000,0,53264000000,26764000000,26500000000,0,0,1491459000000,4018000000,0,0,4018000000,0,757373000000,558790000000,1285280000000,-726490000000,0,0,0,9264000000,21003000000,-11739000000,189319000000,0,0,0,609960000000,0,15605000000,594355000000,0,120108000000,117224000000,2884000000,0,0,3897936000000,1651018000000,1581146000000,12263000000,260885000000,575000000,19118000000,126808000000,125158000000,0,0,1036339000000,0,69872000000,59462000000,0,0,10410000000,0,0,0,2246918000000,2154586000000,1590000000000,54217000000,0,0,0,0,113263000000,56632000000,0,340474000000,92332000000,92206000000,126000000,0,3897936000000
2006,0,1996391000000,156895000000,156195000000,700000000,306730000000,308430000000,-1700000000,511623000000,393898000000,83172000000,0,0,37218000000,-2665000000,965826000000,980367000000,-14541000000,55317000000,22673000000,7253000000,24403000000,988000000,1604142000000,860000000,0,0,860000000,0,1071980000000,746661000000,1573283000000,-826622000000,0,0,0,9141000000,21504000000,-12363000000,316178000000,0,0,0,413901000000,0,122701000000,291200000000,0,117401000000,117296000000,0,105000000,0,3600533000000,862150000000,754356000000,17883000000,436869000000,2350000000,33589000000,0,85821000000,0,0,177844000000,0,107794000000,41235000000,0,2700000000,42345000000,0,21514000000,0,2738383000000,2683699000000,1590000000000,54217000000,0,0,0,0,580103000000,88141000000,0,371238000000,54684000000,54684000000,0,0,3600533000000
2007,0,3172434000000,117819000000,117519000000,300000000,654485000000,654660000000,-175000000,654720000000,505234000000,79847000000,0,0,70390000000,-751000000,1669871000000,1681500000000,-11629000000,75539000000,14282000000,33401000000,23808000000,4048000000,2252683000000,762000000,0,0,762000000,0,1646962000000,1022646000000,1963835000000,-941189000000,0,0,0,20715000000,38771000000,-18056000000,603601000000,0,0,0,401018000000,0,76132000000,324886000000,0,203941000000,195613000000,8017000000,311000000,0,5425117000000,1073230000000,933357000000,9963000000,621376000000,5717000000,35331000000,426000000,132466000000,0,0,128078000000,0,139873000000,81002000000,0,0,32381000000,0,26490000000,0,4315937000000,4224315000000,1752757000000,1064948000000,0,0,0,0,744540000000,136313000000,0,525757000000,91622000000,91622000000,0,35950000000,5425117000000
2008,0,3187605000000,338654000000,132977000000,205677000000,374002000000,496998000000,-122996000000,646385000000,530149000000,75460000000,0,0,40923000000,-147000000,1775342000000,1789646000000,-14304000000,53222000000,31460000000,19196000000,0,2566000000,2779354000000,475000000,0,0,475000000,0,1936923000000,1529187000000,2618638000000,-1089451000000,0,0,0,50868000000,79416000000,-28548000000,356868000000,27489000000,27489000000,0,570657000000,0,23702000000,546955000000,0,243810000000,195512000000,47276000000,1022000000,0,5966959000000,1154432000000,972502000000,188222000000,492556000000,5917000000,64187000000,3104000000,144052000000,0,0,74464000000,0,181930000000,93612000000,0,30000000000,22418000000,0,35900000000,0,4761913000000,4665715000000,1752757000000,1064948000000,0,0,0,0,869697000000,175276000000,0,803037000000,96198000000,96198000000,0,50614000000,5966959000000
2009,0,5069157000000,426135000000,376135000000,50000000000,2314253000000,2400760000000,-86507000000,728634000000,513346000000,139363000000,0,0,76588000000,-663000000,1311765000000,1321271000000,-9506000000,288370000000,21986000000,37399000000,226000000000,2985000000,3412879000000,8822000000,0,0,8822000000,0,2524964000000,1835583000000,3135507000000,-1299924000000,0,0,0,39241000000,82339000000,-43098000000,650140000000,27489000000,27489000000,0,602479000000,0,26152000000,672732000000,-96405000000,249125000000,194714000000,53521000000,890000000,0,8482036000000,1808931000000,1552606000000,13283000000,789867000000,28827000000,399962000000,28688000000,208131000000,0,0,83848000000,0,256325000000,116940000000,0,92000000000,12455000000,0,34930000000,0,6637739000000,6455474000000,3512653000000,0,0,-154000000,0,0,1756283000000,294348000000,0,892344000000,182265000000,182265000000,0,35366000000,8482036000000
2010,0,5919802789330,613472368080,249472368080,364000000000,1742259762292,1812917431792,-70657669500,1124862162625,587457894727,354095973554,0,0,183904850455,-596556111,2351354229902,2355487444817,-4133214915,87854266431,38595473073,16933368421,0,32325424937,4853229506530,23624693,0,0,23624693,0,3428571795589,2589894051885,4113300629871,-1523406577986,0,0,0,173395289975,263171406266,-89776116291,665282453729,100817545211,104059758223,-3242213012,1141798415275,0,214232426023,1036146073800,-108580084548,162461317098,97740813322,62865036536,1855467240,19556808664,10773032295860,2808595705578,2645012251272,567960000000,1089416813120,30515029293,281788660883,33549296245,264150983635,0,0,118236497397,0,163583454306,0,0,92000000000,0,0,51373933083,0,7964436590282,7964436590282,3530721200000,0,0,-669051000,0,0,2172290789865,353072120000,0,1909021531417,0,0,0,0,10773032295860
2011,0,9467682996094,3156515396990,790515396990,2366000000000,736033188192,815277431792,-79244243600,2169205076812,1143168467855,795149182591,0,0,232805433796,-1918007430,3272495674110,3277429580780,-4933906670,133433659990,56909099519,74772661634,0,1751898837,6114988554657,0,0,0,0,0,5044762028869,3493628542454,5301826836260,-1808198293806,0,0,0,256046089531,383409370867,-127363281336,1295087396884,100671287539,117666487460,-16995199921,846713756424,0,205418475253,783646073800,-142350792629,107338146303,25598314795,80643411508,1096420000,15503335522,15582671550751,3105466354267,2946537015499,0,1830959100474,116844952210,287462890828,44740312110,260678009293,0,0,59478925315,0,158929338768,0,0,92000000000,0,0,66923897268,0,12477205196484,12477205196484,5561147540000,1276994100000,0,-2521794000,0,0,908024236384,556114754000,0,4177446360100,0,0,0,0,15582671550751
2012,0,11110610188964,1252120160804,852120160804,400000000000,3909275954492,4039304630112,-130028675620,2246362984001,1269841759012,576619318260,0,0,403754490615,-3852583886,3472845352518,3476300517903,-3455165385,230005737149,72343567655,154118437302,0,3543732192,8587258231415,0,0,0,0,0,8042300548493,4223443459603,6512875316427,-2289431856824,0,0,0,253615655556,387180023184,-133564367628,3565241433334,96714389090,117666487460,-20952098370,284428762040,0,217944646507,80840000000,-14355884467,150152345194,41073978122,108001947072,1076420000,13662186598,19697868420379,4204771824521,4144990303291,0,2247659149802,21589364414,333952869847,106150509860,365103636850,0,0,664137048409,0,59781521230,0,0,0,0,0,59635777000,0,15493096595858,15493096595858,8339557960000,1276994100000,0,-4504115000,0,0,93889017729,588402022008,0,5198757611121,0,0,0,0,19697868420379
2013,0,13018930127438,2745645325950,1394534283673,1351111042277,4167317622318,4313292575718,-145974953400,2728421414532,1894721027784,423820755014,0,0,417266719643,-7387087909,3217483048888,3227859954432,-10376905544,160062715750,129708362747,25468115542,0,4886237461,9856483929198,736666667,0,0,736666667,0,8918416535379,7849058771126,11147267493199,-3298208722073,0,0,0,531485413625,690742242273,-159256828648,537872350628,149445717001,176332062888,-26886345887,318308294039,0,284629299345,43927626956,-10248632262,295112796930,171151838315,115300622640,8660335975,174463919182,22875414056636,5307060807329,4956397594108,178943692147,1968257136188,20929404542,456725904986,137540107294,490760970004,0,0,1341762807045,0,350663213221,0,0,5036159560,184142784403,91065600000,69583293250,0,17545489315423,17545489315423,8339557960000,1276994100000,0,-5068507959,0,0,950237983612,833955796000,0,6149811983770,0,0,0,22863933884,22875414056636
2014,0,15457989802876,1527875428216,993333794600,534541633616,7469006501322,704814872722,-139208371400,2777099430909,1988614362323,420615080215,0,0,370036643588,-5917834434,3554823963018,3567948334861,-13124371843,129184479411,115703239463,13465035833,16204115,0,10312148258081,21965907697,0,0,14570604026,0,8086395812459,7548188780138,11782649084362,-4234460304224,0,0,0,538207032321,691495740057,-153288707736,0,147725868615,179594679077,-31868810462,671339515656,0,317972437657,11628368600,-4857290601,495005358897,183505250834,150793168409,0,0,25770138060957,5969901577449,5453280356023,1279525014840,1898529392924,17826386435,502643076304,163476907176,632991337019,0,0,598428618781,4122882763,516621221426,0,0,8192561774,346383586552,84711303600,0,77333769500,19680282615855,19680282615855,10006413990000,0,0,-5388109959,0,-161099075,2521718366944,0,0,7157699467945,0,0,0,119953867653,25770138060957
