Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2015,2,768776022663,269458297799,219458297799,50000000000,0,0,0,341618464737,298572602998,1453462544,309621450,0,36776884962,0,139303261387,139303261387,0,18395998740,2004177955,20241629,16371579156,0,1455089329238,185000000,0,0,185000000,0,228756055599,226829190177,238912542010,-12083351833,0,0,0,1926865422,2115814356,-188948934,0,5263015842,5875066210,-612050368,1202211515198,536435235800,665776279398,0,0,18647948963,18647948963,0,0,0,2223865351901,655149779339,641435657445,505659815048,95931086516,7454901597,611254161,2832444728,6219666372,0,0,12807670655,0,13714121894,0,0,0,13714121894,0,0,0,1568715572562,1568715572562,674533000000,0,83438386509,0,496272848688,0,0,0,0,314471337365,0,0,0,0,2223865351901
2015,3,631231139933,240135328008,240135328008,0,0,0,0,232847937844,186041290293,6511621066,323508063,0,35874245695,0,139808068763,139808068763,0,18439805318,2062924693,1086170602,15290710023,0,1463884663045,185000000,0,0,185000000,0,223119650999,221287260044,239424435646,-18137175602,0,0,0,1832390955,2115814356,-283423401,0,4953491346,5875066210,-921574864,1217291515198,536435235800,680856279398,0,0,18309211866,18309211866,0,0,0,2095115802978,507973149388,494259027494,442429483284,11751478897,3062158613,299975974,4598561331,5778440247,0,0,18247229761,0,13714121894,0,0,0,13714121894,0,0,0,1587142653590,1587142653590,674533000000,0,83438386509,0,496272848688,0,0,0,0,332898418393,0,0,0,0,2095115802978
2016,1,915033063148,287197815126,156925954540,130271860586,30269267556,0,0,344214054536,292794722204,5423982038,148328747,0,48750334239,-5642232000,233119935477,233119935477,0,20231990453,1668425396,3272855034,15290710023,0,1488721464566,135000000,0,0,135000000,0,221146817846,219503375825,410553763098,-191050387273,0,0,0,1643442021,4660083240,-3016641219,0,217800101,2178001042,-1960200941,1237378456185,487235235800,865094972909,0,-114951752524,29661674245,29661674245,0,0,0,2403754527714,1105705518540,1092013654158,627891601391,160645012150,12487453798,529844744,5186669003,4692224314,0,0,273877964693,0,13691864382,0,0,218309400,13473554982,0,0,0,1298049009174,1298049009174,1218000000000,0,0,0,0,0,0,0,0,80049009174,0,0,0,0,2403754527714
2016,2,1796644909973,443849550822,249956783786,193892767036,255770949182,0,0,274501002793,213988388465,13217702091,0,0,53164683502,-6015252948,757988059702,767830210153,-9842150451,64535347474,3623304954,44592449398,16319593122,0,1637312985611,135000000,0,0,135000000,0,466062642225,440151425977,1083008346505,-642856920528,0,0,0,25911216248,46122395888,-20211179640,0,183768836,2178001042,-1994232206,922925404753,0,922925404753,0,0,66377437954,60202505090,4068964202,0,0,3433957895584,1812798604672,1659941388835,1107427893966,122308009118,12318051009,7129725678,24240758875,20526997895,0,0,352832616213,0,152857215837,0,0,307309400,152549906437,0,0,0,1621159290912,1621159290912,1218000000000,0,0,0,-222395924883,0,8714835359,0,0,318100089628,0,0,0,0,3433957895584
2016,3,1657894433607,628669995653,236743800602,391926195051,155689167974,0,0,234932389294,223778105757,12169481481,0,0,3741227794,-5866410466,572168163667,580910314118,-8742150451,66434717019,5979982202,43951766369,16465678417,37290031,1696408452583,185000000,0,0,185000000,0,450281910811,424747073756,1084354220129,-659607146373,0,0,0,25534837055,46122395888,-20587558833,0,149737571,2178001042,-2028263471,980815918555,0,980815918555,0,0,64916089596,59258570810,3553875842,0,0,3354302886190,1382976160580,1225837833440,882669564636,164407270018,21035676525,19138583493,29722321772,33140564952,0,0,65359316304,0,157138327140,0,0,491559400,156646767740,0,0,0,1971326725610,1971326725610,1218000000000,0,0,0,-222395924882,0,8714835358,0,0,543837030718,0,0,0,0,3354302886190
2016,4,1030623342434,143580153038,143580153038,0,149005834641,0,0,339953240363,337425825322,1883486785,0,0,5627897108,-5693937673,356747039794,357384200913,-637161119,41337074598,2571925232,21967491788,16745560167,52097411,1746386946633,265000000,0,0,265000000,0,283382464199,276285986612,579035635961,-302749649349,0,0,0,7096477587,12631513750,-5535036163,0,5771220512,13541739732,-7770519220,1187023990622,0,1183206137385,3817853237,0,59786789301,57928571367,0,0,0,2777010289067,1020730699671,858059758624,408845978946,347173816825,10070046729,2308035969,7084360000,6494640111,0,0,68768172833,0,162670941047,0,0,497827000,162173114047,0,0,0,1756279589396,1756279589396,1218000000000,0,0,0,-3439743723,0,5100000000,0,0,458588008889,0,0,0,0,2777010289067
2017,1,1191471310721,287186077691,287186077691,0,282778243589,0,0,263893951139,258478693755,1379253100,0,0,7248099641,-5693937673,307832083668,308469244787,-637161119,49780954634,4483166450,29543337397,15754450787,0,1697481698704,265000000,0,0,265000000,0,275549379769,268523514778,578033806212,-309510291434,0,0,0,7025864991,12631513750,-5605648759,0,5661833309,13541739732,-7879906423,1141587369279,0,1141587369279,0,0,58360963174,56173528773,0,0,0,2888953009425,1000888759640,835217818593,638202509589,113150713674,10415179299,1475453655,4180780000,3432653659,0,0,61736438448,0,165670941047,0,0,497827000,165173114047,0,0,0,1888064249785,1888064249785,1218000000000,0,0,0,-111321467,0,5100000000,0,0,590595679576,0,0,0,0,2888953009425
2017,2,1124767690369,183398455027,183398455027,0,284441563496,0,0,297398595434,294309904006,520536810,0,0,6694160577,-5693937673,308644071268,309596474908,-952403640,50885005144,4126755745,31003798612,15754450787,0,1701876449531,265000000,0,0,265000000,0,474839891736,467884639341,786989850287,-319105210946,0,0,0,6955252395,12631513750,-5676261355,0,5504802330,13541739732,-8036937402,1156082232536,0,1132525681759,23556550777,0,55045484813,54685688472,359796341,0,0,2826644139900,900042244778,729825641731,616520467786,45966880259,25465286387,1778612005,8396124000,3763751825,0,0,15153506998,0,170216603047,0,0,474327000,169742276047,0,0,0,1926601895122,1926601895122,1218000000000,0,0,0,787114305,0,32385429811,0,0,604998982195,0,0,0,0,2826644139900
2017,3,1204340113116,251322448771,251322448771,0,289064802202,0,0,402505035433,380400405426,23287949809,0,0,3012211034,-5777675181,214373182423,215325586063,-952403640,47074644287,5068481853,26395573238,15610589196,0,1710753674285,265000000,0,0,265000000,0,465795267636,458866020258,774279600043,-315413579785,0,0,0,6929247378,12631513750,-5702266372,0,5429446392,13541739732,-8112293340,1181112238397,0,1157555865068,23556373329,0,52029132106,51468326528,560805578,0,0,2915093787401,1052875506548,885658903501,405546550005,285920274136,25221325712,1655429706,10795045000,4565733410,0,0,139193842317,0,167216603047,0,0,474327000,166742276047,0,0,0,1862218280853,1862218280853,1218000000000,0,0,0,787114305,0,31134877239,0,0,547872005247,0,0,0,0,2915093787401
2017,4,1208651230089,153060882409,153060882409,0,290955873731,0,0,442548624075,439332765964,458359882,0,0,7293395838,-5228110651,275834858026,277033049132,-1198191106,46250991848,1086149577,29565602034,15599240237,0,1776813432307,265000000,0,0,265000000,0,459393244767,452519740792,773318699380,-320798958588,0,0,0,6873503975,12631513750,-5758009775,0,5370446842,11797057729,-6426610887,1263276084060,0,1239719710731,23556373329,0,46796103138,46279539245,516563893,0,0,2985464662396,1031519576518,864171358042,493723027995,309121413979,22606020241,495372911,7786366000,3240917328,0,0,15665094146,0,167348218476,0,0,408622500,165730649694,1208946282,0,0,1953945085878,1953945085878,1218000000000,0,0,0,787114305,0,27383219523,0,0,649077288923,0,0,0,0,2985464662396
