date,open,high,low,close,volume,unadjusted,putthrough
2006-12-21,7.79,7.79,7.79,7.79,10820,27.50,0
2006-12-22,7.42,7.42,7.42,7.42,48900,26.20,0
2006-12-25,7.42,7.42,7.05,7.05,10570,24.90,0
2006-12-26,6.71,6.71,6.71,6.71,16500,23.70,0
2006-12-27,0.00,6.51,6.40,6.51,41260,23.00,0
2006-12-28,6.82,6.82,6.51,6.82,6570,24.10,0
2006-12-29,7.16,7.16,7.07,7.08,11290,25.00,0
2007-01-02,6.85,6.85,6.85,6.85,13700,24.20,0
2007-01-03,6.79,6.79,6.51,6.51,7700,23.00,0
2007-01-04,6.57,6.57,6.51,6.57,11800,23.20,0
2007-01-05,6.77,6.77,6.77,6.77,11850,23.90,0
2007-01-08,6.77,6.77,6.66,6.71,9510,23.70,0
2007-01-09,0.00,6.51,6.46,6.51,16100,23.00,0
2007-01-10,6.51,6.51,6.45,6.51,18890,23.00,0
2007-01-11,6.20,6.51,6.20,6.51,29910,23.00,0
2007-01-12,6.51,6.51,6.48,6.48,12100,22.90,0
2007-01-15,6.48,6.48,6.37,6.37,31100,22.50,0
2007-01-16,6.37,6.37,6.23,6.23,9700,22.00,0
2007-01-17,5.92,6.09,5.92,6.09,14560,21.50,0
2007-01-18,6.09,6.37,6.09,6.37,12290,22.50,0
2007-01-19,6.37,6.51,6.37,6.51,9650,23.00,0
2007-01-22,6.51,6.51,6.20,6.51,14300,23.00,0
2007-01-23,6.20,6.20,6.20,6.20,4000,21.90,0
2007-01-24,6.37,6.37,5.95,6.37,3600,22.50,0
2007-01-25,6.51,6.51,6.23,6.23,10650,22.00,0
2007-01-26,4.53,6.23,5.95,5.95,8400,21.00,0
2007-01-29,6.09,6.09,5.81,6.09,7000,21.50,0
2007-01-30,6.23,6.23,6.23,6.23,100,22.00,0
2007-01-31,6.23,6.23,6.09,6.09,1090,21.50,0
2007-02-01,6.09,6.37,6.09,6.12,2720,21.60,0
2007-02-02,6.12,6.12,6.12,6.12,910,21.60,0
2007-02-05,6.23,6.38,5.95,6.23,20710,22.00,0
2007-02-06,6.23,6.23,6.09,6.23,26100,22.00,0
2007-02-07,6.00,6.37,6.00,6.00,33550,21.20,0
2007-02-08,6.23,6.23,5.94,6.23,34750,22.00,0
2007-02-09,6.23,6.51,6.23,6.23,22510,22.00,0
2007-02-12,6.03,6.23,6.03,6.23,21520,22.00,0
2007-02-13,6.37,6.48,6.23,6.37,11370,22.50,0
2007-02-14,6.51,6.51,6.37,6.51,23330,23.00,0
2007-02-15,6.79,6.79,6.65,6.80,29270,24.00,0
2007-02-26,7.14,7.14,7.14,7.14,23550,25.20,0
2007-02-27,7.48,7.48,7.48,7.47,23970,26.40,0
2007-02-28,7.84,7.84,7.84,7.84,30850,27.70,0
2007-03-01,8.21,8.21,8.21,8.21,59000,29.00,0
2007-03-02,8.61,8.61,8.61,8.61,71360,30.40,0
2007-03-05,9.03,9.03,9.03,9.03,10320,31.90,0
2007-03-06,9.45,9.45,9.45,9.46,19190,33.40,0
2007-03-07,9.91,9.91,9.91,9.91,18260,35.00,0
2007-03-08,10.19,10.39,10.19,10.39,12500,36.70,0
2007-03-09,10.90,10.90,10.90,10.90,31280,38.50,0
2007-03-12,10.90,11.44,10.90,11.44,55460,40.40,0
2007-03-13,12.01,12.01,12.01,12.01,36030,42.40,0
2007-03-14,12.60,12.60,12.60,12.60,117730,44.50,0
2007-03-15,12.18,12.18,11.98,11.98,85700,42.30,0
2007-03-16,11.39,11.39,11.39,11.38,74720,40.20,0
2007-03-19,11.95,11.95,11.95,11.95,86550,42.20,0
2007-03-20,11.95,12.46,12.18,12.46,121310,44.00,0
2007-03-21,12.18,12.46,12.18,12.17,64350,43.00,0
2007-03-22,11.60,11.75,11.60,11.75,29760,41.50,0
2007-03-23,11.18,11.18,11.18,11.18,26830,39.50,0
2007-03-26,10.64,10.64,10.64,10.65,16210,37.60,0
2007-03-27,10.14,10.14,10.14,10.14,440,35.80,0
2007-03-28,0.00,9.77,9.66,9.65,10810,34.10,0
2007-03-29,9.17,10.13,9.17,10.14,25680,35.80,0
2007-03-30,10.62,10.62,10.62,10.62,23800,37.50,0
2007-04-02,10.62,10.62,10.20,10.19,17370,36.00,0
2007-04-03,9.68,9.68,9.68,9.68,19100,34.20,0
2007-04-04,9.48,9.96,9.48,9.97,8220,35.20,0
2007-04-05,10.03,10.03,10.03,10.02,11000,35.40,0
2007-04-06,9.54,9.54,9.54,9.54,12690,33.70,0
2007-04-09,9.14,9.14,9.09,9.09,20510,32.10,0
2007-04-10,8.78,8.78,8.64,8.64,17710,30.50,0
2007-04-11,9.06,9.06,8.64,8.78,21240,31.00,0
2007-04-12,8.50,8.50,8.36,8.35,13310,29.50,0
2007-04-13,7.95,7.95,7.95,7.96,18410,28.10,0
2007-04-16,7.56,7.56,7.56,7.56,1850,26.70,0
2007-04-17,7.25,7.25,7.19,7.19,12610,25.40,0
2007-04-18,7.19,7.53,7.19,7.53,7550,26.60,0
2007-04-19,7.64,7.90,7.64,7.90,2980,27.90,0
2007-04-20,8.27,8.27,7.90,7.90,39460,27.90,0
2007-04-23,7.53,7.53,7.53,7.53,11710,26.60,0
2007-04-24,7.16,7.47,7.16,7.47,14060,26.40,0
2007-04-25,7.64,7.78,7.64,7.79,15910,27.50,0
2007-05-02,8.16,8.16,8.16,8.15,9730,28.80,0
2007-05-03,7.92,8.15,7.92,8.15,11460,28.80,0
2007-05-04,8.36,8.36,7.86,7.86,5200,26.80,0
2007-05-07,0.00,8.21,7.98,8.21,640,28.00,0
2007-05-08,8.42,8.62,8.42,8.62,13150,29.40,0
2007-05-09,8.62,8.62,8.50,8.51,8390,29.00,0
2007-05-10,8.19,0.85,8.19,8.18,4760,27.90,0
2007-05-11,8.18,8.18,8.18,8.18,3400,27.90,0
2007-05-14,8.50,8.50,8.18,8.18,8280,27.90,0
2007-05-15,8.21,8.21,8.21,8.21,7720,28.00,0
2007-05-16,8.18,8.18,8.18,8.18,6200,27.90,0
2007-05-17,7.80,8.06,7.80,8.07,8850,27.50,0
2007-05-18,7.92,8.07,7.92,8.07,10020,27.50,0
2007-05-21,7.92,7.92,7.92,7.92,11760,27.00,0
2007-05-22,7.92,8.07,7.77,8.07,22710,27.50,0
2007-05-23,8.45,8.45,8.36,8.36,22100,28.50,0
2007-05-24,8.21,8.51,8.21,8.21,18290,28.00,0
2007-05-25,8.06,8.21,8.06,8.07,5840,27.50,0
2007-05-28,8.07,8.07,8.07,8.07,11400,27.50,0
2007-05-29,8.16,8.16,8.07,8.07,13890,27.50,0
2007-05-30,8.07,8.07,7.95,7.95,3620,27.10,0
2007-05-31,7.95,7.95,7.77,7.77,9160,26.50,0
2007-06-01,7.92,7.92,7.92,7.92,5300,27.00,0
2007-06-04,7.77,7.80,7.63,7.80,25600,26.60,0
2007-06-05,7.86,8.18,7.86,8.18,53440,27.90,0
2007-06-06,8.56,8.56,8.56,8.57,93060,29.20,0
2007-06-07,8.98,8.98,8.98,8.98,56810,30.60,0
2007-06-08,9.42,9.42,9.42,9.42,60250,32.10,0
2007-06-11,9.89,9.89,9.10,9.09,124660,31.00,0
2007-06-12,9.09,9.09,8.65,8.65,10100,29.50,0
2007-06-13,8.65,8.65,8.36,8.36,34680,28.50,0
2007-06-14,8.51,8.51,8.21,8.21,44240,28.00,0
2007-06-15,8.21,8.21,8.21,8.21,19130,28.00,0
2007-06-18,8.50,8.50,8.21,8.21,16840,28.00,0
2007-06-19,8.21,8.21,8.21,8.21,31430,28.00,0
2007-06-20,8.21,8.27,8.21,8.27,28350,28.20,0
2007-06-21,8.21,8.21,8.21,8.21,18180,28.00,0
2007-06-22,8.06,8.06,8.06,8.07,23680,27.50,0
2007-06-25,7.92,8.22,7.92,8.21,24500,28.00,0
2007-06-26,8.21,8.21,8.09,8.10,18450,27.60,0
2007-06-27,8.10,8.10,8.07,8.10,20590,27.60,0
2007-06-28,8.07,8.07,8.01,8.01,15140,27.30,0
2007-06-29,8.01,8.01,7.92,7.92,16960,27.00,0
2007-07-02,7.92,7.92,7.54,7.54,19870,25.70,0
2007-07-03,7.39,7.39,7.33,7.33,20660,25.00,0
2007-07-04,7.33,7.68,7.33,7.69,3560,26.20,0
2007-07-05,7.69,7.78,7.63,7.63,17450,26.00,0
2007-07-06,7.48,7.60,7.48,7.60,7560,25.90,0
2007-07-09,7.60,7.63,7.48,7.63,6590,26.00,0
2007-07-10,7.78,7.78,7.63,7.63,15550,26.00,0
2007-07-11,7.78,7.78,7.78,7.77,33200,26.50,0
2007-07-12,7.65,7.74,7.62,7.63,16040,26.00,0
2007-07-13,7.45,7.48,7.45,7.48,24000,25.50,0
2007-07-16,7.57,7.57,7.48,7.48,18780,25.50,0
2007-07-17,7.48,7.48,7.48,7.48,25500,25.50,0
2007-07-18,7.66,7.66,7.57,7.57,35500,25.80,0
2007-07-19,7.69,7.92,7.69,7.92,53840,27.00,0
2007-07-20,8.30,8.30,8.30,8.30,32160,28.30,0
2007-07-23,8.71,8.71,8.09,8.10,136160,27.60,0
2007-07-24,7.72,7.89,7.72,7.89,21590,26.90,0
