Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2014,4,6000000,6000000,22610.6779795,0,18586.3971408333,12398.9213488333,6542.1302505,6542.1302505,7229.34564775,6542,0,0.571767914401031,1.16185751410364,1.17772851873488,0.0443488633147497,0.0158278906165302,0.0683363506643879,0.0243889065605218,1.75313560248419,0.625685451172224,1.80194401068409,0.643104931366615,0.322691182672838,0.413911752249377,0.119627083328806,13.3241374200273,27.3938933901548,432.15291134291,0.844608448583087,19.2678386061898,18.943484396986,0,0,0,0,0,0.0994666793427357,0.0454529237537375,0.0402077068834307,0.0398235653737568,0.0297853818491745,0,4.01630181995203,10.8338776486688,-0.0100381835245823,0,0,0,0,0,0,0,0,0,0,0,0,0.557502923821846,0.540635451953239,0.625465204974148,0.69702603785587,0.693149973261883,0.732909970121057,0.732909970121057,0.376612786035688,0.260586364449036,0
2015,4,6899541,6899541,26908.0995218378,87066.9020058739,23282.3737468913,10431.8041160999,9070.24420044754,9070.24420044754,9114.41611818815,9070,0,0.573825970298276,1.14672878749823,1.15760432981005,0.113719368174626,0.0343299137049986,0.170326788819838,0.0514187165800599,2.19245308662215,0.661863730639251,2.31254453919783,0.69811726660069,0.389524389630037,0.461604005832617,0.125776249211691,13.8328907983616,26.3863862818343,443.62995868239,0.822757780119436,16.6206190965209,21.9606741409773,1155832517.21984,36299606.5783063,0,6.04682946696503,0.16537592228509,0.0870434257982209,0.0477045677223322,0.0405663930607331,0.0414806857032478,0.0314055938360507,0,4.00489956879312,12.4030257687056,-0.0100750918671971,0,0,0,0,0,0,0,0,0,0,0,0,0.512045657172273,0.323193202319456,0.439124871249488,0.449060929562644,0.574964222451459,0.594295215390459,0.386435893683762,0.617858978173682,0.36847979563257,0.1499235
2016,4,22885835,22885835,15775.1791903595,98657.9064650531,14656.9457219717,9870.92801403139,4904.60588429481,4904.60588429481,4931.41463281764,4947,0,0.38492847597465,1.14618596339329,1.20764759576376,0,0,0.110087434221157,0.0369524210377415,1.96606002715766,0.65993615368539,1.97916702423147,0.664335704622681,0.410644820588421,0.466127010993101,0.132792385132174,13.5964100223327,26.8453216253755,111.743892677098,3.26639775343003,29.5254349648222,12.3622226204246,1698640043.83701,65107889.2157773,0,3.26973725619654,0.305834971328318,0.0832092341515024,0.0544892420524981,0.0456591034545643,0.0482649199854556,0.0383294209105697,0,3.46450277560952,10.7135670415303,-0.0099354990748859,0,0,0,0,0,0,0,0,0,0,0,0,0.469624723764307,0.404888957817657,0.678638778693749,0.654121607540508,0.709984261315574,0.79362520294332,-0.459264185626578,0.748924108400202,0.944633838126962,2.31700833432253
2017,2,41377090,41377090,16947.4978554202,84385.9888378569,15857.1368085106,5187.47786465892,3074.23075387854,3074.23075387854,3111.16298368856,5729,0,0.235204190961753,1.14558578231773,1.20967464536321,0,0,0.115254823450626,0.0368690333777848,2.11293603229579,0.675910185513493,2.12606035177673,0.680108543191868,0.345101406882095,0.402065136753011,0.122537013004473,13.5582671114575,26.9208444559669,79.1140031426871,4.61359538767997,34.9857543026515,10.4328177932793,2025317085.19896,73783481.7772622,0,2.04948716925236,0.487926938505692,0.0786690865955348,0.0494441370800119,0.0430180839716249,0.045814734637105,0.0364305828042793,0,3.36357542405496,9.47284891751878,-0.00938415183282569,-55.4015383615456,-34.2369129463825,0,0,0,0,0,0,0,0,0,0,0.213859295703993,0.178880652884886,0,0,0.27517723915341,0.26784294284467,-0.412241550585195,0.151898028242306,-0.0134848351826907,0
2017,3,29682274,29682274,14838.4175920955,128677.08391194,14008.4348381125,23178.6087952021,4532.1733853006,4532.1733853006,4590.86391249875,4947,0,0.253851674762739,1.16279545423057,1.18691251601403,0,0,0.211372038284674,0.0626019390529362,2.37272294151574,0.702728034321281,2.37644554597483,0.70383055601411,0.340035764964531,0.442982133677232,0.11146052561519,13.206252306238,27.6384239476927,84.9759605160489,4.29533244206242,34.1945656339436,10.6742107476189,2215494482.7906,86988641.8839907,0,0,0,0.0822730762779398,0.0532541539022121,0.0463679085435817,0.0493764634301299,0.0392637592012512,0,3.16464744757264,9.65447910584557,-0.0101127042288787,279.408902134369,-58.800906544343,0,0,0,0,0,0,0,0,0,0,0.0396640033703335,0.178039826042083,0,0,0.188210310475194,0.187633545176995,-0.184588425622051,0.226520469266941,0.135566073082038,0.296971423590181
2017,4,29682274,29682274,16490.2529891409,135789.321074165,15670.9256050598,14785.330684839,5729.19868410352,5729.19868410352,5691.72065469108,5729,0,0.378418888921446,1.11287356054718,1.12825891523964,0,0,0.393289494358335,0.109922586605308,2.57702199646832,0.720265676185275,2.57787699966064,0.720504645605523,0.397800958479696,0.451683171512317,0.120269367335187,13.6489167372553,26.742048986475,116.94587029953,3.12110208821515,36.2513239025345,10.0685977974581,2337949248.73782,98640165.3955916,0,0,0,0.0855802822791259,0.0575791340290415,0.048194245969951,0.0529771610363203,0.0421908924878691,0,2.85060021827619,9.42859785661261,-0.0107862685484513,0,0,0,0,0,0,0,0,0,0,0,0,0.376365320728396,0.386125771491201,0.409179135089131,0.398615563006915,0.453980580406677,0.456851374333306,0.123271760530049,0.626570920801136,0.339136376029034,0.296971423590181
2018,1,41377090,41377090,18315.3354307692,98038.9633167291,17496.3184211897,29665.2363248841,5199.56303800001,5199.56303800001,5132.38333035262,5729,0,0.277986755473084,1.18782549139791,1.20255710506468,0,0,0.479701350957381,0.158533121855388,2.02563124038816,0.669436605975013,2.02587462697516,0.669517041094443,0.462323525989636,0.465062854826424,0.141173810201418,12.6126350092099,28.9392343260131,129.784275731885,2.81235918559223,43.4413602737951,8.40213100371484,2352997104.79292,111301143.862529,0,0,0,0.0933443461141793,0.0609938367502892,0.0535585975587293,0.0594101856346338,0.047301861798221,0,2.66186483334634,8.71721698029323,-0.0121083238364128,-1118.40859908464,-154.293610434347,0,0,0,0,0,0,0,0,0,0,-0.182193357689983,0.0472893707361617,0,0,0.104293899003419,0.105570696782894,-0.201641639412854,-0.0606810549938387,0.110676436730845,0
2018,2,41376649,41376649,18218.2982186607,97886.784131436,17405.3699583125,7576.40925066213,5737.49865340714,5737.49865340714,5652.92215394847,5729,0,0.27789196079505,1.15113598241985,1.16273927840953,0,0,0.608153106019556,0.173438815404498,2.50617858964971,0.714735551752624,2.50644176507553,0.714810606592675,0.471424480968446,0.479486619380157,0.140068297201831,11.7802120534806,30.9841621138013,189.818167943265,1.92289286086196,47.7004339834562,7.65192199564876,2349344708.13051,124210471.087587,0,0,0,0.103018758046169,0.0680003275404734,0.0596844118671941,0.0664037836557325,0.0528702623577225,0,2.38971407798689,8.04300288776009,-0.0135335212980101,673.397535636152,150.489626881048,0,0,0,0,0,0,0,0,0,0,0.170773181864096,0.167696946434925,0,0,0.170546692170187,0.167429199440992,-0.208423350560827,0.15267966307857,-0.00529814004637119,0
2018,3,41376649,41376649,14896.3602224772,104171.697249069,14316.672701552,1673.98085511951,6783.85061989916,6783.85061989916,6693.22660646709,5729,0,0.187146837497783,0.965121792936197,1.05040140730902,0,0,0.975370419613029,0.228504337629079,3.26748139807947,0.765487303664291,3.26849848774558,0.765725581754123,0.512627217788589,0.49745109413196,0.141704577963398,11.1615639249737,32.7015105099494,68.9541575422409,5.29337190112726,28.1614994872915,12.9609575713365,428456834.275249,24054690.2418489,0,0,0,0.107718923968244,0.0716358115811442,0.0632320016194744,0.0704397469927846,0.0561426223543344,0.677755494427942,2.17599225300005,7.87181946142253,-0.0142971246384502,34.4613834834772,74.8454604755522,22.6568962985634,22.6568962985634,22.9636629740717,10.3180238463944,1.47545834481806,10.7358045548766,91.8176570119892,1.52749131261249,21.3230125952053,24.1569343606236,0.299261676247355,0.191164718487687,0,0,0.206507059043292,0.210171605710429,-0.15180533960829,0.387519213913988,0.139804860065062,0.39398514413013
2018,4,41376649,41376649,16441.1146150332,118963.359835979,15837.4284118078,10316.8819291045,6743.69837977938,6743.69837977938,6685.19806409407,6216,0,0.190776906381495,1.10063235629134,1.15639046085459,0,0,0.587750046272668,0.14107672214478,3.16596390919371,0.75992135359274,3.16617311018533,0.759971567778778,0.477080557288735,0.541734004533688,0.121704014767494,10.3238059353851,35.3551783406692,62.7367400807624,5.81796248147621,27.3635284759746,13.3389230237786,489294749.880119,27736743.6204771,0,0,0,0.111041065707492,0.0745800629245103,0.0644002360958175,0.0711109217306199,0.056687188299635,0.617263589616291,2.14694040078678,8.41602082585224,-0.0144237334309849,0,0,28.5788285813437,28.5788285813437,28.8289139906159,11.7222587709337,1.62005343717362,12.1690842091706,18.6807410731634,1.61780863691593,21.6922401708547,25.1211600297379,0.221226432257037,0.584550563477824,0.581808161909261,0.631880922316792,0.639244828163904,0.640825510902639,0.177075320932879,0.618355727148022,0.389831286481133,0.39398514413013
