Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2006,0,387806475377,-157684647318,230121828059,-150399154367,79722673692,2728560876,0,0,-110213454,-10956540551,71384480563,92982244,-517389522,-424407278,0,70960073285,0,0,0,70960073285,0,70960073285,4894,0
2007,0,365255356673,-153612630295,211642726378,-167789282674,43853443704,3645601054,0,0,-146672528,-7931719279,39420652951,159604601,-26666569,132938032,0,39553590983,-1369816251,0,-1369816251,38183774732,0,38183774732,2633,0
2008,0,460320697260,-175213919713,285106777547,-256257222510,28849555037,1076520577,-9163650203,-3269225203,-102530231,-8310544341,12349350839,1064141825,-44710362,1019431463,0,13368782302,-627114197,0,-627114197,12741668105,0,12741668105,879,0
2009,0,582704818616,-171050349845,411654468771,-366363861437,45290607334,4310340148,-1401411260,-1758907969,-144676726,-7702352346,40352507150,1203979094,-3627398,1200351696,0,41552858846,-3119458984,0,-3119458984,38433399862,0,38433399862,2651,0
2010,0,599656389630,-186399823648,413256565982,-323254966653,90001599329,14959079533,-6029317529,-2155801850,-113553174,-9583577601,89234230558,721073644,-438677437,282396207,0,89516626765,-9580108435,0,-9580108435,79936518330,0,79936518330,5513,0
2011,0,545933839341,-206955887351,338977951990,-263653058353,75324893637,22041796650,-752770667,-541051666,-44684680,-10759569579,85809665361,594316758,-294658128,299658630,8182312794,94291636785,-10972088978,0,-10972088978,83319547807,0,83319547807,5746,0
2012,0,537305922730,-213882902005,323423020725,-248496053769,74926966956,23741381916,2291562703,-123384177,-50334381,-12008394144,88901183050,1073741085,-208535798,865205287,4451709090,94218097427,-10061770321,0,-10061770321,84156327106,0,84156327106,5804,0
2013,0,562348316129,-238543117190,323805198939,-256467038968,67338159971,6720699033,1186925924,-13074076,-3910212253,-14852091644,56483481031,1642593135,-689593437,952999698,10168775829,67605256558,-9027962848,0,-9027962848,58577293710,0,58577293710,4040,0
2014,0,1257059295764,-497541537303,759517758461,-622804471110,136713287351,4405827002,-20335002727,-20548947064,-3435136457,-22080204787,95268770382,4455923028,-697347586,3758575442,6258434845,105285780669,-8286536069,0,-8286536069,96999244600,0,96999244600,6690,0
2015,0,826048957427,0,826048957427,-677769852669,148279104758,3941698470,-27041604822,-25194577774,-119911247,-31511931794,101863153936,2403847126,-313059546,2090787580,0,103953941516,-8486709606,0,-8486709606,95467231910,0,95467231910,5714,0
2016,0,903021391468,0,903021391468,-738848304886,164173086582,2667071443,-23308322271,-23308322271,-5590649693,-36078169237,106225624054,19181629469,-5112752556,14068876913,0,120294500967,-10847357026,0,-10847357026,109447143941,0,109447143941,6500,0
2017,0,926807156758,0,926807156758,-763804708550,163002448208,2029236464,-10877961496,-10529904617,-1798605569,-31376802760,129627582920,5166693169,-2239685996,2927007173,0,132554590093,-11234905427,0,-11234905427,121319684666,0,121319684666,6621,0
2018,0,907834318429,0,907834318429,-749123740803,158710577626,6355838288,-8075414034,-7567704034,-411023070,-30648832257,132547874748,804817183,-757160459,47656724,0,132595531472,-15094608138,0,-15094608138,117500923334,0,117500923334,7119,0
2019,0,1029640138587,0,1029640138587,-828124095637,201516042950,6938956406,-5737560761,-6267610001,-103202447,-25450246893,180948537778,418918142,-21479044,397439098,0,181345976876,-20068575149,0,-20068575149,161277401727,0,161277401727,9976,0
